Agg(open=5.42, high=5.45, low=5.42, close=5.45, volume=5454, vwap=5.4231, timestamp=1693900800000, transactions=7, otc=None)
Agg(open=5.46, high=5.47, low=5.42, close=5.45, volume=4604, vwap=5.4533, timestamp=1693904400000, transactions=9, otc=None)
Agg(open=5.45, high=5.45, low=5.45, close=5.45, volume=1600, vwap=5.45, timestamp=1693908000000, transactions=2, otc=None)
Agg(open=5.45, high=5.52, low=5.425, close=5.52, volume=17360, vwap=5.4563, timestamp=1693911600000, transactions=81, otc=None)
Agg(open=5.4408, high=5.55, low=5.37, close=5.44, volume=35098, vwap=5.4111, timestamp=1693915200000, transactions=274, otc=None)
Agg(open=5.3917, high=5.4, low=5.31, close=5.33, volume=1115789.0, vwap=5.3669, timestamp=1693918800000, transactions=2617, otc=None)
Agg(open=5.3309, high=5.39, low=5.31, close=5.355, volume=726067, vwap=5.3452, timestamp=1693922400000, transactions=2129, otc=None)
Agg(open=5.36, high=5.51, low=5.345, close=5.505, volume=1095568.0, vwap=5.4334, timestamp=1693926000000, transactions=2231, otc=None)
Agg(open=5.5099, high=5.555, low=5.49, close=5.55, volume=709569, vwap=5.5225, timestamp=1693929600000, transactions=2299, otc=None)
Agg(open=5.54, high=5.56, low=5.495, close=5.55, volume=414896, vwap=5.5307, timestamp=1693933200000, transactions=1773, otc=None)
Agg(open=5.545, high=5.57, low=5.52, close=5.56, volume=406951, vwap=5.5447, timestamp=1693936800000, transactions=1746, otc=None)
Agg(open=5.56, high=5.615, low=5.5522, close=5.58, volume=1104474.0, vwap=5.5858, timestamp=1693940400000, transactions=3514, otc=None)
Agg(open=5.6, high=5.65, low=5.514709, close=5.514709, volume=14757, vwap=5.5178, timestamp=1693944000000, transactions=3, otc=None)
Agg(open=5.64, high=5.65, low=5.6, close=5.6, volume=1101, vwap=5.6309, timestamp=1693947600000, transactions=5, otc=None)
Agg(open=5.64, high=5.65, low=5.64, close=5.65, volume=300, vwap=5.6433, timestamp=1693954800000, transactions=2, otc=None)
Agg(open=5.59, high=5.6, low=5.59, close=5.6, volume=1500, vwap=5.5993, timestamp=1693998000000, transactions=5, otc=None)
Agg(open=5.62, high=5.62, low=5.53, close=5.53, volume=6200, vwap=5.5462, timestamp=1694001600000, transactions=27, otc=None)
Agg(open=5.55, high=5.64, low=5.54, close=5.6001, volume=921603, vwap=5.6001, timestamp=1694005200000, transactions=1491, otc=None)
Agg(open=5.6, high=5.61, low=5.48, close=5.49, volume=748301, vwap=5.544, timestamp=1694008800000, transactions=2159, otc=None)
Agg(open=5.48, high=5.538, low=5.4712, close=5.51, volume=390211, vwap=5.5036, timestamp=1694012400000, transactions=1015, otc=None)
Agg(open=5.51, high=5.515, low=5.44, close=5.46, volume=460759, vwap=5.4778, timestamp=1694016000000, transactions=1121, otc=None)
Agg(open=5.455, high=5.465, low=5.42, close=5.455, volume=429616, vwap=5.4438, timestamp=1694019600000, transactions=1180, otc=None)
Agg(open=5.455, high=5.51, low=5.445, close=5.495, volume=394742, vwap=5.4817, timestamp=1694023200000, transactions=1505, otc=None)
Agg(open=5.4985, high=5.52, low=5.49, close=5.505, volume=419875, vwap=5.502, timestamp=1694026800000, transactions=1874, otc=None)
Agg(open=5.52, high=5.52, low=5.52, close=5.52, volume=980, vwap=5.52, timestamp=1694034000000, transactions=1, otc=None)
Agg(open=5.53, high=5.53, low=5.43, close=5.45, volume=8889, vwap=5.4676, timestamp=1694088000000, transactions=5, otc=None)
Agg(open=5.43, high=5.5, low=5.39, close=5.4, volume=284628, vwap=5.4218, timestamp=1694091600000, transactions=878, otc=None)
Agg(open=5.405, high=5.4799, low=5.36, close=5.45, volume=345216, vwap=5.4198, timestamp=1694095200000, transactions=1195, otc=None)
