Agg(open=11.66, high=11.665, low=11.535, close=11.565, volume=606615, vwap=11.5756, timestamp=1695042000000, transactions=3864, otc=None)
Agg(open=11.565, high=11.66, low=11.565, close=11.63, volume=545401, vwap=11.6209, timestamp=1695045600000, transactions=3933, otc=None)
Agg(open=11.63, high=11.66, low=11.6125, close=11.65, volume=529875, vwap=11.6376, timestamp=1695049200000, transactions=3455, otc=None)
Agg(open=11.645, high=11.645, low=11.6, close=11.61, volume=353733, vwap=11.6158, timestamp=1695052800000, transactions=2752, otc=None)
Agg(open=11.61, high=11.64, low=11.57, close=11.575, volume=486311, vwap=11.6003, timestamp=1695056400000, transactions=3425, otc=None)
Agg(open=11.57, high=11.5899, low=11.54, close=11.555, volume=625297, vwap=11.5642, timestamp=1695060000000, transactions=3920, otc=None)
Agg(open=11.555, high=11.58, low=11.51, close=11.515, volume=1534828.0, vwap=11.5407, timestamp=1695063600000, transactions=7511, otc=None)
Agg(open=11.52, high=11.62, low=11.52, close=11.52, volume=69341, vwap=11.5205, timestamp=1695067200000, transactions=30, otc=None)
Agg(open=11.51, high=11.51, low=11.51, close=11.51, volume=820, vwap=11.51, timestamp=1695070800000, transactions=4, otc=None)
Agg(open=11.51, high=11.51, low=11.51, close=11.51, volume=3000, vwap=11.51, timestamp=1695074400000, transactions=1, otc=None)
Agg(open=11.52, high=11.52, low=11.52, close=11.52, volume=600, vwap=11.52, timestamp=1695078000000, transactions=1, otc=None)
Agg(open=11.56, high=11.57, low=11.48, close=11.485, volume=203742, vwap=11.5259, timestamp=1695128400000, transactions=1537, otc=None)
Agg(open=11.485, high=11.56, low=11.485, close=11.5144, volume=763865, vwap=11.5334, timestamp=1695132000000, transactions=4173, otc=None)
Agg(open=11.5185, high=11.54, low=11.4695, close=11.505, volume=1190463.0, vwap=11.501, timestamp=1695135600000, transactions=5629, otc=None)
Agg(open=11.51, high=11.52, low=11.47, close=11.485, volume=497270, vwap=11.4966, timestamp=1695139200000, transactions=3241, otc=None)
Agg(open=11.49, high=11.54, low=11.485, close=11.515, volume=858072, vwap=11.5121, timestamp=1695142800000, transactions=4235, otc=None)
Agg(open=11.515, high=11.58, low=11.51, close=11.54, volume=653237, vwap=11.5439, timestamp=1695146400000, transactions=3792, otc=None)
Agg(open=11.54, high=11.61, low=11.53, close=11.59, volume=1167061.0, vwap=11.5785, timestamp=1695150000000, transactions=6634, otc=None)
Agg(open=11.59, high=11.74, low=11.59, close=11.61, volume=32424, vwap=11.5908, timestamp=1695153600000, transactions=29, otc=None)
Agg(open=11.6, high=11.6, low=11.6, close=11.6, volume=425, vwap=11.6, timestamp=1695157200000, transactions=2, otc=None)
Agg(open=11.7, high=11.7, low=11.7, close=11.7, volume=300, vwap=11.7, timestamp=1695164400000, transactions=1, otc=None)
Agg(open=11.7, high=11.7, low=11.7, close=11.7, volume=389, vwap=11.7, timestamp=1695207600000, transactions=1, otc=None)
Agg(open=11.65, high=11.65, low=11.65, close=11.65, volume=100, vwap=11.65, timestamp=1695211200000, transactions=1, otc=None)
Agg(open=11.68, high=11.68, low=11.575, close=11.62, volume=667586, vwap=11.6299, timestamp=1695214800000, transactions=4192, otc=None)
Agg(open=11.625, high=11.625, low=11.495, close=11.52, volume=1141417.0, vwap=11.5414, timestamp=1695218400000, transactions=5898, otc=None)
Agg(open=11.52, high=11.55, low=11.5, close=11.505, volume=851645, vwap=11.5223, timestamp=1695222000000, transactions=3768, otc=None)
Agg(open=11.5025, high=11.53, low=11.4925, close=11.525, volume=440606, vwap=11.513, timestamp=1695225600000, transactions=2337, otc=None)
Agg(open=11.525, high=11.53, low=11.455, close=11.47, volume=379936, vwap=11.4826, timestamp=1695229200000, transactions=2647, otc=None)
Agg(open=11.46, high=11.47, low=11.385, close=11.41, volume=736671, vwap=11.4369, timestamp=1695232800000, transactions=4371, otc=None)
Agg(open=11.41, high=11.42, low=11.32, close=11.325, volume=2096357.0, vwap=11.3559, timestamp=1695236400000, transactions=9062, otc=None)
Agg(open=11.32, high=11.44, low=11.32, close=11.35, volume=52710, vwap=11.3242, timestamp=1695240000000, transactions=34, otc=None)
Agg(open=11.35, high=11.36, low=11.34, close=11.35, volume=823, vwap=11.35, timestamp=1695243600000, transactions=5, otc=None)
Agg(open=11.42, high=11.42, low=11.42, close=11.42, volume=1008, vwap=11.4195, timestamp=1695247200000, transactions=2, otc=None)
Agg(open=11.24, high=11.26, low=11.22, close=11.26, volume=1310, vwap=11.2469, timestamp=1695294000000, transactions=7, otc=None)
Agg(open=11.22, high=11.25, low=11.2, close=11.2, volume=6777, vwap=11.235, timestamp=1695297600000, transactions=26, otc=None)
Agg(open=11.17, high=11.3, low=11.14, close=11.225, volume=774729, vwap=11.2461, timestamp=1695301200000, transactions=3206, otc=None)
Agg(open=11.225, high=11.4, low=11.22, close=11.26, volume=1051955.0, vwap=11.2889, timestamp=1695304800000, transactions=5883, otc=None)
Agg(open=11.255, high=11.32, low=11.245, close=11.25, volume=647360, vwap=11.2793, timestamp=1695308400000, transactions=4051, otc=None)
Agg(open=11.25, high=11.26, low=11.17, close=11.185, volume=907007, vwap=11.2173, timestamp=1695312000000, transactions=4870, otc=None)
Agg(open=11.18, high=11.23, low=11.17, close=11.185, volume=998713, vwap=11.1953, timestamp=1695315600000, transactions=4923, otc=None)
Agg(open=11.185, high=11.195, low=11.14, close=11.165, volume=1049101.0, vwap=11.1711, timestamp=1695319200000, transactions=5489, otc=None)
Agg(open=11.165, high=11.178, low=11.085, close=11.09, volume=2132697.0, vwap=11.12, timestamp=1695322800000, transactions=13663, otc=None)
Agg(open=11.09, high=11.11, low=11.09, close=11.11, volume=55166, vwap=11.0904, timestamp=1695326400000, transactions=24, otc=None)
Agg(open=11.11, high=11.11, low=11.11, close=11.11, volume=564, vwap=11.11, timestamp=1695330000000, transactions=1, otc=None)
Agg(open=11.18, high=11.19, low=11.18, close=11.18, volume=1600, vwap=11.1863, timestamp=1695384000000, transactions=3, otc=None)
Agg(open=11.15, high=11.225, low=11.1105, close=11.175, volume=501937, vwap=11.1592, timestamp=1695387600000, transactions=2640, otc=None)
Agg(open=11.175, high=11.2189, low=11.15, close=11.1894, volume=1468691.0, vwap=11.1809, timestamp=1695391200000, transactions=6321, otc=None)
Agg(open=11.19, high=11.2, low=11.13, close=11.15, volume=813584, vwap=11.1628, timestamp=1695394800000, transactions=4981, otc=None)
Agg(open=11.15, high=11.23, low=11.135, close=11.18, volume=751134, vwap=11.1832, timestamp=1695398400000, transactions=4591, otc=None)
Agg(open=11.185, high=11.22, low=11.14, close=11.15, volume=640711, vwap=11.171, timestamp=1695402000000, transactions=4028, otc=None)
Agg(open=11.15, high=11.16, low=11.11, close=11.145, volume=836007, vwap=11.1411, timestamp=1695405600000, transactions=4465, otc=None)
Agg(open=11.14, high=11.195, low=11.115, close=11.14, volume=2242290.0, vwap=11.1564, timestamp=1695409200000, transactions=8669, otc=None)
Agg(open=11.13, high=11.14, low=11.11, close=11.14, volume=15373, vwap=11.1295, timestamp=1695412800000, transactions=16, otc=None)
Agg(open=11.12, high=11.12, low=11.12, close=11.12, volume=574, vwap=11.12, timestamp=1695423600000, transactions=1, otc=None)
