Agg(open=13.52, high=13.52, low=13.52, close=13.52, volume=935, vwap=13.52, timestamp=1697454000000, transactions=6, otc=None)
Agg(open=13.51, high=13.63, low=13.51, close=13.63, volume=6348, vwap=13.6047, timestamp=1697457600000, transactions=13, otc=None)
Agg(open=13.58, high=13.7301, low=13.563, close=13.715, volume=164511, vwap=13.6491, timestamp=1697461200000, transactions=908, otc=None)
Agg(open=13.72, high=13.965, low=13.69, close=13.88, volume=596816, vwap=13.8789, timestamp=1697464800000, transactions=2894, otc=None)
Agg(open=13.88, high=13.9, low=13.795, close=13.83, volume=215410, vwap=13.8386, timestamp=1697468400000, transactions=906, otc=None)
Agg(open=13.8292, high=13.87, low=13.805, close=13.83, volume=137023, vwap=13.8331, timestamp=1697472000000, transactions=574, otc=None)
Agg(open=13.83, high=13.88, low=13.8, close=13.875, volume=256880, vwap=13.8377, timestamp=1697475600000, transactions=868, otc=None)
Agg(open=13.8754, high=13.88, low=13.82, close=13.835, volume=160135, vwap=13.8446, timestamp=1697479200000, transactions=714, otc=None)
Agg(open=13.83, high=13.87, low=13.8, close=13.84, volume=304419, vwap=13.8308, timestamp=1697482800000, transactions=1522, otc=None)
Agg(open=13.84, high=13.84, low=13.84, close=13.84, volume=15894, vwap=13.84, timestamp=1697486400000, transactions=6, otc=None)
Agg(open=13.84, high=13.84, low=13.77, close=13.84, volume=860, vwap=13.8318, timestamp=1697493600000, transactions=4, otc=None)
Agg(open=13.02, high=13.04, low=13, close=13, volume=4475, vwap=13.0207, timestamp=1697533200000, transactions=22, otc=None)
Agg(open=13.74, high=13.78, low=13.69, close=13.7245, volume=114982, vwap=13.7246, timestamp=1697547600000, transactions=583, otc=None)
Agg(open=13.7214, high=13.74, low=13.68, close=13.725, volume=243066, vwap=13.7225, timestamp=1697551200000, transactions=1613, otc=None)
Agg(open=13.73, high=13.79, low=13.72, close=13.76, volume=201408, vwap=13.764, timestamp=1697554800000, transactions=1198, otc=None)
Agg(open=13.755, high=13.79, low=13.74, close=13.775, volume=166430, vwap=13.7592, timestamp=1697558400000, transactions=1117, otc=None)
