Agg(open=29.15, high=29.15, low=29, close=29.14, volume=510, vwap=29.0863, timestamp=1673269200000, transactions=6, otc=None)
Agg(open=29.08, high=29.55, low=29.07, close=29.4439, volume=173884, vwap=29.2871, timestamp=1673272800000, transactions=1185, otc=None)
Agg(open=29.45, high=29.84, low=29.45, close=29.79, volume=231557, vwap=29.666, timestamp=1673276400000, transactions=2825, otc=None)
Agg(open=29.785, high=30.02, low=29.785, close=29.99, volume=257838, vwap=29.9125, timestamp=1673280000000, transactions=3068, otc=None)
Agg(open=29.99, high=29.995, low=29.79, close=29.855, volume=139418, vwap=29.8906, timestamp=1673283600000, transactions=1638, otc=None)
Agg(open=29.855, high=30.04, low=29.77, close=29.79, volume=156084, vwap=29.8953, timestamp=1673287200000, transactions=2276, otc=None)
Agg(open=29.79, high=29.805, low=29.63, close=29.695, volume=142527, vwap=29.7233, timestamp=1673290800000, transactions=2095, otc=None)
Agg(open=29.695, high=29.75, low=29.51, close=29.57, volume=399661, vwap=29.6064, timestamp=1673294400000, transactions=5143, otc=None)
Agg(open=29.58, high=29.58, low=29.58, close=29.58, volume=21098, vwap=29.58, timestamp=1673298000000, transactions=42, otc=None)
Agg(open=29.79, high=29.8, low=29.44, close=29.45, volume=96564, vwap=29.5924, timestamp=1673359200000, transactions=1098, otc=None)
Agg(open=29.47, high=29.69, low=29.37, close=29.64, volume=316068, vwap=29.5471, timestamp=1673362800000, transactions=2523, otc=None)
Agg(open=29.64, high=29.905, low=29.64, close=29.77, volume=140863, vwap=29.794, timestamp=1673366400000, transactions=1941, otc=None)
Agg(open=29.76, high=29.78, low=29.605, close=29.655, volume=102752, vwap=29.712, timestamp=1673370000000, transactions=1693, otc=None)
Agg(open=29.655, high=29.69, low=29.555, close=29.64, volume=116629, vwap=29.6149, timestamp=1673373600000, transactions=1847, otc=None)
Agg(open=29.65, high=29.885, low=29.6, close=29.86, volume=236773, vwap=29.7389, timestamp=1673377200000, transactions=2415, otc=None)
Agg(open=29.86, high=30.275, low=29.86, close=30.12, volume=837100, vwap=30.1036, timestamp=1673380800000, transactions=8306, otc=None)
Agg(open=30.12, high=30.12, low=28.84, close=28.84, volume=33641, vwap=30.1143, timestamp=1673384400000, transactions=30, otc=None)
Agg(open=30, high=30, low=30, close=30, volume=160, vwap=30, timestamp=1673391600000, transactions=2, otc=None)
Agg(open=30.1, high=30.1, low=30.1, close=30.1, volume=100, vwap=30.1, timestamp=1673395200000, transactions=1, otc=None)
Agg(open=30.29, high=30.5, low=29.94, close=30.104, volume=125416, vwap=30.1408, timestamp=1673445600000, transactions=1580, otc=None)
Agg(open=30.12, high=30.265, low=30.07, close=30.14, volume=215340, vwap=30.1487, timestamp=1673449200000, transactions=3271, otc=None)
Agg(open=30.14, high=30.43, low=30.08, close=30.2833, volume=182174, vwap=30.2494, timestamp=1673452800000, transactions=2769, otc=None)
Agg(open=30.3, high=30.4, low=30.21, close=30.37, volume=194895, vwap=30.309, timestamp=1673456400000, transactions=2757, otc=None)
Agg(open=30.38, high=30.535, low=30.36, close=30.45, volume=168619, vwap=30.4414, timestamp=1673460000000, transactions=3187, otc=None)
Agg(open=30.455, high=30.7, low=30.4501, close=30.65, volume=217008, vwap=30.6033, timestamp=1673463600000, transactions=3738, otc=None)
Agg(open=30.6501, high=30.66, low=30.38, close=30.64, volume=774834, vwap=30.5901, timestamp=1673467200000, transactions=8295, otc=None)
Agg(open=30.64, high=30.64, low=30.64, close=30.64, volume=200288, vwap=30.64, timestamp=1673470800000, transactions=29, otc=None)
Agg(open=30.69, high=30.925, low=30.59, close=30.85, volume=131242, vwap=30.7165, timestamp=1673532000000, transactions=1267, otc=None)
Agg(open=30.885, high=31.4, low=30.885, close=31.295, volume=287631, vwap=31.159, timestamp=1673535600000, transactions=3552, otc=None)
Agg(open=31.3, high=31.31, low=30.86, close=30.94, volume=303245, vwap=31.0892, timestamp=1673539200000, transactions=3681, otc=None)
Agg(open=30.945, high=31.34, low=30.9047, close=31.31, volume=176140, vwap=31.1939, timestamp=1673542800000, transactions=2776, otc=None)
Agg(open=31.295, high=31.35, low=31.085, close=31.26, volume=152896, vwap=31.2236, timestamp=1673546400000, transactions=2268, otc=None)
Agg(open=31.26, high=31.485, low=31.22, close=31.379, volume=499166, vwap=31.3414, timestamp=1673550000000, transactions=4037, otc=None)
Agg(open=31.37, high=31.44, low=31.2, close=31.38, volume=892335, vwap=31.3677, timestamp=1673553600000, transactions=8298, otc=None)
