Agg(open=23, high=23, low=23, close=23, volume=600, vwap=23, timestamp=1678698000000, transactions=5, otc=None)
Agg(open=22.5, high=22.5, low=22.5, close=22.5, volume=135, vwap=22.5, timestamp=1678708800000, transactions=1, otc=None)
Agg(open=22.55, high=22.7, low=22.3, close=22.6527, volume=219924, vwap=22.4667, timestamp=1678712400000, transactions=2046, otc=None)
Agg(open=22.65, high=22.67, low=22.31, close=22.52, volume=322344, vwap=22.4952, timestamp=1678716000000, transactions=3819, otc=None)
Agg(open=22.52, high=22.78, low=22.495, close=22.67, volume=570493, vwap=22.6018, timestamp=1678719600000, transactions=5287, otc=None)
Agg(open=22.69, high=22.77, low=22.345, close=22.3592, volume=202959, vwap=22.5864, timestamp=1678723200000, transactions=3074, otc=None)
Agg(open=22.375, high=22.48, low=22.2301, close=22.455, volume=194162, vwap=22.3334, timestamp=1678726800000, transactions=3051, otc=None)
Agg(open=22.46, high=22.68, low=22.46, close=22.565, volume=306382, vwap=22.5953, timestamp=1678730400000, transactions=3702, otc=None)
Agg(open=22.56, high=22.56, low=22.2, close=22.255, volume=622402, vwap=22.3324, timestamp=1678734000000, transactions=7807, otc=None)
Agg(open=22.26, high=22.26, low=22.26, close=22.26, volume=38288, vwap=22.26, timestamp=1678737600000, transactions=36, otc=None)
Agg(open=22.54, high=22.735, low=22.17, close=22.375, volume=144286, vwap=22.3776, timestamp=1678798800000, transactions=1900, otc=None)
Agg(open=22.37, high=22.405, low=22.15, close=22.16, volume=274776, vwap=22.2892, timestamp=1678802400000, transactions=4015, otc=None)
Agg(open=22.1609, high=22.4215, low=22.16, close=22.22, volume=241674, vwap=22.3034, timestamp=1678806000000, transactions=3197, otc=None)
Agg(open=22.22, high=22.23, low=22.065, close=22.0962, volume=191776, vwap=22.1642, timestamp=1678809600000, transactions=2879, otc=None)
Agg(open=22.09, high=22.12, low=21.91, close=21.98, volume=319844, vwap=21.9917, timestamp=1678813200000, transactions=4408, otc=None)
Agg(open=21.975, high=21.995, low=21.82, close=21.86, volume=245368, vwap=21.8909, timestamp=1678816800000, transactions=3888, otc=None)
Agg(open=21.86, high=21.98, low=21.76, close=21.94, volume=701534, vwap=21.8893, timestamp=1678820400000, transactions=7906, otc=None)
Agg(open=21.95, high=21.95, low=21.95, close=21.95, volume=53055, vwap=21.95, timestamp=1678824000000, transactions=41, otc=None)
Agg(open=21.92, high=21.92, low=21.9, close=21.9, volume=310, vwap=21.9103, timestamp=1678831200000, transactions=2, otc=None)
Agg(open=21.95, high=21.95, low=21.67, close=21.9, volume=947, vwap=21.8721, timestamp=1678878000000, transactions=15, otc=None)
Agg(open=21.6, high=21.6, low=21.5168, close=21.5168, volume=815, vwap=21.5679, timestamp=1678881600000, transactions=9, otc=None)
Agg(open=21.7, high=21.7, low=21.37, close=21.41, volume=213628, vwap=21.5232, timestamp=1678885200000, transactions=2311, otc=None)
Agg(open=21.39, high=21.52, low=21.22, close=21.27, volume=343130, vwap=21.3633, timestamp=1678888800000, transactions=4720, otc=None)
Agg(open=21.27, high=21.34, low=21.11, close=21.195, volume=263169, vwap=21.2012, timestamp=1678892400000, transactions=3491, otc=None)
Agg(open=21.2, high=21.385, low=21.2, close=21.225, volume=263705, vwap=21.2846, timestamp=1678896000000, transactions=3803, otc=None)
Agg(open=21.22, high=21.355, low=21.2, close=21.32, volume=253947, vwap=21.2948, timestamp=1678899600000, transactions=3618, otc=None)
Agg(open=21.33, high=21.64, low=21.3, close=21.61, volume=280681, vwap=21.4846, timestamp=1678903200000, transactions=4324, otc=None)
Agg(open=21.615, high=21.64, low=21.43, close=21.52, volume=652506, vwap=21.5088, timestamp=1678906800000, transactions=8128, otc=None)
Agg(open=21.65, high=21.68, low=21.52, close=21.65, volume=62429, vwap=21.5255, timestamp=1678910400000, transactions=61, otc=None)
Agg(open=21.67, high=21.67, low=21.67, close=21.67, volume=300, vwap=21.67, timestamp=1678914000000, transactions=1, otc=None)
