Agg(open=18.26, high=18.26, low=18.23, close=18.25, volume=620, vwap=18.249, timestamp=1695639600000, transactions=8, otc=None)
Agg(open=18.25, high=18.25, low=18.25, close=18.25, volume=136, vwap=18.25, timestamp=1695643200000, transactions=1, otc=None)
Agg(open=18.18, high=18.225, low=18.06, close=18.17, volume=294693, vwap=18.1515, timestamp=1695646800000, transactions=2208, otc=None)
Agg(open=18.18, high=18.27, low=18.035, close=18.055, volume=383071, vwap=18.148, timestamp=1695650400000, transactions=3501, otc=None)
Agg(open=18.0519, high=18.155, low=18.02, close=18.075, volume=337003, vwap=18.0839, timestamp=1695654000000, transactions=2824, otc=None)
Agg(open=18.07, high=18.08, low=17.9692, close=17.985, volume=495086, vwap=18.0906, timestamp=1695657600000, transactions=3321, otc=None)
Agg(open=17.985, high=17.985, low=17.9, close=17.945, volume=341079, vwap=17.9438, timestamp=1695661200000, transactions=3422, otc=None)
Agg(open=17.95, high=17.99, low=17.9, close=17.92, volume=357911, vwap=17.9457, timestamp=1695664800000, transactions=3483, otc=None)
Agg(open=17.92, high=17.98, low=17.82, close=17.88, volume=780701, vwap=17.8858, timestamp=1695668400000, transactions=7641, otc=None)
Agg(open=17.88, high=17.88, low=17.88, close=17.88, volume=82860, vwap=17.88, timestamp=1695672000000, transactions=25, otc=None)
Agg(open=17.88, high=17.88, low=17.88, close=17.88, volume=270, vwap=17.8808, timestamp=1695675600000, transactions=3, otc=None)
Agg(open=17.94, high=17.94, low=17.94, close=17.94, volume=100, vwap=17.94, timestamp=1695679200000, transactions=1, otc=None)
Agg(open=17.93, high=17.93, low=17.93, close=17.93, volume=400, vwap=17.93, timestamp=1695682800000, transactions=1, otc=None)
Agg(open=17.94, high=18, low=17.94, close=18, volume=368, vwap=17.9327, timestamp=1695726000000, transactions=11, otc=None)
Agg(open=17.79, high=17.81, low=17.555, close=17.555, volume=336547, vwap=17.657, timestamp=1695733200000, transactions=3002, otc=None)
Agg(open=17.555, high=17.59, low=17.4002, close=17.495, volume=637221, vwap=17.4943, timestamp=1695736800000, transactions=6262, otc=None)
Agg(open=17.495, high=17.51, low=17.285, close=17.34, volume=498995, vwap=17.3856, timestamp=1695740400000, transactions=5365, otc=None)
Agg(open=17.335, high=17.495, low=17.32, close=17.38, volume=376578, vwap=17.3966, timestamp=1695744000000, transactions=4697, otc=None)
Agg(open=17.39, high=17.39, low=17.255, close=17.275, volume=441313, vwap=17.3266, timestamp=1695747600000, transactions=5861, otc=None)
