Agg(open=18.93, high=19, low=18.85, close=18.851, volume=19468, vwap=18.9238, timestamp=1674482400000, transactions=173, otc=None)
Agg(open=18.96, high=19.08, low=18.92, close=18.99, volume=42965, vwap=18.9827, timestamp=1674486000000, transactions=582, otc=None)
Agg(open=18.99, high=19.07, low=18.965, close=19.04, volume=29084, vwap=19.0308, timestamp=1674489600000, transactions=640, otc=None)
Agg(open=19.05, high=19.065, low=18.94, close=19.06, volume=71800, vwap=18.9957, timestamp=1674493200000, transactions=771, otc=None)
Agg(open=19.07, high=19.1186, low=19.04, close=19.05, volume=45754, vwap=19.0841, timestamp=1674496800000, transactions=787, otc=None)
Agg(open=19.04, high=19.04, low=18.8, close=18.82, volume=52384, vwap=18.8935, timestamp=1674500400000, transactions=847, otc=None)
Agg(open=18.83, high=18.99, low=18.8, close=18.95, volume=153276, vwap=18.8918, timestamp=1674504000000, transactions=2316, otc=None)
Agg(open=18.94, high=18.94, low=18.94, close=18.94, volume=47312, vwap=18.94, timestamp=1674507600000, transactions=20, otc=None)
Agg(open=18.92, high=19, low=18.7, close=18.7, volume=10146, vwap=18.7868, timestamp=1674568800000, transactions=200, otc=None)
Agg(open=18.75, high=18.9825, low=18.71, close=18.98, volume=35712, vwap=18.8662, timestamp=1674572400000, transactions=619, otc=None)
Agg(open=18.95, high=19.02, low=18.76, close=18.8, volume=40466, vwap=18.8941, timestamp=1674576000000, transactions=1001, otc=None)
Agg(open=18.81, high=18.85, low=18.77, close=18.79, volume=33122, vwap=18.8099, timestamp=1674579600000, transactions=670, otc=None)
Agg(open=18.79, high=18.83, low=18.7, close=18.765, volume=48123, vwap=18.7701, timestamp=1674583200000, transactions=904, otc=None)
Agg(open=18.77, high=18.85, low=18.72, close=18.85, volume=34734, vwap=18.7785, timestamp=1674586800000, transactions=760, otc=None)
Agg(open=18.84, high=18.86, low=18.72, close=18.76, volume=175393, vwap=18.7842, timestamp=1674590400000, transactions=2685, otc=None)
Agg(open=18.76, high=18.76, low=18.76, close=18.76, volume=50389, vwap=18.76, timestamp=1674594000000, transactions=19, otc=None)
Agg(open=18.6, high=18.6, low=18.6, close=18.6, volume=1162, vwap=18.6001, timestamp=1674651600000, transactions=4, otc=None)
Agg(open=18.59, high=18.68, low=18.45, close=18.5, volume=15902, vwap=18.5689, timestamp=1674655200000, transactions=228, otc=None)
Agg(open=18.52, high=18.71, low=18.49, close=18.66, volume=39519, vwap=18.6537, timestamp=1674658800000, transactions=633, otc=None)
Agg(open=18.66, high=18.67, low=18.55, close=18.61, volume=29155, vwap=18.5945, timestamp=1674662400000, transactions=603, otc=None)
Agg(open=18.6, high=18.725, low=18.5601, close=18.62, volume=44971, vwap=18.6487, timestamp=1674666000000, transactions=766, otc=None)
Agg(open=18.63, high=18.73, low=18.63, close=18.71, volume=31955, vwap=18.6874, timestamp=1674669600000, transactions=676, otc=None)
Agg(open=18.7, high=18.8, low=18.7, close=18.74, volume=45012, vwap=18.7405, timestamp=1674673200000, transactions=823, otc=None)
Agg(open=18.75, high=18.92, low=18.74, close=18.83, volume=187990, vwap=18.8509, timestamp=1674676800000, transactions=2638, otc=None)
Agg(open=18.83, high=18.83, low=18.83, close=18.83, volume=8971, vwap=18.83, timestamp=1674680400000, transactions=13, otc=None)
Agg(open=18.92, high=19.12, low=18.785, close=18.825, volume=19020, vwap=18.939, timestamp=1674741600000, transactions=227, otc=None)
Agg(open=18.82, high=19.12, low=18.82, close=18.95, volume=74679, vwap=18.996, timestamp=1674745200000, transactions=1066, otc=None)
Agg(open=18.94, high=19.16, low=18.93, close=19.11, volume=79807, vwap=19.0499, timestamp=1674748800000, transactions=1051, otc=None)
Agg(open=19.13, high=19.33, low=19.13, close=19.325, volume=164123, vwap=19.2597, timestamp=1674752400000, transactions=1859, otc=None)
Agg(open=19.34, high=19.48, low=18.94, close=18.97, volume=246394, vwap=19.2324, timestamp=1674756000000, transactions=3095, otc=None)
Agg(open=18.97, high=19.01, low=18.87, close=19.0048, volume=112472, vwap=18.9432, timestamp=1674759600000, transactions=1666, otc=None)
Agg(open=19.01, high=19.1, low=18.975, close=19.04, volume=257162, vwap=19.0445, timestamp=1674763200000, transactions=3472, otc=None)
Agg(open=19.04, high=19.04, low=19.04, close=19.04, volume=185246, vwap=19.04, timestamp=1674766800000, transactions=21, otc=None)
Agg(open=18.91, high=19.06, low=18.82, close=18.94, volume=29766, vwap=18.9524, timestamp=1674828000000, transactions=388, otc=None)
Agg(open=18.955, high=19.18, low=18.95, close=19, volume=64261, vwap=19.0739, timestamp=1674831600000, transactions=931, otc=None)
Agg(open=19.01, high=19.16, low=18.995, close=19.15, volume=57017, vwap=19.0602, timestamp=1674835200000, transactions=983, otc=None)
Agg(open=19.14, high=19.23, low=19.13, close=19.185, volume=63367, vwap=19.1643, timestamp=1674838800000, transactions=836, otc=None)
Agg(open=19.19, high=19.2, low=18.91, close=18.91, volume=58999, vwap=19.0487, timestamp=1674842400000, transactions=924, otc=None)
Agg(open=18.91, high=19.02, low=18.91, close=19, volume=63070, vwap=18.9857, timestamp=1674846000000, transactions=968, otc=None)
Agg(open=19.011, high=19.07, low=18.86, close=18.88, volume=245138, vwap=18.96, timestamp=1674849600000, transactions=3302, otc=None)
Agg(open=18.87, high=18.87, low=18.87, close=18.87, volume=14662, vwap=18.87, timestamp=1674853200000, transactions=19, otc=None)
