Agg(open=23.05, high=23.05, low=22.67, close=22.86, volume=119153, vwap=22.871, timestamp=1675692000000, transactions=905, otc=None)
Agg(open=22.86, high=23.02, low=22.665, close=22.69, volume=278156, vwap=22.8342, timestamp=1675695600000, transactions=2738, otc=None)
Agg(open=22.7, high=22.75, low=22.365, close=22.39, volume=171021, vwap=22.4952, timestamp=1675699200000, transactions=2304, otc=None)
Agg(open=22.39, high=22.78, low=22.36, close=22.765, volume=172563, vwap=22.5613, timestamp=1675702800000, transactions=2246, otc=None)
Agg(open=22.78, high=22.83, low=22.275, close=22.43, volume=297644, vwap=22.5152, timestamp=1675706400000, transactions=2952, otc=None)
Agg(open=22.43, high=22.64, low=22.41, close=22.515, volume=163883, vwap=22.5153, timestamp=1675710000000, transactions=2189, otc=None)
Agg(open=22.515, high=22.64, low=22.42, close=22.64, volume=364167, vwap=22.544, timestamp=1675713600000, transactions=4953, otc=None)
Agg(open=22.63, high=22.63, low=22.63, close=22.63, volume=21231, vwap=22.63, timestamp=1675717200000, transactions=17, otc=None)
Agg(open=22.54, high=22.68, low=22.37, close=22.37, volume=50479, vwap=22.491, timestamp=1675778400000, transactions=463, otc=None)
Agg(open=22.4, high=22.445, low=22.04, close=22.18, volume=111139, vwap=22.1708, timestamp=1675782000000, transactions=1571, otc=None)
Agg(open=22.1737, high=22.33, low=22.07, close=22.14, volume=108030, vwap=22.1697, timestamp=1675785600000, transactions=1623, otc=None)
Agg(open=22.14, high=22.35, low=22.1, close=22.25, volume=139291, vwap=22.2118, timestamp=1675789200000, transactions=1814, otc=None)
Agg(open=22.265, high=22.285, low=21.95, close=22.1, volume=110030, vwap=22.1361, timestamp=1675792800000, transactions=1794, otc=None)
Agg(open=22.11, high=22.39, low=22.11, close=22.33, volume=188937, vwap=22.2326, timestamp=1675796400000, transactions=2038, otc=None)
Agg(open=22.33, high=22.37, low=22.19, close=22.3, volume=360606, vwap=22.2783, timestamp=1675800000000, transactions=4442, otc=None)
Agg(open=22.3, high=22.3, low=22.3, close=22.3, volume=131177, vwap=22.3, timestamp=1675803600000, transactions=21, otc=None)
Agg(open=21.21, high=21.21, low=21.21, close=21.21, volume=150, vwap=21.21, timestamp=1675861200000, transactions=1, otc=None)
Agg(open=22.16, high=22.26, low=21.98, close=22.15, volume=56530, vwap=22.0817, timestamp=1675864800000, transactions=695, otc=None)
Agg(open=22.12, high=22.15, low=21.9, close=22.125, volume=237495, vwap=22.0448, timestamp=1675868400000, transactions=2234, otc=None)
Agg(open=22.125, high=22.34, low=21.925, close=22.01, volume=218607, vwap=22.1414, timestamp=1675872000000, transactions=2450, otc=None)
Agg(open=22.01, high=22.21, low=21.83, close=22.21, volume=221122, vwap=21.9447, timestamp=1675875600000, transactions=2291, otc=None)
Agg(open=22.22, high=22.29, low=22.15, close=22.18, volume=145973, vwap=22.2326, timestamp=1675879200000, transactions=1348, otc=None)
Agg(open=22.185, high=22.255, low=22.12, close=22.25, volume=93445, vwap=22.1929, timestamp=1675882800000, transactions=1498, otc=None)
Agg(open=22.24, high=22.33, low=22.165, close=22.21, volume=287749, vwap=22.252, timestamp=1675886400000, transactions=3731, otc=None)
Agg(open=22.21, high=22.21, low=22.21, close=22.21, volume=33271, vwap=22.21, timestamp=1675890000000, transactions=24, otc=None)
Agg(open=22.37, high=22.42, low=22.01, close=22.06, volume=38962, vwap=22.271, timestamp=1675951200000, transactions=524, otc=None)
Agg(open=22.045, high=22.33, low=22.01, close=22.31, volume=315545, vwap=22.2399, timestamp=1675954800000, transactions=1395, otc=None)
Agg(open=22.29, high=22.29, low=22.085, close=22.11, volume=76225, vwap=22.1712, timestamp=1675958400000, transactions=985, otc=None)
Agg(open=22.12, high=22.255, low=21.98, close=22.07, volume=66736, vwap=22.1496, timestamp=1675962000000, transactions=813, otc=None)
Agg(open=22.085, high=22.14, low=22.03, close=22.04, volume=69245, vwap=22.0874, timestamp=1675965600000, transactions=912, otc=None)
Agg(open=22.03, high=22.115, low=22, close=22.03, volume=87152, vwap=22.065, timestamp=1675969200000, transactions=1305, otc=None)
Agg(open=22.035, high=22.1, low=21.925, close=22.05, volume=210367, vwap=22.022, timestamp=1675972800000, transactions=3089, otc=None)
Agg(open=22.04, high=22.47, low=22.04, close=22.47, volume=27168, vwap=22.0436, timestamp=1675976400000, transactions=25, otc=None)
Agg(open=21.8, high=22.07, low=21.65, close=21.87, volume=125477, vwap=21.8548, timestamp=1676037600000, transactions=1226, otc=None)
Agg(open=21.85, high=21.875, low=21.65, close=21.66, volume=116131, vwap=21.7836, timestamp=1676041200000, transactions=1848, otc=None)
Agg(open=21.655, high=21.74, low=21.59, close=21.62, volume=71401, vwap=21.6667, timestamp=1676044800000, transactions=1502, otc=None)
Agg(open=21.6125, high=21.73, low=21.52, close=21.73, volume=74145, vwap=21.6048, timestamp=1676048400000, transactions=1314, otc=None)
Agg(open=21.75, high=21.77, low=21.655, close=21.7, volume=67680, vwap=21.7089, timestamp=1676052000000, transactions=1153, otc=None)
Agg(open=21.7, high=21.77, low=21.675, close=21.73, volume=105174, vwap=21.7084, timestamp=1676055600000, transactions=1602, otc=None)
Agg(open=21.73, high=21.85, low=21.695, close=21.75, volume=283280, vwap=21.7666, timestamp=1676059200000, transactions=3790, otc=None)
Agg(open=21.75, high=21.75, low=21.75, close=21.75, volume=31940, vwap=21.75, timestamp=1676062800000, transactions=24, otc=None)
