Agg(open=14.12, high=14.24, low=14.08, close=14.18, volume=88105, vwap=14.16, timestamp=1697461200000, transactions=969, otc=None)
Agg(open=14.17, high=14.23, low=14.115, close=14.22, volume=254572, vwap=14.1893, timestamp=1697464800000, transactions=3045, otc=None)
Agg(open=14.22, high=14.275, low=14.17, close=14.19, volume=239510, vwap=14.225, timestamp=1697468400000, transactions=2618, otc=None)
Agg(open=14.2, high=14.26, low=14.15, close=14.2, volume=183480, vwap=14.2069, timestamp=1697472000000, transactions=2265, otc=None)
Agg(open=14.205, high=14.225, low=14.13, close=14.17, volume=151140, vwap=14.1756, timestamp=1697475600000, transactions=2075, otc=None)
Agg(open=14.165, high=14.21, low=14.15, close=14.1775, volume=357319, vwap=14.1748, timestamp=1697479200000, transactions=2762, otc=None)
Agg(open=14.175, high=14.3, low=14.15, close=14.225, volume=735056, vwap=14.2448, timestamp=1697482800000, transactions=5680, otc=None)
Agg(open=14.24, high=14.24, low=14.24, close=14.24, volume=86443, vwap=14.24, timestamp=1697486400000, transactions=35, otc=None)
Agg(open=14.11, high=14.33, low=14, close=14.33, volume=200938, vwap=14.225, timestamp=1697547600000, transactions=1879, otc=None)
Agg(open=14.335, high=14.495, low=14.32, close=14.495, volume=189071, vwap=14.3993, timestamp=1697551200000, transactions=2293, otc=None)
Agg(open=14.495, high=14.705, low=14.49, close=14.68, volume=191651, vwap=14.5868, timestamp=1697554800000, transactions=2741, otc=None)
Agg(open=14.675, high=14.74, low=14.65, close=14.66, volume=259670, vwap=14.6921, timestamp=1697558400000, transactions=3174, otc=None)
Agg(open=14.655, high=14.7, low=14.605, close=14.63, volume=191879, vwap=14.6439, timestamp=1697562000000, transactions=2210, otc=None)
Agg(open=14.625, high=14.69, low=14.55, close=14.56, volume=175727, vwap=14.6167, timestamp=1697565600000, transactions=2275, otc=None)
Agg(open=14.565, high=14.64, low=14.55, close=14.64, volume=477408, vwap=14.6094, timestamp=1697569200000, transactions=4038, otc=None)
Agg(open=14.61, high=14.61, low=14.61, close=14.61, volume=112015, vwap=14.6098, timestamp=1697572800000, transactions=26, otc=None)
Agg(open=14.46, high=14.56, low=14.37, close=14.44, volume=154244, vwap=14.4643, timestamp=1697634000000, transactions=1683, otc=None)
Agg(open=14.45, high=14.56, low=14.43, close=14.465, volume=265800, vwap=14.496, timestamp=1697637600000, transactions=3055, otc=None)
Agg(open=14.46, high=14.51, low=14.37, close=14.42, volume=284804, vwap=14.4571, timestamp=1697641200000, transactions=3290, otc=None)
Agg(open=14.425, high=14.49, low=14.4, close=14.475, volume=109427, vwap=14.4497, timestamp=1697644800000, transactions=1621, otc=None)
Agg(open=14.475, high=14.575, low=14.46, close=14.575, volume=124070, vwap=14.5247, timestamp=1697648400000, transactions=1572, otc=None)
Agg(open=14.57, high=14.6011, low=14.475, close=14.495, volume=184072, vwap=14.5429, timestamp=1697652000000, transactions=2098, otc=None)
Agg(open=14.49, high=14.51, low=14.445, close=14.505, volume=565028, vwap=14.4823, timestamp=1697655600000, transactions=4931, otc=None)
Agg(open=14.51, high=14.51, low=14.51, close=14.51, volume=84985, vwap=14.51, timestamp=1697659200000, transactions=20, otc=None)
Agg(open=14.44, high=14.612, low=14.41, close=14.54, volume=118368, vwap=14.5121, timestamp=1697720400000, transactions=1343, otc=None)
Agg(open=14.54, high=14.635, low=14.52, close=14.565, volume=135435, vwap=14.5718, timestamp=1697724000000, transactions=2180, otc=None)
Agg(open=14.565, high=14.69, low=14.565, close=14.66, volume=128580, vwap=14.6255, timestamp=1697727600000, transactions=1936, otc=None)
Agg(open=14.65, high=14.82, low=14.605, close=14.67, volume=159595, vwap=14.6997, timestamp=1697731200000, transactions=2482, otc=None)
Agg(open=14.67, high=14.765, low=14.63, close=14.66, volume=178862, vwap=14.6912, timestamp=1697734800000, transactions=2734, otc=None)
Agg(open=14.665, high=14.685, low=14.5, close=14.515, volume=136576, vwap=14.5908, timestamp=1697738400000, transactions=1937, otc=None)
Agg(open=14.51, high=14.515, low=14.4, close=14.42, volume=493164, vwap=14.4411, timestamp=1697742000000, transactions=4466, otc=None)
Agg(open=14.42, high=14.44, low=14.42, close=14.44, volume=51419, vwap=14.4202, timestamp=1697745600000, transactions=36, otc=None)
Agg(open=14.44, high=14.44, low=14.1, close=14.17, volume=224751, vwap=14.3291, timestamp=1697806800000, transactions=1508, otc=None)
Agg(open=14.17, high=14.17, low=13.935, close=14.13, volume=205343, vwap=14.0454, timestamp=1697810400000, transactions=3270, otc=None)
Agg(open=14.13, high=14.145, low=13.95, close=14.04, volume=617591, vwap=14.0086, timestamp=1697814000000, transactions=5041, otc=None)
Agg(open=14.035, high=14.055, low=13.97, close=14.04, volume=277044, vwap=14.0208, timestamp=1697817600000, transactions=3568, otc=None)
Agg(open=14.04, high=14.07, low=13.97, close=14.005, volume=234232, vwap=14.0259, timestamp=1697821200000, transactions=3272, otc=None)
Agg(open=14.01, high=14.015, low=13.9, close=13.915, volume=151974, vwap=13.9383, timestamp=1697824800000, transactions=2565, otc=None)
Agg(open=13.915, high=13.955, low=13.84, close=13.88, volume=445167, vwap=13.8843, timestamp=1697828400000, transactions=4655, otc=None)
Agg(open=13.88, high=13.88, low=13.88, close=13.88, volume=52850, vwap=13.88, timestamp=1697832000000, transactions=28, otc=None)
