Agg(open=1.62, high=1.62, low=1.59, close=1.62, volume=4259, vwap=1.6026, timestamp=1674464400000, transactions=33, otc=None)
Agg(open=1.62, high=1.62, low=1.59, close=1.62, volume=14005, vwap=1.6183, timestamp=1674468000000, transactions=39, otc=None)
Agg(open=1.62, high=1.63, low=1.6, close=1.62, volume=3294, vwap=1.6112, timestamp=1674471600000, transactions=34, otc=None)
Agg(open=1.61, high=1.62, low=1.61, close=1.62, volume=15527, vwap=1.6179, timestamp=1674475200000, transactions=39, otc=None)
Agg(open=1.62, high=1.6285, low=1.61, close=1.6101, volume=55778, vwap=1.6185, timestamp=1674478800000, transactions=135, otc=None)
Agg(open=1.62, high=1.75, low=1.6, close=1.74, volume=2319426.0, vwap=1.6895, timestamp=1674482400000, transactions=4228, otc=None)
Agg(open=1.735, high=1.77, low=1.6922, close=1.7269, volume=5758541.0, vwap=1.736, timestamp=1674486000000, transactions=7540, otc=None)
Agg(open=1.725, high=1.77, low=1.69, close=1.72, volume=3145071.0, vwap=1.7299, timestamp=1674489600000, transactions=4433, otc=None)
Agg(open=1.718, high=1.72, low=1.67, close=1.685, volume=1552015.0, vwap=1.6898, timestamp=1674493200000, transactions=3041, otc=None)
Agg(open=1.6884, high=1.71, low=1.67, close=1.695, volume=1568298.0, vwap=1.6872, timestamp=1674496800000, transactions=3673, otc=None)
Agg(open=1.7, high=1.73, low=1.68, close=1.695, volume=1803124.0, vwap=1.7027, timestamp=1674500400000, transactions=3137, otc=None)
Agg(open=1.6986, high=1.74, low=1.68, close=1.74, volume=5654031.0, vwap=1.7114, timestamp=1674504000000, transactions=9476, otc=None)
Agg(open=1.74, high=1.75, low=1.73, close=1.73, volume=1111914.0, vwap=1.74, timestamp=1674507600000, transactions=71, otc=None)
Agg(open=1.74, high=1.74, low=1.7224, close=1.73, volume=11483, vwap=1.7354, timestamp=1674511200000, transactions=32, otc=None)
Agg(open=1.72, high=1.74, low=1.72, close=1.73, volume=9054, vwap=1.7232, timestamp=1674514800000, transactions=30, otc=None)
Agg(open=1.73, high=1.75, low=1.73, close=1.74, volume=18481, vwap=1.7378, timestamp=1674518400000, transactions=32, otc=None)
Agg(open=1.7, high=1.73, low=1.7, close=1.71, volume=2180, vwap=1.7107, timestamp=1674550800000, transactions=20, otc=None)
Agg(open=1.72, high=1.72, low=1.69, close=1.71, volume=10411, vwap=1.6997, timestamp=1674554400000, transactions=21, otc=None)
Agg(open=1.71, high=1.71, low=1.66, close=1.66, volume=6509, vwap=1.6862, timestamp=1674558000000, transactions=38, otc=None)
Agg(open=1.67, high=1.7, low=1.66, close=1.7, volume=11146, vwap=1.6785, timestamp=1674561600000, transactions=56, otc=None)
Agg(open=1.67, high=1.77, low=1.67, close=1.69, volume=119368, vwap=1.6957, timestamp=1674565200000, transactions=233, otc=None)
Agg(open=1.7, high=1.86, low=1.69, close=1.815, volume=3161813.0, vwap=1.8043, timestamp=1674568800000, transactions=4793, otc=None)
Agg(open=1.815, high=1.83, low=1.73, close=1.805, volume=4498612.0, vwap=1.7827, timestamp=1674572400000, transactions=6384, otc=None)
Agg(open=1.805, high=1.84, low=1.7501, close=1.755, volume=2996002.0, vwap=1.8057, timestamp=1674576000000, transactions=4382, otc=None)
Agg(open=1.755, high=1.795, low=1.74, close=1.755, volume=1793769.0, vwap=1.7689, timestamp=1674579600000, transactions=2998, otc=None)
Agg(open=1.756, high=1.77, low=1.72, close=1.73, volume=1885204.0, vwap=1.7383, timestamp=1674583200000, transactions=2381, otc=None)
Agg(open=1.7377, high=1.74, low=1.7, close=1.7085, volume=1919837.0, vwap=1.7217, timestamp=1674586800000, transactions=2722, otc=None)
Agg(open=1.71, high=1.72, low=1.61, close=1.61, volume=6418860.0, vwap=1.6481, timestamp=1674590400000, transactions=8514, otc=None)
Agg(open=1.63, high=1.63, low=1.58, close=1.62, volume=302449, vwap=1.6013, timestamp=1674594000000, transactions=416, otc=None)
