Agg(open=16.01, high=16.01, low=16.01, close=16.01, volume=347, vwap=16.01, timestamp=1690804800000, transactions=1, otc=None)
Agg(open=15.32, high=15.4, low=15.2191, close=15.4, volume=94900, vwap=15.3354, timestamp=1690808400000, transactions=984, otc=None)
Agg(open=15.4, high=15.47, low=15.38, close=15.415, volume=88016, vwap=15.4284, timestamp=1690812000000, transactions=1560, otc=None)
Agg(open=15.42, high=15.42, low=15.305, close=15.35, volume=90635, vwap=15.3531, timestamp=1690815600000, transactions=1850, otc=None)
Agg(open=15.35, high=15.355, low=15.27, close=15.2775, volume=80537, vwap=15.3269, timestamp=1690819200000, transactions=1324, otc=None)
Agg(open=15.27, high=15.37, low=15.26, close=15.37, volume=59011, vwap=15.3088, timestamp=1690822800000, transactions=993, otc=None)
Agg(open=15.37, high=15.4, low=15.35, close=15.362, volume=59892, vwap=15.3683, timestamp=1690826400000, transactions=1102, otc=None)
Agg(open=15.37, high=15.47, low=15.34, close=15.46, volume=355880, vwap=15.4087, timestamp=1690830000000, transactions=3267, otc=None)
Agg(open=15.46, high=15.46, low=15.46, close=15.46, volume=46863, vwap=15.46, timestamp=1690833600000, transactions=38, otc=None)
Agg(open=15.48, high=15.51, low=15.36, close=15.43, volume=41600, vwap=15.4424, timestamp=1690894800000, transactions=731, otc=None)
Agg(open=15.43, high=15.45, low=15.12, close=15.21, volume=121989, vwap=15.2234, timestamp=1690898400000, transactions=2219, otc=None)
Agg(open=15.21, high=15.29, low=15.2, close=15.28, volume=58731, vwap=15.2407, timestamp=1690902000000, transactions=1322, otc=None)
Agg(open=15.28, high=15.33, low=15.245, close=15.33, volume=56297, vwap=15.2873, timestamp=1690905600000, transactions=1143, otc=None)
Agg(open=15.325, high=15.37, low=15.32, close=15.345, volume=76981, vwap=15.3388, timestamp=1690909200000, transactions=958, otc=None)
Agg(open=15.345, high=15.38, low=15.31, close=15.33, volume=76628, vwap=15.3463, timestamp=1690912800000, transactions=1489, otc=None)
Agg(open=15.325, high=15.45, low=15.315, close=15.43, volume=298920, vwap=15.3892, timestamp=1690916400000, transactions=3334, otc=None)
Agg(open=15.44, high=15.44, low=15.44, close=15.44, volume=378667, vwap=15.44, timestamp=1690920000000, transactions=22, otc=None)
Agg(open=15.19, high=15.24, low=14.81, close=14.86, volume=155990, vwap=14.9753, timestamp=1690981200000, transactions=1600, otc=None)
Agg(open=14.86, high=14.93, low=14.685, close=14.78, volume=516119, vwap=14.8095, timestamp=1690984800000, transactions=4275, otc=None)
Agg(open=14.78, high=14.85, low=14.74, close=14.755, volume=114421, vwap=14.7775, timestamp=1690988400000, transactions=1522, otc=None)
Agg(open=14.755, high=14.89, low=14.715, close=14.84, volume=198786, vwap=14.7568, timestamp=1690992000000, transactions=1580, otc=None)
Agg(open=14.85, high=14.88, low=14.825, close=14.855, volume=109070, vwap=14.8532, timestamp=1690995600000, transactions=1455, otc=None)
Agg(open=14.855, high=14.885, low=14.76, close=14.76, volume=86033, vwap=14.8285, timestamp=1690999200000, transactions=1401, otc=None)
Agg(open=14.765, high=14.815, low=14.75, close=14.77, volume=345973, vwap=14.7774, timestamp=1691002800000, transactions=3425, otc=None)
Agg(open=14.75, high=14.75, low=14.75, close=14.75, volume=29301, vwap=14.75, timestamp=1691006400000, transactions=22, otc=None)
Agg(open=14.6, high=14.6, low=14.6, close=14.6, volume=500, vwap=14.6, timestamp=1691056800000, transactions=3, otc=None)
Agg(open=14.6, high=14.6, low=14.5, close=14.5, volume=5592, vwap=14.5535, timestamp=1691060400000, transactions=39, otc=None)
Agg(open=14.49, high=14.5, low=14.49, close=14.5, volume=1208, vwap=14.4983, timestamp=1691064000000, transactions=6, otc=None)
Agg(open=14.48, high=14.49, low=13.93, close=14.22, volume=228313, vwap=14.1637, timestamp=1691067600000, transactions=1998, otc=None)
Agg(open=14.18, high=14.28, low=14.055, close=14.24, volume=414995, vwap=14.1784, timestamp=1691071200000, transactions=3257, otc=None)
Agg(open=14.24, high=14.27, low=14.2, close=14.235, volume=104444, vwap=14.2336, timestamp=1691074800000, transactions=1471, otc=None)
Agg(open=14.23, high=14.38, low=14.19, close=14.365, volume=270666, vwap=14.256, timestamp=1691078400000, transactions=2308, otc=None)
Agg(open=14.37, high=14.405, low=14.3, close=14.38, volume=123249, vwap=14.3513, timestamp=1691082000000, transactions=1656, otc=None)
Agg(open=14.3825, high=14.4475, low=14.37, close=14.4, volume=124428, vwap=14.4165, timestamp=1691085600000, transactions=1802, otc=None)
Agg(open=14.4, high=14.55, low=14.39, close=14.52, volume=977246, vwap=14.5007, timestamp=1691089200000, transactions=5676, otc=None)
Agg(open=14.51, high=14.51, low=13.56, close=13.56, volume=36254, vwap=14.4128, timestamp=1691092800000, transactions=51, otc=None)
Agg(open=13.51, high=13.6, low=13.5, close=13.55, volume=18703, vwap=13.5409, timestamp=1691096400000, transactions=13, otc=None)
Agg(open=13.6, high=13.6, low=13.5, close=13.5001, volume=9151, vwap=13.5028, timestamp=1691100000000, transactions=8, otc=None)
Agg(open=13.5, high=13.5, low=13.39, close=13.39, volume=3567, vwap=13.4891, timestamp=1691103600000, transactions=24, otc=None)
Agg(open=12.93, high=12.95, low=12.88, close=12.88, volume=2000, vwap=12.9298, timestamp=1691136000000, transactions=4, otc=None)
Agg(open=12.7, high=12.7, low=12.2, close=12.3, volume=8547, vwap=12.3995, timestamp=1691146800000, transactions=70, otc=None)
Agg(open=13.2, high=13.2, low=11.75, close=11.79, volume=23923, vwap=12.313, timestamp=1691150400000, transactions=178, otc=None)
Agg(open=11.88, high=12.53, low=11.54, close=12.345, volume=1533529.0, vwap=12.0271, timestamp=1691154000000, transactions=8176, otc=None)
Agg(open=12.34, high=12.4575, low=11.9101, close=12.285, volume=1936577.0, vwap=12.2386, timestamp=1691157600000, transactions=13390, otc=None)
Agg(open=12.285, high=12.365, low=12.03, close=12.06, volume=898000, vwap=12.1596, timestamp=1691161200000, transactions=6095, otc=None)
Agg(open=12.055, high=12.11, low=11.92, close=12.025, volume=533908, vwap=12.011, timestamp=1691164800000, transactions=4939, otc=None)
Agg(open=12.02, high=12.09, low=11.905, close=12.05, volume=1532867.0, vwap=11.9883, timestamp=1691168400000, transactions=7047, otc=None)
Agg(open=12.0401, high=12.23, low=12, close=12.015, volume=840290, vwap=12.0771, timestamp=1691172000000, transactions=6505, otc=None)
Agg(open=12.0193, high=12.19, low=11.975, close=12.14, volume=1514709.0, vwap=12.0974, timestamp=1691175600000, transactions=9571, otc=None)
Agg(open=12.14, high=12.14, low=12.14, close=12.14, volume=696, vwap=12.14, timestamp=1691179200000, transactions=3, otc=None)
Agg(open=12.63, high=12.63, low=12.63, close=12.63, volume=100, vwap=12.63, timestamp=1691182800000, transactions=1, otc=None)
Agg(open=12.59, high=12.59, low=12.45, close=12.5, volume=2809, vwap=12.5097, timestamp=1691186400000, transactions=10, otc=None)
Agg(open=12.51, high=12.58, low=12.5, close=12.5001, volume=7824, vwap=12.5585, timestamp=1691190000000, transactions=11, otc=None)
