Agg(open=10.52, high=10.52, low=10.2, close=10.2, volume=2169, vwap=10.416, timestamp=1678701600000, transactions=15, otc=None)
Agg(open=10.37, high=10.46, low=10.28, close=10.28, volume=13067, vwap=10.3163, timestamp=1678705200000, transactions=45, otc=None)
Agg(open=10.12, high=10.3, low=9.6438, close=10, volume=59716, vwap=10.0845, timestamp=1678708800000, transactions=149, otc=None)
Agg(open=10, high=10.285, low=9.5, close=10.2101, volume=1559555.0, vwap=10.0546, timestamp=1678712400000, transactions=8537, otc=None)
Agg(open=10.215, high=10.34, low=9.9, close=10.245, volume=1900248.0, vwap=10.1225, timestamp=1678716000000, transactions=13850, otc=None)
Agg(open=10.24, high=10.49, low=10.18, close=10.46, volume=1200891.0, vwap=10.3337, timestamp=1678719600000, transactions=9645, otc=None)
Agg(open=10.465, high=10.555, low=10.155, close=10.18, volume=947424, vwap=10.3698, timestamp=1678723200000, transactions=7307, otc=None)
Agg(open=10.19, high=10.27, low=10.135, close=10.25, volume=672084, vwap=10.2154, timestamp=1678726800000, transactions=6197, otc=None)
Agg(open=10.255, high=10.385, low=10.24, close=10.315, volume=600281, vwap=10.2888, timestamp=1678730400000, transactions=5803, otc=None)
Agg(open=10.315, high=10.33, low=10.08, close=10.12, volume=1627247.0, vwap=10.1592, timestamp=1678734000000, transactions=10533, otc=None)
Agg(open=10.13, high=10.13, low=10.1, close=10.1, volume=1878, vwap=10.1076, timestamp=1678737600000, transactions=9, otc=None)
Agg(open=10.1, high=10.1, low=10.1, close=10.1, volume=2223, vwap=10.1, timestamp=1678741200000, transactions=9, otc=None)
Agg(open=10.3, high=10.3, low=10.3, close=10.3, volume=2250, vwap=10.3, timestamp=1678744800000, transactions=1, otc=None)
Agg(open=10.3, high=10.3, low=10.3, close=10.3, volume=300, vwap=10.3, timestamp=1678748400000, transactions=1, otc=None)
Agg(open=10.28, high=10.3, low=10.28, close=10.3, volume=590, vwap=10.2898, timestamp=1678791600000, transactions=3, otc=None)
Agg(open=10.3, high=10.4, low=10.3, close=10.4, volume=3882, vwap=10.3627, timestamp=1678795200000, transactions=7, otc=None)
Agg(open=10.78, high=10.96, low=10.37, close=10.43, volume=371731, vwap=10.4921, timestamp=1678798800000, transactions=2650, otc=None)
Agg(open=10.42, high=10.455, low=10.225, close=10.385, volume=582513, vwap=10.3784, timestamp=1678802400000, transactions=4329, otc=None)
Agg(open=10.39, high=10.5399, low=10.385, close=10.435, volume=445072, vwap=10.457, timestamp=1678806000000, transactions=3339, otc=None)
Agg(open=10.435, high=10.46, low=10.31, close=10.32, volume=324300, vwap=10.3783, timestamp=1678809600000, transactions=2899, otc=None)
Agg(open=10.31, high=10.3152, low=10.19, close=10.27, volume=381597, vwap=10.2478, timestamp=1678813200000, transactions=3157, otc=None)
Agg(open=10.275, high=10.29, low=10.18, close=10.265, volume=418170, vwap=10.2498, timestamp=1678816800000, transactions=3091, otc=None)
Agg(open=10.27, high=10.3, low=10.175, close=10.27, volume=1362616.0, vwap=10.2295, timestamp=1678820400000, transactions=7906, otc=None)
Agg(open=10.28, high=10.28, low=10.28, close=10.28, volume=18257, vwap=10.28, timestamp=1678824000000, transactions=9, otc=None)
Agg(open=10.48, high=10.48, low=10.48, close=10.48, volume=637, vwap=10.4801, timestamp=1678831200000, transactions=3, otc=None)
Agg(open=10.28, high=10.28, low=10.28, close=10.28, volume=973, vwap=10.28, timestamp=1678870800000, transactions=1, otc=None)
Agg(open=10.28, high=10.28, low=10.11, close=10.11, volume=6186, vwap=10.2342, timestamp=1678874400000, transactions=21, otc=None)
Agg(open=10.15, high=10.15, low=10.15, close=10.15, volume=101, vwap=10.1502, timestamp=1678878000000, transactions=2, otc=None)
Agg(open=10, high=10, low=10, close=10, volume=186, vwap=10.0022, timestamp=1678881600000, transactions=6, otc=None)
Agg(open=10, high=10.1593, low=9.955, close=10.05, volume=437180, vwap=10.0463, timestamp=1678885200000, transactions=2480, otc=None)
Agg(open=10.04, high=10.225, low=10.025, close=10.15, volume=554466, vwap=10.1135, timestamp=1678888800000, transactions=4739, otc=None)
Agg(open=10.15, high=10.15, low=10.045, close=10.045, volume=531930, vwap=10.1012, timestamp=1678892400000, transactions=4050, otc=None)
Agg(open=10.045, high=10.09, low=9.96, close=9.975, volume=533644, vwap=10.0137, timestamp=1678896000000, transactions=3632, otc=None)
Agg(open=9.975, high=10.02, low=9.935, close=10.01, volume=422579, vwap=9.9718, timestamp=1678899600000, transactions=2929, otc=None)
Agg(open=10.01, high=10.14, low=9.95, close=10.115, volume=410159, vwap=10.056, timestamp=1678903200000, transactions=3535, otc=None)
Agg(open=10.12, high=10.135, low=10.035, close=10.13, volume=784477, vwap=10.0844, timestamp=1678906800000, transactions=6085, otc=None)
Agg(open=10.12, high=10.12, low=10.12, close=10.12, volume=103563, vwap=10.12, timestamp=1678910400000, transactions=18, otc=None)
Agg(open=10.27, high=10.27, low=10.27, close=10.27, volume=240, vwap=10.27, timestamp=1678917600000, transactions=1, otc=None)
Agg(open=10, high=10, low=10, close=10, volume=120, vwap=10, timestamp=1678953600000, transactions=1, otc=None)
Agg(open=9.9, high=10.2, low=9.89, close=10.085, volume=334565, vwap=10.0835, timestamp=1678971600000, transactions=3161, otc=None)
Agg(open=10.08, high=10.255, low=9.925, close=10.21, volume=778178, vwap=10.0768, timestamp=1678975200000, transactions=5610, otc=None)
Agg(open=10.215, high=10.375, low=10.175, close=10.32, volume=492406, vwap=10.2575, timestamp=1678978800000, transactions=3857, otc=None)
Agg(open=10.325, high=10.425, low=10.26, close=10.425, volume=288652, vwap=10.318, timestamp=1678982400000, transactions=2586, otc=None)
Agg(open=10.43, high=10.485, low=10.385, close=10.44, volume=554954, vwap=10.4335, timestamp=1678986000000, transactions=3983, otc=None)
Agg(open=10.435, high=10.46, low=10.395, close=10.445, volume=630711, vwap=10.434, timestamp=1678989600000, transactions=4399, otc=None)
Agg(open=10.445, high=10.57, low=10.4225, close=10.45, volume=1482674.0, vwap=10.4769, timestamp=1678993200000, transactions=10006, otc=None)
Agg(open=10.45, high=10.6, low=10.45, close=10.6, volume=74894, vwap=10.4512, timestamp=1678996800000, transactions=20, otc=None)
Agg(open=10.448, high=10.448, low=10.448, close=10.448, volume=41223, vwap=10.448, timestamp=1679000400000, transactions=1, otc=None)
Agg(open=10.32, high=10.45, low=10.23, close=10.26, volume=272094, vwap=10.3095, timestamp=1679058000000, transactions=2262, otc=None)
Agg(open=10.26, high=10.345, low=10.015, close=10.055, volume=586986, vwap=10.1974, timestamp=1679061600000, transactions=4802, otc=None)
Agg(open=10.05, high=10.095, low=9.97, close=10.015, volume=312929, vwap=10.0332, timestamp=1679065200000, transactions=2664, otc=None)
Agg(open=10.02, high=10.14, low=10.02, close=10.065, volume=242252, vwap=10.0686, timestamp=1679068800000, transactions=2570, otc=None)
Agg(open=10.065, high=10.24, low=10.055, close=10.235, volume=389519, vwap=10.1573, timestamp=1679072400000, transactions=3030, otc=None)
Agg(open=10.24, high=10.25, low=10.16, close=10.2, volume=253305, vwap=10.1893, timestamp=1679076000000, transactions=2609, otc=None)
Agg(open=10.2, high=10.3, low=10.19, close=10.23, volume=1146234.0, vwap=10.2471, timestamp=1679079600000, transactions=8152, otc=None)
Agg(open=10.23, high=10.24, low=10.23, close=10.24, volume=195168, vwap=10.2294, timestamp=1679083200000, transactions=27, otc=None)
