Agg(open=18.7, high=18.82, low=18.45, close=18.45, volume=6727, vwap=18.689, timestamp=1673956800000, transactions=42, otc=None)
Agg(open=18.62, high=18.7643, low=18.31, close=18.75, volume=6252, vwap=18.6223, timestamp=1673960400000, transactions=44, otc=None)
Agg(open=18.67, high=18.73, low=18.33, close=18.47, volume=592811, vwap=18.4829, timestamp=1673964000000, transactions=5292, otc=None)
Agg(open=18.48, high=18.63, low=18.4, close=18.535, volume=460875, vwap=18.5267, timestamp=1673967600000, transactions=4462, otc=None)
Agg(open=18.535, high=18.665, low=18.45, close=18.665, volume=298256, vwap=18.5691, timestamp=1673971200000, transactions=2776, otc=None)
Agg(open=18.665, high=18.665, low=18.525, close=18.57, volume=231219, vwap=18.5886, timestamp=1673974800000, transactions=2409, otc=None)
Agg(open=18.575, high=18.595, low=18.43, close=18.45, volume=231965, vwap=18.5064, timestamp=1673978400000, transactions=1985, otc=None)
Agg(open=18.455, high=18.455, low=18.2707, close=18.355, volume=257350, vwap=18.3489, timestamp=1673982000000, transactions=2541, otc=None)
Agg(open=18.355, high=18.42, low=18.305, close=18.4, volume=766660, vwap=18.3878, timestamp=1673985600000, transactions=5762, otc=None)
Agg(open=18.39, high=18.39, low=18.39, close=18.39, volume=62678, vwap=18.39, timestamp=1673989200000, transactions=10, otc=None)
Agg(open=18.28, high=18.4267, low=18.28, close=18.42, volume=3499, vwap=18.4119, timestamp=1673992800000, transactions=13, otc=None)
Agg(open=18.43, high=18.45, low=18.43, close=18.45, volume=1800, vwap=18.4456, timestamp=1673996400000, transactions=5, otc=None)
Agg(open=18.54, high=18.54, low=18.54, close=18.54, volume=385, vwap=18.54, timestamp=1674043200000, transactions=2, otc=None)
Agg(open=18.59, high=18.74, low=18.59, close=18.69, volume=6040, vwap=18.6734, timestamp=1674046800000, transactions=21, otc=None)
Agg(open=18.65, high=19.2, low=18.56, close=18.7831, volume=828810, vwap=18.9297, timestamp=1674050400000, transactions=5169, otc=None)
Agg(open=18.78, high=18.81, low=18.64, close=18.695, volume=427985, vwap=18.7117, timestamp=1674054000000, transactions=3406, otc=None)
Agg(open=18.695, high=18.72, low=18.5087, close=18.57, volume=592680, vwap=18.6116, timestamp=1674057600000, transactions=4168, otc=None)
Agg(open=18.57, high=18.575, low=18.24, close=18.32, volume=291387, vwap=18.3557, timestamp=1674061200000, transactions=2167, otc=None)
Agg(open=18.33, high=18.41, low=18.29, close=18.3095, volume=254835, vwap=18.3605, timestamp=1674064800000, transactions=1939, otc=None)
Agg(open=18.3, high=18.36, low=18.21, close=18.325, volume=238385, vwap=18.2822, timestamp=1674068400000, transactions=2020, otc=None)
Agg(open=18.32, high=18.32, low=18.1342, close=18.17, volume=616921, vwap=18.163, timestamp=1674072000000, transactions=5153, otc=None)
Agg(open=18.17, high=18.17, low=18.17, close=18.17, volume=57528, vwap=18.17, timestamp=1674075600000, transactions=11, otc=None)
Agg(open=18.35, high=18.35, low=18.23, close=18.23, volume=880, vwap=18.2816, timestamp=1674082800000, transactions=8, otc=None)
Agg(open=18.17, high=18.17, low=18.17, close=18.17, volume=200, vwap=18.17, timestamp=1674086400000, transactions=1, otc=None)
Agg(open=18.24, high=18.24, low=18.24, close=18.24, volume=300, vwap=18.24, timestamp=1674118800000, transactions=2, otc=None)
Agg(open=18.22, high=18.22, low=18.22, close=18.22, volume=400, vwap=18.22, timestamp=1674122400000, transactions=2, otc=None)
Agg(open=18.18, high=18.18, low=18.15, close=18.16, volume=1070, vwap=18.1613, timestamp=1674126000000, transactions=5, otc=None)
Agg(open=18.17, high=18.18, low=18.17, close=18.18, volume=500, vwap=18.178, timestamp=1674129600000, transactions=3, otc=None)
Agg(open=18.16, high=18.21, low=18.06, close=18.18, volume=4122, vwap=18.1465, timestamp=1674133200000, transactions=33, otc=None)
Agg(open=18.2, high=18.31, low=18.07, close=18.2, volume=314399, vwap=18.1943, timestamp=1674136800000, transactions=2862, otc=None)
Agg(open=18.19, high=18.465, low=18.145, close=18.27, volume=563915, vwap=18.3179, timestamp=1674140400000, transactions=5150, otc=None)
Agg(open=18.275, high=18.38, low=18.23, close=18.3272, volume=355622, vwap=18.3095, timestamp=1674144000000, transactions=3370, otc=None)
Agg(open=18.33, high=18.52, low=18.31, close=18.39, volume=308592, vwap=18.3963, timestamp=1674147600000, transactions=3317, otc=None)
Agg(open=18.39, high=18.51, low=18.35, close=18.485, volume=524026, vwap=18.3983, timestamp=1674151200000, transactions=3064, otc=None)
Agg(open=18.49, high=18.67, low=18.445, close=18.63, volume=384456, vwap=18.5756, timestamp=1674154800000, transactions=3561, otc=None)
Agg(open=18.62, high=18.71, low=18.58, close=18.58, volume=646613, vwap=18.6282, timestamp=1674158400000, transactions=6341, otc=None)
Agg(open=18.59, high=18.67, low=18.56, close=18.59, volume=58542, vwap=18.6117, timestamp=1674162000000, transactions=17, otc=None)
Agg(open=18.43, high=18.64, low=18.43, close=18.64, volume=605, vwap=18.6037, timestamp=1674172800000, transactions=4, otc=None)
Agg(open=18.738, high=18.738, low=18.5, close=18.51, volume=2871, vwap=18.5625, timestamp=1674219600000, transactions=20, otc=None)
