Agg(open=16, high=16, low=15.92, close=15.92, volume=5784, vwap=15.9784, timestamp=1689591600000, transactions=16, otc=None)
Agg(open=15.9999, high=15.9999, low=15.78, close=15.81, volume=10517, vwap=15.9341, timestamp=1689595200000, transactions=25, otc=None)
Agg(open=15.79, high=15.88, low=15.621, close=15.875, volume=369379, vwap=15.7298, timestamp=1689598800000, transactions=2371, otc=None)
Agg(open=15.875, high=16.1, low=15.84, close=16.055, volume=462654, vwap=15.9708, timestamp=1689602400000, transactions=3639, otc=None)
Agg(open=16.055, high=16.089, low=15.915, close=16.07, volume=374448, vwap=16.025, timestamp=1689606000000, transactions=3341, otc=None)
Agg(open=16.069, high=16.11, low=16.025, close=16.095, volume=195618, vwap=16.0668, timestamp=1689609600000, transactions=2237, otc=None)
Agg(open=16.095, high=16.105, low=16.039, close=16.075, volume=205108, vwap=16.0738, timestamp=1689613200000, transactions=2141, otc=None)
Agg(open=16.07, high=16.1175, low=16.07, close=16.105, volume=201111, vwap=16.0921, timestamp=1689616800000, transactions=2275, otc=None)
Agg(open=16.1, high=16.14, low=16.07, close=16.09, volume=702648, vwap=16.1066, timestamp=1689620400000, transactions=5205, otc=None)
Agg(open=16.09, high=16.15, low=15.6, close=16.15, volume=82593, vwap=16.0874, timestamp=1689624000000, transactions=12, otc=None)
Agg(open=16.13, high=16.13, low=15.99, close=16.02, volume=1327, vwap=16.0541, timestamp=1689627600000, transactions=4, otc=None)
Agg(open=16.13, high=16.13, low=16.13, close=16.13, volume=200, vwap=16.13, timestamp=1689631200000, transactions=1, otc=None)
Agg(open=16.13, high=16.13, low=16.13, close=16.13, volume=170, vwap=16.13, timestamp=1689670800000, transactions=2, otc=None)
Agg(open=16.15, high=16.15, low=16.13, close=16.13, volume=835, vwap=16.1452, timestamp=1689678000000, transactions=2, otc=None)
Agg(open=16.2, high=16.26, low=16.17, close=16.17, volume=16953, vwap=16.2495, timestamp=1689681600000, transactions=20, otc=None)
Agg(open=16.2785, high=16.48, low=16.1, close=16.43, volume=588529, vwap=16.3414, timestamp=1689685200000, transactions=3955, otc=None)
Agg(open=16.435, high=16.64, low=16.42, close=16.6, volume=701312, vwap=16.5629, timestamp=1689688800000, transactions=5832, otc=None)
Agg(open=16.6, high=16.69, low=16.5601, close=16.62, volume=455238, vwap=16.6188, timestamp=1689692400000, transactions=4054, otc=None)
Agg(open=16.61, high=16.62, low=16.52, close=16.57, volume=358991, vwap=16.5726, timestamp=1689696000000, transactions=3513, otc=None)
Agg(open=16.57, high=16.57, low=16.33, close=16.4, volume=419249, vwap=16.435, timestamp=1689699600000, transactions=3378, otc=None)
Agg(open=16.39, high=16.55, low=16.38, close=16.54, volume=303881, vwap=16.4766, timestamp=1689703200000, transactions=3301, otc=None)
Agg(open=16.535, high=16.56, low=16.495, close=16.53, volume=733754, vwap=16.5283, timestamp=1689706800000, transactions=6147, otc=None)
Agg(open=16.53, high=16.54, low=16.39, close=16.39, volume=27341, vwap=16.5295, timestamp=1689710400000, transactions=16, otc=None)
Agg(open=16.67, high=16.67, low=16.6682, close=16.6682, volume=720, vwap=16.6676, timestamp=1689717600000, transactions=3, otc=None)
Agg(open=16.47, high=16.47, low=16.47, close=16.47, volume=200, vwap=16.47, timestamp=1689764400000, transactions=2, otc=None)
Agg(open=16.4, high=16.53, low=16.39, close=16.53, volume=14138, vwap=16.5118, timestamp=1689768000000, transactions=20, otc=None)
Agg(open=16.53, high=16.6706, low=16.47, close=16.62, volume=423697, vwap=16.6069, timestamp=1689771600000, transactions=3019, otc=None)
Agg(open=16.62, high=16.76, low=16.57, close=16.75, volume=597897, vwap=16.6556, timestamp=1689775200000, transactions=4914, otc=None)
Agg(open=16.75, high=16.81, low=16.6497, close=16.6701, volume=370065, vwap=16.7264, timestamp=1689778800000, transactions=3603, otc=None)
Agg(open=16.68, high=16.74, low=16.6, close=16.7, volume=281902, vwap=16.6542, timestamp=1689782400000, transactions=2789, otc=None)
Agg(open=16.71, high=16.755, low=16.6915, close=16.72, volume=311227, vwap=16.7282, timestamp=1689786000000, transactions=2890, otc=None)
Agg(open=16.72, high=16.76, low=16.68, close=16.755, volume=365616, vwap=16.7169, timestamp=1689789600000, transactions=3285, otc=None)
Agg(open=16.755, high=16.87, low=16.755, close=16.85, volume=1109138.0, vwap=16.8296, timestamp=1689793200000, transactions=7769, otc=None)
Agg(open=16.84, high=16.84, low=16.6611, close=16.6611, volume=38606, vwap=16.8326, timestamp=1689796800000, transactions=18, otc=None)
Agg(open=16.68, high=16.8, low=16.68, close=16.8, volume=447, vwap=16.7597, timestamp=1689800400000, transactions=2, otc=None)
Agg(open=16.66, high=16.66, low=16.66, close=16.66, volume=450, vwap=16.66, timestamp=1689807600000, transactions=2, otc=None)
Agg(open=16.86, high=16.86, low=16.86, close=16.86, volume=500, vwap=16.86, timestamp=1689843600000, transactions=3, otc=None)
Agg(open=16.88, high=16.89, low=16.88, close=16.89, volume=520, vwap=16.8839, timestamp=1689847200000, transactions=5, otc=None)
Agg(open=16.82, high=16.85, low=16.8, close=16.8, volume=2796, vwap=16.8128, timestamp=1689850800000, transactions=25, otc=None)
Agg(open=16.8001, high=16.88, low=16.67, close=16.69, volume=3733, vwap=16.7476, timestamp=1689854400000, transactions=21, otc=None)
Agg(open=16.8, high=16.89, low=16.63, close=16.695, volume=377641, vwap=16.7556, timestamp=1689858000000, transactions=3091, otc=None)
Agg(open=16.7, high=16.805, low=16.445, close=16.48, volume=750028, vwap=16.6378, timestamp=1689861600000, transactions=6411, otc=None)
Agg(open=16.49, high=16.5, low=16.375, close=16.41, volume=272978, vwap=16.4539, timestamp=1689865200000, transactions=2606, otc=None)
Agg(open=16.41, high=16.45, low=16.345, close=16.445, volume=264911, vwap=16.3952, timestamp=1689868800000, transactions=2328, otc=None)
Agg(open=16.45, high=16.46, low=16.375, close=16.38, volume=142939, vwap=16.4237, timestamp=1689872400000, transactions=1652, otc=None)
Agg(open=16.38, high=16.39, low=16.3, close=16.34, volume=172840, vwap=16.3404, timestamp=1689876000000, transactions=1711, otc=None)
Agg(open=16.34, high=16.38, low=16.21, close=16.22, volume=686961, vwap=16.289, timestamp=1689879600000, transactions=5070, otc=None)
Agg(open=16.22, high=16.28, low=16.22, close=16.28, volume=15778, vwap=16.2228, timestamp=1689883200000, transactions=22, otc=None)
Agg(open=16.27, high=16.27, low=16.27, close=16.27, volume=122, vwap=16.27, timestamp=1689890400000, transactions=1, otc=None)
Agg(open=16.18, high=16.29, low=16.18, close=16.29, volume=2379, vwap=16.2648, timestamp=1689894000000, transactions=13, otc=None)
Agg(open=16.12, high=16.2, low=16.12, close=16.2, volume=4865, vwap=16.1541, timestamp=1689937200000, transactions=24, otc=None)
Agg(open=16.11, high=16.22, low=16.11, close=16.1279, volume=2204, vwap=16.1289, timestamp=1689940800000, transactions=11, otc=None)
Agg(open=16.1277, high=16.25, low=16.0733, close=16.175, volume=358123, vwap=16.1713, timestamp=1689944400000, transactions=2856, otc=None)
Agg(open=16.17, high=16.28, low=16.04, close=16.125, volume=399032, vwap=16.1395, timestamp=1689948000000, transactions=4021, otc=None)
Agg(open=16.12, high=16.265, low=16.0701, close=16.185, volume=235972, vwap=16.1933, timestamp=1689951600000, transactions=2461, otc=None)
Agg(open=16.19, high=16.225, low=16.14, close=16.18, volume=188503, vwap=16.1833, timestamp=1689955200000, transactions=1932, otc=None)
Agg(open=16.185, high=16.2899, low=16.185, close=16.22, volume=196834, vwap=16.2284, timestamp=1689958800000, transactions=1993, otc=None)
Agg(open=16.225, high=16.34, low=16.22, close=16.305, volume=246673, vwap=16.3036, timestamp=1689962400000, transactions=2332, otc=None)
Agg(open=16.3, high=16.43, low=16.27, close=16.37, volume=1049532.0, vwap=16.3685, timestamp=1689966000000, transactions=7183, otc=None)
Agg(open=16.37, high=16.38, low=16.24, close=16.24, volume=87178, vwap=16.3556, timestamp=1689969600000, transactions=14, otc=None)
Agg(open=16.25, high=16.36, low=16.25, close=16.3, volume=600, vwap=16.285, timestamp=1689973200000, transactions=4, otc=None)
