Agg(open=9, high=9, low=8.9, close=8.95, volume=3187, vwap=8.988, timestamp=1677499200000, transactions=12, otc=None)
Agg(open=8.99, high=9, low=8.76, close=8.825, volume=245390, vwap=8.8856, timestamp=1677506400000, transactions=1933, otc=None)
Agg(open=8.82, high=9.02, low=8.765, close=8.87, volume=396123, vwap=8.8977, timestamp=1677510000000, transactions=4226, otc=None)
Agg(open=8.87, high=9.03, low=8.87, close=8.99, volume=378761, vwap=8.9695, timestamp=1677513600000, transactions=3554, otc=None)
Agg(open=8.99, high=9.0597, low=8.945, close=9.05, volume=187949, vwap=9.0002, timestamp=1677517200000, transactions=2026, otc=None)
Agg(open=9.055, high=9.06, low=8.96, close=9, volume=235437, vwap=9.0189, timestamp=1677520800000, transactions=2661, otc=None)
Agg(open=9.01, high=9.01, low=8.885, close=8.955, volume=307440, vwap=8.9588, timestamp=1677524400000, transactions=3021, otc=None)
Agg(open=8.955, high=9.03, low=8.92, close=9.015, volume=697204, vwap=8.9717, timestamp=1677528000000, transactions=6270, otc=None)
Agg(open=9.01, high=9.01, low=8.93, close=8.93, volume=29377, vwap=9.0097, timestamp=1677531600000, transactions=28, otc=None)
Agg(open=9.08, high=9.08, low=9.08, close=9.08, volume=100, vwap=9.08, timestamp=1677538800000, transactions=1, otc=None)
Agg(open=9.28, high=9.28, low=9.28, close=9.28, volume=101, vwap=9.2773, timestamp=1677589200000, transactions=2, otc=None)
Agg(open=9.01, high=9.185, low=8.93, close=9.165, volume=171514, vwap=9.0781, timestamp=1677592800000, transactions=1775, otc=None)
Agg(open=9.17, high=9.245, low=9.12, close=9.24, volume=295511, vwap=9.1824, timestamp=1677596400000, transactions=3442, otc=None)
Agg(open=9.24, high=9.28, low=9.2, close=9.25, volume=201598, vwap=9.2395, timestamp=1677600000000, transactions=2378, otc=None)
Agg(open=9.25, high=9.26, low=9.19, close=9.245, volume=194123, vwap=9.2335, timestamp=1677603600000, transactions=2099, otc=None)
Agg(open=9.245, high=9.3, low=9.231, close=9.27, volume=264342, vwap=9.2631, timestamp=1677607200000, transactions=2194, otc=None)
Agg(open=9.275, high=9.28, low=9.16, close=9.175, volume=259771, vwap=9.2191, timestamp=1677610800000, transactions=2470, otc=None)
Agg(open=9.17, high=9.1765, low=9.06, close=9.06, volume=860523, vwap=9.1115, timestamp=1677614400000, transactions=6788, otc=None)
Agg(open=9.08, high=9.08, low=9.05, close=9.05, volume=87270, vwap=9.0794, timestamp=1677618000000, transactions=27, otc=None)
