Agg(open=11.72, high=11.72, low=11.49, close=11.49, volume=4251, vwap=11.6454, timestamp=1680519600000, transactions=26, otc=None)
Agg(open=11.49, high=11.73, low=11.413, close=11.52, volume=3969, vwap=11.5694, timestamp=1680523200000, transactions=20, otc=None)
Agg(open=11.5, high=11.69, low=11.265, close=11.6, volume=919169, vwap=11.5012, timestamp=1680526800000, transactions=8183, otc=None)
Agg(open=11.61, high=11.62, low=11.14, close=11.16, volume=826198, vwap=11.4127, timestamp=1680530400000, transactions=8064, otc=None)
Agg(open=11.16, high=11.7, low=11.145, close=11.675, volume=749741, vwap=11.3811, timestamp=1680534000000, transactions=7879, otc=None)
Agg(open=11.68, high=11.69, low=11.495, close=11.5, volume=302191, vwap=11.5769, timestamp=1680537600000, transactions=4197, otc=None)
Agg(open=11.49, high=11.6, low=11.47, close=11.505, volume=362046, vwap=11.5269, timestamp=1680541200000, transactions=4648, otc=None)
Agg(open=11.515, high=11.58, low=11.449, close=11.53, volume=318927, vwap=11.5255, timestamp=1680544800000, transactions=4332, otc=None)
Agg(open=11.53, high=11.695, low=11.51, close=11.645, volume=1069699.0, vwap=11.6007, timestamp=1680548400000, transactions=10133, otc=None)
Agg(open=11.64, high=11.64, low=11.42, close=11.53, volume=148623, vwap=11.6195, timestamp=1680552000000, transactions=39, otc=None)
Agg(open=11.64, high=11.64, low=11.62, close=11.62, volume=3850, vwap=11.6296, timestamp=1680555600000, transactions=2, otc=None)
Agg(open=11.64, high=11.64, low=11.64, close=11.64, volume=156, vwap=11.64, timestamp=1680598800000, transactions=1, otc=None)
Agg(open=11.64, high=11.64, low=11.61, close=11.61, volume=1136, vwap=11.6301, timestamp=1680606000000, transactions=11, otc=None)
Agg(open=11.61, high=11.61, low=11.61, close=11.61, volume=102, vwap=11.61, timestamp=1680609600000, transactions=2, otc=None)
Agg(open=11.69, high=11.73, low=11.4, close=11.535, volume=312871, vwap=11.5516, timestamp=1680613200000, transactions=2659, otc=None)
Agg(open=11.54, high=11.665, low=11.16, close=11.205, volume=614774, vwap=11.445, timestamp=1680616800000, transactions=6359, otc=None)
Agg(open=11.2, high=11.42, low=11.16, close=11.335, volume=501028, vwap=11.331, timestamp=1680620400000, transactions=5469, otc=None)
Agg(open=11.34, high=11.54, low=11.29, close=11.42, volume=361920, vwap=11.4042, timestamp=1680624000000, transactions=4023, otc=None)
Agg(open=11.42, high=11.485, low=11.37, close=11.465, volume=305188, vwap=11.4333, timestamp=1680627600000, transactions=3104, otc=None)
Agg(open=11.465, high=11.535, low=11.39, close=11.405, volume=327949, vwap=11.4828, timestamp=1680631200000, transactions=3653, otc=None)
Agg(open=11.4, high=11.52, low=11.35, close=11.475, volume=887767, vwap=11.4632, timestamp=1680634800000, transactions=8298, otc=None)
Agg(open=11.48, high=11.48, low=11.48, close=11.48, volume=66689, vwap=11.48, timestamp=1680638400000, transactions=24, otc=None)
Agg(open=11.48, high=11.48, low=11.1934, close=11.1934, volume=215, vwap=11.3467, timestamp=1680642000000, transactions=2, otc=None)
Agg(open=11.56, high=11.56, low=11.55, close=11.55, volume=3975, vwap=11.555, timestamp=1680649200000, transactions=3, otc=None)
Agg(open=11.41, high=11.41, low=11.31, close=11.31, volume=1860, vwap=11.3982, timestamp=1680696000000, transactions=16, otc=None)
Agg(open=11.32, high=11.5782, low=11.31, close=11.5, volume=203211, vwap=11.4619, timestamp=1680699600000, transactions=2013, otc=None)
Agg(open=11.51, high=11.525, low=11.14, close=11.14, volume=404307, vwap=11.3235, timestamp=1680703200000, transactions=4530, otc=None)
Agg(open=11.13, high=11.21, low=11.0793, close=11.16, volume=356688, vwap=11.1502, timestamp=1680706800000, transactions=4036, otc=None)
Agg(open=11.16, high=11.18, low=10.9125, close=11.025, volume=363590, vwap=11.018, timestamp=1680710400000, transactions=4069, otc=None)
Agg(open=11.025, high=11.025, low=10.89, close=10.89, volume=285518, vwap=10.9611, timestamp=1680714000000, transactions=3286, otc=None)
Agg(open=10.895, high=10.92, low=10.79, close=10.845, volume=400380, vwap=10.8518, timestamp=1680717600000, transactions=4241, otc=None)
Agg(open=10.84, high=10.995, low=10.81, close=10.96, volume=914631, vwap=10.9294, timestamp=1680721200000, transactions=8213, otc=None)
Agg(open=10.96, high=10.96, low=10.84, close=10.84, volume=22789, vwap=10.9593, timestamp=1680724800000, transactions=10, otc=None)
Agg(open=10.96, high=10.96, low=10.96, close=10.96, volume=591, vwap=10.96, timestamp=1680728400000, transactions=1, otc=None)
Agg(open=11, high=11.01, low=11, close=11.01, volume=600, vwap=11.0083, timestamp=1680732000000, transactions=2, otc=None)
Agg(open=11.01, high=11.05, low=11.01, close=11.04, volume=4000, vwap=11.0349, timestamp=1680735600000, transactions=7, otc=None)
Agg(open=11, high=11, low=11, close=11, volume=596, vwap=10.9935, timestamp=1680778800000, transactions=9, otc=None)
Agg(open=11.06, high=11.06, low=11.06, close=11.06, volume=109, vwap=11.06, timestamp=1680782400000, transactions=2, otc=None)
Agg(open=11.01, high=11.01, low=10.66, close=10.815, volume=231350, vwap=10.788, timestamp=1680786000000, transactions=2108, otc=None)
Agg(open=10.82, high=10.98, low=10.61, close=10.73, volume=476635, vwap=10.785, timestamp=1680789600000, transactions=5179, otc=None)
Agg(open=10.73, high=10.86, low=10.705, close=10.845, volume=356545, vwap=10.7911, timestamp=1680793200000, transactions=3584, otc=None)
Agg(open=10.85, high=10.91, low=10.815, close=10.865, volume=230190, vwap=10.8656, timestamp=1680796800000, transactions=2533, otc=None)
Agg(open=10.865, high=10.9, low=10.83, close=10.83, volume=215969, vwap=10.8687, timestamp=1680800400000, transactions=2652, otc=None)
Agg(open=10.83, high=10.89, low=10.79, close=10.85, volume=288139, vwap=10.8389, timestamp=1680804000000, transactions=3346, otc=None)
Agg(open=10.85, high=10.98, low=10.82, close=10.96, volume=639474, vwap=10.923, timestamp=1680807600000, transactions=7002, otc=None)
Agg(open=10.96, high=10.96, low=10.96, close=10.96, volume=36247, vwap=10.96, timestamp=1680811200000, transactions=14, otc=None)
Agg(open=11.01, high=11.1, low=11.01, close=11.1, volume=6100, vwap=11.0985, timestamp=1680814800000, transactions=3, otc=None)
Agg(open=11.02, high=11.3, low=11.02, close=11.3, volume=1200, vwap=11.2761, timestamp=1680818400000, transactions=3, otc=None)
Agg(open=10.9, high=10.9, low=10.9, close=10.9, volume=500, vwap=10.9, timestamp=1680822000000, transactions=3, otc=None)
