Agg(open=13.26, high=13.36, low=13.26, close=13.3, volume=103353, vwap=13.3094, timestamp=1676296800000, transactions=925, otc=None)
Agg(open=13.305, high=13.405, low=13.28, close=13.395, volume=139629, vwap=13.3453, timestamp=1676300400000, transactions=1683, otc=None)
Agg(open=13.4, high=13.41, low=13.345, close=13.4, volume=143700, vwap=13.3823, timestamp=1676304000000, transactions=1331, otc=None)
Agg(open=13.405, high=13.475, low=13.4, close=13.47, volume=109037, vwap=13.439, timestamp=1676307600000, transactions=1198, otc=None)
Agg(open=13.465, high=13.48, low=13.45, close=13.465, volume=113377, vwap=13.4642, timestamp=1676311200000, transactions=1134, otc=None)
Agg(open=13.465, high=13.47, low=13.4249, close=13.45, volume=156623, vwap=13.4438, timestamp=1676314800000, transactions=1658, otc=None)
Agg(open=13.44, high=13.44, low=13.38, close=13.41, volume=441176, vwap=13.4194, timestamp=1676318400000, transactions=4127, otc=None)
Agg(open=13.42, high=13.42, low=13.42, close=13.42, volume=87623, vwap=13.42, timestamp=1676322000000, transactions=9, otc=None)
Agg(open=13.48, high=13.48, low=13.48, close=13.48, volume=200, vwap=13.48, timestamp=1676325600000, transactions=1, otc=None)
Agg(open=13.48, high=13.555, low=13.37, close=13.54, volume=126495, vwap=13.4623, timestamp=1676383200000, transactions=1012, otc=None)
Agg(open=13.54, high=13.685, low=13.51, close=13.545, volume=205042, vwap=13.582, timestamp=1676386800000, transactions=1887, otc=None)
Agg(open=13.55, high=13.585, low=13.46, close=13.48, volume=188792, vwap=13.5232, timestamp=1676390400000, transactions=1775, otc=None)
Agg(open=13.49, high=13.56, low=13.4898, close=13.56, volume=142613, vwap=13.5307, timestamp=1676394000000, transactions=1574, otc=None)
Agg(open=13.56, high=13.62, low=13.56, close=13.605, volume=163130, vwap=13.5868, timestamp=1676397600000, transactions=1764, otc=None)
Agg(open=13.6, high=13.685, low=13.565, close=13.675, volume=208886, vwap=13.6206, timestamp=1676401200000, transactions=2188, otc=None)
Agg(open=13.68, high=13.68, low=13.63, close=13.65, volume=360320, vwap=13.6543, timestamp=1676404800000, transactions=3422, otc=None)
Agg(open=13.65, high=13.65, low=13.65, close=13.65, volume=19019, vwap=13.65, timestamp=1676408400000, transactions=16, otc=None)
Agg(open=13.6, high=13.6, low=13.6, close=13.6, volume=300, vwap=13.6, timestamp=1676462400000, transactions=1, otc=None)
Agg(open=13.65, high=13.65, low=13.455, close=13.455, volume=149565, vwap=13.5448, timestamp=1676469600000, transactions=1147, otc=None)
Agg(open=13.46, high=13.6299, low=13.46, close=13.6, volume=212961, vwap=13.5605, timestamp=1676473200000, transactions=2030, otc=None)
Agg(open=13.595, high=13.64, low=13.58, close=13.605, volume=156625, vwap=13.6109, timestamp=1676476800000, transactions=1578, otc=None)
Agg(open=13.6025, high=13.63, low=13.575, close=13.61, volume=221076, vwap=13.6034, timestamp=1676480400000, transactions=2054, otc=None)
Agg(open=13.615, high=13.68, low=13.615, close=13.68, volume=118704, vwap=13.6518, timestamp=1676484000000, transactions=1201, otc=None)
Agg(open=13.68, high=13.69, low=13.64, close=13.645, volume=169756, vwap=13.6638, timestamp=1676487600000, transactions=1633, otc=None)
Agg(open=13.6425, high=13.71, low=13.64, close=13.69, volume=555550, vwap=13.6854, timestamp=1676491200000, transactions=3714, otc=None)
Agg(open=13.7, high=13.7, low=13.7, close=13.7, volume=21016, vwap=13.7, timestamp=1676494800000, transactions=12, otc=None)
Agg(open=13.67, high=13.75, low=13.525, close=13.54, volume=88643, vwap=13.5977, timestamp=1676556000000, transactions=668, otc=None)
Agg(open=13.545, high=13.615, low=13.53, close=13.6, volume=180659, vwap=13.5729, timestamp=1676559600000, transactions=1739, otc=None)
Agg(open=13.5945, high=13.66, low=13.5625, close=13.645, volume=181161, vwap=13.6128, timestamp=1676563200000, transactions=1499, otc=None)
Agg(open=13.645, high=13.69, low=13.64, close=13.68, volume=317538, vwap=13.6637, timestamp=1676566800000, transactions=2188, otc=None)
Agg(open=13.68, high=13.69, low=13.635, close=13.675, volume=241548, vwap=13.6603, timestamp=1676570400000, transactions=1977, otc=None)
Agg(open=13.68, high=13.7, low=13.65, close=13.675, volume=176339, vwap=13.6781, timestamp=1676574000000, transactions=1550, otc=None)
Agg(open=13.675, high=13.7, low=13.625, close=13.64, volume=623604, vwap=13.6491, timestamp=1676577600000, transactions=4125, otc=None)
Agg(open=13.65, high=13.65, low=13.65, close=13.65, volume=10397, vwap=13.65, timestamp=1676581200000, transactions=11, otc=None)
Agg(open=13.54, high=13.54, low=13.255, close=13.255, volume=292219, vwap=13.3723, timestamp=1676642400000, transactions=1938, otc=None)
Agg(open=13.255, high=13.48, low=13.255, close=13.405, volume=329274, vwap=13.3802, timestamp=1676646000000, transactions=2952, otc=None)
Agg(open=13.41, high=13.445, low=13.35, close=13.395, volume=289031, vwap=13.3988, timestamp=1676649600000, transactions=2278, otc=None)
Agg(open=13.4, high=13.445, low=13.385, close=13.395, volume=422643, vwap=13.417, timestamp=1676653200000, transactions=2675, otc=None)
Agg(open=13.395, high=13.42, low=13.375, close=13.4, volume=279731, vwap=13.3933, timestamp=1676656800000, transactions=2237, otc=None)
Agg(open=13.405, high=13.43, low=13.355, close=13.415, volume=275346, vwap=13.3968, timestamp=1676660400000, transactions=2047, otc=None)
Agg(open=13.415, high=13.48, low=13.39, close=13.41, volume=872059, vwap=13.4189, timestamp=1676664000000, transactions=5299, otc=None)
Agg(open=13.4, high=13.4, low=13.4, close=13.4, volume=255322, vwap=13.4, timestamp=1676667600000, transactions=12, otc=None)
