Agg(open=14.98, high=15, low=14.98, close=15, volume=745, vwap=14.994, timestamp=1696849200000, transactions=3, otc=None)
Agg(open=15.14, high=15.27, low=15.135, close=15.21, volume=163235, vwap=15.2246, timestamp=1696856400000, transactions=1619, otc=None)
Agg(open=15.2117, high=15.355, low=15.21, close=15.355, volume=219162, vwap=15.3042, timestamp=1696860000000, transactions=2777, otc=None)
Agg(open=15.35, high=15.38, low=15.2848, close=15.29, volume=216503, vwap=15.3303, timestamp=1696863600000, transactions=2613, otc=None)
Agg(open=15.295, high=15.31, low=15.2275, close=15.24, volume=171241, vwap=15.2683, timestamp=1696867200000, transactions=2464, otc=None)
Agg(open=15.245, high=15.325, low=15.23, close=15.305, volume=151807, vwap=15.2809, timestamp=1696870800000, transactions=2146, otc=None)
Agg(open=15.305, high=15.37, low=15.29, close=15.355, volume=127685, vwap=15.3414, timestamp=1696874400000, transactions=1860, otc=None)
Agg(open=15.36, high=15.39, low=15.33, close=15.38, volume=436114, vwap=15.3658, timestamp=1696878000000, transactions=4248, otc=None)
Agg(open=15.38, high=15.38, low=15.38, close=15.38, volume=18874, vwap=15.38, timestamp=1696881600000, transactions=13, otc=None)
Agg(open=15.44, high=15.44, low=15.44, close=15.44, volume=200, vwap=15.44, timestamp=1696892400000, transactions=1, otc=None)
Agg(open=15.4, high=15.45, low=15.25, close=15.25, volume=120069, vwap=15.3466, timestamp=1696942800000, transactions=1189, otc=None)
Agg(open=15.255, high=15.43, low=15.24, close=15.415, volume=549554, vwap=15.3253, timestamp=1696946400000, transactions=3501, otc=None)
Agg(open=15.41, high=15.41, low=15.35, close=15.398, volume=256094, vwap=15.3753, timestamp=1696950000000, transactions=2168, otc=None)
Agg(open=15.395, high=15.44, low=15.375, close=15.44, volume=200623, vwap=15.4136, timestamp=1696953600000, transactions=2017, otc=None)
Agg(open=15.44, high=15.47, low=15.41, close=15.435, volume=238681, vwap=15.4421, timestamp=1696957200000, transactions=2665, otc=None)
Agg(open=15.435, high=15.52, low=15.43, close=15.48, volume=275007, vwap=15.4778, timestamp=1696960800000, transactions=2736, otc=None)
Agg(open=15.485, high=15.5, low=15.46, close=15.48, volume=670174, vwap=15.4827, timestamp=1696964400000, transactions=6489, otc=None)
Agg(open=15.48, high=15.48, low=15.48, close=15.48, volume=25599, vwap=15.48, timestamp=1696968000000, transactions=13, otc=None)
Agg(open=15.76, high=15.76, low=15.76, close=15.76, volume=100, vwap=15.76, timestamp=1697025600000, transactions=1, otc=None)
Agg(open=15.48, high=15.71, low=15.29, close=15.705, volume=747657, vwap=15.6192, timestamp=1697029200000, transactions=3075, otc=None)
Agg(open=15.71, high=15.855, low=15.68, close=15.84, volume=586496, vwap=15.7587, timestamp=1697032800000, transactions=4090, otc=None)
Agg(open=15.83, high=15.89, low=15.81, close=15.83, volume=323403, vwap=15.8473, timestamp=1697036400000, transactions=2853, otc=None)
Agg(open=15.835, high=15.9, low=15.82, close=15.895, volume=205106, vwap=15.8597, timestamp=1697040000000, transactions=1720, otc=None)
Agg(open=15.895, high=15.9, low=15.871, close=15.895, volume=145165, vwap=15.889, timestamp=1697043600000, transactions=1603, otc=None)
Agg(open=15.89, high=15.9, low=15.835, close=15.885, volume=313132, vwap=15.8713, timestamp=1697047200000, transactions=2209, otc=None)
Agg(open=15.88, high=15.93, low=15.875, close=15.89, volume=1016391.0, vwap=15.8993, timestamp=1697050800000, transactions=5864, otc=None)
Agg(open=15.89, high=15.89, low=15.89, close=15.89, volume=34109, vwap=15.89, timestamp=1697054400000, transactions=21, otc=None)
Agg(open=15.89, high=15.89, low=15.89, close=15.89, volume=304, vwap=15.8899, timestamp=1697108400000, transactions=3, otc=None)
Agg(open=15.98, high=15.98, low=15.75, close=15.78, volume=141737, vwap=15.8338, timestamp=1697115600000, transactions=941, otc=None)
Agg(open=15.775, high=15.79, low=15.71, close=15.735, volume=135239, vwap=15.7472, timestamp=1697119200000, transactions=1291, otc=None)
Agg(open=15.74, high=15.81, low=15.7375, close=15.79, volume=112179, vwap=15.782, timestamp=1697122800000, transactions=1077, otc=None)
Agg(open=15.7825, high=15.89, low=15.7825, close=15.87, volume=177484, vwap=15.8483, timestamp=1697126400000, transactions=1506, otc=None)
Agg(open=15.87, high=15.875, low=15.74, close=15.74, volume=220094, vwap=15.7965, timestamp=1697130000000, transactions=1781, otc=None)
Agg(open=15.74, high=15.81, low=15.69, close=15.8, volume=233294, vwap=15.7592, timestamp=1697133600000, transactions=1717, otc=None)
Agg(open=15.805, high=15.87, low=15.8, close=15.855, volume=504917, vwap=15.8424, timestamp=1697137200000, transactions=3684, otc=None)
Agg(open=15.85, high=15.85, low=15.85, close=15.85, volume=13694, vwap=15.85, timestamp=1697140800000, transactions=19, otc=None)
Agg(open=15.84, high=15.84, low=15.84, close=15.84, volume=3338, vwap=15.8399, timestamp=1697198400000, transactions=3, otc=None)
Agg(open=16, high=16.02, low=15.95, close=15.99, volume=86200, vwap=15.9843, timestamp=1697202000000, transactions=826, otc=None)
Agg(open=15.98, high=16.0748, low=15.97, close=16.01, volume=187968, vwap=16.0361, timestamp=1697205600000, transactions=1729, otc=None)
Agg(open=16.01, high=16.02, low=15.955, close=16.01, volume=161796, vwap=15.9948, timestamp=1697209200000, transactions=1500, otc=None)
Agg(open=16.01, high=16.04, low=16, close=16.015, volume=114195, vwap=16.0261, timestamp=1697212800000, transactions=1069, otc=None)
Agg(open=16.015, high=16.03, low=15.95, close=16, volume=211009, vwap=15.9883, timestamp=1697216400000, transactions=1599, otc=None)
Agg(open=16, high=16.06, low=15.99, close=16.04, volume=193039, vwap=16.0313, timestamp=1697220000000, transactions=1477, otc=None)
Agg(open=16.04, high=16.04, low=15.94, close=15.9525, volume=648352, vwap=15.9707, timestamp=1697223600000, transactions=3552, otc=None)
Agg(open=15.96, high=16.01, low=15.96, close=16.01, volume=18748, vwap=15.9603, timestamp=1697227200000, transactions=20, otc=None)
