Agg(open=9, high=9, low=9, close=9, volume=500, vwap=9, timestamp=1673258400000, transactions=3, otc=None)
Agg(open=8.84, high=8.92, low=8.84, close=8.9, volume=5151, vwap=8.8962, timestamp=1673265600000, transactions=12, otc=None)
Agg(open=8.9, high=9.02, low=8.9, close=9.02, volume=2944, vwap=8.9252, timestamp=1673269200000, transactions=8, otc=None)
Agg(open=9.05, high=9.24, low=8.984, close=9.15, volume=298047, vwap=9.1152, timestamp=1673272800000, transactions=2076, otc=None)
Agg(open=9.16, high=9.2275, low=8.96, close=9.19, volume=464045, vwap=9.1249, timestamp=1673276400000, transactions=2905, otc=None)
Agg(open=9.19, high=9.215, low=9.025, close=9.115, volume=321549, vwap=9.109, timestamp=1673280000000, transactions=2210, otc=None)
Agg(open=9.115, high=9.14, low=9.04, close=9.1, volume=281280, vwap=9.0923, timestamp=1673283600000, transactions=2067, otc=None)
Agg(open=9.1, high=9.22, low=9.095, close=9.195, volume=233897, vwap=9.165, timestamp=1673287200000, transactions=1742, otc=None)
Agg(open=9.19, high=9.21, low=9.18, close=9.1935, volume=237360, vwap=9.1968, timestamp=1673290800000, transactions=1478, otc=None)
Agg(open=9.2, high=9.21, low=9.12, close=9.21, volume=1305452.0, vwap=9.1773, timestamp=1673294400000, transactions=5610, otc=None)
Agg(open=9.2, high=9.2, low=9.2, close=9.2, volume=26032, vwap=9.2, timestamp=1673298000000, transactions=15, otc=None)
Agg(open=9.2, high=9.2, low=9.2, close=9.2, volume=100, vwap=9.2, timestamp=1673305200000, transactions=1, otc=None)
Agg(open=9.21, high=9.21, low=9.2, close=9.2, volume=350, vwap=9.2071, timestamp=1673308800000, transactions=4, otc=None)
Agg(open=9.01, high=9.32, low=9.01, close=9.26, volume=389067, vwap=9.2369, timestamp=1673359200000, transactions=2642, otc=None)
Agg(open=9.265, high=9.3, low=9.1407, close=9.21, volume=533907, vwap=9.2082, timestamp=1673362800000, transactions=3705, otc=None)
Agg(open=9.2, high=9.23, low=9.115, close=9.18, volume=360586, vwap=9.1777, timestamp=1673366400000, transactions=2438, otc=None)
Agg(open=9.175, high=9.21, low=9.095, close=9.11, volume=641635, vwap=9.1495, timestamp=1673370000000, transactions=3781, otc=None)
Agg(open=9.11, high=9.19, low=9.095, close=9.11, volume=639914, vwap=9.1371, timestamp=1673373600000, transactions=4480, otc=None)
Agg(open=9.115, high=9.2, low=9.11, close=9.175, volume=483755, vwap=9.1679, timestamp=1673377200000, transactions=3700, otc=None)
Agg(open=9.175, high=9.22, low=9.09, close=9.21, volume=1281972.0, vwap=9.1511, timestamp=1673380800000, transactions=7769, otc=None)
Agg(open=9.21, high=9.21, low=9.21, close=9.21, volume=18553, vwap=9.21, timestamp=1673384400000, transactions=14, otc=None)
Agg(open=9.24, high=9.25, low=9.24, close=9.25, volume=2500, vwap=9.2427, timestamp=1673391600000, transactions=3, otc=None)
Agg(open=9.44, high=9.44, low=9.44, close=9.44, volume=550, vwap=9.4389, timestamp=1673434800000, transactions=3, otc=None)
Agg(open=9.4, high=9.4, low=9.4, close=9.4, volume=100, vwap=9.4, timestamp=1673438400000, transactions=1, otc=None)
Agg(open=9.4885, high=9.4885, low=9.15, close=9.15, volume=1014, vwap=9.3236, timestamp=1673442000000, transactions=11, otc=None)
Agg(open=9.27, high=9.47, low=9.225, close=9.397, volume=196803, vwap=9.3556, timestamp=1673445600000, transactions=1255, otc=None)
Agg(open=9.39, high=9.39, low=9.28, close=9.325, volume=390687, vwap=9.3347, timestamp=1673449200000, transactions=2891, otc=None)
Agg(open=9.325, high=9.395, low=9.12, close=9.245, volume=1357878.0, vwap=9.2615, timestamp=1673452800000, transactions=7798, otc=None)
Agg(open=9.245, high=9.42, low=9.2, close=9.42, volume=446550, vwap=9.2843, timestamp=1673456400000, transactions=2847, otc=None)
Agg(open=9.42, high=9.43, low=9.395, close=9.415, volume=96772, vwap=9.4113, timestamp=1673460000000, transactions=1019, otc=None)
Agg(open=9.42, high=9.42, low=9.38, close=9.405, volume=177126, vwap=9.4029, timestamp=1673463600000, transactions=1380, otc=None)
Agg(open=9.405, high=9.51, low=9.395, close=9.495, volume=580943, vwap=9.4558, timestamp=1673467200000, transactions=3474, otc=None)
Agg(open=9.51, high=9.51, low=9.51, close=9.51, volume=22262, vwap=9.51, timestamp=1673470800000, transactions=12, otc=None)
Agg(open=9.6, high=9.72, low=9.52, close=9.72, volume=5690, vwap=9.6043, timestamp=1673528400000, transactions=26, otc=None)
Agg(open=9.7, high=9.7185, low=9.25, close=9.255, volume=594802, vwap=9.3723, timestamp=1673532000000, transactions=2135, otc=None)
Agg(open=9.26, high=9.5, low=9.22, close=9.44, volume=459762, vwap=9.354, timestamp=1673535600000, transactions=2736, otc=None)
Agg(open=9.44, high=9.55, low=9.37, close=9.54, volume=180779, vwap=9.4868, timestamp=1673539200000, transactions=1410, otc=None)
Agg(open=9.53, high=9.6, low=9.515, close=9.54, volume=141595, vwap=9.5487, timestamp=1673542800000, transactions=1269, otc=None)
Agg(open=9.54, high=9.54, low=9.41, close=9.41, volume=528128, vwap=9.4674, timestamp=1673546400000, transactions=3339, otc=None)
Agg(open=9.41, high=9.51, low=9.41, close=9.5, volume=292369, vwap=9.4751, timestamp=1673550000000, transactions=2004, otc=None)
Agg(open=9.5, high=9.59, low=9.49, close=9.58, volume=593998, vwap=9.5363, timestamp=1673553600000, transactions=3379, otc=None)
Agg(open=9.58, high=9.7199, low=9.58, close=9.7199, volume=19817, vwap=9.5807, timestamp=1673557200000, transactions=14, otc=None)
Agg(open=9.56, high=9.56, low=9.55, close=9.55, volume=10000, vwap=9.5507, timestamp=1673560800000, transactions=11, otc=None)
Agg(open=9.6699, high=9.6699, low=9.55, close=9.55, volume=200, vwap=9.61, timestamp=1673564400000, transactions=2, otc=None)
Agg(open=9.6699, high=9.6699, low=9.6699, close=9.6699, volume=100, vwap=9.6699, timestamp=1673568000000, transactions=1, otc=None)
Agg(open=9.78, high=9.78, low=9.78, close=9.78, volume=100, vwap=9.78, timestamp=1673604000000, transactions=1, otc=None)
Agg(open=9.5, high=9.52, low=9.5, close=9.52, volume=624, vwap=9.5119, timestamp=1673614800000, transactions=3, otc=None)
Agg(open=9.34, high=9.62, low=9.34, close=9.52, volume=108160, vwap=9.4875, timestamp=1673618400000, transactions=943, otc=None)
Agg(open=9.5, high=9.545, low=9.45, close=9.51, volume=176425, vwap=9.5012, timestamp=1673622000000, transactions=1634, otc=None)
Agg(open=9.52, high=9.525, low=9.425, close=9.495, volume=223431, vwap=9.4808, timestamp=1673625600000, transactions=1946, otc=None)
Agg(open=9.4994, high=9.515, low=9.44, close=9.465, volume=209198, vwap=9.4775, timestamp=1673629200000, transactions=1864, otc=None)
Agg(open=9.465, high=9.5, low=9.45, close=9.485, volume=183370, vwap=9.4758, timestamp=1673632800000, transactions=1885, otc=None)
Agg(open=9.485, high=9.49, low=9.43, close=9.445, volume=262761, vwap=9.4635, timestamp=1673636400000, transactions=2296, otc=None)
Agg(open=9.44, high=9.48, low=9.39, close=9.45, volume=681592, vwap=9.4473, timestamp=1673640000000, transactions=3773, otc=None)
Agg(open=9.45, high=9.45, low=9.2, close=9.2, volume=8828, vwap=9.4443, timestamp=1673643600000, transactions=11, otc=None)
Agg(open=9.42, high=9.66, low=9.42, close=9.66, volume=350, vwap=9.4968, timestamp=1673650800000, transactions=4, otc=None)
