Agg(open=11.11, high=11.11, low=11.11, close=11.11, volume=3500, vwap=11.11, timestamp=1690790400000, transactions=8, otc=None)
Agg(open=11.1, high=11.1, low=11.1, close=11.1, volume=1900, vwap=11.1, timestamp=1690794000000, transactions=3, otc=None)
Agg(open=11.19, high=11.19, low=11.14, close=11.15, volume=4395, vwap=11.1635, timestamp=1690797600000, transactions=14, otc=None)
Agg(open=11.14, high=11.14, low=11.1, close=11.1, volume=1800, vwap=11.1042, timestamp=1690801200000, transactions=12, otc=None)
Agg(open=11.1491, high=11.15, low=11.1, close=11.15, volume=12782, vwap=11.1439, timestamp=1690804800000, transactions=54, otc=None)
Agg(open=11.15, high=11.455, low=11.08, close=11.28, volume=1075145.0, vwap=11.3244, timestamp=1690808400000, transactions=5136, otc=None)
Agg(open=11.28, high=11.35, low=11.2, close=11.245, volume=693821, vwap=11.2657, timestamp=1690812000000, transactions=4834, otc=None)
Agg(open=11.24, high=11.39, low=11.23, close=11.29, volume=550962, vwap=11.2973, timestamp=1690815600000, transactions=4148, otc=None)
Agg(open=11.29, high=11.2966, low=11.09, close=11.215, volume=596228, vwap=11.1843, timestamp=1690819200000, transactions=3757, otc=None)
Agg(open=11.22, high=11.45, low=11.17, close=11.415, volume=620699, vwap=11.2916, timestamp=1690822800000, transactions=4244, otc=None)
Agg(open=11.415, high=11.519, low=11.4, close=11.435, volume=699113, vwap=11.4519, timestamp=1690826400000, transactions=5185, otc=None)
Agg(open=11.43, high=11.515, low=11.35, close=11.36, volume=1482423.0, vwap=11.4058, timestamp=1690830000000, transactions=9591, otc=None)
Agg(open=11.36, high=11.41, low=11.23, close=11.36, volume=35088, vwap=11.3597, timestamp=1690833600000, transactions=36, otc=None)
Agg(open=11.37, high=11.47, low=11.37, close=11.4, volume=1099, vwap=11.3927, timestamp=1690837200000, transactions=3, otc=None)
Agg(open=11.4699, high=11.47, low=11.4699, close=11.47, volume=561, vwap=11.4699, timestamp=1690840800000, transactions=2, otc=None)
Agg(open=11.47, high=11.48, low=11.47, close=11.47, volume=700, vwap=11.4756, timestamp=1690876800000, transactions=7, otc=None)
Agg(open=11.43, high=11.44, low=11.43, close=11.44, volume=300, vwap=11.4367, timestamp=1690880400000, transactions=3, otc=None)
Agg(open=11.48, high=11.48, low=11.36, close=11.36, volume=1166, vwap=11.4395, timestamp=1690887600000, transactions=19, otc=None)
Agg(open=11.4215, high=11.46, low=11.3, close=11.3, volume=5947, vwap=11.3829, timestamp=1690891200000, transactions=43, otc=None)
Agg(open=11.32, high=11.48, low=11.25, close=11.365, volume=437789, vwap=11.3709, timestamp=1690894800000, transactions=3029, otc=None)
Agg(open=11.36, high=11.41, low=11.23, close=11.25, volume=575791, vwap=11.3259, timestamp=1690898400000, transactions=4139, otc=None)
Agg(open=11.25, high=11.34, low=11.23, close=11.335, volume=187544, vwap=11.2868, timestamp=1690902000000, transactions=1751, otc=None)
Agg(open=11.34, high=11.345, low=11.26, close=11.335, volume=194138, vwap=11.3001, timestamp=1690905600000, transactions=1719, otc=None)
Agg(open=11.33, high=11.47, low=11.328, close=11.445, volume=309343, vwap=11.4058, timestamp=1690909200000, transactions=2380, otc=None)
Agg(open=11.445, high=11.53, low=11.445, close=11.525, volume=235857, vwap=11.4884, timestamp=1690912800000, transactions=2260, otc=None)
Agg(open=11.52, high=11.58, low=11.52, close=11.57, volume=499958, vwap=11.5498, timestamp=1690916400000, transactions=3831, otc=None)
Agg(open=11.57, high=11.57, low=11.55, close=11.55, volume=41138, vwap=11.5697, timestamp=1690920000000, transactions=13, otc=None)
Agg(open=11.51, high=11.51, low=11.51, close=11.51, volume=2206, vwap=11.51, timestamp=1690923600000, transactions=5, otc=None)
Agg(open=11.46, high=11.46, low=11.46, close=11.46, volume=380, vwap=11.46, timestamp=1690927200000, transactions=2, otc=None)
Agg(open=11.46, high=11.54, low=11.46, close=11.54, volume=1932, vwap=11.4935, timestamp=1690930800000, transactions=6, otc=None)
Agg(open=11.25, high=11.25, low=11.24, close=11.24, volume=4472, vwap=11.2485, timestamp=1690963200000, transactions=9, otc=None)
Agg(open=11.1, high=11.24, low=11.1, close=11.24, volume=1400, vwap=11.1618, timestamp=1690966800000, transactions=8, otc=None)
Agg(open=11.2, high=11.27, low=11.2, close=11.25, volume=500, vwap=11.224, timestamp=1690970400000, transactions=3, otc=None)
Agg(open=11.55, high=11.55, low=11.4, close=11.41, volume=2223, vwap=11.4686, timestamp=1690974000000, transactions=12, otc=None)
Agg(open=11.4, high=11.4, low=11.36, close=11.36, volume=3680, vwap=11.3772, timestamp=1690977600000, transactions=21, otc=None)
Agg(open=11.4, high=11.53, low=10.82, close=10.83, volume=741763, vwap=11.0319, timestamp=1690981200000, transactions=4513, otc=None)
Agg(open=10.825, high=10.91, low=10.36, close=10.445, volume=1340801.0, vwap=10.6347, timestamp=1690984800000, transactions=7946, otc=None)
Agg(open=10.445, high=10.51, low=10.34, close=10.4, volume=796478, vwap=10.4327, timestamp=1690988400000, transactions=4797, otc=None)
Agg(open=10.4, high=10.5, low=10.26, close=10.5, volume=687107, vwap=10.4021, timestamp=1690992000000, transactions=4472, otc=None)
Agg(open=10.5, high=10.56, low=10.43, close=10.435, volume=411147, vwap=10.4818, timestamp=1690995600000, transactions=3077, otc=None)
Agg(open=10.435, high=10.6, low=10.385, close=10.565, volume=513473, vwap=10.5103, timestamp=1690999200000, transactions=4209, otc=None)
Agg(open=10.565, high=10.61, low=10.51, close=10.575, volume=1184713.0, vwap=10.5706, timestamp=1691002800000, transactions=6965, otc=None)
Agg(open=10.58, high=10.65, low=10.58, close=10.65, volume=4900, vwap=10.6023, timestamp=1691006400000, transactions=13, otc=None)
Agg(open=10.58, high=11, low=10.51, close=10.81, volume=13160, vwap=10.939, timestamp=1691010000000, transactions=47, otc=None)
Agg(open=10.8, high=10.9, low=10.77, close=10.78, volume=10581, vwap=10.8595, timestamp=1691013600000, transactions=22, otc=None)
Agg(open=10.86, high=10.87, low=10.86, close=10.87, volume=5170, vwap=10.8612, timestamp=1691017200000, transactions=13, otc=None)
Agg(open=10.55, high=10.7, low=10.55, close=10.7, volume=1150, vwap=10.6804, timestamp=1691049600000, transactions=3, otc=None)
Agg(open=10.99, high=10.99, low=10.82, close=10.82, volume=1445, vwap=10.9376, timestamp=1691056800000, transactions=4, otc=None)
Agg(open=10.97, high=11.27, low=10.8, close=11.06, volume=102083, vwap=11.0073, timestamp=1691060400000, transactions=190, otc=None)
