Agg(open=15.55, high=15.6, low=15.55, close=15.55, volume=2510, vwap=15.58, timestamp=1690185600000, transactions=5, otc=None)
Agg(open=15.6, high=15.6, low=15.53, close=15.53, volume=1333, vwap=15.5659, timestamp=1690196400000, transactions=14, otc=None)
Agg(open=15.52, high=15.6, low=15.51, close=15.5787, volume=14880, vwap=15.5733, timestamp=1690200000000, transactions=44, otc=None)
Agg(open=15.57, high=15.75, low=15.49, close=15.5009, volume=1162776.0, vwap=15.6405, timestamp=1690203600000, transactions=7681, otc=None)
Agg(open=15.505, high=15.535, low=15.37, close=15.515, volume=1495507.0, vwap=15.4499, timestamp=1690207200000, transactions=11825, otc=None)
Agg(open=15.515, high=15.61, low=15.505, close=15.6, volume=656327, vwap=15.559, timestamp=1690210800000, transactions=6111, otc=None)
Agg(open=15.6, high=15.62, low=15.48, close=15.62, volume=566277, vwap=15.5473, timestamp=1690214400000, transactions=5029, otc=None)
Agg(open=15.62, high=15.68, low=15.56, close=15.56, volume=693679, vwap=15.624, timestamp=1690218000000, transactions=5486, otc=None)
Agg(open=15.56, high=15.61, low=15.42, close=15.44, volume=767975, vwap=15.4958, timestamp=1690221600000, transactions=6414, otc=None)
Agg(open=15.445, high=15.515, low=15.43, close=15.48, volume=2323911.0, vwap=15.4698, timestamp=1690225200000, transactions=13786, otc=None)
Agg(open=15.48, high=15.48, low=15.43, close=15.44, volume=48897, vwap=15.474, timestamp=1690228800000, transactions=67, otc=None)
Agg(open=15.44, high=15.47, low=15.44, close=15.47, volume=5900, vwap=15.4501, timestamp=1690232400000, transactions=9, otc=None)
Agg(open=15.47, high=15.47, low=15.47, close=15.47, volume=2625, vwap=15.4699, timestamp=1690236000000, transactions=3, otc=None)
Agg(open=15.46, high=15.46, low=15.45, close=15.45, volume=11015, vwap=15.4558, timestamp=1690239600000, transactions=7, otc=None)
Agg(open=15.54, high=15.54, low=15.54, close=15.54, volume=100, vwap=15.54, timestamp=1690272000000, transactions=1, otc=None)
Agg(open=15.5, high=15.54, low=15.5, close=15.54, volume=3256, vwap=15.5326, timestamp=1690282800000, transactions=8, otc=None)
