Agg(open=18.7, high=18.7, low=18.7, close=18.7, volume=1029, vwap=18.7, timestamp=1687777200000, transactions=14, otc=None)
Agg(open=18.7299, high=18.7299, low=18.7299, close=18.7299, volume=117, vwap=18.7256, timestamp=1687780800000, transactions=4, otc=None)
Agg(open=18.64, high=18.69, low=18.53, close=18.5771, volume=166994, vwap=18.5714, timestamp=1687784400000, transactions=868, otc=None)
Agg(open=18.58, high=18.71, low=18.57, close=18.68, volume=137050, vwap=18.6575, timestamp=1687788000000, transactions=945, otc=None)
Agg(open=18.6801, high=18.695, low=18.6622, close=18.685, volume=80141, vwap=18.6845, timestamp=1687791600000, transactions=408, otc=None)
Agg(open=18.69, high=18.69, low=18.64, close=18.6601, volume=90750, vwap=18.6612, timestamp=1687795200000, transactions=379, otc=None)
Agg(open=18.6676, high=18.67, low=18.64, close=18.655, volume=37102, vwap=18.6572, timestamp=1687798800000, transactions=174, otc=None)
Agg(open=18.6597, high=18.69, low=18.65, close=18.685, volume=62039, vwap=18.6709, timestamp=1687802400000, transactions=239, otc=None)
Agg(open=18.6826, high=18.705, low=18.67, close=18.69, volume=134370, vwap=18.6902, timestamp=1687806000000, transactions=702, otc=None)
Agg(open=18.6315, high=18.69, low=18.6315, close=18.69, volume=989, vwap=18.6687, timestamp=1687809600000, transactions=8, otc=None)
Agg(open=18.7, high=18.7198, low=18.7, close=18.7193, volume=2330, vwap=18.7062, timestamp=1687816800000, transactions=5, otc=None)
Agg(open=18.72, high=18.72, low=18.72, close=18.72, volume=110, vwap=18.7191, timestamp=1687820400000, transactions=2, otc=None)
Agg(open=18.7001, high=18.74, low=18.7001, close=18.7015, volume=2899, vwap=18.7065, timestamp=1687867200000, transactions=21, otc=None)
Agg(open=18.7091, high=18.74, low=18.695, close=18.725, volume=81332, vwap=18.7134, timestamp=1687870800000, transactions=379, otc=None)
Agg(open=18.725, high=18.73, low=18.66, close=18.674, volume=94745, vwap=18.6838, timestamp=1687874400000, transactions=669, otc=None)
Agg(open=18.675, high=18.69, low=18.665, close=18.6847, volume=72209, vwap=18.68, timestamp=1687878000000, transactions=342, otc=None)
Agg(open=18.69, high=18.72, low=18.6818, close=18.6999, volume=119135, vwap=18.696, timestamp=1687881600000, transactions=595, otc=None)
Agg(open=18.6919, high=18.7, low=18.67, close=18.691, volume=109527, vwap=18.6915, timestamp=1687885200000, transactions=372, otc=None)
Agg(open=18.69, high=18.7099, low=18.69, close=18.705, volume=90361, vwap=18.6973, timestamp=1687888800000, transactions=414, otc=None)
Agg(open=18.705, high=18.71, low=18.68, close=18.69, volume=120065, vwap=18.6983, timestamp=1687892400000, transactions=708, otc=None)
Agg(open=18.71, high=18.71, low=18.5701, close=18.5701, volume=340, vwap=18.6689, timestamp=1687896000000, transactions=2, otc=None)
Agg(open=18.7, high=18.71, low=18.7, close=18.7, volume=560, vwap=18.7046, timestamp=1687899600000, transactions=6, otc=None)
Agg(open=18.7, high=18.7, low=18.7, close=18.7, volume=2039, vwap=18.7, timestamp=1687950000000, transactions=13, otc=None)
Agg(open=18.7, high=18.73, low=18.7, close=18.7285, volume=1137, vwap=18.716, timestamp=1687953600000, transactions=6, otc=None)
Agg(open=18.72, high=18.72, low=18.69, close=18.7099, volume=96923, vwap=18.7066, timestamp=1687957200000, transactions=334, otc=None)
Agg(open=18.6977, high=18.705, low=18.66, close=18.685, volume=122111, vwap=18.6801, timestamp=1687960800000, transactions=630, otc=None)
Agg(open=18.6894, high=18.71, low=18.68, close=18.6969, volume=96657, vwap=18.6993, timestamp=1687964400000, transactions=432, otc=None)
Agg(open=18.6943, high=18.7, low=18.67, close=18.675, volume=55141, vwap=18.6896, timestamp=1687968000000, transactions=327, otc=None)
Agg(open=18.6775, high=18.68, low=18.67, close=18.68, volume=42610, vwap=18.6768, timestamp=1687971600000, transactions=256, otc=None)
Agg(open=18.675, high=18.69, low=18.67, close=18.68, volume=85702, vwap=18.6844, timestamp=1687975200000, transactions=321, otc=None)
Agg(open=18.681, high=18.69, low=18.67, close=18.67, volume=97621, vwap=18.6773, timestamp=1687978800000, transactions=505, otc=None)
Agg(open=18.7091, high=18.71, low=18.6601, close=18.6642, volume=762, vwap=18.6834, timestamp=1687982400000, transactions=5, otc=None)
Agg(open=18.71, high=18.71, low=18.71, close=18.71, volume=214, vwap=18.71, timestamp=1687986000000, transactions=2, otc=None)
Agg(open=18.66, high=18.66, low=18.66, close=18.66, volume=208, vwap=18.66, timestamp=1688025600000, transactions=3, otc=None)
Agg(open=18.6515, high=18.73, low=18.6515, close=18.73, volume=670, vwap=18.7079, timestamp=1688040000000, transactions=26, otc=None)
Agg(open=18.7, high=18.72, low=18.69, close=18.71, volume=106709, vwap=18.6978, timestamp=1688043600000, transactions=414, otc=None)
Agg(open=18.705, high=18.72, low=18.66, close=18.705, volume=98881, vwap=18.6921, timestamp=1688047200000, transactions=732, otc=None)
Agg(open=18.705, high=18.75, low=18.68, close=18.73, volume=236372, vwap=18.7171, timestamp=1688050800000, transactions=1041, otc=None)
Agg(open=18.74, high=18.748, low=18.7, close=18.72, volume=152036, vwap=18.7172, timestamp=1688054400000, transactions=524, otc=None)
Agg(open=18.715, high=18.72, low=18.71, close=18.72, volume=95457, vwap=18.7187, timestamp=1688058000000, transactions=424, otc=None)
Agg(open=18.715, high=18.74, low=18.7, close=18.7181, volume=158020, vwap=18.7226, timestamp=1688061600000, transactions=758, otc=None)
Agg(open=18.71, high=18.73, low=18.7, close=18.71, volume=254776, vwap=18.7168, timestamp=1688065200000, transactions=1086, otc=None)
Agg(open=18.7615, high=18.9285, low=18.7615, close=18.78, volume=1093, vwap=18.8025, timestamp=1688126400000, transactions=17, otc=None)
Agg(open=18.78, high=18.8, low=18.74, close=18.7599, volume=123467, vwap=18.7667, timestamp=1688130000000, transactions=579, otc=None)
Agg(open=18.76, high=18.7883, low=18.73, close=18.73, volume=142917, vwap=18.759, timestamp=1688133600000, transactions=933, otc=None)
Agg(open=18.73, high=18.75, low=18.71, close=18.725, volume=108313, vwap=18.7338, timestamp=1688137200000, transactions=582, otc=None)
Agg(open=18.725, high=18.73, low=18.72, close=18.7292, volume=65559, vwap=18.7241, timestamp=1688140800000, transactions=417, otc=None)
Agg(open=18.725, high=18.745, low=18.72, close=18.7289, volume=127594, vwap=18.7317, timestamp=1688144400000, transactions=666, otc=None)
Agg(open=18.7221, high=18.7399, low=18.72, close=18.735, volume=84967, vwap=18.7282, timestamp=1688148000000, transactions=425, otc=None)
Agg(open=18.735, high=18.75, low=18.725, close=18.75, volume=158885, vwap=18.7367, timestamp=1688151600000, transactions=794, otc=None)
Agg(open=18.75, high=18.79, low=18.75, close=18.79, volume=3964, vwap=18.7638, timestamp=1688155200000, transactions=8, otc=None)
Agg(open=18.8, high=18.8, low=18.8, close=18.8, volume=500, vwap=18.8, timestamp=1688158800000, transactions=1, otc=None)
