Agg(open=14.99, high=15, low=14.91, close=14.91, volume=11901, vwap=14.949, timestamp=1688382000000, transactions=16, otc=None)
Agg(open=15, high=15, low=14.95, close=14.95, volume=14192, vwap=14.9764, timestamp=1688385600000, transactions=4, otc=None)
Agg(open=14.95, high=14.97, low=14.9305, close=14.965, volume=101398, vwap=14.9516, timestamp=1688389200000, transactions=175, otc=None)
Agg(open=14.97, high=15.01, low=14.95, close=14.9901, volume=316781, vwap=14.9806, timestamp=1688392800000, transactions=593, otc=None)
Agg(open=15, high=15.01, low=14.98, close=15.01, volume=285039, vwap=14.9941, timestamp=1688396400000, transactions=587, otc=None)
Agg(open=15.005, high=15.01, low=14.98, close=14.985, volume=171199, vwap=14.9956, timestamp=1688400000000, transactions=592, otc=None)
Agg(open=14.94, high=15.01, low=14.94, close=15.01, volume=2700, vwap=15.0048, timestamp=1688403600000, transactions=13, otc=None)
Agg(open=14.99, high=14.99, low=14.93, close=14.93, volume=580, vwap=14.9776, timestamp=1688414400000, transactions=2, otc=None)
Agg(open=15, high=15, low=15, close=15, volume=100, vwap=15, timestamp=1688551200000, transactions=1, otc=None)
Agg(open=15, high=15.05, low=14.96, close=14.9799, volume=176841, vwap=14.9967, timestamp=1688562000000, transactions=268, otc=None)
Agg(open=14.9896, high=15, low=14.945, close=14.975, volume=178588, vwap=14.9811, timestamp=1688565600000, transactions=396, otc=None)
Agg(open=14.975, high=14.9883, low=14.96, close=14.9683, volume=61892, vwap=14.9727, timestamp=1688569200000, transactions=132, otc=None)
Agg(open=14.97, high=14.97, low=14.935, close=14.94, volume=122257, vwap=14.9531, timestamp=1688572800000, transactions=245, otc=None)
Agg(open=14.94, high=14.955, low=14.92, close=14.955, volume=89223, vwap=14.9311, timestamp=1688576400000, transactions=160, otc=None)
Agg(open=14.945, high=14.9499, low=14.9, close=14.905, volume=49573, vwap=14.9134, timestamp=1688580000000, transactions=133, otc=None)
Agg(open=14.9099, high=14.9299, low=14.88, close=14.89, volume=109275, vwap=14.9089, timestamp=1688583600000, transactions=320, otc=None)
Agg(open=14.9, high=14.92, low=14.89, close=14.92, volume=2705, vwap=14.8935, timestamp=1688587200000, transactions=8, otc=None)
Agg(open=14.88, high=14.88, low=14.88, close=14.88, volume=988, vwap=14.88, timestamp=1688594400000, transactions=2, otc=None)
Agg(open=14.88, high=14.88, low=14.88, close=14.88, volume=600, vwap=14.88, timestamp=1688598000000, transactions=1, otc=None)
Agg(open=15, high=15, low=15, close=15, volume=800, vwap=15, timestamp=1688630400000, transactions=2, otc=None)
Agg(open=14.98, high=14.98, low=14.98, close=14.98, volume=2330, vwap=14.98, timestamp=1688637600000, transactions=1, otc=None)
Agg(open=14.88, high=14.88, low=14.88, close=14.88, volume=500, vwap=14.88, timestamp=1688641200000, transactions=3, otc=None)
Agg(open=14.93, high=14.93, low=14.82, close=14.82, volume=10859, vwap=14.8415, timestamp=1688644800000, transactions=20, otc=None)
Agg(open=14.84, high=14.93, low=14.8, close=14.84, volume=530729, vwap=14.8458, timestamp=1688648400000, transactions=639, otc=None)
Agg(open=14.82, high=14.83, low=14.77, close=14.83, volume=159949, vwap=14.8031, timestamp=1688652000000, transactions=315, otc=None)
Agg(open=14.82, high=14.85, low=14.815, close=14.8499, volume=56663, vwap=14.8331, timestamp=1688655600000, transactions=175, otc=None)
Agg(open=14.85, high=14.87, low=14.84, close=14.86, volume=291450, vwap=14.852, timestamp=1688659200000, transactions=566, otc=None)
Agg(open=14.86, high=14.87, low=14.8501, close=14.8675, volume=103114, vwap=14.8626, timestamp=1688662800000, transactions=343, otc=None)
Agg(open=14.865, high=14.88, low=14.86, close=14.87, volume=153750, vwap=14.8681, timestamp=1688666400000, transactions=409, otc=None)
Agg(open=14.865, high=14.88, low=14.85, close=14.85, volume=151335, vwap=14.8606, timestamp=1688670000000, transactions=383, otc=None)
Agg(open=14.85, high=14.85, low=14.8481, close=14.8481, volume=300, vwap=14.8494, timestamp=1688677200000, transactions=2, otc=None)
Agg(open=14.8, high=14.85, low=14.8, close=14.85, volume=362, vwap=14.8276, timestamp=1688680800000, transactions=3, otc=None)
Agg(open=14.88, high=14.88, low=14.88, close=14.88, volume=100, vwap=14.88, timestamp=1688731200000, transactions=1, otc=None)
Agg(open=14.89, high=14.985, low=14.89, close=14.955, volume=165132, vwap=14.9625, timestamp=1688734800000, transactions=230, otc=None)
Agg(open=14.953, high=15.05, low=14.94, close=15.05, volume=234261, vwap=15.0153, timestamp=1688738400000, transactions=332, otc=None)
Agg(open=15.05, high=15.06, low=15.005, close=15.005, volume=175659, vwap=15.0225, timestamp=1688742000000, transactions=306, otc=None)
Agg(open=15.01, high=15.03, low=15.01, close=15.0166, volume=201738, vwap=15.0194, timestamp=1688745600000, transactions=346, otc=None)
Agg(open=15.0127, high=15.03, low=15.01, close=15.025, volume=124956, vwap=15.0196, timestamp=1688749200000, transactions=249, otc=None)
Agg(open=15.025, high=15.03, low=15.005, close=15.005, volume=110721, vwap=15.0164, timestamp=1688752800000, transactions=275, otc=None)
Agg(open=15, high=15.005, low=14.97, close=14.98, volume=349233, vwap=14.9874, timestamp=1688756400000, transactions=789, otc=None)
Agg(open=15.0099, high=15.01, low=15.0099, close=15.01, volume=2666, vwap=15.0099, timestamp=1688767200000, transactions=2, otc=None)
