Agg(open=15.3, high=15.3, low=15.3, close=15.3, volume=200, vwap=15.3, timestamp=1690790400000, transactions=2, otc=None)
Agg(open=15.32, high=15.3576, low=15.29, close=15.3383, volume=77825, vwap=15.323, timestamp=1690808400000, transactions=237, otc=None)
Agg(open=15.3399, high=15.347, low=15.2901, close=15.3061, volume=221796, vwap=15.3188, timestamp=1690812000000, transactions=310, otc=None)
Agg(open=15.3095, high=15.3499, low=15.304, close=15.3399, volume=55135, vwap=15.3269, timestamp=1690815600000, transactions=97, otc=None)
Agg(open=15.335, high=15.3458, low=15.32, close=15.3263, volume=202162, vwap=15.3315, timestamp=1690819200000, transactions=335, otc=None)
Agg(open=15.3294, high=15.3399, low=15.32, close=15.3299, volume=174670, vwap=15.3263, timestamp=1690822800000, transactions=233, otc=None)
Agg(open=15.3209, high=15.34, low=15.3, close=15.3001, volume=237061, vwap=15.3194, timestamp=1690826400000, transactions=303, otc=None)
Agg(open=15.31, high=15.32, low=15.285, close=15.29, volume=171455, vwap=15.3, timestamp=1690830000000, transactions=429, otc=None)
Agg(open=15.27, high=15.3001, low=15.27, close=15.3001, volume=550, vwap=15.2891, timestamp=1690833600000, transactions=3, otc=None)
Agg(open=15.32, high=15.32, low=15.3, close=15.3, volume=490, vwap=15.3082, timestamp=1690837200000, transactions=2, otc=None)
Agg(open=15.25, high=15.25, low=15.25, close=15.25, volume=210, vwap=15.25, timestamp=1690840800000, transactions=1, otc=None)
Agg(open=15.15, high=15.16, low=15.15, close=15.15, volume=12951, vwap=15.1555, timestamp=1690891200000, transactions=12, otc=None)
Agg(open=15.15, high=15.15, low=15.1101, close=15.14, volume=249052, vwap=15.1263, timestamp=1690894800000, transactions=393, otc=None)
Agg(open=15.15, high=15.18, low=15.09, close=15.105, volume=325484, vwap=15.1197, timestamp=1690898400000, transactions=732, otc=None)
Agg(open=15.105, high=15.105, low=15.065, close=15.085, volume=442188, vwap=15.0794, timestamp=1690902000000, transactions=645, otc=None)
Agg(open=15.09, high=15.09, low=15.07, close=15.07, volume=72928, vwap=15.0795, timestamp=1690905600000, transactions=201, otc=None)
Agg(open=15.075, high=15.08, low=15.06, close=15.06, volume=141596, vwap=15.0723, timestamp=1690909200000, transactions=267, otc=None)
Agg(open=15.0697, high=15.1, low=15.0695, close=15.0897, volume=75359, vwap=15.0846, timestamp=1690912800000, transactions=194, otc=None)
Agg(open=15.085, high=15.1, low=15.07, close=15.08, volume=252895, vwap=15.0898, timestamp=1690916400000, transactions=531, otc=None)
Agg(open=15.07, high=15.14, low=15.07, close=15.14, volume=1600, vwap=15.1238, timestamp=1690923600000, transactions=6, otc=None)
Agg(open=15.07, high=15.14, low=15.07, close=15.14, volume=1400, vwap=15.13, timestamp=1690927200000, transactions=4, otc=None)
Agg(open=15.14, high=15.48, low=15.08, close=15.48, volume=2593, vwap=15.174, timestamp=1690930800000, transactions=12, otc=None)
Agg(open=15.2, high=15.2, low=15.15, close=15.15, volume=2000, vwap=15.1601, timestamp=1690974000000, transactions=6, otc=None)
Agg(open=15.2, high=15.2, low=15.1, close=15.1, volume=5216, vwap=15.1165, timestamp=1690977600000, transactions=12, otc=None)
Agg(open=15.1, high=15.135, low=15.09, close=15.1191, volume=201261, vwap=15.1136, timestamp=1690981200000, transactions=311, otc=None)
Agg(open=15.11, high=15.11, low=15.03, close=15.0499, volume=185447, vwap=15.0599, timestamp=1690984800000, transactions=413, otc=None)
Agg(open=15.045, high=15.0599, low=15.03, close=15.0381, volume=262261, vwap=15.0398, timestamp=1690988400000, transactions=409, otc=None)
Agg(open=15.035, high=15.06, low=15.03, close=15.04, volume=61294, vwap=15.0422, timestamp=1690992000000, transactions=195, otc=None)
Agg(open=15.04, high=15.06, low=15.035, close=15.045, volume=128390, vwap=15.0511, timestamp=1690995600000, transactions=250, otc=None)
Agg(open=15.0472, high=15.05, low=15.04, close=15.045, volume=119609, vwap=15.0464, timestamp=1690999200000, transactions=235, otc=None)
Agg(open=15.0496, high=15.05, low=15.03, close=15.04, volume=147897, vwap=15.0355, timestamp=1691002800000, transactions=387, otc=None)
Agg(open=15.01, high=15.01, low=15.01, close=15.01, volume=1000, vwap=15.01, timestamp=1691006400000, transactions=1, otc=None)
Agg(open=15.03, high=15.03, low=15.03, close=15.03, volume=400, vwap=15.03, timestamp=1691013600000, transactions=3, otc=None)
Agg(open=15, high=15, low=15, close=15, volume=300, vwap=15.0001, timestamp=1691049600000, transactions=5, otc=None)
Agg(open=15.04, high=15.05, low=15.02, close=15.02, volume=3035, vwap=15.0396, timestamp=1691064000000, transactions=6, otc=None)
Agg(open=15.02, high=15.0592, low=14.9901, close=15.025, volume=319560, vwap=15.0151, timestamp=1691067600000, transactions=467, otc=None)
Agg(open=15.03, high=15.08, low=15.025, close=15.0505, volume=282193, vwap=15.0531, timestamp=1691071200000, transactions=411, otc=None)
Agg(open=15.0599, high=15.085, low=15.04, close=15.04, volume=193919, vwap=15.0693, timestamp=1691074800000, transactions=287, otc=None)
Agg(open=15.04, high=15.07, low=15.04, close=15.0617, volume=125246, vwap=15.0579, timestamp=1691078400000, transactions=149, otc=None)
Agg(open=15.0699, high=15.07, low=15.05, close=15.055, volume=64976, vwap=15.0588, timestamp=1691082000000, transactions=136, otc=None)
Agg(open=15.055, high=15.0599, low=15.03, close=15.0499, volume=180705, vwap=15.0461, timestamp=1691085600000, transactions=245, otc=None)
Agg(open=15.04, high=15.06, low=15.04, close=15.06, volume=288273, vwap=15.0513, timestamp=1691089200000, transactions=562, otc=None)
Agg(open=15, high=15, low=15, close=15, volume=300, vwap=15.0004, timestamp=1691092800000, transactions=4, otc=None)
Agg(open=15.07, high=15.08, low=15.07, close=15.08, volume=2800, vwap=15.0796, timestamp=1691146800000, transactions=2, otc=None)
Agg(open=15.06, high=15.06, low=15.04, close=15.04, volume=3500, vwap=15.0454, timestamp=1691150400000, transactions=8, otc=None)
Agg(open=15.09, high=15.15, low=15.09, close=15.1199, volume=131810, vwap=15.1236, timestamp=1691154000000, transactions=175, otc=None)
Agg(open=15.115, high=15.14, low=15.085, close=15.095, volume=304141, vwap=15.1076, timestamp=1691157600000, transactions=490, otc=None)
Agg(open=15.095, high=15.13, low=15.08, close=15.125, volume=62269, vwap=15.1143, timestamp=1691161200000, transactions=153, otc=None)
Agg(open=15.1205, high=15.14, low=15.1001, close=15.12, volume=113484, vwap=15.1258, timestamp=1691164800000, transactions=183, otc=None)
Agg(open=15.1196, high=15.13, low=15.11, close=15.125, volume=55116, vwap=15.1183, timestamp=1691168400000, transactions=139, otc=None)
Agg(open=15.12, high=15.12, low=15.1, close=15.115, volume=133091, vwap=15.1118, timestamp=1691172000000, transactions=221, otc=None)
Agg(open=15.1199, high=15.1299, low=15.1, close=15.12, volume=99858, vwap=15.1135, timestamp=1691175600000, transactions=246, otc=None)
Agg(open=15.15, high=15.15, low=15.15, close=15.15, volume=150, vwap=15.15, timestamp=1691186400000, transactions=2, otc=None)
Agg(open=15.15, high=15.15, low=15.15, close=15.15, volume=100, vwap=15.15, timestamp=1691190000000, transactions=1, otc=None)
