Agg(open=14.3, high=14.37, low=14.225, close=14.28, volume=210450, vwap=14.288, timestamp=1700488800000, transactions=1658, otc=None)
Agg(open=14.29, high=14.355, low=14.225, close=14.355, volume=697419, vwap=14.2872, timestamp=1700492400000, transactions=4603, otc=None)
Agg(open=14.355, high=14.43, low=14.34, close=14.41, volume=308801, vwap=14.3839, timestamp=1700496000000, transactions=2197, otc=None)
Agg(open=14.41, high=14.42, low=14.34, close=14.38, volume=183985, vwap=14.3772, timestamp=1700499600000, transactions=1800, otc=None)
Agg(open=14.38, high=14.47, low=14.37, close=14.455, volume=442698, vwap=14.4296, timestamp=1700503200000, transactions=2444, otc=None)
Agg(open=14.455, high=14.49, low=14.44, close=14.47, volume=264586, vwap=14.4661, timestamp=1700506800000, transactions=2300, otc=None)
Agg(open=14.47, high=14.56, low=14.45, close=14.56, volume=1058288.0, vwap=14.5072, timestamp=1700510400000, transactions=6331, otc=None)
Agg(open=14.56, high=14.56, low=14.56, close=14.56, volume=41765, vwap=14.56, timestamp=1700514000000, transactions=30, otc=None)
Agg(open=14.73, high=14.73, low=14.73, close=14.73, volume=389, vwap=14.7298, timestamp=1700568000000, transactions=4, otc=None)
Agg(open=13.75, high=13.75, low=13.75, close=13.75, volume=1059, vwap=13.7754, timestamp=1700571600000, transactions=10, otc=None)
Agg(open=14.41, high=14.48, low=14.26, close=14.26, volume=74732, vwap=14.3437, timestamp=1700575200000, transactions=880, otc=None)
Agg(open=14.26, high=14.355, low=14.19, close=14.34, volume=159037, vwap=14.2763, timestamp=1700578800000, transactions=2020, otc=None)
Agg(open=14.34, high=14.39, low=14.31, close=14.315, volume=141696, vwap=14.3385, timestamp=1700582400000, transactions=1707, otc=None)
Agg(open=14.32, high=14.4, low=14.3, close=14.385, volume=158832, vwap=14.3516, timestamp=1700586000000, transactions=1863, otc=None)
Agg(open=14.385, high=14.41, low=14.335, close=14.365, volume=176811, vwap=14.3726, timestamp=1700589600000, transactions=1962, otc=None)
Agg(open=14.36, high=14.4, low=14.335, close=14.385, volume=227351, vwap=14.3681, timestamp=1700593200000, transactions=2536, otc=None)
Agg(open=14.39, high=14.425, low=14.35, close=14.36, volume=741834, vwap=14.3822, timestamp=1700596800000, transactions=6053, otc=None)
Agg(open=14.37, high=14.37, low=14.37, close=14.37, volume=106995, vwap=14.37, timestamp=1700600400000, transactions=23, otc=None)
Agg(open=14.53, high=14.6263, low=14.36, close=14.43, volume=95343, vwap=14.4426, timestamp=1700661600000, transactions=1004, otc=None)
Agg(open=14.43, high=14.495, low=14.39, close=14.445, volume=116257, vwap=14.4571, timestamp=1700665200000, transactions=1378, otc=None)
Agg(open=14.445, high=14.5, low=14.425, close=14.48, volume=150686, vwap=14.4651, timestamp=1700668800000, transactions=1813, otc=None)
Agg(open=14.4775, high=14.48, low=14.35, close=14.36, volume=116203, vwap=14.4156, timestamp=1700672400000, transactions=1348, otc=None)
Agg(open=14.355, high=14.41, low=14.345, close=14.39, volume=164532, vwap=14.3779, timestamp=1700676000000, transactions=1773, otc=None)
Agg(open=14.39, high=14.42, low=14.315, close=14.355, volume=266749, vwap=14.3703, timestamp=1700679600000, transactions=2663, otc=None)
Agg(open=14.355, high=14.44, low=14.355, close=14.4, volume=530650, vwap=14.4094, timestamp=1700683200000, transactions=4744, otc=None)
Agg(open=14.41, high=14.41, low=14.41, close=14.41, volume=84124, vwap=14.41, timestamp=1700686800000, transactions=29, otc=None)
Agg(open=14.36, high=14.475, low=14.34, close=14.455, volume=70944, vwap=14.4162, timestamp=1700834400000, transactions=777, otc=None)
Agg(open=14.44, high=14.565, low=14.44, close=14.555, volume=130329, vwap=14.5202, timestamp=1700838000000, transactions=1737, otc=None)
Agg(open=14.565, high=14.575, low=14.52, close=14.525, volume=111422, vwap=14.5501, timestamp=1700841600000, transactions=1503, otc=None)
Agg(open=14.525, high=14.57, low=14.505, close=14.55, volume=286576, vwap=14.5446, timestamp=1700845200000, transactions=2883, otc=None)
Agg(open=14.55, high=14.55, low=14.55, close=14.55, volume=700, vwap=14.55, timestamp=1700848800000, transactions=4, otc=None)
