Agg(open=10.53, high=10.54, low=9.91, close=10.005, volume=402912, vwap=10.1965, timestamp=1675692000000, transactions=2123, otc=None)
Agg(open=10, high=10.09, low=9.68, close=9.745, volume=704981, vwap=9.9027, timestamp=1675695600000, transactions=3681, otc=None)
Agg(open=9.745, high=10.105, low=9.71, close=10.095, volume=258653, vwap=9.8406, timestamp=1675699200000, transactions=2859, otc=None)
Agg(open=10.095, high=10.23, low=10.03, close=10.19, volume=122910, vwap=10.1253, timestamp=1675702800000, transactions=1523, otc=None)
Agg(open=10.19, high=10.205, low=10.055, close=10.135, volume=120982, vwap=10.1153, timestamp=1675706400000, transactions=1483, otc=None)
Agg(open=10.135, high=10.185, low=10.095, close=10.13, volume=133097, vwap=10.1462, timestamp=1675710000000, transactions=1800, otc=None)
Agg(open=10.135, high=10.25, low=10.085, close=10.21, volume=466212, vwap=10.1839, timestamp=1675713600000, transactions=4817, otc=None)
Agg(open=10.22, high=10.22, low=10.22, close=10.22, volume=10710, vwap=10.22, timestamp=1675717200000, transactions=11, otc=None)
Agg(open=10.26, high=10.39, low=10.18, close=10.21, volume=50172, vwap=10.2602, timestamp=1675778400000, transactions=719, otc=None)
Agg(open=10.22, high=10.35, low=10.18, close=10.2625, volume=78329, vwap=10.2641, timestamp=1675782000000, transactions=1326, otc=None)
Agg(open=10.265, high=10.41, low=10.265, close=10.41, volume=54179, vwap=10.3544, timestamp=1675785600000, transactions=1034, otc=None)
Agg(open=10.405, high=10.55, low=10.36, close=10.5, volume=215222, vwap=10.4889, timestamp=1675789200000, transactions=1097, otc=None)
Agg(open=10.5, high=10.52, low=10.205, close=10.245, volume=84919, vwap=10.3347, timestamp=1675792800000, transactions=1433, otc=None)
Agg(open=10.25, high=10.46, low=10.25, close=10.41, volume=87490, vwap=10.3939, timestamp=1675796400000, transactions=1398, otc=None)
Agg(open=10.42, high=10.615, low=10.42, close=10.53, volume=315014, vwap=10.526, timestamp=1675800000000, transactions=3679, otc=None)
Agg(open=10.55, high=10.56, low=10.55, close=10.56, volume=11661, vwap=10.5502, timestamp=1675803600000, transactions=7, otc=None)
Agg(open=10.47, high=10.685, low=10.405, close=10.47, volume=31335, vwap=10.4715, timestamp=1675864800000, transactions=324, otc=None)
Agg(open=10.5, high=10.52, low=10.265, close=10.335, volume=28440, vwap=10.3778, timestamp=1675868400000, transactions=569, otc=None)
Agg(open=10.29, high=10.33, low=10.25, close=10.33, volume=29549, vwap=10.2759, timestamp=1675872000000, transactions=638, otc=None)
Agg(open=10.3, high=10.31, low=10.21, close=10.23, volume=31037, vwap=10.2653, timestamp=1675875600000, transactions=666, otc=None)
Agg(open=10.23, high=10.28, low=10.21, close=10.22, volume=25857, vwap=10.2473, timestamp=1675879200000, transactions=551, otc=None)
Agg(open=10.23, high=10.265, low=10.175, close=10.23, volume=31508, vwap=10.2152, timestamp=1675882800000, transactions=555, otc=None)
Agg(open=10.23, high=10.28, low=10.175, close=10.24, volume=226014, vwap=10.2299, timestamp=1675886400000, transactions=2656, otc=None)
Agg(open=10.24, high=10.24, low=10.24, close=10.24, volume=103025, vwap=10.24, timestamp=1675890000000, transactions=7, otc=None)
Agg(open=10.47, high=10.605, low=10.29, close=10.47, volume=42556, vwap=10.4997, timestamp=1675951200000, transactions=530, otc=None)
Agg(open=10.47, high=10.53, low=10.4, close=10.46, volume=35890, vwap=10.4664, timestamp=1675954800000, transactions=684, otc=None)
Agg(open=10.46, high=10.46, low=10.355, close=10.385, volume=32888, vwap=10.4109, timestamp=1675958400000, transactions=670, otc=None)
Agg(open=10.39, high=10.43, low=10.305, close=10.35, volume=29153, vwap=10.377, timestamp=1675962000000, transactions=505, otc=None)
Agg(open=10.35, high=10.37, low=10.305, close=10.315, volume=45820, vwap=10.3358, timestamp=1675965600000, transactions=662, otc=None)
Agg(open=10.32, high=10.36, low=10.3, close=10.31, volume=55506, vwap=10.3286, timestamp=1675969200000, transactions=838, otc=None)
Agg(open=10.31, high=10.31, low=10.2, close=10.21, volume=189862, vwap=10.2472, timestamp=1675972800000, transactions=2473, otc=None)
Agg(open=10.22, high=10.22, low=10.21, close=10.21, volume=127213, vwap=10.21, timestamp=1675976400000, transactions=13, otc=None)
Agg(open=10.05, high=10.17, low=9.95, close=10.08, volume=40194, vwap=10.0873, timestamp=1676037600000, transactions=463, otc=None)
Agg(open=10.05, high=10.14, low=9.975, close=9.975, volume=51774, vwap=10.0648, timestamp=1676041200000, transactions=861, otc=None)
Agg(open=9.975, high=9.995, low=9.8, close=9.815, volume=44000, vwap=9.8984, timestamp=1676044800000, transactions=771, otc=None)
Agg(open=9.81, high=9.89, low=9.805, close=9.86, volume=43752, vwap=9.8331, timestamp=1676048400000, transactions=784, otc=None)
Agg(open=9.87, high=9.905, low=9.84, close=9.855, volume=75378, vwap=9.8671, timestamp=1676052000000, transactions=1074, otc=None)
Agg(open=9.85, high=9.865, low=9.77, close=9.815, volume=70841, vwap=9.8066, timestamp=1676055600000, transactions=1076, otc=None)
Agg(open=9.82, high=9.855, low=9.78, close=9.795, volume=223323, vwap=9.8189, timestamp=1676059200000, transactions=3356, otc=None)
Agg(open=9.8, high=9.8, low=9.8, close=9.8, volume=9354, vwap=9.8, timestamp=1676062800000, transactions=11, otc=None)
