Agg(open=10.95, high=11, low=10.95, close=11, volume=1050, vwap=10.9619, timestamp=1681732800000, transactions=9, otc=None)
Agg(open=10.85, high=11.1, low=10.82, close=11.09, volume=95973, vwap=10.9909, timestamp=1681736400000, transactions=834, otc=None)
Agg(open=11.09, high=11.25, low=11.035, close=11.25, volume=89673, vwap=11.16, timestamp=1681740000000, transactions=1298, otc=None)
Agg(open=11.25, high=11.33, low=11.23, close=11.315, volume=73587, vwap=11.2767, timestamp=1681743600000, transactions=1110, otc=None)
Agg(open=11.315, high=11.46, low=11.31, close=11.45, volume=69699, vwap=11.3857, timestamp=1681747200000, transactions=1117, otc=None)
Agg(open=11.45, high=11.475, low=11.405, close=11.46, volume=73001, vwap=11.4417, timestamp=1681750800000, transactions=1067, otc=None)
Agg(open=11.46, high=11.495, low=11.4401, close=11.48, volume=76988, vwap=11.4707, timestamp=1681754400000, transactions=1069, otc=None)
Agg(open=11.49, high=11.53, low=11.44, close=11.49, volume=246822, vwap=11.4904, timestamp=1681758000000, transactions=3069, otc=None)
Agg(open=11.49, high=11.49, low=11.49, close=11.49, volume=21877, vwap=11.49, timestamp=1681761600000, transactions=6, otc=None)
Agg(open=11.52, high=11.69, low=11.5099, close=11.58, volume=68435, vwap=11.6007, timestamp=1681822800000, transactions=559, otc=None)
Agg(open=11.575, high=11.575, low=11.39, close=11.445, volume=103756, vwap=11.445, timestamp=1681826400000, transactions=1460, otc=None)
Agg(open=11.44, high=11.495, low=11.42, close=11.48, volume=52860, vwap=11.4624, timestamp=1681830000000, transactions=868, otc=None)
Agg(open=11.48, high=11.5, low=11.45, close=11.45, volume=50604, vwap=11.4837, timestamp=1681833600000, transactions=845, otc=None)
Agg(open=11.455, high=11.46, low=11.38, close=11.41, volume=67016, vwap=11.424, timestamp=1681837200000, transactions=1126, otc=None)
Agg(open=11.41, high=11.44, low=11.38, close=11.42, volume=65906, vwap=11.4141, timestamp=1681840800000, transactions=1106, otc=None)
Agg(open=11.415, high=11.51, low=11.39, close=11.5, volume=206397, vwap=11.4543, timestamp=1681844400000, transactions=2903, otc=None)
Agg(open=11.4903, high=11.4903, low=11.35, close=11.35, volume=5188, vwap=11.4858, timestamp=1681848000000, transactions=9, otc=None)
Agg(open=11.35, high=11.455, low=11.31, close=11.4, volume=34942, vwap=11.3862, timestamp=1681909200000, transactions=519, otc=None)
Agg(open=11.405, high=11.55, low=11.375, close=11.53, volume=66541, vwap=11.4732, timestamp=1681912800000, transactions=1016, otc=None)
Agg(open=11.53, high=11.685, low=11.52, close=11.68, volume=69937, vwap=11.593, timestamp=1681916400000, transactions=1222, otc=None)
Agg(open=11.675, high=11.69, low=11.625, close=11.67, volume=55506, vwap=11.6658, timestamp=1681920000000, transactions=1238, otc=None)
Agg(open=11.66, high=11.71, low=11.63, close=11.655, volume=60251, vwap=11.6681, timestamp=1681923600000, transactions=1186, otc=None)
Agg(open=11.66, high=11.67, low=11.63, close=11.635, volume=73826, vwap=11.6478, timestamp=1681927200000, transactions=1189, otc=None)
Agg(open=11.63, high=11.71, low=11.62, close=11.705, volume=303268, vwap=11.665, timestamp=1681930800000, transactions=4510, otc=None)
Agg(open=11.7, high=11.7, low=11.7, close=11.7, volume=8649, vwap=11.7, timestamp=1681934400000, transactions=7, otc=None)
Agg(open=11.58, high=11.75, low=11.57, close=11.7, volume=83704, vwap=11.6578, timestamp=1681995600000, transactions=774, otc=None)
Agg(open=11.69, high=11.76, low=11.63, close=11.68, volume=194532, vwap=11.6998, timestamp=1681999200000, transactions=2056, otc=None)
Agg(open=11.685, high=11.7, low=11.5, close=11.51, volume=263151, vwap=11.595, timestamp=1682002800000, transactions=2609, otc=None)
Agg(open=11.505, high=11.69, low=11.505, close=11.645, volume=92571, vwap=11.6288, timestamp=1682006400000, transactions=1331, otc=None)
Agg(open=11.645, high=11.6599, low=11.525, close=11.53, volume=51652, vwap=11.5982, timestamp=1682010000000, transactions=802, otc=None)
Agg(open=11.53, high=11.54, low=11.46, close=11.485, volume=46341, vwap=11.4867, timestamp=1682013600000, transactions=670, otc=None)
Agg(open=11.485, high=11.49, low=11.43, close=11.445, volume=161378, vwap=11.4601, timestamp=1682017200000, transactions=1974, otc=None)
Agg(open=11.44, high=11.44, low=11.44, close=11.44, volume=16038, vwap=11.44, timestamp=1682020800000, transactions=10, otc=None)
Agg(open=11.6, high=11.6, low=11.6, close=11.6, volume=200, vwap=11.6, timestamp=1682028000000, transactions=1, otc=None)
Agg(open=11.45, high=11.555, low=11.39, close=11.39, volume=40448, vwap=11.46, timestamp=1682082000000, transactions=474, otc=None)
Agg(open=11.39, high=11.42, low=11.355, close=11.385, volume=57041, vwap=11.3839, timestamp=1682085600000, transactions=816, otc=None)
Agg(open=11.395, high=11.415, low=11.34, close=11.35, volume=47278, vwap=11.3703, timestamp=1682089200000, transactions=792, otc=None)
Agg(open=11.35, high=11.385, low=11.31, close=11.335, volume=50623, vwap=11.3468, timestamp=1682092800000, transactions=779, otc=None)
Agg(open=11.335, high=11.35, low=11.292, close=11.345, volume=51982, vwap=11.316, timestamp=1682096400000, transactions=813, otc=None)
Agg(open=11.345, high=11.37, low=11.305, close=11.325, volume=45162, vwap=11.3368, timestamp=1682100000000, transactions=789, otc=None)
Agg(open=11.325, high=11.34, low=11.285, close=11.33, volume=153380, vwap=11.3252, timestamp=1682103600000, transactions=2019, otc=None)
Agg(open=11.32, high=11.32, low=11.32, close=11.32, volume=9206, vwap=11.32, timestamp=1682107200000, transactions=6, otc=None)
