Agg(open=16.14, high=16.14, low=15.98, close=16.08, volume=12635, vwap=16.0445, timestamp=1674464400000, transactions=106, otc=None)
Agg(open=16.09, high=16.1, low=16.04, close=16.09, volume=12506, vwap=16.0652, timestamp=1674468000000, transactions=89, otc=None)
Agg(open=16.09, high=16.14, low=16.06, close=16.13, volume=7694, vwap=16.1061, timestamp=1674471600000, transactions=70, otc=None)
Agg(open=16.12, high=16.25, low=16.08, close=16.22, volume=29955, vwap=16.1753, timestamp=1674475200000, transactions=306, otc=None)
Agg(open=16.15, high=16.36, low=16.0515, close=16.28, volume=156746, vwap=16.26, timestamp=1674478800000, transactions=1012, otc=None)
Agg(open=16.27, high=16.89, low=15.955, close=16.6901, volume=3741133.0, vwap=16.4829, timestamp=1674482400000, transactions=20450, otc=None)
Agg(open=16.7, high=17.35, low=16.65, close=16.94, volume=4765700.0, vwap=17.0347, timestamp=1674486000000, transactions=26263, otc=None)
Agg(open=16.94, high=17.38, low=16.91, close=17.33, volume=2499588.0, vwap=17.1966, timestamp=1674489600000, transactions=14929, otc=None)
Agg(open=17.32, high=17.62, low=17.27, close=17.59, volume=2701007.0, vwap=17.458, timestamp=1674493200000, transactions=15086, otc=None)
Agg(open=17.5901, high=17.64, low=17.26, close=17.385, volume=3012298.0, vwap=17.439, timestamp=1674496800000, transactions=14618, otc=None)
Agg(open=17.38, high=17.49, low=17.19, close=17.2603, volume=2252660.0, vwap=17.3307, timestamp=1674500400000, transactions=13596, otc=None)
Agg(open=17.265, high=17.58, low=17.16, close=17.44, volume=4602582.0, vwap=17.4306, timestamp=1674504000000, transactions=23585, otc=None)
Agg(open=17.44, high=17.52, low=17.41, close=17.52, volume=106082, vwap=17.4443, timestamp=1674507600000, transactions=248, otc=None)
Agg(open=17.5002, high=17.51, low=17.35, close=17.49, volume=29330, vwap=17.449, timestamp=1674511200000, transactions=136, otc=None)
Agg(open=17.4899, high=17.49, low=17.44, close=17.4899, volume=3707, vwap=17.4743, timestamp=1674514800000, transactions=41, otc=None)
Agg(open=17.49, high=17.52, low=17.46, close=17.52, volume=7661, vwap=17.5028, timestamp=1674518400000, transactions=74, otc=None)
Agg(open=17.54, high=17.54, low=17.36, close=17.37, volume=14859, vwap=17.3941, timestamp=1674550800000, transactions=107, otc=None)
Agg(open=17.38, high=17.4, low=17.37, close=17.37, volume=8707, vwap=17.3886, timestamp=1674554400000, transactions=40, otc=None)
Agg(open=17.39, high=17.39, low=17.26, close=17.26, volume=10515, vwap=17.3071, timestamp=1674558000000, transactions=97, otc=None)
Agg(open=17.25, high=17.31, low=17, close=17.11, volume=52629, vwap=17.1557, timestamp=1674561600000, transactions=440, otc=None)
Agg(open=17.28, high=17.3785, low=17, close=17.02, volume=132811, vwap=17.1355, timestamp=1674565200000, transactions=838, otc=None)
Agg(open=17.05, high=17.4887, low=17.02, close=17.1186, volume=2841968.0, vwap=17.2217, timestamp=1674568800000, transactions=14776, otc=None)
Agg(open=17.1172, high=17.43, low=16.9, close=17.325, volume=2433208.0, vwap=17.2263, timestamp=1674572400000, transactions=15206, otc=None)
Agg(open=17.33, high=17.44, low=17.27, close=17.3, volume=1352465.0, vwap=17.3585, timestamp=1674576000000, transactions=7282, otc=None)
Agg(open=17.3032, high=17.365, low=17.18, close=17.255, volume=885272, vwap=17.2952, timestamp=1674579600000, transactions=5210, otc=None)
Agg(open=17.252, high=17.285, low=16.97, close=17.02, volume=1637879.0, vwap=17.083, timestamp=1674583200000, transactions=8979, otc=None)
Agg(open=17.015, high=17.02, low=16.88, close=16.9701, volume=1390574.0, vwap=16.9655, timestamp=1674586800000, transactions=8552, otc=None)
Agg(open=16.97, high=17.01, low=16.67, close=16.72, volume=2952907.0, vwap=16.7787, timestamp=1674590400000, transactions=16701, otc=None)
Agg(open=16.74, high=16.99, low=16.73, close=16.86, volume=138838, vwap=16.8315, timestamp=1674594000000, transactions=457, otc=None)
Agg(open=16.87, high=16.9, low=16.8203, close=16.9, volume=12675, vwap=16.8725, timestamp=1674597600000, transactions=68, otc=None)
Agg(open=16.9, high=16.9, low=16.4, close=16.65, volume=42702, vwap=16.7193, timestamp=1674601200000, transactions=298, otc=None)
Agg(open=16.65, high=16.93, low=16.65, close=16.65, volume=17658, vwap=16.6957, timestamp=1674604800000, transactions=129, otc=None)
Agg(open=16.7, high=16.7, low=16.52, close=16.53, volume=12882, vwap=16.5847, timestamp=1674637200000, transactions=176, otc=None)
Agg(open=16.54, high=16.54, low=16.35, close=16.42, volume=30140, vwap=16.4066, timestamp=1674640800000, transactions=254, otc=None)
Agg(open=16.44, high=16.46, low=16.42, close=16.42, volume=2851, vwap=16.4407, timestamp=1674644400000, transactions=55, otc=None)
