Agg(open=14.69, high=14.7, low=14.6, close=14.6, volume=1595, vwap=14.6895, timestamp=1698667200000, transactions=7, otc=None)
Agg(open=14.6, high=14.83, low=14.56, close=14.6, volume=443470, vwap=14.6842, timestamp=1698670800000, transactions=2929, otc=None)
Agg(open=14.595, high=14.625, low=14.25, close=14.31, volume=896062, vwap=14.3958, timestamp=1698674400000, transactions=5828, otc=None)
Agg(open=14.31, high=14.43, low=14.3, close=14.41, volume=861675, vwap=14.3733, timestamp=1698678000000, transactions=4865, otc=None)
Agg(open=14.415, high=14.44, low=14.32, close=14.325, volume=530693, vwap=14.3971, timestamp=1698681600000, transactions=3653, otc=None)
Agg(open=14.325, high=14.42, low=14.29, close=14.4, volume=789995, vwap=14.3524, timestamp=1698685200000, transactions=5046, otc=None)
Agg(open=14.4, high=14.44, low=14.31, close=14.37, volume=948700, vwap=14.3715, timestamp=1698688800000, transactions=5147, otc=None)
Agg(open=14.37, high=14.51, low=14.37, close=14.48, volume=1538036.0, vwap=14.4661, timestamp=1698692400000, transactions=9372, otc=None)
Agg(open=14.48, high=14.48, low=14.48, close=14.48, volume=34749, vwap=14.48, timestamp=1698696000000, transactions=20, otc=None)
Agg(open=14.41, high=14.41, low=14.41, close=14.41, volume=250, vwap=14.41, timestamp=1698750000000, transactions=3, otc=None)
Agg(open=14.43, high=14.45, low=14.43, close=14.45, volume=805, vwap=14.4474, timestamp=1698753600000, transactions=5, otc=None)
Agg(open=14.5, high=14.56, low=14.28, close=14.54, volume=613089, vwap=14.4197, timestamp=1698757200000, transactions=4585, otc=None)
Agg(open=14.545, high=14.74, low=14.495, close=14.605, volume=1852874.0, vwap=14.6168, timestamp=1698760800000, transactions=11910, otc=None)
Agg(open=14.605, high=14.74, low=14.5999, close=14.655, volume=1869183.0, vwap=14.6704, timestamp=1698764400000, transactions=10688, otc=None)
Agg(open=14.66, high=14.73, low=14.635, close=14.72, volume=1296163.0, vwap=14.6749, timestamp=1698768000000, transactions=8945, otc=None)
Agg(open=14.715, high=14.72, low=14.52, close=14.595, volume=1394465.0, vwap=14.6015, timestamp=1698771600000, transactions=8579, otc=None)
Agg(open=14.595, high=14.63, low=14.335, close=14.505, volume=3675966.0, vwap=14.4569, timestamp=1698775200000, transactions=13395, otc=None)
Agg(open=14.505, high=14.66, low=14.48, close=14.565, volume=6820616.0, vwap=14.5579, timestamp=1698778800000, transactions=26247, otc=None)
Agg(open=14.57, high=14.65, low=14.3, close=14.57, volume=7185989.0, vwap=14.5693, timestamp=1698782400000, transactions=168, otc=None)
Agg(open=14.7424, high=14.7424, low=14.7424, close=14.7424, volume=500, vwap=14.7424, timestamp=1698786000000, transactions=1, otc=None)
Agg(open=14.49, high=14.49, low=14.49, close=14.49, volume=350, vwap=14.49, timestamp=1698789600000, transactions=3, otc=None)
Agg(open=14.6, high=14.6, low=14.6, close=14.6, volume=150, vwap=14.6019, timestamp=1698836400000, transactions=2, otc=None)
Agg(open=14.66, high=14.74, low=14.56, close=14.65, volume=5495, vwap=14.6262, timestamp=1698840000000, transactions=29, otc=None)
Agg(open=14.66, high=14.7, low=14.32, close=14.43, volume=806819, vwap=14.4455, timestamp=1698843600000, transactions=5202, otc=None)
Agg(open=14.44, high=14.7, low=14.435, close=14.675, volume=1359995.0, vwap=14.5669, timestamp=1698847200000, transactions=8971, otc=None)
