Agg(open=6.23, high=6.23, low=6.23, close=6.23, volume=2155, vwap=6.2295, timestamp=1687258800000, transactions=12, otc=None)
Agg(open=6.24, high=6.25, low=6.23, close=6.25, volume=4356, vwap=6.24, timestamp=1687262400000, transactions=34, otc=None)
Agg(open=6.2499, high=6.2499, low=6.2, close=6.21, volume=163643, vwap=6.214, timestamp=1687266000000, transactions=1544, otc=None)
Agg(open=6.2031, high=6.22, low=6.2, close=6.205, volume=132495, vwap=6.2079, timestamp=1687269600000, transactions=1269, otc=None)
Agg(open=6.21, high=6.235, low=6.205, close=6.225, volume=121966, vwap=6.2189, timestamp=1687273200000, transactions=1071, otc=None)
Agg(open=6.2299, high=6.235, low=6.21, close=6.225, volume=89902, vwap=6.2223, timestamp=1687276800000, transactions=786, otc=None)
Agg(open=6.2246, high=6.23, low=6.21, close=6.215, volume=120602, vwap=6.2222, timestamp=1687280400000, transactions=689, otc=None)
Agg(open=6.21, high=6.22, low=6.21, close=6.2159, volume=84237, vwap=6.2141, timestamp=1687284000000, transactions=620, otc=None)
Agg(open=6.215, high=6.22, low=6.19, close=6.195, volume=323253, vwap=6.2012, timestamp=1687287600000, transactions=2134, otc=None)
Agg(open=6.18, high=6.23, low=6.18, close=6.19, volume=15062, vwap=6.1993, timestamp=1687291200000, transactions=13, otc=None)
Agg(open=6.2, high=6.2, low=6.2, close=6.2, volume=7997, vwap=6.2, timestamp=1687294800000, transactions=7, otc=None)
Agg(open=6.2, high=6.2, low=6.19, close=6.19, volume=545, vwap=6.1974, timestamp=1687298400000, transactions=4, otc=None)
Agg(open=6.2, high=6.25, low=6.2, close=6.24, volume=5272, vwap=6.2092, timestamp=1687302000000, transactions=15, otc=None)
Agg(open=6.23, high=6.23, low=6.23, close=6.23, volume=201, vwap=6.2308, timestamp=1687334400000, transactions=3, otc=None)
Agg(open=6.2499, high=6.25, low=6.23, close=6.23, volume=944, vwap=6.2435, timestamp=1687348800000, transactions=19, otc=None)
Agg(open=6.2, high=6.22, low=6.15, close=6.19, volume=210545, vwap=6.1789, timestamp=1687352400000, transactions=1286, otc=None)
Agg(open=6.185, high=6.21, low=6.18, close=6.19, volume=243091, vwap=6.1954, timestamp=1687356000000, transactions=1524, otc=None)
Agg(open=6.19, high=6.205, low=6.18, close=6.195, volume=149685, vwap=6.1902, timestamp=1687359600000, transactions=1162, otc=None)
Agg(open=6.2, high=6.21, low=6.18, close=6.18, volume=118166, vwap=6.1976, timestamp=1687363200000, transactions=924, otc=None)
Agg(open=6.18, high=6.19, low=6.18, close=6.185, volume=80826, vwap=6.1843, timestamp=1687366800000, transactions=835, otc=None)
Agg(open=6.185, high=6.2, low=6.18, close=6.19, volume=118345, vwap=6.1912, timestamp=1687370400000, transactions=941, otc=None)
Agg(open=6.19, high=6.1999, low=6.17, close=6.17, volume=248692, vwap=6.1771, timestamp=1687374000000, transactions=1928, otc=None)
Agg(open=6.17, high=6.19, low=6.17, close=6.19, volume=25174, vwap=6.1708, timestamp=1687377600000, transactions=13, otc=None)
Agg(open=6.18, high=6.19, low=6.17, close=6.17, volume=2014, vwap=6.1841, timestamp=1687381200000, transactions=15, otc=None)
Agg(open=6.17, high=6.19, low=6.17, close=6.19, volume=394, vwap=6.1848, timestamp=1687384800000, transactions=2, otc=None)
Agg(open=6.19, high=6.19, low=6.19, close=6.19, volume=335, vwap=6.19, timestamp=1687388400000, transactions=3, otc=None)
Agg(open=6.17, high=6.17, low=6.17, close=6.17, volume=1751, vwap=6.17, timestamp=1687431600000, transactions=18, otc=None)
Agg(open=6.2097, high=6.23, low=6.16, close=6.23, volume=3243, vwap=6.1898, timestamp=1687435200000, transactions=36, otc=None)
Agg(open=6.19, high=6.19, low=6.13, close=6.145, volume=243795, vwap=6.1523, timestamp=1687438800000, transactions=1634, otc=None)
Agg(open=6.149, high=6.1986, low=6.13, close=6.135, volume=277613, vwap=6.1627, timestamp=1687442400000, transactions=2057, otc=None)
Agg(open=6.135, high=6.15, low=6.13, close=6.14, volume=113820, vwap=6.1391, timestamp=1687446000000, transactions=1175, otc=None)
Agg(open=6.145, high=6.155, low=6.13, close=6.13, volume=103717, vwap=6.1436, timestamp=1687449600000, transactions=1253, otc=None)
Agg(open=6.13, high=6.15, low=6.13, close=6.145, volume=77992, vwap=6.1416, timestamp=1687453200000, transactions=816, otc=None)
Agg(open=6.15, high=6.16, low=6.13, close=6.1584, volume=279650, vwap=6.1419, timestamp=1687456800000, transactions=1366, otc=None)
Agg(open=6.15, high=6.165, low=6.13, close=6.14, volume=299402, vwap=6.1439, timestamp=1687460400000, transactions=1939, otc=None)
Agg(open=6.15, high=6.16, low=6.15, close=6.16, volume=10759, vwap=6.1512, timestamp=1687464000000, transactions=18, otc=None)
Agg(open=6.16, high=6.17, low=6.16, close=6.17, volume=426, vwap=6.1648, timestamp=1687467600000, transactions=4, otc=None)
Agg(open=6.17, high=6.17, low=6.17, close=6.17, volume=264, vwap=6.17, timestamp=1687471200000, transactions=2, otc=None)
Agg(open=6.15, high=6.15, low=6.15, close=6.15, volume=100, vwap=6.15, timestamp=1687474800000, transactions=1, otc=None)
Agg(open=6.15, high=6.15, low=6.15, close=6.15, volume=600, vwap=6.15, timestamp=1687507200000, transactions=5, otc=None)
Agg(open=6.15, high=6.15, low=6.15, close=6.15, volume=132, vwap=6.1503, timestamp=1687514400000, transactions=6, otc=None)
Agg(open=6.1795, high=6.18, low=6.13, close=6.14, volume=5906, vwap=6.1405, timestamp=1687521600000, transactions=72, otc=None)
Agg(open=6.14, high=6.14, low=6.09, close=6.115, volume=256093, vwap=6.1063, timestamp=1687525200000, transactions=1377, otc=None)
Agg(open=6.11, high=6.12, low=6.09, close=6.095, volume=165994, vwap=6.1094, timestamp=1687528800000, transactions=1645, otc=None)
Agg(open=6.095, high=6.11, low=6.09, close=6.1, volume=207026, vwap=6.0967, timestamp=1687532400000, transactions=1507, otc=None)
Agg(open=6.095, high=6.12, low=6.095, close=6.11, volume=84541, vwap=6.1089, timestamp=1687536000000, transactions=962, otc=None)
Agg(open=6.115, high=6.1294, low=6.11, close=6.12, volume=89997, vwap=6.1162, timestamp=1687539600000, transactions=924, otc=None)
Agg(open=6.125, high=6.1295, low=6.1, close=6.1, volume=154295, vwap=6.1081, timestamp=1687543200000, transactions=1189, otc=None)
Agg(open=6.1, high=6.12, low=6.09, close=6.11, volume=261374, vwap=6.1068, timestamp=1687546800000, transactions=2075, otc=None)
Agg(open=6.1, high=6.12, low=6.09, close=6.12, volume=4469, vwap=6.1069, timestamp=1687550400000, transactions=23, otc=None)
Agg(open=6.11, high=6.11, low=6.11, close=6.11, volume=201, vwap=6.11, timestamp=1687554000000, transactions=2, otc=None)
Agg(open=6.11, high=6.12, low=6.1099, close=6.12, volume=731, vwap=6.115, timestamp=1687557600000, transactions=7, otc=None)
