Agg(open=7.74, high=7.74, low=7.74, close=7.74, volume=200, vwap=7.74, timestamp=1687766400000, transactions=1, otc=None)
Agg(open=7.76, high=7.76, low=7.74, close=7.75, volume=7539, vwap=7.7511, timestamp=1687777200000, transactions=8, otc=None)
Agg(open=7.74, high=7.78, low=7.73, close=7.78, volume=56992, vwap=7.769, timestamp=1687780800000, transactions=18, otc=None)
Agg(open=7.79, high=7.79, low=7.73, close=7.7599, volume=489452, vwap=7.7464, timestamp=1687784400000, transactions=678, otc=None)
Agg(open=7.7512, high=7.81, low=7.75, close=7.79, volume=213198, vwap=7.7837, timestamp=1687788000000, transactions=487, otc=None)
Agg(open=7.79, high=7.83, low=7.79, close=7.81, volume=182231, vwap=7.8091, timestamp=1687791600000, transactions=376, otc=None)
Agg(open=7.8005, high=7.81, low=7.78, close=7.8, volume=390978, vwap=7.787, timestamp=1687795200000, transactions=220, otc=None)
Agg(open=7.8027, high=7.82, low=7.8, close=7.8155, volume=75154, vwap=7.8053, timestamp=1687798800000, transactions=159, otc=None)
Agg(open=7.815, high=7.82, low=7.8, close=7.8099, volume=101654, vwap=7.8092, timestamp=1687802400000, transactions=161, otc=None)
Agg(open=7.8007, high=7.81, low=7.79, close=7.79, volume=321699, vwap=7.805, timestamp=1687806000000, transactions=537, otc=None)
Agg(open=7.81, high=7.81, low=7.81, close=7.81, volume=4819, vwap=7.81, timestamp=1687809600000, transactions=6, otc=None)
Agg(open=7.71, high=7.71, low=7.71, close=7.71, volume=250, vwap=7.71, timestamp=1687813200000, transactions=1, otc=None)
Agg(open=7.81, high=7.81, low=7.81, close=7.81, volume=625, vwap=7.81, timestamp=1687816800000, transactions=1, otc=None)
Agg(open=7.85, high=7.85, low=7.85, close=7.85, volume=381, vwap=7.85, timestamp=1687863600000, transactions=1, otc=None)
Agg(open=7.79, high=7.84, low=7.79, close=7.84, volume=5000, vwap=7.8355, timestamp=1687867200000, transactions=10, otc=None)
Agg(open=7.85, high=7.9, low=7.8499, close=7.85, volume=259121, vwap=7.8752, timestamp=1687870800000, transactions=279, otc=None)
Agg(open=7.85, high=7.85, low=7.7901, close=7.8351, volume=288651, vwap=7.8324, timestamp=1687874400000, transactions=448, otc=None)
Agg(open=7.84, high=7.84, low=7.81, close=7.81, volume=245264, vwap=7.8238, timestamp=1687878000000, transactions=383, otc=None)
Agg(open=7.815, high=7.82, low=7.81, close=7.815, volume=69623, vwap=7.8184, timestamp=1687881600000, transactions=106, otc=None)
Agg(open=7.82, high=7.83, low=7.79, close=7.799, volume=138159, vwap=7.8058, timestamp=1687885200000, transactions=188, otc=None)
Agg(open=7.79, high=7.81, low=7.78, close=7.81, volume=187379, vwap=7.7941, timestamp=1687888800000, transactions=307, otc=None)
Agg(open=7.81, high=7.84, low=7.81, close=7.84, volume=403750, vwap=7.8287, timestamp=1687892400000, transactions=549, otc=None)
Agg(open=7.84, high=7.84, low=7.84, close=7.84, volume=250, vwap=7.84, timestamp=1687896000000, transactions=1, otc=None)
Agg(open=7.84, high=7.84, low=7.84, close=7.84, volume=550, vwap=7.84, timestamp=1687906800000, transactions=2, otc=None)
Agg(open=7.8, high=7.81, low=7.78, close=7.78, volume=36201, vwap=7.791, timestamp=1687953600000, transactions=108, otc=None)
Agg(open=7.78, high=7.8, low=7.73, close=7.8, volume=208114, vwap=7.7684, timestamp=1687957200000, transactions=209, otc=None)
Agg(open=7.79, high=7.82, low=7.77, close=7.7889, volume=474509, vwap=7.799, timestamp=1687960800000, transactions=635, otc=None)
Agg(open=7.79, high=7.83, low=7.79, close=7.815, volume=195177, vwap=7.8183, timestamp=1687964400000, transactions=291, otc=None)
Agg(open=7.8109, high=7.82, low=7.8, close=7.815, volume=226212, vwap=7.8118, timestamp=1687968000000, transactions=143, otc=None)
Agg(open=7.8199, high=7.82, low=7.79, close=7.795, volume=299076, vwap=7.8101, timestamp=1687971600000, transactions=331, otc=None)
Agg(open=7.795, high=7.8, low=7.79, close=7.7999, volume=50433, vwap=7.7968, timestamp=1687975200000, transactions=129, otc=None)
Agg(open=7.795, high=7.8, low=7.77, close=7.775, volume=180684, vwap=7.7843, timestamp=1687978800000, transactions=380, otc=None)
Agg(open=7.76, high=7.76, low=7.76, close=7.76, volume=100, vwap=7.76, timestamp=1687986000000, transactions=1, otc=None)
Agg(open=7.76, high=7.76, low=7.76, close=7.76, volume=400, vwap=7.76, timestamp=1687989600000, transactions=1, otc=None)
Agg(open=7.8398, high=7.8398, low=7.72, close=7.72, volume=7813, vwap=7.7641, timestamp=1688040000000, transactions=49, otc=None)
Agg(open=7.73, high=7.74, low=7.64, close=7.67, volume=185135, vwap=7.6662, timestamp=1688043600000, transactions=392, otc=None)
Agg(open=7.6899, high=7.76, low=7.6665, close=7.75, volume=137561, vwap=7.7184, timestamp=1688047200000, transactions=293, otc=None)
Agg(open=7.75, high=7.76, low=7.73, close=7.74, volume=88641, vwap=7.7441, timestamp=1688050800000, transactions=179, otc=None)
Agg(open=7.738, high=7.75, low=7.7209, close=7.74, volume=57370, vwap=7.7381, timestamp=1688054400000, transactions=122, otc=None)
Agg(open=7.7499, high=7.75, low=7.72, close=7.72, volume=110082, vwap=7.7297, timestamp=1688058000000, transactions=167, otc=None)
Agg(open=7.72, high=7.7399, low=7.72, close=7.7283, volume=148076, vwap=7.7263, timestamp=1688061600000, transactions=136, otc=None)
Agg(open=7.72, high=7.73, low=7.71, close=7.725, volume=127486, vwap=7.7232, timestamp=1688065200000, transactions=265, otc=None)
Agg(open=7.73, high=7.74, low=7.73, close=7.74, volume=3900, vwap=7.7326, timestamp=1688068800000, transactions=3, otc=None)
Agg(open=7.77, high=7.77, low=7.77, close=7.77, volume=3317, vwap=7.77, timestamp=1688076000000, transactions=2, otc=None)
Agg(open=7.72, high=7.72, low=7.72, close=7.72, volume=100, vwap=7.72, timestamp=1688122800000, transactions=1, otc=None)
Agg(open=7.72, high=7.7201, low=7.69, close=7.69, volume=24384, vwap=7.712, timestamp=1688126400000, transactions=27, otc=None)
Agg(open=7.7, high=7.7199, low=7.675, close=7.7, volume=210696, vwap=7.6926, timestamp=1688130000000, transactions=255, otc=None)
Agg(open=7.7, high=7.8, low=7.695, close=7.785, volume=350858, vwap=7.7699, timestamp=1688133600000, transactions=445, otc=None)
Agg(open=7.785, high=7.8099, low=7.765, close=7.805, volume=404312, vwap=7.7932, timestamp=1688137200000, transactions=490, otc=None)
Agg(open=7.805, high=7.83, low=7.8, close=7.815, volume=214040, vwap=7.8141, timestamp=1688140800000, transactions=230, otc=None)
Agg(open=7.82, high=7.84, low=7.79, close=7.8065, volume=297887, vwap=7.8205, timestamp=1688144400000, transactions=177, otc=None)
Agg(open=7.8066, high=7.81, low=7.8, close=7.805, volume=131802, vwap=7.8056, timestamp=1688148000000, transactions=205, otc=None)
Agg(open=7.81, high=7.82, low=7.8, close=7.8, volume=402708, vwap=7.8054, timestamp=1688151600000, transactions=700, otc=None)
Agg(open=7.82, high=7.83, low=7.81, close=7.81, volume=33722, vwap=7.8201, timestamp=1688155200000, transactions=17, otc=None)
Agg(open=7.83, high=7.83, low=7.83, close=7.83, volume=2150, vwap=7.83, timestamp=1688158800000, transactions=3, otc=None)
Agg(open=7.82, high=7.82, low=7.82, close=7.82, volume=2000, vwap=7.82, timestamp=1688166000000, transactions=6, otc=None)
