Agg(open=15.05, high=15.2, low=15, close=15.03, volume=401863, vwap=15.0644, timestamp=1694437200000, transactions=3340, otc=None)
Agg(open=15.035, high=15.26, low=14.865, close=15.195, volume=649306, vwap=15.0985, timestamp=1694440800000, transactions=6546, otc=None)
Agg(open=15.2, high=15.205, low=14.99, close=15.085, volume=537337, vwap=15.0693, timestamp=1694444400000, transactions=4951, otc=None)
Agg(open=15.085, high=15.19, low=15.085, close=15.155, volume=473481, vwap=15.1487, timestamp=1694448000000, transactions=4890, otc=None)
Agg(open=15.155, high=15.225, low=15.1099, close=15.14, volume=557190, vwap=15.1758, timestamp=1694451600000, transactions=5806, otc=None)
Agg(open=15.135, high=15.1886, low=15.085, close=15.085, volume=508138, vwap=15.1342, timestamp=1694455200000, transactions=5523, otc=None)
Agg(open=15.09, high=15.115, low=15.005, close=15.07, volume=1213764.0, vwap=15.0659, timestamp=1694458800000, transactions=10428, otc=None)
Agg(open=15.06, high=15.06, low=15.06, close=15.06, volume=589878, vwap=15.06, timestamp=1694462400000, transactions=23, otc=None)
Agg(open=14.88, high=14.88, low=14.88, close=14.88, volume=3000, vwap=14.88, timestamp=1694520000000, transactions=1, otc=None)
Agg(open=15.24, high=15.47, low=15.21, close=15.385, volume=231200, vwap=15.3737, timestamp=1694523600000, transactions=2855, otc=None)
Agg(open=15.39, high=15.48, low=15.345, close=15.43, volume=889911, vwap=15.4213, timestamp=1694527200000, transactions=7564, otc=None)
Agg(open=15.43, high=15.76, low=15.405, close=15.745, volume=1288501.0, vwap=15.5425, timestamp=1694530800000, transactions=8636, otc=None)
Agg(open=15.745, high=15.815, low=15.67, close=15.795, volume=675157, vwap=15.7491, timestamp=1694534400000, transactions=6569, otc=None)
Agg(open=15.79, high=15.9, low=15.78, close=15.81, volume=611974, vwap=15.8449, timestamp=1694538000000, transactions=5826, otc=None)
Agg(open=15.815, high=15.815, low=15.69, close=15.745, volume=711672, vwap=15.7535, timestamp=1694541600000, transactions=6002, otc=None)
Agg(open=15.74, high=15.76, low=15.67, close=15.735, volume=2282172.0, vwap=15.7312, timestamp=1694545200000, transactions=17640, otc=None)
Agg(open=15.74, high=15.74, low=15.74, close=15.74, volume=36762, vwap=15.74, timestamp=1694548800000, transactions=24, otc=None)
Agg(open=15.74, high=15.74, low=15.74, close=15.74, volume=400, vwap=15.74, timestamp=1694556000000, transactions=1, otc=None)
Agg(open=15.74, high=15.74, low=15.74, close=15.74, volume=397, vwap=15.74, timestamp=1694559600000, transactions=2, otc=None)
Agg(open=15.8, high=15.8, low=15.8, close=15.8, volume=100, vwap=15.8, timestamp=1694606400000, transactions=1, otc=None)
Agg(open=15.89, high=15.92, low=15.695, close=15.79, volume=451383, vwap=15.7766, timestamp=1694610000000, transactions=4323, otc=None)
Agg(open=15.79, high=16.01, low=15.66, close=15.965, volume=1877027.0, vwap=15.8473, timestamp=1694613600000, transactions=13650, otc=None)
Agg(open=15.965, high=15.97, low=15.72, close=15.72, volume=898729, vwap=15.8853, timestamp=1694617200000, transactions=8400, otc=None)
Agg(open=15.725, high=15.7664, low=15.655, close=15.755, volume=675868, vwap=15.6998, timestamp=1694620800000, transactions=5813, otc=None)
Agg(open=15.758, high=15.79, low=15.68, close=15.705, volume=570580, vwap=15.7539, timestamp=1694624400000, transactions=4821, otc=None)
Agg(open=15.705, high=15.8, low=15.7, close=15.745, volume=804625, vwap=15.7582, timestamp=1694628000000, transactions=6392, otc=None)
Agg(open=15.745, high=15.76, low=15.665, close=15.735, volume=1470661.0, vwap=15.7244, timestamp=1694631600000, transactions=10633, otc=None)
Agg(open=15.73, high=15.73, low=15.73, close=15.73, volume=170812, vwap=15.73, timestamp=1694635200000, transactions=18, otc=None)
Agg(open=15.9, high=15.9, low=15.9, close=15.9, volume=200, vwap=15.9, timestamp=1694685600000, transactions=1, otc=None)
Agg(open=15.9, high=16.348, low=15.9, close=16.348, volume=329, vwap=16.0362, timestamp=1694692800000, transactions=3, otc=None)
Agg(open=16, high=16.076, low=15.78, close=15.9738, volume=513160, vwap=15.9375, timestamp=1694696400000, transactions=2874, otc=None)
Agg(open=15.98, high=16.11, low=15.96, close=16.095, volume=709952, vwap=16.0281, timestamp=1694700000000, transactions=5811, otc=None)
Agg(open=16.095, high=16.14, low=16.04, close=16.1, volume=456431, vwap=16.0943, timestamp=1694703600000, transactions=5088, otc=None)
Agg(open=16.095, high=16.175, low=16.09, close=16.155, volume=360892, vwap=16.1405, timestamp=1694707200000, transactions=3975, otc=None)
Agg(open=16.155, high=16.17, low=16.015, close=16.045, volume=396722, vwap=16.0922, timestamp=1694710800000, transactions=4078, otc=None)
Agg(open=16.045, high=16.055, low=15.83, close=15.89, volume=746728, vwap=15.92, timestamp=1694714400000, transactions=5933, otc=None)
Agg(open=15.9, high=15.915, low=15.78, close=15.825, volume=1157248.0, vwap=15.8199, timestamp=1694718000000, transactions=10170, otc=None)
Agg(open=15.81, high=15.91, low=15.81, close=15.91, volume=34416, vwap=15.8142, timestamp=1694721600000, transactions=20, otc=None)
Agg(open=15.84, high=15.84, low=15.84, close=15.84, volume=753, vwap=15.8307, timestamp=1694779200000, transactions=12, otc=None)
