Agg(open=14.51, high=14.51, low=14.5, close=14.5, volume=1061, vwap=14.5009, timestamp=1695639600000, transactions=2, otc=None)
Agg(open=14.2, high=14.2, low=14.2, close=14.2, volume=100, vwap=14.2, timestamp=1695643200000, transactions=1, otc=None)
Agg(open=14.35, high=14.515, low=14.23, close=14.49, volume=315193, vwap=14.3705, timestamp=1695646800000, transactions=3398, otc=None)
Agg(open=14.48, high=14.54, low=14.395, close=14.475, volume=248753, vwap=14.4656, timestamp=1695650400000, transactions=3930, otc=None)
Agg(open=14.475, high=14.655, low=14.4625, close=14.63, volume=208649, vwap=14.5796, timestamp=1695654000000, transactions=3276, otc=None)
Agg(open=14.635, high=14.68, low=14.575, close=14.61, volume=274883, vwap=14.6358, timestamp=1695657600000, transactions=3883, otc=None)
Agg(open=14.61, high=14.67, low=14.595, close=14.65, volume=265669, vwap=14.638, timestamp=1695661200000, transactions=3519, otc=None)
Agg(open=14.65, high=14.66, low=14.555, close=14.57, volume=245005, vwap=14.6006, timestamp=1695664800000, transactions=3550, otc=None)
Agg(open=14.57, high=14.65, low=14.51, close=14.65, volume=862143, vwap=14.6003, timestamp=1695668400000, transactions=7728, otc=None)
Agg(open=14.63, high=14.63, low=14.63, close=14.63, volume=54575, vwap=14.63, timestamp=1695672000000, transactions=21, otc=None)
Agg(open=14.42, high=14.64, low=14.36, close=14.62, volume=246591, vwap=14.5561, timestamp=1695733200000, transactions=2062, otc=None)
Agg(open=14.62, high=14.685, low=14.415, close=14.5561, volume=363996, vwap=14.5641, timestamp=1695736800000, transactions=3378, otc=None)
Agg(open=14.56, high=14.58, low=14.5, close=14.56, volume=254634, vwap=14.5421, timestamp=1695740400000, transactions=2627, otc=None)
Agg(open=14.57, high=14.62, low=14.505, close=14.505, volume=352270, vwap=14.564, timestamp=1695744000000, transactions=3254, otc=None)
Agg(open=14.505, high=14.51, low=14.34, close=14.425, volume=481135, vwap=14.4179, timestamp=1695747600000, transactions=3984, otc=None)
