Agg(open=5.68, high=5.71, low=5.68, close=5.71, volume=881, vwap=5.6979, timestamp=1673254800000, transactions=9, otc=None)
Agg(open=5.71, high=5.72, low=5.71, close=5.72, volume=1631, vwap=5.7182, timestamp=1673258400000, transactions=5, otc=None)
Agg(open=5.72, high=5.86, low=5.71, close=5.71, volume=6776, vwap=5.8327, timestamp=1673262000000, transactions=26, otc=None)
Agg(open=5.75, high=5.77, low=5.73, close=5.75, volume=9847, vwap=5.7489, timestamp=1673265600000, transactions=31, otc=None)
Agg(open=5.7983, high=5.85, low=5.72, close=5.75, volume=28015, vwap=5.7527, timestamp=1673269200000, transactions=113, otc=None)
Agg(open=5.77, high=6.12, low=5.735, close=6.12, volume=1140883.0, vwap=5.9237, timestamp=1673272800000, transactions=5468, otc=None)
Agg(open=6.1175, high=6.24, low=6.06, close=6.0953, volume=1956579.0, vwap=6.1435, timestamp=1673276400000, transactions=8434, otc=None)
Agg(open=6.1, high=6.355, low=6.0915, close=6.33, volume=1274424.0, vwap=6.265, timestamp=1673280000000, transactions=5687, otc=None)
Agg(open=6.33, high=6.35, low=6.22, close=6.3, volume=897188, vwap=6.3011, timestamp=1673283600000, transactions=4775, otc=None)
Agg(open=6.295, high=6.45, low=6.26, close=6.285, volume=1132338.0, vwap=6.3619, timestamp=1673287200000, transactions=5304, otc=None)
Agg(open=6.28, high=6.375, low=6.24, close=6.2492, volume=880994, vwap=6.327, timestamp=1673290800000, transactions=3677, otc=None)
Agg(open=6.245, high=6.35, low=6.205, close=6.31, volume=2214487.0, vwap=6.2973, timestamp=1673294400000, transactions=9765, otc=None)
Agg(open=6.3, high=6.32, low=6.2306, close=6.3, volume=7066, vwap=6.3015, timestamp=1673298000000, transactions=37, otc=None)
Agg(open=6.31, high=6.31, low=6.27, close=6.31, volume=1600, vwap=6.2955, timestamp=1673301600000, transactions=12, otc=None)
Agg(open=6.28, high=6.31, low=6.27, close=6.31, volume=1301, vwap=6.2779, timestamp=1673305200000, transactions=9, otc=None)
Agg(open=6.2601, high=6.27, low=6.2601, close=6.27, volume=3711, vwap=6.262, timestamp=1673308800000, transactions=5, otc=None)
Agg(open=6.2, high=6.28, low=6.2, close=6.28, volume=751, vwap=6.2587, timestamp=1673341200000, transactions=7, otc=None)
Agg(open=6.3, high=6.3, low=6.3, close=6.3, volume=266, vwap=6.3054, timestamp=1673344800000, transactions=3, otc=None)
Agg(open=6.29, high=6.29, low=6.27, close=6.28, volume=3710, vwap=6.2757, timestamp=1673348400000, transactions=11, otc=None)
Agg(open=6.29, high=6.29, low=6.25, close=6.25, volume=5707, vwap=6.2698, timestamp=1673352000000, transactions=53, otc=None)
Agg(open=6.28, high=6.28, low=6.18, close=6.21, volume=33957, vwap=6.2358, timestamp=1673355600000, transactions=140, otc=None)
Agg(open=6.23, high=6.44, low=6.1401, close=6.285, volume=900835, vwap=6.2877, timestamp=1673359200000, transactions=3726, otc=None)
Agg(open=6.28, high=6.415, low=6.24, close=6.3641, volume=799390, vwap=6.3238, timestamp=1673362800000, transactions=4940, otc=None)
Agg(open=6.36, high=6.44, low=6.3107, close=6.41, volume=457660, vwap=6.3807, timestamp=1673366400000, transactions=2858, otc=None)
Agg(open=6.4084, high=6.5, low=6.39, close=6.46, volume=763178, vwap=6.4475, timestamp=1673370000000, transactions=3274, otc=None)
Agg(open=6.46, high=6.54, low=6.445, close=6.535, volume=399822, vwap=6.4925, timestamp=1673373600000, transactions=2458, otc=None)
Agg(open=6.535, high=6.66, low=6.535, close=6.585, volume=1015679.0, vwap=6.605, timestamp=1673377200000, transactions=4404, otc=None)
Agg(open=6.585, high=6.7, low=6.53, close=6.66, volume=1356208.0, vwap=6.6312, timestamp=1673380800000, transactions=7027, otc=None)
Agg(open=6.66, high=6.68, low=6.66, close=6.66, volume=16079, vwap=6.6626, timestamp=1673384400000, transactions=66, otc=None)
