Agg(open=14, high=14, low=14, close=14, volume=109, vwap=14.0107, timestamp=1675080000000, transactions=2, otc=None)
Agg(open=13.92, high=14.045, low=13.84, close=14.02, volume=86831, vwap=13.9427, timestamp=1675087200000, transactions=967, otc=None)
Agg(open=14.015, high=14.095, low=13.79, close=13.81, volume=360139, vwap=13.9072, timestamp=1675090800000, transactions=3224, otc=None)
Agg(open=13.82, high=14.07, low=13.78, close=13.995, volume=149769, vwap=13.9311, timestamp=1675094400000, transactions=2296, otc=None)
Agg(open=13.99, high=14.12, low=13.94, close=14.11, volume=189132, vwap=14.0361, timestamp=1675098000000, transactions=2320, otc=None)
Agg(open=14.105, high=14.21, low=14.035, close=14.07, volume=157367, vwap=14.1281, timestamp=1675101600000, transactions=2336, otc=None)
Agg(open=14.08, high=14.145, low=14.045, close=14.075, volume=160118, vwap=14.095, timestamp=1675105200000, transactions=2644, otc=None)
Agg(open=14.08, high=14.105, low=13.88, close=13.92, volume=647358, vwap=13.9734, timestamp=1675108800000, transactions=6884, otc=None)
Agg(open=13.92, high=13.92, low=13.92, close=13.92, volume=23214, vwap=13.92, timestamp=1675112400000, transactions=24, otc=None)
Agg(open=13.84, high=14.16, low=13.84, close=14.04, volume=94471, vwap=14.0437, timestamp=1675173600000, transactions=1198, otc=None)
Agg(open=14.03, high=14.105, low=13.88, close=14.08, volume=203532, vwap=13.9784, timestamp=1675177200000, transactions=2843, otc=None)
Agg(open=14.09, high=14.15, low=14.005, close=14.07, volume=261197, vwap=14.0811, timestamp=1675180800000, transactions=3219, otc=None)
Agg(open=14.07, high=14.315, low=14.06, close=14.27, volume=234618, vwap=14.1842, timestamp=1675184400000, transactions=2681, otc=None)
Agg(open=14.27, high=14.28, low=14.17, close=14.24, volume=285047, vwap=14.2343, timestamp=1675188000000, transactions=2394, otc=None)
Agg(open=14.23, high=14.335, low=14.22, close=14.32, volume=254624, vwap=14.274, timestamp=1675191600000, transactions=2595, otc=None)
Agg(open=14.33, high=14.34, low=14.235, close=14.34, volume=670682, vwap=14.2926, timestamp=1675195200000, transactions=7770, otc=None)
Agg(open=14.31, high=14.31, low=14.31, close=14.31, volume=45803, vwap=14.3101, timestamp=1675198800000, transactions=30, otc=None)
Agg(open=14.43, high=14.58, low=14.36, close=14.465, volume=106695, vwap=14.4641, timestamp=1675260000000, transactions=1443, otc=None)
Agg(open=14.47, high=14.675, low=14.35, close=14.365, volume=320004, vwap=14.5306, timestamp=1675263600000, transactions=4637, otc=None)
Agg(open=14.365, high=14.415, low=14.235, close=14.305, volume=135974, vwap=14.3233, timestamp=1675267200000, transactions=2603, otc=None)
Agg(open=14.31, high=14.35, low=14.265, close=14.335, volume=93239, vwap=14.301, timestamp=1675270800000, transactions=1718, otc=None)
Agg(open=14.33, high=14.37, low=14.27, close=14.31, volume=118509, vwap=14.3112, timestamp=1675274400000, transactions=1975, otc=None)
Agg(open=14.3, high=14.63, low=14.21, close=14.59, volume=292815, vwap=14.3909, timestamp=1675278000000, transactions=3247, otc=None)
Agg(open=14.59, high=14.81, low=14.57, close=14.66, volume=670547, vwap=14.6474, timestamp=1675281600000, transactions=6958, otc=None)
Agg(open=14.65, high=14.65, low=14.65, close=14.65, volume=54416, vwap=14.65, timestamp=1675285200000, transactions=28, otc=None)
Agg(open=14.4, high=14.4, low=14.4, close=14.4, volume=600, vwap=14.3996, timestamp=1675342800000, transactions=7, otc=None)
Agg(open=14.23, high=14.87, low=14.22, close=14.69, volume=263055, vwap=14.6948, timestamp=1675346400000, transactions=2045, otc=None)
Agg(open=14.685, high=14.96, low=14.555, close=14.92, volume=448909, vwap=14.6895, timestamp=1675350000000, transactions=5601, otc=None)
Agg(open=14.92, high=15.05, low=14.865, close=14.9, volume=236105, vwap=14.9709, timestamp=1675353600000, transactions=3088, otc=None)
Agg(open=14.905, high=14.95, low=14.81, close=14.9, volume=175839, vwap=14.8666, timestamp=1675357200000, transactions=2844, otc=None)
Agg(open=14.9, high=14.94, low=14.885, close=14.94, volume=170207, vwap=14.9169, timestamp=1675360800000, transactions=2796, otc=None)
Agg(open=14.94, high=14.96, low=14.685, close=14.705, volume=275158, vwap=14.843, timestamp=1675364400000, transactions=3830, otc=None)
Agg(open=14.705, high=14.89, low=14.645, close=14.885, volume=548125, vwap=14.7755, timestamp=1675368000000, transactions=7293, otc=None)
Agg(open=14.89, high=14.89, low=14.89, close=14.89, volume=29068, vwap=14.89, timestamp=1675371600000, transactions=14, otc=None)
Agg(open=14.57, high=14.77, low=14.39, close=14.575, volume=181666, vwap=14.5979, timestamp=1675432800000, transactions=2139, otc=None)
Agg(open=14.54, high=14.63, low=14.33, close=14.425, volume=392731, vwap=14.4493, timestamp=1675436400000, transactions=5021, otc=None)
Agg(open=14.42, high=14.57, low=14.38, close=14.47, volume=189365, vwap=14.4581, timestamp=1675440000000, transactions=2480, otc=None)
Agg(open=14.47, high=14.56, low=14.39, close=14.4, volume=226963, vwap=14.4572, timestamp=1675443600000, transactions=2900, otc=None)
Agg(open=14.4, high=14.525, low=14.355, close=14.44, volume=411461, vwap=14.4597, timestamp=1675447200000, transactions=3283, otc=None)
Agg(open=14.445, high=14.475, low=14.365, close=14.365, volume=301360, vwap=14.4167, timestamp=1675450800000, transactions=3547, otc=None)
Agg(open=14.365, high=14.43, low=14.3, close=14.41, volume=701434, vwap=14.3836, timestamp=1675454400000, transactions=7135, otc=None)
Agg(open=14.4, high=14.4, low=14.4, close=14.4, volume=63289, vwap=14.4, timestamp=1675458000000, transactions=28, otc=None)
