Agg(open=15.47, high=15.69, low=15.31, close=15.63, volume=65824, vwap=15.5701, timestamp=1695646800000, transactions=1011, otc=None)
Agg(open=15.635, high=15.81, low=15.57, close=15.735, volume=226702, vwap=15.6706, timestamp=1695650400000, transactions=3066, otc=None)
Agg(open=15.73, high=15.78, low=15.645, close=15.7, volume=187903, vwap=15.7243, timestamp=1695654000000, transactions=2620, otc=None)
Agg(open=15.69, high=15.705, low=15.64, close=15.675, volume=115263, vwap=15.6775, timestamp=1695657600000, transactions=1810, otc=None)
Agg(open=15.675, high=15.81, low=15.67, close=15.785, volume=113976, vwap=15.7551, timestamp=1695661200000, transactions=2034, otc=None)
Agg(open=15.79, high=15.81, low=15.755, close=15.76, volume=107167, vwap=15.7782, timestamp=1695664800000, transactions=1898, otc=None)
Agg(open=15.765, high=15.825, low=15.725, close=15.8, volume=397364, vwap=15.7828, timestamp=1695668400000, transactions=4622, otc=None)
Agg(open=15.8, high=15.8, low=15.8, close=15.8, volume=20891, vwap=15.8, timestamp=1695672000000, transactions=17, otc=None)
Agg(open=15.7, high=15.77, low=15.36, close=15.38, volume=145433, vwap=15.5426, timestamp=1695733200000, transactions=1730, otc=None)
Agg(open=15.39, high=15.39, low=14.84, close=14.95, volume=359229, vwap=15.0869, timestamp=1695736800000, transactions=4906, otc=None)
Agg(open=14.96, high=14.98, low=14.65, close=14.72, volume=532061, vwap=14.7861, timestamp=1695740400000, transactions=5266, otc=None)
Agg(open=14.72, high=14.92, low=14.68, close=14.92, volume=401751, vwap=14.7886, timestamp=1695744000000, transactions=4048, otc=None)
Agg(open=14.925, high=15.17, low=14.92, close=15.13, volume=636128, vwap=15.0599, timestamp=1695747600000, transactions=4891, otc=None)
Agg(open=15.12, high=15.21, low=15, close=15.08, volume=459378, vwap=15.1091, timestamp=1695751200000, transactions=4700, otc=None)
Agg(open=15.085, high=15.125, low=14.91, close=15.08, volume=883076, vwap=15.0241, timestamp=1695754800000, transactions=8014, otc=None)
Agg(open=15.07, high=15.07, low=15.07, close=15.07, volume=14538, vwap=15.07, timestamp=1695758400000, transactions=13, otc=None)
Agg(open=15.07, high=15.19, low=14.99, close=15.19, volume=74518, vwap=15.0748, timestamp=1695819600000, transactions=1297, otc=None)
Agg(open=15.19, high=15.1995, low=15.06, close=15.07, volume=179910, vwap=15.1202, timestamp=1695823200000, transactions=2968, otc=None)
Agg(open=15.07, high=15.125, low=15.045, close=15.115, volume=138984, vwap=15.0859, timestamp=1695826800000, transactions=2172, otc=None)
Agg(open=15.12, high=15.125, low=14.92, close=14.995, volume=200624, vwap=15.0086, timestamp=1695830400000, transactions=2631, otc=None)
Agg(open=14.995, high=15.005, low=14.7, close=14.81, volume=413342, vwap=14.8101, timestamp=1695834000000, transactions=3735, otc=None)
Agg(open=14.815, high=14.915, low=14.73, close=14.865, volume=406930, vwap=14.8124, timestamp=1695837600000, transactions=3117, otc=None)
Agg(open=14.865, high=15.1, low=14.86, close=15.085, volume=683909, vwap=15.0278, timestamp=1695841200000, transactions=6552, otc=None)
Agg(open=15.07, high=15.07, low=15.07, close=15.07, volume=381833, vwap=15.07, timestamp=1695844800000, transactions=13, otc=None)
Agg(open=15.13, high=15.42, low=15.11, close=15.42, volume=101399, vwap=15.2437, timestamp=1695906000000, transactions=1336, otc=None)
Agg(open=15.43, high=15.43, low=15.15, close=15.24, volume=131574, vwap=15.2466, timestamp=1695909600000, transactions=2432, otc=None)
Agg(open=15.23, high=15.23, low=15.105, close=15.205, volume=129397, vwap=15.1673, timestamp=1695913200000, transactions=2408, otc=None)
Agg(open=15.21, high=15.285, low=15.13, close=15.155, volume=156546, vwap=15.2015, timestamp=1695916800000, transactions=2650, otc=None)
Agg(open=15.155, high=15.2, low=15.105, close=15.185, volume=135684, vwap=15.162, timestamp=1695920400000, transactions=2480, otc=None)
Agg(open=15.185, high=15.275, low=15.125, close=15.145, volume=284562, vwap=15.1879, timestamp=1695924000000, transactions=3381, otc=None)
Agg(open=15.145, high=15.265, low=15.135, close=15.19, volume=502381, vwap=15.185, timestamp=1695927600000, transactions=7056, otc=None)
Agg(open=15.18, high=15.18, low=15.14, close=15.18, volume=23225, vwap=15.1796, timestamp=1695931200000, transactions=19, otc=None)
Agg(open=15.12, high=15.12, low=15.12, close=15.12, volume=473, vwap=15.12, timestamp=1695938400000, transactions=1, otc=None)
Agg(open=15.31, high=15.3595, low=15.18, close=15.27, volume=98197, vwap=15.2955, timestamp=1695992400000, transactions=1497, otc=None)
Agg(open=15.275, high=15.295, low=15.125, close=15.28, volume=204547, vwap=15.221, timestamp=1695996000000, transactions=2871, otc=None)
Agg(open=15.29, high=15.38, low=15.195, close=15.225, volume=133809, vwap=15.2802, timestamp=1695999600000, transactions=2075, otc=None)
Agg(open=15.225, high=15.2595, low=15.15, close=15.175, volume=153481, vwap=15.2057, timestamp=1696003200000, transactions=2277, otc=None)
Agg(open=15.175, high=15.27, low=15.12, close=15.235, volume=141289, vwap=15.1991, timestamp=1696006800000, transactions=2320, otc=None)
Agg(open=15.24, high=15.29, low=15.155, close=15.205, volume=177331, vwap=15.2089, timestamp=1696010400000, transactions=2518, otc=None)
Agg(open=15.205, high=15.255, low=15.04, close=15.07, volume=619543, vwap=15.1384, timestamp=1696014000000, transactions=6647, otc=None)
Agg(open=15.07, high=15.07, low=15.07, close=15.07, volume=8207, vwap=15.07, timestamp=1696017600000, transactions=9, otc=None)
