Agg(open=11, high=11, low=11, close=11, volume=869, vwap=11, timestamp=1676970000000, transactions=1, otc=None)
Agg(open=11.5, high=11.55, low=11.325, close=11.345, volume=29395, vwap=11.4623, timestamp=1676988000000, transactions=439, otc=None)
Agg(open=11.34, high=11.43, low=11.285, close=11.29, volume=159032, vwap=11.3514, timestamp=1676991600000, transactions=1471, otc=None)
Agg(open=11.3, high=11.52, low=11.25, close=11.51, volume=218730, vwap=11.3296, timestamp=1676995200000, transactions=1747, otc=None)
Agg(open=11.5, high=11.55, low=11.395, close=11.5, volume=142031, vwap=11.4834, timestamp=1676998800000, transactions=1333, otc=None)
Agg(open=11.52, high=11.77, low=11.51, close=11.725, volume=165451, vwap=11.5879, timestamp=1677002400000, transactions=1277, otc=None)
Agg(open=11.72, high=11.74, low=11.58, close=11.65, volume=62955, vwap=11.6548, timestamp=1677006000000, transactions=1158, otc=None)
Agg(open=11.65, high=11.675, low=11.51, close=11.55, volume=210027, vwap=11.5875, timestamp=1677009600000, transactions=2695, otc=None)
Agg(open=11.56, high=11.56, low=11.56, close=11.56, volume=121171, vwap=11.56, timestamp=1677013200000, transactions=22, otc=None)
Agg(open=11.58, high=11.68, low=11.44, close=11.48, volume=30172, vwap=11.575, timestamp=1677074400000, transactions=492, otc=None)
Agg(open=11.47, high=11.48, low=11.25, close=11.4, volume=59966, vwap=11.3927, timestamp=1677078000000, transactions=1022, otc=None)
Agg(open=11.4, high=11.52, low=11.4, close=11.5, volume=39879, vwap=11.4783, timestamp=1677081600000, transactions=577, otc=None)
Agg(open=11.49, high=11.64, low=11.39, close=11.51, volume=63179, vwap=11.4658, timestamp=1677085200000, transactions=620, otc=None)
Agg(open=11.51, high=11.59, low=11.48, close=11.53, volume=121492, vwap=11.5127, timestamp=1677088800000, transactions=737, otc=None)
Agg(open=11.55, high=11.64, low=11.51, close=11.535, volume=65472, vwap=11.5564, timestamp=1677092400000, transactions=1023, otc=None)
Agg(open=11.54, high=11.66, low=11.51, close=11.6499, volume=182690, vwap=11.616, timestamp=1677096000000, transactions=2467, otc=None)
Agg(open=11.65, high=13.3, low=11.65, close=12.5, volume=23930, vwap=11.7277, timestamp=1677099600000, transactions=42, otc=None)
Agg(open=12.52, high=12.8, low=12.5, close=12.69, volume=4321, vwap=12.6697, timestamp=1677103200000, transactions=20, otc=None)
Agg(open=12.58, high=12.63, low=12.58, close=12.63, volume=680, vwap=12.61, timestamp=1677110400000, transactions=5, otc=None)
Agg(open=13, high=13, low=13, close=13, volume=244, vwap=12.989, timestamp=1677142800000, transactions=3, otc=None)
Agg(open=13.19, high=13.4, low=13.19, close=13.3, volume=835, vwap=13.2976, timestamp=1677153600000, transactions=10, otc=None)
Agg(open=13.3, high=13.34, low=13.3, close=13.3, volume=1987, vwap=13.3026, timestamp=1677157200000, transactions=8, otc=None)
Agg(open=13.2, high=13.97, low=12.77, close=13.8301, volume=914139, vwap=13.4577, timestamp=1677160800000, transactions=5096, otc=None)
Agg(open=13.875, high=14.0195, low=13.55, close=13.71, volume=511391, vwap=13.8218, timestamp=1677164400000, transactions=5583, otc=None)
Agg(open=13.695, high=13.73, low=13.3509, close=13.605, volume=379053, vwap=13.5209, timestamp=1677168000000, transactions=3417, otc=None)
Agg(open=13.59, high=13.79, low=13.48, close=13.52, volume=263723, vwap=13.6116, timestamp=1677171600000, transactions=2673, otc=None)
Agg(open=13.5, high=13.94, low=13.39, close=13.85, volume=679005, vwap=13.6687, timestamp=1677175200000, transactions=4216, otc=None)
Agg(open=13.845, high=14.19, low=13.83, close=14.16, volume=915324, vwap=13.9957, timestamp=1677178800000, transactions=6009, otc=None)
Agg(open=14.16, high=14.32, low=14.055, close=14.24, volume=1729139.0, vwap=14.2133, timestamp=1677182400000, transactions=11937, otc=None)
Agg(open=14.24, high=14.25, low=14.06, close=14.25, volume=19360, vwap=14.2183, timestamp=1677186000000, transactions=20, otc=None)
Agg(open=14.08, high=14.08, low=14.08, close=14.08, volume=100, vwap=14.08, timestamp=1677189600000, transactions=1, otc=None)
Agg(open=14.25, high=14.25, low=14.25, close=14.25, volume=100, vwap=14.25, timestamp=1677193200000, transactions=1, otc=None)
Agg(open=14.18, high=14.18, low=13.8915, close=13.94, volume=2579, vwap=14.031, timestamp=1677243600000, transactions=16, otc=None)
Agg(open=13.95, high=13.98, low=12.89, close=13.88, volume=418382, vwap=13.5702, timestamp=1677247200000, transactions=3725, otc=None)
Agg(open=13.88, high=14.09, low=13.55, close=13.78, volume=229939, vwap=13.8875, timestamp=1677250800000, transactions=3013, otc=None)
Agg(open=13.79, high=14.05, low=13.76, close=13.96, volume=154369, vwap=13.923, timestamp=1677254400000, transactions=2114, otc=None)
Agg(open=13.94, high=13.94, low=13.67, close=13.83, volume=121671, vwap=13.7514, timestamp=1677258000000, transactions=1826, otc=None)
Agg(open=13.82, high=13.98, low=13.7, close=13.74, volume=153413, vwap=13.8407, timestamp=1677261600000, transactions=2033, otc=None)
Agg(open=13.73, high=14.05, low=13.73, close=14.035, volume=188900, vwap=13.9309, timestamp=1677265200000, transactions=2516, otc=None)
Agg(open=14.03, high=14.215, low=14.005, close=14.17, volume=472077, vwap=14.1148, timestamp=1677268800000, transactions=5739, otc=None)
Agg(open=14.19, high=14.19, low=14.19, close=14.19, volume=31343, vwap=14.19, timestamp=1677272400000, transactions=19, otc=None)
