Agg(open=16.11, high=16.11, low=15.7701, close=15.9, volume=31030, vwap=15.9483, timestamp=1679317200000, transactions=366, otc=None)
Agg(open=15.92, high=16.08, low=15.84, close=15.99, volume=110070, vwap=15.9905, timestamp=1679320800000, transactions=1329, otc=None)
Agg(open=15.97, high=16.08, low=15.88, close=15.94, volume=141455, vwap=15.9888, timestamp=1679324400000, transactions=1790, otc=None)
Agg(open=15.945, high=16.02, low=15.815, close=16.02, volume=124971, vwap=15.9005, timestamp=1679328000000, transactions=1857, otc=None)
Agg(open=16.01, high=16.16, low=15.97, close=16.12, volume=98681, vwap=16.068, timestamp=1679331600000, transactions=1556, otc=None)
Agg(open=16.115, high=16.32, low=16.11, close=16.3, volume=179677, vwap=16.2364, timestamp=1679335200000, transactions=2698, otc=None)
Agg(open=16.295, high=16.32, low=16.05, close=16.06, volume=495305, vwap=16.2069, timestamp=1679338800000, transactions=4968, otc=None)
Agg(open=16.08, high=16.08, low=16.08, close=16.08, volume=14315, vwap=16.08, timestamp=1679342400000, transactions=18, otc=None)
Agg(open=16.28, high=16.53, low=16.0594, close=16.52, volume=67361, vwap=16.3173, timestamp=1679403600000, transactions=842, otc=None)
Agg(open=16.52, high=16.6, low=16.3, close=16.42, volume=150077, vwap=16.4088, timestamp=1679407200000, transactions=2403, otc=None)
Agg(open=16.41, high=16.65, low=16.41, close=16.63, volume=89669, vwap=16.5435, timestamp=1679410800000, transactions=1738, otc=None)
Agg(open=16.61, high=16.8, low=16.575, close=16.775, volume=103254, vwap=16.7072, timestamp=1679414400000, transactions=1797, otc=None)
Agg(open=16.775, high=16.94, low=16.74, close=16.92, volume=163004, vwap=16.838, timestamp=1679418000000, transactions=2264, otc=None)
Agg(open=16.92, high=16.94, low=16.84, close=16.91, volume=119444, vwap=16.9064, timestamp=1679421600000, transactions=2046, otc=None)
Agg(open=16.91, high=17.01, low=16.76, close=16.78, volume=374753, vwap=16.8643, timestamp=1679425200000, transactions=4081, otc=None)
Agg(open=16.78, high=16.78, low=16.78, close=16.78, volume=15771, vwap=16.78, timestamp=1679428800000, transactions=15, otc=None)
Agg(open=16.8, high=16.85, low=16.22, close=16.49, volume=198367, vwap=16.521, timestamp=1679490000000, transactions=1364, otc=None)
Agg(open=16.495, high=16.63, low=16.39, close=16.39, volume=130397, vwap=16.4908, timestamp=1679493600000, transactions=2228, otc=None)
Agg(open=16.385, high=16.57, low=16.27, close=16.44, volume=160905, vwap=16.3909, timestamp=1679497200000, transactions=2288, otc=None)
Agg(open=16.45, high=16.56, low=16.44, close=16.53, volume=82972, vwap=16.5048, timestamp=1679500800000, transactions=1479, otc=None)
Agg(open=16.535, high=16.57, low=16.355, close=16.5, volume=153254, vwap=16.4592, timestamp=1679504400000, transactions=2224, otc=None)
Agg(open=16.505, high=16.81, low=16.5, close=16.62, volume=255789, vwap=16.6823, timestamp=1679508000000, transactions=2925, otc=None)
Agg(open=16.61, high=16.89, low=16.485, close=16.55, volume=780235, vwap=16.6842, timestamp=1679511600000, transactions=7565, otc=None)
Agg(open=16.55, high=16.55, low=16.55, close=16.55, volume=11483, vwap=16.55, timestamp=1679515200000, transactions=9, otc=None)
Agg(open=16.53, high=16.89, low=16.53, close=16.88, volume=23220, vwap=16.688, timestamp=1679576400000, transactions=442, otc=None)
Agg(open=16.875, high=17.03, low=16.8, close=16.87, volume=109111, vwap=16.9446, timestamp=1679580000000, transactions=1792, otc=None)
Agg(open=16.85, high=17.03, low=16.85, close=16.91, volume=247078, vwap=16.976, timestamp=1679583600000, transactions=1898, otc=None)
Agg(open=16.88, high=16.905, low=16.65, close=16.8, volume=117412, vwap=16.7577, timestamp=1679587200000, transactions=1458, otc=None)
Agg(open=16.82, high=16.86, low=16.65, close=16.725, volume=83600, vwap=16.744, timestamp=1679590800000, transactions=1491, otc=None)
Agg(open=16.72, high=16.75, low=16.505, close=16.57, volume=47136, vwap=16.6286, timestamp=1679594400000, transactions=1168, otc=None)
Agg(open=16.58, high=16.73, low=16.445, close=16.55, volume=249952, vwap=16.5858, timestamp=1679598000000, transactions=4141, otc=None)
Agg(open=16.56, high=16.56, low=16.56, close=16.56, volume=19573, vwap=16.56, timestamp=1679601600000, transactions=7, otc=None)
Agg(open=16.56, high=16.56, low=16.56, close=16.56, volume=616, vwap=16.56, timestamp=1679608800000, transactions=1, otc=None)
Agg(open=16.59, high=16.59, low=16.59, close=16.59, volume=244, vwap=16.59, timestamp=1679659200000, transactions=3, otc=None)
Agg(open=16.65, high=16.71, low=16.4, close=16.6, volume=44412, vwap=16.4545, timestamp=1679662800000, transactions=346, otc=None)
Agg(open=16.61, high=16.865, low=16.54, close=16.685, volume=91794, vwap=16.7066, timestamp=1679666400000, transactions=1440, otc=None)
Agg(open=16.67, high=16.79, low=16.58, close=16.76, volume=58205, vwap=16.6761, timestamp=1679670000000, transactions=973, otc=None)
Agg(open=16.7497, high=16.81, low=16.61, close=16.77, volume=57561, vwap=16.7324, timestamp=1679673600000, transactions=942, otc=None)
Agg(open=16.78, high=16.845, low=16.72, close=16.845, volume=63859, vwap=16.8011, timestamp=1679677200000, transactions=1244, otc=None)
Agg(open=16.85, high=16.865, low=16.81, close=16.82, volume=31473, vwap=16.8435, timestamp=1679680800000, transactions=908, otc=None)
Agg(open=16.81, high=16.97, low=16.81, close=16.88, volume=264225, vwap=16.8982, timestamp=1679684400000, transactions=3929, otc=None)
Agg(open=16.88, high=16.88, low=16.88, close=16.88, volume=25693, vwap=16.88, timestamp=1679688000000, transactions=16, otc=None)
