Agg(open=6.77, high=6.77, low=6.57, close=6.59, volume=3064, vwap=6.6588, timestamp=1675069200000, transactions=15, otc=None)
Agg(open=6.57, high=6.57, low=6.54, close=6.55, volume=5400, vwap=6.5562, timestamp=1675072800000, transactions=13, otc=None)
Agg(open=6.55, high=6.62, low=6.54, close=6.59, volume=4265, vwap=6.6017, timestamp=1675080000000, transactions=30, otc=None)
Agg(open=6.5601, high=6.6985, low=6.49, close=6.5, volume=130488, vwap=6.5487, timestamp=1675083600000, transactions=215, otc=None)
Agg(open=6.5, high=6.61, low=6.46, close=6.5975, volume=2086729.0, vwap=6.5366, timestamp=1675087200000, transactions=5092, otc=None)
Agg(open=6.59, high=6.68, low=6.55, close=6.605, volume=2736035.0, vwap=6.6091, timestamp=1675090800000, transactions=6461, otc=None)
Agg(open=6.605, high=6.63, low=6.56, close=6.5809, volume=1845612.0, vwap=6.5969, timestamp=1675094400000, transactions=4642, otc=None)
Agg(open=6.58, high=6.62, low=6.54, close=6.555, volume=1908311.0, vwap=6.5797, timestamp=1675098000000, transactions=4912, otc=None)
Agg(open=6.555, high=6.61, low=6.53, close=6.575, volume=1570273.0, vwap=6.5736, timestamp=1675101600000, transactions=4040, otc=None)
Agg(open=6.575, high=6.59, low=6.45, close=6.465, volume=3658305.0, vwap=6.5186, timestamp=1675105200000, transactions=8106, otc=None)
Agg(open=6.465, high=6.5, low=6.43, close=6.495, volume=4745734.0, vwap=6.4707, timestamp=1675108800000, transactions=10149, otc=None)
Agg(open=6.49, high=6.49, low=6.39, close=6.4101, volume=126406, vwap=6.4306, timestamp=1675112400000, transactions=202, otc=None)
Agg(open=6.4109, high=6.45, low=6.4109, close=6.43, volume=15232, vwap=6.4326, timestamp=1675116000000, transactions=27, otc=None)
Agg(open=6.44, high=6.45, low=6.44, close=6.45, volume=2265, vwap=6.4412, timestamp=1675119600000, transactions=5, otc=None)
Agg(open=6.43, high=6.45, low=6.43, close=6.45, volume=15749, vwap=6.4432, timestamp=1675123200000, transactions=21, otc=None)
Agg(open=6.48, high=6.49, low=6.48, close=6.49, volume=1001, vwap=6.486, timestamp=1675159200000, transactions=5, otc=None)
Agg(open=6.45, high=6.45, low=6.4, close=6.44, volume=10170, vwap=6.4301, timestamp=1675166400000, transactions=25, otc=None)
Agg(open=6.41, high=6.46, low=6.4, close=6.44, volume=40130, vwap=6.4331, timestamp=1675170000000, transactions=54, otc=None)
Agg(open=6.44, high=6.585, low=6.42, close=6.55, volume=1776277.0, vwap=6.5036, timestamp=1675173600000, transactions=3158, otc=None)
Agg(open=6.55, high=6.7, low=6.51, close=6.685, volume=3062448.0, vwap=6.6213, timestamp=1675177200000, transactions=5449, otc=None)
Agg(open=6.69, high=6.83, low=6.68, close=6.745, volume=4279430.0, vwap=6.761, timestamp=1675180800000, transactions=7838, otc=None)
Agg(open=6.7418, high=6.76, low=6.71, close=6.7445, volume=1621110.0, vwap=6.7374, timestamp=1675184400000, transactions=4393, otc=None)
Agg(open=6.745, high=6.76, low=6.72, close=6.725, volume=1061244.0, vwap=6.7384, timestamp=1675188000000, transactions=2634, otc=None)
Agg(open=6.725, high=6.75, low=6.7, close=6.735, volume=2131655.0, vwap=6.7193, timestamp=1675191600000, transactions=3863, otc=None)
Agg(open=6.74, high=6.75, low=6.7, close=6.75, volume=2601926.0, vwap=6.7335, timestamp=1675195200000, transactions=6562, otc=None)
Agg(open=6.74, high=7.12, low=6.73, close=7.03, volume=363298, vwap=6.9216, timestamp=1675198800000, transactions=810, otc=None)
Agg(open=7.02, high=7.09, low=7.02, close=7.05, volume=91482, vwap=7.0448, timestamp=1675202400000, transactions=150, otc=None)
Agg(open=7.08, high=7.15, low=7.02, close=7.1499, volume=37970, vwap=7.0866, timestamp=1675206000000, transactions=113, otc=None)
Agg(open=7.1, high=7.24, low=7.1, close=7.18, volume=41609, vwap=7.1853, timestamp=1675209600000, transactions=152, otc=None)
Agg(open=7.2, high=7.2, low=6.9, close=6.9, volume=15082, vwap=7.0346, timestamp=1675242000000, transactions=91, otc=None)
Agg(open=6.99, high=7, low=6.75, close=6.76, volume=8537, vwap=6.8976, timestamp=1675245600000, transactions=43, otc=None)
Agg(open=6.85, high=6.99, low=6.85, close=6.99, volume=7632, vwap=6.9254, timestamp=1675249200000, transactions=57, otc=None)
Agg(open=6.97, high=7.18, low=6.97, close=7.06, volume=43891, vwap=7.0792, timestamp=1675252800000, transactions=166, otc=None)
Agg(open=7.0782, high=7.18, low=6.9699, close=6.99, volume=114567, vwap=7.0425, timestamp=1675256400000, transactions=453, otc=None)
Agg(open=6.99, high=7.23, low=6.83, close=7.2, volume=6404734.0, vwap=7.1016, timestamp=1675260000000, transactions=12270, otc=None)
Agg(open=7.195, high=7.2075, low=6.975, close=6.98, volume=5893587.0, vwap=7.099, timestamp=1675263600000, transactions=14502, otc=None)
Agg(open=6.98, high=7.04, low=6.8629, close=6.865, volume=3658412.0, vwap=6.9553, timestamp=1675267200000, transactions=8942, otc=None)
Agg(open=6.87, high=6.8899, low=6.74, close=6.79, volume=3451208.0, vwap=6.8078, timestamp=1675270800000, transactions=7727, otc=None)
Agg(open=6.785, high=6.91, low=6.78, close=6.87, volume=4057798.0, vwap=6.8562, timestamp=1675274400000, transactions=6555, otc=None)
Agg(open=6.87, high=7.1, low=6.83, close=7.055, volume=7172130.0, vwap=6.9773, timestamp=1675278000000, transactions=8272, otc=None)
Agg(open=7.05, high=7.23, low=7.03, close=7.15, volume=6722910.0, vwap=7.1529, timestamp=1675281600000, transactions=14637, otc=None)
Agg(open=7.14, high=7.19, low=7.14, close=7.18, volume=80000, vwap=7.1535, timestamp=1675285200000, transactions=105, otc=None)
Agg(open=7.16, high=7.2, low=7.16, close=7.17, volume=25482, vwap=7.1831, timestamp=1675288800000, transactions=50, otc=None)
Agg(open=7.2, high=7.21, low=7.17, close=7.17, volume=6297, vwap=7.1845, timestamp=1675292400000, transactions=18, otc=None)
Agg(open=7.17, high=7.19, low=7.17, close=7.17, volume=6258, vwap=7.1813, timestamp=1675296000000, transactions=22, otc=None)
Agg(open=7.15, high=7.25, low=7.06, close=7.06, volume=1378, vwap=7.1724, timestamp=1675328400000, transactions=20, otc=None)
Agg(open=7.19, high=7.2, low=7.19, close=7.19, volume=523, vwap=7.192, timestamp=1675335600000, transactions=8, otc=None)
Agg(open=7.15, high=7.18, low=7.13, close=7.15, volume=16295, vwap=7.1548, timestamp=1675339200000, transactions=58, otc=None)
Agg(open=7.1145, high=7.2, low=7.11, close=7.16, volume=32569, vwap=7.1584, timestamp=1675342800000, transactions=135, otc=None)
Agg(open=7.17, high=7.21, low=6.945, close=6.95, volume=4259173.0, vwap=7.094, timestamp=1675346400000, transactions=8860, otc=None)
Agg(open=6.945, high=6.985, low=6.8, close=6.945, volume=6307234.0, vwap=6.8998, timestamp=1675350000000, transactions=14735, otc=None)
Agg(open=6.945, high=6.96, low=6.87, close=6.88, volume=3315813.0, vwap=6.9169, timestamp=1675353600000, transactions=7835, otc=None)
Agg(open=6.875, high=6.92, low=6.86, close=6.8989, volume=1831384.0, vwap=6.8924, timestamp=1675357200000, transactions=5667, otc=None)
Agg(open=6.9, high=7.02, low=6.89, close=6.965, volume=3001583.0, vwap=6.9645, timestamp=1675360800000, transactions=6444, otc=None)
Agg(open=6.965, high=6.985, low=6.85, close=6.895, volume=3826202.0, vwap=6.9025, timestamp=1675364400000, transactions=9801, otc=None)
Agg(open=6.8969, high=6.99, low=6.88, close=6.98, volume=4415298.0, vwap=6.9359, timestamp=1675368000000, transactions=13876, otc=None)
Agg(open=6.97, high=6.97, low=6.95, close=6.95, volume=2982869.0, vwap=6.97, timestamp=1675371600000, transactions=59, otc=None)
Agg(open=6.9515, high=6.97, low=6.89, close=6.95, volume=12951, vwap=6.92, timestamp=1675375200000, transactions=31, otc=None)
Agg(open=6.9, high=6.93, low=6.9, close=6.93, volume=8200, vwap=6.9044, timestamp=1675378800000, transactions=9, otc=None)
Agg(open=6.93, high=6.95, low=6.91, close=6.95, volume=32032, vwap=6.9255, timestamp=1675382400000, transactions=17, otc=None)
Agg(open=6.96, high=6.96, low=6.89, close=6.89, volume=1998, vwap=6.8952, timestamp=1675414800000, transactions=10, otc=None)
Agg(open=6.88, high=6.88, low=6.88, close=6.88, volume=287, vwap=6.88, timestamp=1675418400000, transactions=3, otc=None)
Agg(open=6.9, high=6.9, low=6.89, close=6.89, volume=2492, vwap=6.8907, timestamp=1675422000000, transactions=19, otc=None)
Agg(open=6.91, high=6.96, low=6.91, close=6.93, volume=3687, vwap=6.9303, timestamp=1675425600000, transactions=13, otc=None)
Agg(open=6.9, high=6.96, low=6.88, close=6.92, volume=41499, vwap=6.9237, timestamp=1675429200000, transactions=144, otc=None)
Agg(open=6.93, high=7.325, low=6.91, close=7.285, volume=4157763.0, vwap=7.1865, timestamp=1675432800000, transactions=7397, otc=None)
Agg(open=7.28, high=7.4, low=7.25, close=7.335, volume=5016775.0, vwap=7.3358, timestamp=1675436400000, transactions=10875, otc=None)
Agg(open=7.33, high=7.35, low=7.175, close=7.1999, volume=2792699.0, vwap=7.2627, timestamp=1675440000000, transactions=6867, otc=None)
Agg(open=7.1987, high=7.21, low=7.05, close=7.06, volume=2074418.0, vwap=7.173, timestamp=1675443600000, transactions=5487, otc=None)
Agg(open=7.065, high=7.07, low=6.93, close=7.005, volume=5589072.0, vwap=6.9876, timestamp=1675447200000, transactions=9363, otc=None)
Agg(open=7.0085, high=7.06, low=6.98, close=7.015, volume=2381305.0, vwap=7.0201, timestamp=1675450800000, transactions=5430, otc=None)
Agg(open=7.01, high=7.04, low=6.95, close=6.96, volume=4540209.0, vwap=6.9971, timestamp=1675454400000, transactions=8335, otc=None)
Agg(open=6.96, high=7, low=6.96, close=6.98, volume=62820, vwap=6.9668, timestamp=1675458000000, transactions=74, otc=None)
Agg(open=6.97, high=6.99, low=6.97, close=6.99, volume=1503, vwap=6.9747, timestamp=1675461600000, transactions=7, otc=None)
Agg(open=6.97, high=6.99, low=6.96, close=6.99, volume=5984, vwap=6.9689, timestamp=1675465200000, transactions=13, otc=None)
Agg(open=6.99, high=6.99, low=6.96, close=6.99, volume=27705, vwap=6.9818, timestamp=1675468800000, transactions=10, otc=None)
