Agg(open=11.99, high=12.1, low=11.88, close=11.89, volume=30388, vwap=11.9474, timestamp=1688371200000, transactions=175, otc=None)
Agg(open=11.94, high=11.94, low=11.89, close=11.92, volume=2676, vwap=11.9227, timestamp=1688374800000, transactions=19, otc=None)
Agg(open=11.92, high=12, low=11.91, close=11.98, volume=6702, vwap=11.9556, timestamp=1688378400000, transactions=65, otc=None)
Agg(open=11.95, high=12, low=11.91, close=11.92, volume=24420, vwap=11.9363, timestamp=1688382000000, transactions=218, otc=None)
Agg(open=11.9298, high=12.21, low=11.85, close=11.91, volume=175960, vwap=11.9153, timestamp=1688385600000, transactions=693, otc=None)
Agg(open=11.9, high=12.66, low=11.8614, close=12.4, volume=6478965.0, vwap=12.3879, timestamp=1688389200000, transactions=26940, otc=None)
Agg(open=12.4, high=12.94, low=12.4, close=12.805, volume=6865513.0, vwap=12.7126, timestamp=1688392800000, transactions=30810, otc=None)
Agg(open=12.81, high=13.455, low=12.8, close=13.38, volume=8918359.0, vwap=13.2469, timestamp=1688396400000, transactions=36653, otc=None)
Agg(open=13.39, high=13.44, low=13.17, close=13.35, volume=6031001.0, vwap=13.3504, timestamp=1688400000000, transactions=25881, otc=None)
Agg(open=13.35, high=13.38, low=13.19, close=13.2596, volume=137475, vwap=13.296, timestamp=1688403600000, transactions=585, otc=None)
Agg(open=13.26, high=13.49, low=13.25, close=13.49, volume=96117, vwap=13.3711, timestamp=1688407200000, transactions=530, otc=None)
Agg(open=13.48, high=13.6, low=13.42, close=13.52, volume=181954, vwap=13.5239, timestamp=1688410800000, transactions=845, otc=None)
Agg(open=13.51, high=13.65, low=13.5, close=13.65, volume=70867, vwap=13.5634, timestamp=1688414400000, transactions=371, otc=None)
Agg(open=13.6, high=13.6, low=13.01, close=13.12, volume=32252, vwap=13.1501, timestamp=1688544000000, transactions=340, otc=None)
Agg(open=13.13, high=13.14, low=12.92, close=12.92, volume=50308, vwap=13.0092, timestamp=1688547600000, transactions=273, otc=None)
Agg(open=12.92, high=13.06, low=12.85, close=12.86, volume=33233, vwap=12.9228, timestamp=1688551200000, transactions=257, otc=None)
Agg(open=12.92, high=12.93, low=12.8, close=12.88, volume=121268, vwap=12.8697, timestamp=1688554800000, transactions=929, otc=None)
Agg(open=12.92, high=13.41, low=12.77, close=12.8, volume=351743, vwap=12.8486, timestamp=1688558400000, transactions=1995, otc=None)
Agg(open=12.79, high=13.41, low=12.65, close=13.365, volume=5731654.0, vwap=12.9931, timestamp=1688562000000, transactions=27436, otc=None)
Agg(open=13.37, high=13.77, low=13.255, close=13.515, volume=5496720.0, vwap=13.5598, timestamp=1688565600000, transactions=24596, otc=None)
Agg(open=13.515, high=13.55, low=13.13, close=13.345, volume=4246967.0, vwap=13.2894, timestamp=1688569200000, transactions=16713, otc=None)
Agg(open=13.34, high=13.69, low=13.26, close=13.6757, volume=3138940.0, vwap=13.5748, timestamp=1688572800000, transactions=12857, otc=None)
Agg(open=13.675, high=13.86, low=13.66, close=13.75, volume=3315028.0, vwap=13.77, timestamp=1688576400000, transactions=13974, otc=None)
Agg(open=13.76, high=13.85, low=13.5824, close=13.7388, volume=2551869.0, vwap=13.6996, timestamp=1688580000000, transactions=11115, otc=None)
Agg(open=13.735, high=13.81, low=13.56, close=13.565, volume=2765762.0, vwap=13.6878, timestamp=1688583600000, transactions=12947, otc=None)
Agg(open=13.59, high=13.61, low=13.52, close=13.56, volume=69338, vwap=13.56, timestamp=1688587200000, transactions=339, otc=None)
Agg(open=13.56, high=13.59, low=13.5, close=13.5599, volume=26676, vwap=13.538, timestamp=1688590800000, transactions=137, otc=None)
Agg(open=13.54, high=13.58, low=13.53, close=13.58, volume=30069, vwap=13.5648, timestamp=1688594400000, transactions=75, otc=None)
Agg(open=13.56, high=13.67, low=13.53, close=13.649, volume=39643, vwap=13.6014, timestamp=1688598000000, transactions=153, otc=None)
Agg(open=13.87, high=14.19, low=13.8, close=14.16, volume=82999, vwap=13.9639, timestamp=1688630400000, transactions=540, otc=None)
Agg(open=14.17, high=14.25, low=14.04, close=14.1, volume=70214, vwap=14.1498, timestamp=1688634000000, transactions=414, otc=None)
Agg(open=14.06, high=14.21, low=14.05, close=14.2, volume=25665, vwap=14.1524, timestamp=1688637600000, transactions=182, otc=None)
Agg(open=14.2, high=14.24, low=13.91, close=13.96, volume=209195, vwap=14.1018, timestamp=1688641200000, transactions=1317, otc=None)
Agg(open=14.12, high=14.25, low=13.57, close=13.76, volume=604369, vwap=13.867, timestamp=1688644800000, transactions=3291, otc=None)
Agg(open=13.75, high=13.88, low=13.05, close=13.1399, volume=5227669.0, vwap=13.5025, timestamp=1688648400000, transactions=22300, otc=None)
Agg(open=13.12, high=13.2196, low=12.79, close=13.21, volume=5769221.0, vwap=13.0231, timestamp=1688652000000, transactions=27410, otc=None)
Agg(open=13.21, high=13.54, low=13.05, close=13.4501, volume=3388277.0, vwap=13.3089, timestamp=1688655600000, transactions=14918, otc=None)
Agg(open=13.46, high=13.48, low=13.05, close=13.2516, volume=2829347.0, vwap=13.2132, timestamp=1688659200000, transactions=12993, otc=None)
Agg(open=13.255, high=13.3999, low=13.18, close=13.38, volume=1528059.0, vwap=13.2915, timestamp=1688662800000, transactions=8932, otc=None)
Agg(open=13.385, high=13.49, low=13.2619, close=13.49, volume=1189912.0, vwap=13.3583, timestamp=1688666400000, transactions=7787, otc=None)
Agg(open=13.485, high=13.55, low=13.35, close=13.535, volume=2459778.0, vwap=13.4654, timestamp=1688670000000, transactions=12185, otc=None)
Agg(open=13.54, high=13.55, low=13.49, close=13.52, volume=105516, vwap=13.5206, timestamp=1688673600000, transactions=247, otc=None)
Agg(open=13.52, high=13.52, low=13.42, close=13.46, volume=64264, vwap=13.4641, timestamp=1688677200000, transactions=165, otc=None)
Agg(open=13.46, high=13.48, low=13.41, close=13.41, volume=47223, vwap=13.4349, timestamp=1688680800000, transactions=89, otc=None)
Agg(open=13.43, high=13.44, low=13.13, close=13.15, volume=57395, vwap=13.2635, timestamp=1688684400000, transactions=322, otc=None)
Agg(open=13.09, high=13.18, low=13.09, close=13.17, volume=9188, vwap=13.1516, timestamp=1688716800000, transactions=48, otc=None)
Agg(open=13.14, high=13.24, low=13.12, close=13.23, volume=11559, vwap=13.1739, timestamp=1688720400000, transactions=83, otc=None)
Agg(open=13.23, high=13.28, low=13.2, close=13.27, volume=29788, vwap=13.2465, timestamp=1688724000000, transactions=62, otc=None)
Agg(open=13.27, high=13.29, low=13.2, close=13.25, volume=35032, vwap=13.2532, timestamp=1688727600000, transactions=244, otc=None)
Agg(open=13.27, high=13.52, low=13.19, close=13.37, volume=408843, vwap=13.3599, timestamp=1688731200000, transactions=1824, otc=None)
Agg(open=13.38, high=14.83, low=13.3, close=14.825, volume=8278420.0, vwap=14.2655, timestamp=1688734800000, transactions=38444, otc=None)
Agg(open=14.83, high=15.26, low=14.53, close=15.19, volume=10533453.0, vwap=14.8874, timestamp=1688738400000, transactions=49596, otc=None)
Agg(open=15.18, high=15.42, low=15.0607, close=15.26, volume=4839666.0, vwap=15.2298, timestamp=1688742000000, transactions=25820, otc=None)
Agg(open=15.26, high=15.49, low=15.205, close=15.3984, volume=3545642.0, vwap=15.376, timestamp=1688745600000, transactions=17496, otc=None)
Agg(open=15.398, high=15.55, low=15.1, close=15.38, volume=3961255.0, vwap=15.3748, timestamp=1688749200000, transactions=21078, otc=None)
Agg(open=15.38, high=15.4999, low=15.22, close=15.26, volume=3410459.0, vwap=15.3535, timestamp=1688752800000, transactions=18197, otc=None)
Agg(open=15.255, high=15.5, low=15.11, close=15.495, volume=5035821.0, vwap=15.3247, timestamp=1688756400000, transactions=26070, otc=None)
Agg(open=15.48, high=15.57, low=15.43, close=15.51, volume=262584, vwap=15.5046, timestamp=1688760000000, transactions=1029, otc=None)
Agg(open=15.5196, high=15.6, low=15.5, close=15.6, volume=70552, vwap=15.5427, timestamp=1688763600000, transactions=337, otc=None)
