Agg(open=9.0001, high=9.05, low=9, close=9.05, volume=5791, vwap=9.0402, timestamp=1674478800000, transactions=46, otc=None)
Agg(open=9.05, high=9.11, low=9.05, close=9.08, volume=356771, vwap=9.0859, timestamp=1674482400000, transactions=1669, otc=None)
Agg(open=9.09, high=9.16, low=9.0889, close=9.16, volume=580060, vwap=9.1271, timestamp=1674486000000, transactions=1990, otc=None)
Agg(open=9.16, high=9.19, low=9.15, close=9.18, volume=482484, vwap=9.1698, timestamp=1674489600000, transactions=1939, otc=None)
Agg(open=9.18, high=9.19, low=9.15, close=9.18, volume=171201, vwap=9.1727, timestamp=1674493200000, transactions=1207, otc=None)
Agg(open=9.185, high=9.2, low=9.17, close=9.195, volume=436159, vwap=9.1846, timestamp=1674496800000, transactions=1627, otc=None)
Agg(open=9.19, high=9.195, low=9.12, close=9.125, volume=517364, vwap=9.1594, timestamp=1674500400000, transactions=1939, otc=None)
Agg(open=9.13, high=9.18, low=9.12, close=9.16, volume=1409132.0, vwap=9.1563, timestamp=1674504000000, transactions=5348, otc=None)
Agg(open=9.17, high=9.17, low=9.17, close=9.17, volume=40857, vwap=9.17, timestamp=1674507600000, transactions=14, otc=None)
Agg(open=9.1999, high=9.2, low=9.1975, close=9.2, volume=1329, vwap=9.1992, timestamp=1674511200000, transactions=6, otc=None)
Agg(open=9.1999, high=9.2, low=9.19, close=9.2, volume=1743, vwap=9.1942, timestamp=1674514800000, transactions=6, otc=None)
Agg(open=9.19, high=9.19, low=9.19, close=9.19, volume=100, vwap=9.19, timestamp=1674518400000, transactions=1, otc=None)
Agg(open=9.18, high=9.18, low=9.17, close=9.17, volume=500, vwap=9.1722, timestamp=1674550800000, transactions=2, otc=None)
Agg(open=9.17, high=9.17, low=9.17, close=9.17, volume=110, vwap=9.17, timestamp=1674554400000, transactions=1, otc=None)
Agg(open=9.17, high=9.17, low=9.0015, close=9.1, volume=5345, vwap=9.1026, timestamp=1674565200000, transactions=30, otc=None)
Agg(open=9.12, high=9.21, low=9.09, close=9.165, volume=327855, vwap=9.1728, timestamp=1674568800000, transactions=1750, otc=None)
Agg(open=9.17, high=9.28, low=9.16, close=9.265, volume=758069, vwap=9.2407, timestamp=1674572400000, transactions=2615, otc=None)
