Agg(open=8.01, high=8.01, low=8, close=8, volume=975, vwap=8.006, timestamp=1680519600000, transactions=37, otc=None)
Agg(open=8, high=8, low=7.99, close=8, volume=2370, vwap=8, timestamp=1680523200000, transactions=30, otc=None)
Agg(open=7.99, high=8.01, low=7.92, close=7.98, volume=741893, vwap=7.9707, timestamp=1680526800000, transactions=2614, otc=None)
Agg(open=7.975, high=8.025, low=7.91, close=7.925, volume=665635, vwap=7.9616, timestamp=1680530400000, transactions=2709, otc=None)
Agg(open=7.93, high=7.965, low=7.92, close=7.965, volume=398184, vwap=7.9401, timestamp=1680534000000, transactions=2051, otc=None)
Agg(open=7.97, high=7.975, low=7.93, close=7.93, volume=219207, vwap=7.9564, timestamp=1680537600000, transactions=1236, otc=None)
Agg(open=7.935, high=7.985, low=7.91, close=7.925, volume=588513, vwap=7.9543, timestamp=1680541200000, transactions=1824, otc=None)
Agg(open=7.92, high=7.93, low=7.905, close=7.91, volume=333851, vwap=7.9147, timestamp=1680544800000, transactions=1409, otc=None)
Agg(open=7.915, high=7.94, low=7.91, close=7.935, volume=871699, vwap=7.9305, timestamp=1680548400000, transactions=3391, otc=None)
Agg(open=7.94, high=7.94, low=7.922, close=7.9288, volume=29460, vwap=7.9398, timestamp=1680552000000, transactions=28, otc=None)
Agg(open=7.98, high=7.98, low=7.98, close=7.98, volume=1651, vwap=7.98, timestamp=1680555600000, transactions=3, otc=None)
Agg(open=7.92, high=7.94, low=7.92, close=7.94, volume=454, vwap=7.9256, timestamp=1680559200000, transactions=8, otc=None)
Agg(open=7.94, high=7.94, low=7.94, close=7.94, volume=550, vwap=7.9427, timestamp=1680562800000, transactions=3, otc=None)
Agg(open=8.0381, high=8.0381, low=8.01, close=8.01, volume=1387, vwap=8.0156, timestamp=1680609600000, transactions=24, otc=None)
Agg(open=8.0098, high=8.01, low=7.925, close=7.9285, volume=367332, vwap=7.9598, timestamp=1680613200000, transactions=1615, otc=None)
Agg(open=7.93, high=7.975, low=7.86, close=7.86, volume=543407, vwap=7.9072, timestamp=1680616800000, transactions=2592, otc=None)
Agg(open=7.86, high=7.87, low=7.84, close=7.85, volume=315268, vwap=7.8573, timestamp=1680620400000, transactions=1860, otc=None)
Agg(open=7.86, high=7.87, low=7.82, close=7.865, volume=255202, vwap=7.8517, timestamp=1680624000000, transactions=1649, otc=None)
Agg(open=7.865, high=7.88, low=7.85, close=7.855, volume=274482, vwap=7.8656, timestamp=1680627600000, transactions=1393, otc=None)
Agg(open=7.855, high=7.87, low=7.84, close=7.855, volume=323932, vwap=7.8541, timestamp=1680631200000, transactions=1808, otc=None)
Agg(open=7.85, high=7.92, low=7.85, close=7.88, volume=1200963.0, vwap=7.8824, timestamp=1680634800000, transactions=4175, otc=None)
Agg(open=7.89, high=7.98, low=7.89, close=7.95, volume=26739, vwap=7.8909, timestamp=1680638400000, transactions=22, otc=None)
Agg(open=7.96, high=7.96, low=7.9, close=7.9, volume=8000, vwap=7.9375, timestamp=1680642000000, transactions=2, otc=None)
Agg(open=7.96, high=7.96, low=7.92, close=7.92, volume=500, vwap=7.9441, timestamp=1680645600000, transactions=3, otc=None)
Agg(open=7.97, high=7.97, low=7.9, close=7.9, volume=1258, vwap=7.927, timestamp=1680692400000, transactions=13, otc=None)
Agg(open=7.98, high=7.98, low=7.9, close=7.9, volume=907, vwap=7.927, timestamp=1680696000000, transactions=19, otc=None)
Agg(open=7.86, high=7.91, low=7.82, close=7.8893, volume=312347, vwap=7.8673, timestamp=1680699600000, transactions=1244, otc=None)
Agg(open=7.88, high=7.88, low=7.79, close=7.8, volume=908227, vwap=7.8434, timestamp=1680703200000, transactions=2959, otc=None)
Agg(open=7.8, high=7.83, low=7.79, close=7.82, volume=710336, vwap=7.8139, timestamp=1680706800000, transactions=2438, otc=None)
Agg(open=7.82, high=7.855, low=7.81, close=7.825, volume=392775, vwap=7.8325, timestamp=1680710400000, transactions=1625, otc=None)
Agg(open=7.82, high=7.8878, low=7.82, close=7.8777, volume=1087628.0, vwap=7.8537, timestamp=1680714000000, transactions=3064, otc=None)
Agg(open=7.875, high=7.88, low=7.85, close=7.86, volume=570018, vwap=7.8679, timestamp=1680717600000, transactions=2097, otc=None)
Agg(open=7.855, high=7.87, low=7.84, close=7.845, volume=1156418.0, vwap=7.8527, timestamp=1680721200000, transactions=3846, otc=None)
Agg(open=7.84, high=7.85, low=7.84, close=7.84, volume=129992, vwap=7.8485, timestamp=1680724800000, transactions=9, otc=None)
Agg(open=7.85, high=7.85, low=7.85, close=7.85, volume=300, vwap=7.85, timestamp=1680728400000, transactions=1, otc=None)
Agg(open=7.9, high=7.9, low=7.88, close=7.88, volume=296, vwap=7.8868, timestamp=1680732000000, transactions=2, otc=None)
Agg(open=7.88, high=7.88, low=7.88, close=7.88, volume=249, vwap=7.8812, timestamp=1680778800000, transactions=5, otc=None)
Agg(open=7.88, high=7.93, low=7.88, close=7.93, volume=868, vwap=7.8989, timestamp=1680782400000, transactions=10, otc=None)
Agg(open=7.86, high=7.88, low=7.84, close=7.865, volume=397363, vwap=7.8639, timestamp=1680786000000, transactions=1513, otc=None)
Agg(open=7.865, high=7.88, low=7.84, close=7.8561, volume=397440, vwap=7.8583, timestamp=1680789600000, transactions=2219, otc=None)
Agg(open=7.85, high=7.875, low=7.845, close=7.859, volume=347851, vwap=7.8597, timestamp=1680793200000, transactions=1592, otc=None)
Agg(open=7.86, high=7.87, low=7.83, close=7.84, volume=398635, vwap=7.8481, timestamp=1680796800000, transactions=1846, otc=None)
Agg(open=7.845, high=7.87, low=7.82, close=7.83, volume=350470, vwap=7.8483, timestamp=1680800400000, transactions=1791, otc=None)
Agg(open=7.825, high=7.835, low=7.81, close=7.81, volume=283310, vwap=7.8222, timestamp=1680804000000, transactions=1659, otc=None)
Agg(open=7.815, high=7.82, low=7.79, close=7.795, volume=969104, vwap=7.8009, timestamp=1680807600000, transactions=3915, otc=None)
Agg(open=7.8, high=7.82, low=7.8, close=7.82, volume=48412, vwap=7.8002, timestamp=1680811200000, transactions=20, otc=None)
Agg(open=7.8, high=7.82, low=7.79, close=7.8, volume=8966, vwap=7.801, timestamp=1680814800000, transactions=16, otc=None)
Agg(open=7.82, high=7.82, low=7.82, close=7.82, volume=100, vwap=7.82, timestamp=1680818400000, transactions=1, otc=None)
Agg(open=7.81, high=7.82, low=7.7, close=7.72, volume=9264, vwap=7.7372, timestamp=1680822000000, transactions=82, otc=None)
