Agg(open=8.12, high=8.12, low=8.07, close=8.07, volume=320, vwap=8.0856, timestamp=1682928000000, transactions=3, otc=None)
Agg(open=8.2, high=8.2, low=8.15, close=8.2, volume=1589, vwap=8.1898, timestamp=1682942400000, transactions=16, otc=None)
Agg(open=8.16, high=8.2, low=8.07, close=8.115, volume=372100, vwap=8.1349, timestamp=1682946000000, transactions=2562, otc=None)
Agg(open=8.11, high=8.195, low=8.09, close=8.135, volume=807137, vwap=8.1514, timestamp=1682949600000, transactions=3822, otc=None)
Agg(open=8.135, high=8.1399, low=8.0634, close=8.1, volume=364560, vwap=8.0863, timestamp=1682953200000, transactions=2393, otc=None)
Agg(open=8.1, high=8.11, low=8.05, close=8.06, volume=244894, vwap=8.0837, timestamp=1682956800000, transactions=1918, otc=None)
Agg(open=8.06, high=8.07, low=8.02, close=8.04, volume=465363, vwap=8.0382, timestamp=1682960400000, transactions=2346, otc=None)
Agg(open=8.035, high=8.05, low=8.01, close=8.025, volume=365350, vwap=8.0249, timestamp=1682964000000, transactions=2096, otc=None)
Agg(open=8.025, high=8.05, low=8, close=8.02, volume=863054, vwap=8.0229, timestamp=1682967600000, transactions=4111, otc=None)
Agg(open=8.03, high=8.04, low=8.02, close=8.02, volume=18364, vwap=8.0304, timestamp=1682971200000, transactions=26, otc=None)
Agg(open=8.02, high=8.0494, low=8.02, close=8.0494, volume=731, vwap=8.0258, timestamp=1682974800000, transactions=3, otc=None)
Agg(open=8.03, high=8.03, low=8.03, close=8.03, volume=227, vwap=8.03, timestamp=1682982000000, transactions=3, otc=None)
Agg(open=8.06, high=8.06, low=8.02, close=8.02, volume=700, vwap=8.0257, timestamp=1683025200000, transactions=2, otc=None)
Agg(open=8.1283, high=8.13, low=8.02, close=8.09, volume=2647, vwap=8.0801, timestamp=1683028800000, transactions=15, otc=None)
Agg(open=8.02, high=8.03, low=7.805, close=7.82, volume=856403, vwap=7.898, timestamp=1683032400000, transactions=3232, otc=None)
Agg(open=7.825, high=7.8299, low=7.6209, close=7.63, volume=1201172.0, vwap=7.7156, timestamp=1683036000000, transactions=5594, otc=None)
Agg(open=7.63, high=7.71, low=7.605, close=7.69, volume=1043241.0, vwap=7.6474, timestamp=1683039600000, transactions=4744, otc=None)
Agg(open=7.69, high=7.76, low=7.6614, close=7.75, volume=1062403.0, vwap=7.7122, timestamp=1683043200000, transactions=3612, otc=None)
Agg(open=7.75, high=7.795, low=7.74, close=7.7699, volume=588262, vwap=7.7698, timestamp=1683046800000, transactions=2675, otc=None)
Agg(open=7.77, high=7.78, low=7.74, close=7.78, volume=289081, vwap=7.7588, timestamp=1683050400000, transactions=1840, otc=None)
Agg(open=7.775, high=7.8, low=7.755, close=7.8, volume=1072205.0, vwap=7.7754, timestamp=1683054000000, transactions=4604, otc=None)
Agg(open=7.8, high=7.8, low=7.7463, close=7.7486, volume=31117, vwap=7.7987, timestamp=1683057600000, transactions=26, otc=None)
Agg(open=7.8, high=7.93, low=7.7602, close=7.93, volume=2807, vwap=7.8557, timestamp=1683061200000, transactions=8, otc=None)
Agg(open=7.83, high=7.83, low=7.83, close=7.83, volume=113, vwap=7.83, timestamp=1683064800000, transactions=1, otc=None)
Agg(open=7.76, high=7.83, low=7.76, close=7.83, volume=642, vwap=7.7869, timestamp=1683068400000, transactions=8, otc=None)
Agg(open=7.8376, high=7.85, low=7.77, close=7.85, volume=20145, vwap=7.7949, timestamp=1683115200000, transactions=34, otc=None)
Agg(open=7.84, high=7.9, low=7.79, close=7.86, volume=369060, vwap=7.8364, timestamp=1683118800000, transactions=1772, otc=None)
Agg(open=7.855, high=7.87, low=7.78, close=7.805, volume=454150, vwap=7.826, timestamp=1683122400000, transactions=2602, otc=None)
Agg(open=7.805, high=7.83, low=7.78, close=7.8, volume=489579, vwap=7.8053, timestamp=1683126000000, transactions=2932, otc=None)
Agg(open=7.8, high=7.84, low=7.7817, close=7.84, volume=467352, vwap=7.813, timestamp=1683129600000, transactions=2874, otc=None)
Agg(open=7.84, high=7.87, low=7.83, close=7.84, volume=368057, vwap=7.8516, timestamp=1683133200000, transactions=1972, otc=None)
Agg(open=7.84, high=7.885, low=7.812, close=7.855, volume=883914, vwap=7.8461, timestamp=1683136800000, transactions=4011, otc=None)
Agg(open=7.85, high=7.87, low=7.71, close=7.74, volume=1926950.0, vwap=7.7632, timestamp=1683140400000, transactions=6793, otc=None)
Agg(open=7.71, high=7.9, low=7.71, close=7.7983, volume=29534, vwap=7.7391, timestamp=1683144000000, transactions=24, otc=None)
Agg(open=7.8, high=7.8001, low=7.76, close=7.76, volume=7787, vwap=7.7863, timestamp=1683147600000, transactions=9, otc=None)
Agg(open=7.86, high=7.86, low=7.8, close=7.8, volume=37507, vwap=7.8036, timestamp=1683151200000, transactions=17, otc=None)
Agg(open=7.8, high=7.85, low=7.8, close=7.82, volume=1719, vwap=7.8293, timestamp=1683154800000, transactions=4, otc=None)
Agg(open=7.9, high=7.9, low=7.89, close=7.9, volume=600, vwap=7.8984, timestamp=1683198000000, transactions=3, otc=None)
Agg(open=7.95, high=8.01, low=7.8, close=8, volume=57886, vwap=7.9388, timestamp=1683201600000, transactions=122, otc=None)
Agg(open=7.9782, high=7.98, low=7.7, close=7.745, volume=890623, vwap=7.7888, timestamp=1683205200000, transactions=3369, otc=None)
Agg(open=7.74, high=7.75, low=7.62, close=7.655, volume=1382622.0, vwap=7.677, timestamp=1683208800000, transactions=4387, otc=None)
Agg(open=7.65, high=7.73, low=7.625, close=7.635, volume=744134, vwap=7.6828, timestamp=1683212400000, transactions=3221, otc=None)
Agg(open=7.64, high=7.76, low=7.585, close=7.745, volume=966375, vwap=7.6809, timestamp=1683216000000, transactions=3425, otc=None)
Agg(open=7.75, high=7.805, low=7.73, close=7.765, volume=518713, vwap=7.7748, timestamp=1683219600000, transactions=2088, otc=None)
Agg(open=7.76, high=7.78, low=7.65, close=7.67, volume=800740, vwap=7.7215, timestamp=1683223200000, transactions=2717, otc=None)
Agg(open=7.675, high=7.73, low=7.64, close=7.64, volume=1362204.0, vwap=7.68, timestamp=1683226800000, transactions=4813, otc=None)
Agg(open=7.64, high=7.75, low=7.64, close=7.7, volume=108896, vwap=7.6597, timestamp=1683230400000, transactions=37, otc=None)
Agg(open=7.7, high=7.72, low=7.7, close=7.72, volume=3429, vwap=7.7056, timestamp=1683234000000, transactions=21, otc=None)
Agg(open=7.7201, high=7.7201, low=7.7201, close=7.7201, volume=600, vwap=7.7201, timestamp=1683237600000, transactions=2, otc=None)
Agg(open=7.72, high=7.75, low=7.72, close=7.75, volume=3197, vwap=7.7219, timestamp=1683241200000, transactions=4, otc=None)
Agg(open=7.75, high=7.79, low=7.7, close=7.77, volume=12480, vwap=7.7616, timestamp=1683288000000, transactions=72, otc=None)
Agg(open=7.7899, high=7.8785, low=7.7718, close=7.82, volume=539637, vwap=7.8394, timestamp=1683291600000, transactions=2131, otc=None)
Agg(open=7.825, high=7.8799, low=7.8, close=7.805, volume=638665, vwap=7.8362, timestamp=1683295200000, transactions=2498, otc=None)
Agg(open=7.81, high=7.825, low=7.77, close=7.81, volume=378080, vwap=7.792, timestamp=1683298800000, transactions=1669, otc=None)
Agg(open=7.805, high=7.855, low=7.77, close=7.78, volume=515379, vwap=7.8119, timestamp=1683302400000, transactions=2327, otc=None)
Agg(open=7.78, high=7.82, low=7.78, close=7.79, volume=321781, vwap=7.8004, timestamp=1683306000000, transactions=2056, otc=None)
Agg(open=7.8, high=7.87, low=7.79, close=7.86, volume=368699, vwap=7.8352, timestamp=1683309600000, transactions=1742, otc=None)
Agg(open=7.86, high=7.92, low=7.8501, close=7.87, volume=1190128.0, vwap=7.885, timestamp=1683313200000, transactions=4509, otc=None)
Agg(open=7.88, high=7.88, low=7.82, close=7.87, volume=17383, vwap=7.8788, timestamp=1683316800000, transactions=24, otc=None)
Agg(open=7.88, high=7.88, low=7.87, close=7.87, volume=5594, vwap=7.8798, timestamp=1683320400000, transactions=3, otc=None)
Agg(open=7.88, high=7.89, low=7.88, close=7.89, volume=250, vwap=7.886, timestamp=1683324000000, transactions=3, otc=None)
Agg(open=7.9, high=7.9, low=7.9, close=7.9, volume=376, vwap=7.9, timestamp=1683327600000, transactions=6, otc=None)
