Agg(open=5.8, high=5.8, low=5.8, close=5.8, volume=250, vwap=5.8, timestamp=1688979600000, transactions=1, otc=None)
Agg(open=5.86, high=5.86, low=5.86, close=5.86, volume=170, vwap=5.86, timestamp=1688983200000, transactions=1, otc=None)
Agg(open=5.84, high=5.84, low=5.77, close=5.77, volume=1423, vwap=5.819, timestamp=1688986800000, transactions=8, otc=None)
Agg(open=5.85, high=5.8685, low=5.71, close=5.7787, volume=8693, vwap=5.7696, timestamp=1688990400000, transactions=60, otc=None)
Agg(open=5.71, high=5.7684, low=5.68, close=5.73, volume=276901, vwap=5.7129, timestamp=1688994000000, transactions=1985, otc=None)
Agg(open=5.74, high=5.82, low=5.74, close=5.78, volume=461008, vwap=5.7894, timestamp=1688997600000, transactions=2911, otc=None)
Agg(open=5.79, high=5.84, low=5.77, close=5.775, volume=287915, vwap=5.8021, timestamp=1689001200000, transactions=2213, otc=None)
Agg(open=5.775, high=5.82, low=5.725, close=5.815, volume=294165, vwap=5.7665, timestamp=1689004800000, transactions=2577, otc=None)
Agg(open=5.815, high=5.87, low=5.8, close=5.855, volume=360607, vwap=5.8376, timestamp=1689008400000, transactions=2558, otc=None)
Agg(open=5.855, high=5.9, low=5.83, close=5.875, volume=405409, vwap=5.8728, timestamp=1689012000000, transactions=2829, otc=None)
Agg(open=5.875, high=5.98, low=5.875, close=5.98, volume=845971, vwap=5.9382, timestamp=1689015600000, transactions=4761, otc=None)
Agg(open=5.97, high=5.97, low=5.93, close=5.97, volume=27920, vwap=5.9698, timestamp=1689019200000, transactions=30, otc=None)
Agg(open=5.97, high=5.97, low=5.9502, close=5.9599, volume=1190, vwap=5.9596, timestamp=1689022800000, transactions=5, otc=None)
Agg(open=5.95, high=5.97, low=5.95, close=5.97, volume=2200, vwap=5.9641, timestamp=1689026400000, transactions=16, otc=None)
Agg(open=5.96, high=6, low=5.96, close=5.99, volume=1600, vwap=5.9819, timestamp=1689030000000, transactions=12, otc=None)
Agg(open=5.97, high=5.97, low=5.95, close=5.96, volume=4776, vwap=5.9524, timestamp=1689073200000, transactions=24, otc=None)
Agg(open=5.98, high=6.04, low=5.97, close=6.03, volume=22502, vwap=6.0075, timestamp=1689076800000, transactions=59, otc=None)
Agg(open=6.04, high=6.04, low=5.85, close=5.975, volume=562014, vwap=5.9537, timestamp=1689080400000, transactions=3398, otc=None)
Agg(open=5.975, high=6.1, low=5.9601, close=6.0316, volume=913339, vwap=6.0299, timestamp=1689084000000, transactions=5550, otc=None)
Agg(open=6.0333, high=6.05, low=5.945, close=6.025, volume=504275, vwap=5.9983, timestamp=1689087600000, transactions=3079, otc=None)
Agg(open=6.02, high=6.07, low=6.01, close=6.04, volume=428523, vwap=6.0401, timestamp=1689091200000, transactions=2587, otc=None)
Agg(open=6.045, high=6.085, low=6.04, close=6.07, volume=265369, vwap=6.0595, timestamp=1689094800000, transactions=2378, otc=None)
Agg(open=6.075, high=6.14, low=6.05, close=6.1, volume=1417809.0, vwap=6.0913, timestamp=1689098400000, transactions=7433, otc=None)
Agg(open=6.1, high=6.25, low=6.0908, close=6.19, volume=2909994.0, vwap=6.1648, timestamp=1689102000000, transactions=12285, otc=None)
Agg(open=6.18, high=6.22, low=6.18, close=6.2, volume=50047, vwap=6.1859, timestamp=1689105600000, transactions=101, otc=None)
Agg(open=6.2, high=6.24, low=6.1992, close=6.1992, volume=13312, vwap=6.2067, timestamp=1689109200000, transactions=46, otc=None)
Agg(open=6.19, high=6.24, low=6.19, close=6.2, volume=13068, vwap=6.2073, timestamp=1689112800000, transactions=34, otc=None)
Agg(open=6.22, high=6.24, low=6.2, close=6.2398, volume=10590, vwap=6.2279, timestamp=1689116400000, transactions=38, otc=None)
Agg(open=6.34, high=6.44, low=6.13, close=6.43, volume=4119, vwap=6.3575, timestamp=1689148800000, transactions=38, otc=None)
Agg(open=6.38, high=6.39, low=6.37, close=6.37, volume=603, vwap=6.378, timestamp=1689152400000, transactions=7, otc=None)
Agg(open=6.38, high=6.39, low=6.38, close=6.38, volume=633, vwap=6.3817, timestamp=1689156000000, transactions=7, otc=None)
Agg(open=6.37, high=6.39, low=6.3, close=6.33, volume=13292, vwap=6.3408, timestamp=1689159600000, transactions=120, otc=None)
Agg(open=6.36, high=6.4, low=6.16, close=6.37, volume=76168, vwap=6.3455, timestamp=1689163200000, transactions=346, otc=None)
Agg(open=6.36, high=6.42, low=6.19, close=6.2099, volume=1088511.0, vwap=6.2942, timestamp=1689166800000, transactions=5173, otc=None)
Agg(open=6.21, high=6.23, low=6.01, close=6.04, volume=1064363.0, vwap=6.1263, timestamp=1689170400000, transactions=5640, otc=None)
Agg(open=6.0393, high=6.04, low=5.9, close=5.915, volume=1021362.0, vwap=5.9792, timestamp=1689174000000, transactions=5638, otc=None)
Agg(open=5.92, high=6.05, low=5.9, close=6.02, volume=602131, vwap=5.9631, timestamp=1689177600000, transactions=4172, otc=None)
Agg(open=6.02, high=6.0787, low=6.02, close=6.0787, volume=335454, vwap=6.0543, timestamp=1689181200000, transactions=2515, otc=None)
Agg(open=6.075, high=6.135, low=6.06, close=6.11, volume=415156, vwap=6.1101, timestamp=1689184800000, transactions=2908, otc=None)
Agg(open=6.12, high=6.15, low=6.07, close=6.07, volume=857452, vwap=6.1043, timestamp=1689188400000, transactions=4746, otc=None)
Agg(open=6.07, high=6.15, low=6.06, close=6.07, volume=24956, vwap=6.0767, timestamp=1689192000000, transactions=63, otc=None)
Agg(open=6.08, high=6.09, low=6.06, close=6.06, volume=2813, vwap=6.0769, timestamp=1689195600000, transactions=20, otc=None)
Agg(open=6.06, high=6.132, low=6.06, close=6.132, volume=469, vwap=6.0932, timestamp=1689199200000, transactions=7, otc=None)
Agg(open=6.08, high=6.17, low=6.08, close=6.16, volume=1700, vwap=6.1464, timestamp=1689202800000, transactions=11, otc=None)
Agg(open=6.19, high=6.19, low=6.19, close=6.19, volume=1141, vwap=6.19, timestamp=1689235200000, transactions=11, otc=None)
Agg(open=6.19, high=6.19, low=6.19, close=6.19, volume=299, vwap=6.19, timestamp=1689238800000, transactions=1, otc=None)
Agg(open=6.12, high=6.17, low=6.12, close=6.17, volume=2225, vwap=6.1318, timestamp=1689242400000, transactions=10, otc=None)
Agg(open=6.165, high=6.165, low=6.12, close=6.12, volume=3528, vwap=6.149, timestamp=1689246000000, transactions=17, otc=None)
Agg(open=6.1598, high=6.18, low=6.1307, close=6.17, volume=6657, vwap=6.1538, timestamp=1689249600000, transactions=41, otc=None)
Agg(open=6.1795, high=6.54, low=6.12, close=6.525, volume=1168584.0, vwap=6.3684, timestamp=1689253200000, transactions=6486, otc=None)
Agg(open=6.53, high=6.775, low=6.51, close=6.655, volume=2331932.0, vwap=6.6714, timestamp=1689256800000, transactions=13085, otc=None)
Agg(open=6.66, high=6.77, low=6.605, close=6.75, volume=1256869.0, vwap=6.6873, timestamp=1689260400000, transactions=6602, otc=None)
Agg(open=6.75, high=6.77, low=6.68, close=6.745, volume=824441, vwap=6.7266, timestamp=1689264000000, transactions=4614, otc=None)
Agg(open=6.75, high=6.82, low=6.71, close=6.79, volume=729417, vwap=6.7694, timestamp=1689267600000, transactions=3845, otc=None)
Agg(open=6.785, high=6.79, low=6.66, close=6.7, volume=775107, vwap=6.7296, timestamp=1689271200000, transactions=4317, otc=None)
Agg(open=6.7, high=6.72, low=6.62, close=6.64, volume=1184937.0, vwap=6.6512, timestamp=1689274800000, transactions=6197, otc=None)
Agg(open=6.64, high=6.75, low=6.58, close=6.64, volume=146882, vwap=6.6483, timestamp=1689278400000, transactions=206, otc=None)
