Agg(open=2.08, high=2.16, low=2.08, close=2.11, volume=9756, vwap=2.1157, timestamp=1676278800000, transactions=25, otc=None)
Agg(open=2.12, high=2.13, low=2.11, close=2.12, volume=6650, vwap=2.1178, timestamp=1676286000000, transactions=18, otc=None)
Agg(open=2.12, high=2.16, low=2.1, close=2.14, volume=70811, vwap=2.1462, timestamp=1676289600000, transactions=90, otc=None)
Agg(open=2.16, high=2.16, low=2.08, close=2.14, volume=16800, vwap=2.1508, timestamp=1676293200000, transactions=29, otc=None)
Agg(open=2.14, high=2.25, low=2.11, close=2.2099, volume=1212637.0, vwap=2.1971, timestamp=1676296800000, transactions=2387, otc=None)
Agg(open=2.2009, high=2.28, low=2.2, close=2.26, volume=1303197.0, vwap=2.2497, timestamp=1676300400000, transactions=2763, otc=None)
Agg(open=2.25, high=2.26, low=2.23, close=2.24, volume=470814, vwap=2.2433, timestamp=1676304000000, transactions=1794, otc=None)
Agg(open=2.235, high=2.25, low=2.23, close=2.24, volume=283983, vwap=2.2416, timestamp=1676307600000, transactions=1339, otc=None)
Agg(open=2.24, high=2.25, low=2.23, close=2.235, volume=340393, vwap=2.2425, timestamp=1676311200000, transactions=1506, otc=None)
Agg(open=2.23, high=2.24, low=2.2, close=2.205, volume=400765, vwap=2.2176, timestamp=1676314800000, transactions=1322, otc=None)
Agg(open=2.21, high=2.22, low=2.2, close=2.21, volume=1026610.0, vwap=2.2085, timestamp=1676318400000, transactions=3846, otc=None)
Agg(open=2.21, high=2.21, low=2.2, close=2.21, volume=3302, vwap=2.203, timestamp=1676322000000, transactions=12, otc=None)
Agg(open=2.2, high=2.2, low=2.2, close=2.2, volume=1736, vwap=2.2, timestamp=1676329200000, transactions=2, otc=None)
Agg(open=2.2, high=2.2, low=2.2, close=2.2, volume=4331, vwap=2.2, timestamp=1676332800000, transactions=14, otc=None)
Agg(open=2.24, high=2.24, low=2.24, close=2.24, volume=400, vwap=2.24, timestamp=1676365200000, transactions=1, otc=None)
Agg(open=2.24, high=2.26, low=2.24, close=2.26, volume=506, vwap=2.2528, timestamp=1676376000000, transactions=5, otc=None)
Agg(open=2.26, high=2.26, low=2.2115, close=2.22, volume=25488, vwap=2.2514, timestamp=1676379600000, transactions=40, otc=None)
Agg(open=2.24, high=2.3, low=2.145, close=2.285, volume=916530, vwap=2.221, timestamp=1676383200000, transactions=2580, otc=None)
Agg(open=2.285, high=2.3, low=2.17, close=2.215, volume=2015555.0, vwap=2.2322, timestamp=1676386800000, transactions=4802, otc=None)
Agg(open=2.215, high=2.24, low=2.21, close=2.215, volume=459292, vwap=2.225, timestamp=1676390400000, transactions=1636, otc=None)
Agg(open=2.215, high=2.22, low=2.2, close=2.205, volume=215949, vwap=2.2132, timestamp=1676394000000, transactions=1115, otc=None)
Agg(open=2.205, high=2.22, low=2.2, close=2.215, volume=287823, vwap=2.2115, timestamp=1676397600000, transactions=1172, otc=None)
Agg(open=2.22, high=2.23, low=2.2, close=2.225, volume=356429, vwap=2.2176, timestamp=1676401200000, transactions=1227, otc=None)
Agg(open=2.225, high=2.225, low=2.18, close=2.19, volume=1725159.0, vwap=2.1976, timestamp=1676404800000, transactions=5015, otc=None)
Agg(open=2.1915, high=2.1915, low=2.19, close=2.19, volume=3730, vwap=2.1897, timestamp=1676408400000, transactions=10, otc=None)
Agg(open=2.18, high=2.18, low=2.18, close=2.18, volume=742, vwap=2.18, timestamp=1676415600000, transactions=4, otc=None)
Agg(open=2.21, high=2.21, low=2.21, close=2.21, volume=199, vwap=2.21, timestamp=1676419200000, transactions=1, otc=None)
Agg(open=2.16, high=2.18, low=2.14, close=2.18, volume=6429, vwap=2.1727, timestamp=1676451600000, transactions=16, otc=None)
Agg(open=2.16, high=2.16, low=2.16, close=2.16, volume=1342, vwap=2.16, timestamp=1676455200000, transactions=5, otc=None)
Agg(open=2.17, high=2.18, low=2.15, close=2.17, volume=3226, vwap=2.173, timestamp=1676458800000, transactions=11, otc=None)
Agg(open=2.17, high=2.17, low=2.15, close=2.16, volume=935, vwap=2.1604, timestamp=1676462400000, transactions=6, otc=None)
Agg(open=2.16, high=2.17, low=2.15, close=2.16, volume=19182, vwap=2.1583, timestamp=1676466000000, transactions=53, otc=None)
Agg(open=2.16, high=2.255, low=2.15, close=2.205, volume=1039993.0, vwap=2.2116, timestamp=1676469600000, transactions=1671, otc=None)
Agg(open=2.2008, high=2.22, low=2.19, close=2.21, volume=1087274.0, vwap=2.2029, timestamp=1676473200000, transactions=2573, otc=None)
Agg(open=2.21, high=2.25, low=2.19, close=2.235, volume=1173084.0, vwap=2.2172, timestamp=1676476800000, transactions=2500, otc=None)
Agg(open=2.24, high=2.25, low=2.225, close=2.235, volume=469573, vwap=2.2387, timestamp=1676480400000, transactions=1178, otc=None)
Agg(open=2.235, high=2.25, low=2.235, close=2.245, volume=293032, vwap=2.2457, timestamp=1676484000000, transactions=933, otc=None)
Agg(open=2.24, high=2.25, low=2.23, close=2.25, volume=411876, vwap=2.243, timestamp=1676487600000, transactions=1214, otc=None)
Agg(open=2.2442, high=2.26, low=2.24, close=2.24, volume=932531, vwap=2.2488, timestamp=1676491200000, transactions=2776, otc=None)
Agg(open=2.25, high=2.25, low=2.25, close=2.25, volume=200, vwap=2.25, timestamp=1676494800000, transactions=1, otc=None)
Agg(open=2.23, high=2.23, low=2.23, close=2.23, volume=518, vwap=2.2307, timestamp=1676498400000, transactions=2, otc=None)
Agg(open=2.23, high=2.25, low=2.23, close=2.25, volume=1300, vwap=2.2454, timestamp=1676502000000, transactions=3, otc=None)
Agg(open=2.24, high=2.27, low=2.24, close=2.27, volume=8500, vwap=2.2556, timestamp=1676505600000, transactions=7, otc=None)
Agg(open=2.25, high=2.27, low=2.25, close=2.27, volume=500, vwap=2.262, timestamp=1676538000000, transactions=4, otc=None)
Agg(open=2.28, high=2.28, low=2.28, close=2.28, volume=500, vwap=2.28, timestamp=1676541600000, transactions=1, otc=None)
Agg(open=2.28, high=2.32, low=2.27, close=2.32, volume=23250, vwap=2.3115, timestamp=1676545200000, transactions=29, otc=None)
Agg(open=2.29, high=2.29, low=2.28, close=2.28, volume=2000, vwap=2.2825, timestamp=1676548800000, transactions=16, otc=None)
Agg(open=2.29, high=2.3, low=2.21, close=2.25, volume=15662, vwap=2.2614, timestamp=1676552400000, transactions=53, otc=None)
Agg(open=2.25, high=2.2501, low=2.175, close=2.23, volume=585709, vwap=2.2049, timestamp=1676556000000, transactions=1684, otc=None)
Agg(open=2.23, high=2.26, low=2.225, close=2.255, volume=987123, vwap=2.2462, timestamp=1676559600000, transactions=2747, otc=None)
Agg(open=2.255, high=2.26, low=2.25, close=2.255, volume=733767, vwap=2.2557, timestamp=1676563200000, transactions=2737, otc=None)
Agg(open=2.255, high=2.26, low=2.245, close=2.245, volume=406393, vwap=2.2547, timestamp=1676566800000, transactions=1906, otc=None)
Agg(open=2.245, high=2.31, low=2.2428, close=2.29, volume=826801, vwap=2.2792, timestamp=1676570400000, transactions=2337, otc=None)
Agg(open=2.285, high=2.29, low=2.27, close=2.28, volume=268104, vwap=2.2829, timestamp=1676574000000, transactions=1283, otc=None)
Agg(open=2.28, high=2.28, low=2.24, close=2.24, volume=908402, vwap=2.2552, timestamp=1676577600000, transactions=3416, otc=None)
Agg(open=2.24, high=2.24, low=2.24, close=2.24, volume=4507, vwap=2.24, timestamp=1676581200000, transactions=2, otc=None)
Agg(open=2.24, high=2.24, low=2.24, close=2.24, volume=2309, vwap=2.24, timestamp=1676584800000, transactions=4, otc=None)
Agg(open=2.24, high=2.24, low=2.24, close=2.24, volume=7929, vwap=2.24, timestamp=1676588400000, transactions=4, otc=None)
Agg(open=2.2299, high=2.2299, low=2.22, close=2.22, volume=1850, vwap=2.2245, timestamp=1676592000000, transactions=2, otc=None)
Agg(open=2.19, high=2.19, low=2.17, close=2.17, volume=2050, vwap=2.1803, timestamp=1676624400000, transactions=10, otc=None)
Agg(open=2.17, high=2.19, low=2.17, close=2.19, volume=21265, vwap=2.1793, timestamp=1676628000000, transactions=43, otc=None)
Agg(open=2.19, high=2.19, low=2.18, close=2.19, volume=6400, vwap=2.1878, timestamp=1676631600000, transactions=11, otc=None)
Agg(open=2.18, high=2.19, low=2.18, close=2.19, volume=2775, vwap=2.1857, timestamp=1676635200000, transactions=16, otc=None)
Agg(open=2.18, high=2.21, low=2.18, close=2.18, volume=2929, vwap=2.1852, timestamp=1676638800000, transactions=15, otc=None)
Agg(open=2.1801, high=2.2, low=2.16, close=2.2, volume=482791, vwap=2.1775, timestamp=1676642400000, transactions=1805, otc=None)
Agg(open=2.195, high=2.21, low=2.18, close=2.19, volume=497850, vwap=2.1903, timestamp=1676646000000, transactions=3289, otc=None)
Agg(open=2.185, high=2.19, low=2.14, close=2.155, volume=809182, vwap=2.1549, timestamp=1676649600000, transactions=3005, otc=None)
Agg(open=2.155, high=2.17, low=2.15, close=2.165, volume=192036, vwap=2.1642, timestamp=1676653200000, transactions=1725, otc=None)
Agg(open=2.17, high=2.175, low=2.16, close=2.165, volume=242652, vwap=2.1677, timestamp=1676656800000, transactions=1722, otc=None)
Agg(open=2.165, high=2.175, low=2.16, close=2.165, volume=475514, vwap=2.1679, timestamp=1676660400000, transactions=1926, otc=None)
Agg(open=2.1699, high=2.175, low=2.15, close=2.17, volume=910213, vwap=2.1638, timestamp=1676664000000, transactions=3469, otc=None)
Agg(open=2.16, high=2.16, low=2.16, close=2.16, volume=19500, vwap=2.1601, timestamp=1676667600000, transactions=12, otc=None)
Agg(open=2.16, high=2.16, low=2.15, close=2.15, volume=1100, vwap=2.1573, timestamp=1676671200000, transactions=4, otc=None)
Agg(open=2.16, high=2.16, low=2.16, close=2.16, volume=170, vwap=2.16, timestamp=1676674800000, transactions=1, otc=None)
Agg(open=2.16, high=2.16, low=2.15, close=2.15, volume=3000, vwap=2.1582, timestamp=1676678400000, transactions=8, otc=None)
