Agg(open=8.51, high=8.52, low=8.36, close=8.435, volume=84695, vwap=8.4438, timestamp=1675087200000, transactions=898, otc=None)
Agg(open=8.44, high=8.47, low=8.345, close=8.405, volume=119898, vwap=8.3981, timestamp=1675090800000, transactions=1363, otc=None)
Agg(open=8.41, high=8.465, low=8.38, close=8.41, volume=130698, vwap=8.4213, timestamp=1675094400000, transactions=1486, otc=None)
Agg(open=8.405, high=8.41, low=8.38, close=8.395, volume=86735, vwap=8.3977, timestamp=1675098000000, transactions=966, otc=None)
Agg(open=8.395, high=8.395, low=8.295, close=8.33, volume=131866, vwap=8.3422, timestamp=1675101600000, transactions=1096, otc=None)
Agg(open=8.325, high=8.34, low=8.255, close=8.285, volume=88937, vwap=8.2997, timestamp=1675105200000, transactions=1048, otc=None)
Agg(open=8.285, high=8.305, low=8.23, close=8.265, volume=231069, vwap=8.2634, timestamp=1675108800000, transactions=2517, otc=None)
Agg(open=8.43, high=8.43, low=8.43, close=8.43, volume=180, vwap=8.43, timestamp=1675112400000, transactions=5, otc=None)
Agg(open=8.23, high=8.41, low=8.23, close=8.41, volume=34161, vwap=8.3315, timestamp=1675173600000, transactions=378, otc=None)
Agg(open=8.38, high=8.405, low=8.29, close=8.39, volume=88875, vwap=8.3438, timestamp=1675177200000, transactions=1105, otc=None)
Agg(open=8.39, high=8.4, low=8.25, close=8.26, volume=114604, vwap=8.3263, timestamp=1675180800000, transactions=1224, otc=None)
Agg(open=8.27, high=8.285, low=8.205, close=8.205, volume=95088, vwap=8.2519, timestamp=1675184400000, transactions=1222, otc=None)
Agg(open=8.205, high=8.24, low=8.1901, close=8.21, volume=76738, vwap=8.2153, timestamp=1675188000000, transactions=905, otc=None)
Agg(open=8.215, high=8.23, low=8.18, close=8.18, volume=69226, vwap=8.2067, timestamp=1675191600000, transactions=1055, otc=None)
Agg(open=8.17, high=8.3, low=8.09, close=8.3, volume=762643, vwap=8.2344, timestamp=1675195200000, transactions=5922, otc=None)
Agg(open=8.3, high=8.3, low=8.3, close=8.3, volume=20006, vwap=8.3, timestamp=1675198800000, transactions=9, otc=None)
Agg(open=8.31, high=8.48, low=8.25, close=8.4624, volume=78340, vwap=8.4001, timestamp=1675260000000, transactions=762, otc=None)
Agg(open=8.42, high=8.475, low=8.37, close=8.415, volume=134030, vwap=8.4336, timestamp=1675263600000, transactions=1717, otc=None)
Agg(open=8.415, high=8.46, low=8.365, close=8.385, volume=146351, vwap=8.4153, timestamp=1675267200000, transactions=1924, otc=None)
Agg(open=8.395, high=8.415, low=8.315, close=8.395, volume=109837, vwap=8.3726, timestamp=1675270800000, transactions=1271, otc=None)
Agg(open=8.395, high=8.445, low=8.36, close=8.395, volume=177157, vwap=8.4042, timestamp=1675274400000, transactions=1661, otc=None)
Agg(open=8.39, high=8.64, low=8.3, close=8.585, volume=190582, vwap=8.5101, timestamp=1675278000000, transactions=2036, otc=None)
