Agg(open=10.06, high=10.29, low=10.06, close=10.29, volume=427, vwap=10.1198, timestamp=1680508800000, transactions=14, otc=None)
Agg(open=10.01, high=10.01, low=10.01, close=10.01, volume=250, vwap=10.007, timestamp=1680512400000, transactions=5, otc=None)
Agg(open=10, high=10.01, low=10, close=10, volume=631, vwap=10.0029, timestamp=1680516000000, transactions=11, otc=None)
Agg(open=10.09, high=10.11, low=10, close=10.03, volume=4030, vwap=10.053, timestamp=1680519600000, transactions=40, otc=None)
Agg(open=10.08, high=10.1, low=9.82, close=9.94, volume=26418, vwap=9.9982, timestamp=1680523200000, transactions=188, otc=None)
Agg(open=9.95, high=10.34, low=9.54, close=9.6, volume=495378, vwap=9.8795, timestamp=1680526800000, transactions=2902, otc=None)
Agg(open=9.6201, high=9.6699, low=9.21, close=9.2651, volume=369472, vwap=9.4574, timestamp=1680530400000, transactions=2862, otc=None)
Agg(open=9.2512, high=9.38, low=9.16, close=9.3678, volume=204615, vwap=9.2473, timestamp=1680534000000, transactions=2166, otc=None)
Agg(open=9.3699, high=9.48, low=9.2639, close=9.39, volume=320156, vwap=9.3901, timestamp=1680537600000, transactions=1883, otc=None)
Agg(open=9.3859, high=9.4, low=9.2401, close=9.27, volume=83121, vwap=9.2942, timestamp=1680541200000, transactions=1180, otc=None)
Agg(open=9.28, high=9.42, low=9.2501, close=9.4179, volume=128635, vwap=9.3424, timestamp=1680544800000, transactions=1370, otc=None)
Agg(open=9.42, high=9.475, low=9.3, close=9.41, volume=452141, vwap=9.3914, timestamp=1680548400000, transactions=2940, otc=None)
Agg(open=9.3801, high=9.43, low=9.38, close=9.43, volume=4012, vwap=9.3955, timestamp=1680552000000, transactions=30, otc=None)
Agg(open=9.4, high=9.43, low=9.39, close=9.4, volume=4378, vwap=9.3985, timestamp=1680555600000, transactions=17, otc=None)
Agg(open=9.39, high=9.39, low=9.38, close=9.38, volume=1845, vwap=9.3824, timestamp=1680559200000, transactions=7, otc=None)
Agg(open=9.42, high=9.42, low=9.42, close=9.42, volume=100, vwap=9.42, timestamp=1680562800000, transactions=1, otc=None)
Agg(open=9.51, high=9.51, low=9.48, close=9.48, volume=350, vwap=9.5, timestamp=1680606000000, transactions=4, otc=None)
