Agg(open=9.0968, high=9.0968, low=9, close=9, volume=209, vwap=9.0534, timestamp=1687780800000, transactions=7, otc=None)
Agg(open=9.3, high=9.3, low=9.15, close=9.22, volume=44220, vwap=9.1937, timestamp=1687784400000, transactions=758, otc=None)
Agg(open=9.22, high=9.33, low=9.15, close=9.23, volume=88450, vwap=9.235, timestamp=1687788000000, transactions=1069, otc=None)
Agg(open=9.225, high=9.24, low=9.074, close=9.085, volume=110543, vwap=9.1256, timestamp=1687791600000, transactions=1292, otc=None)
Agg(open=9.08, high=9.08, low=8.96, close=8.99, volume=135107, vwap=8.9975, timestamp=1687795200000, transactions=1336, otc=None)
Agg(open=8.985, high=9.09, low=8.975, close=9.03, volume=135062, vwap=9.0386, timestamp=1687798800000, transactions=920, otc=None)
Agg(open=9.03, high=9.08, low=8.97, close=9.07, volume=92111, vwap=9.0207, timestamp=1687802400000, transactions=836, otc=None)
Agg(open=9.065, high=9.095, low=9.01, close=9.02, volume=135513, vwap=9.0422, timestamp=1687806000000, transactions=1585, otc=None)
Agg(open=9.1, high=9.1, low=9.1, close=9.1, volume=1241, vwap=9.0875, timestamp=1687809600000, transactions=5, otc=None)
Agg(open=9.03, high=9.03, low=9.03, close=9.03, volume=105, vwap=9.03, timestamp=1687813200000, transactions=1, otc=None)
Agg(open=9.0864, high=9.0864, low=9.0864, close=9.0864, volume=150, vwap=9.0876, timestamp=1687816800000, transactions=2, otc=None)
Agg(open=9, high=9.07, low=9, close=9.07, volume=1073, vwap=9.0465, timestamp=1687867200000, transactions=11, otc=None)
Agg(open=9.1525, high=9.1525, low=8.96, close=9, volume=86339, vwap=9.0189, timestamp=1687870800000, transactions=568, otc=None)
Agg(open=9.0092, high=9.07, low=8.915, close=8.965, volume=83676, vwap=8.9817, timestamp=1687874400000, transactions=1007, otc=None)
Agg(open=8.97, high=9.07, low=8.97, close=9.05, volume=64002, vwap=9.0058, timestamp=1687878000000, transactions=967, otc=None)
Agg(open=9.055, high=9.0585, low=8.9843, close=9.01, volume=57612, vwap=9.0249, timestamp=1687881600000, transactions=931, otc=None)
Agg(open=9.015, high=9.13, low=8.99, close=9.05, volume=72731, vwap=9.0554, timestamp=1687885200000, transactions=1043, otc=None)
Agg(open=9.055, high=9.055, low=8.96, close=9, volume=60897, vwap=9.0093, timestamp=1687888800000, transactions=1082, otc=None)
Agg(open=9.005, high=9.005, low=8.96, close=8.99, volume=101185, vwap=8.978, timestamp=1687892400000, transactions=1566, otc=None)
Agg(open=8.99, high=9.02, low=8.99, close=9.02, volume=1435, vwap=9.0148, timestamp=1687896000000, transactions=7, otc=None)
Agg(open=9.03, high=9.03, low=9.03, close=9.03, volume=1100, vwap=9.03, timestamp=1687899600000, transactions=2, otc=None)
Agg(open=9.03, high=9.03, low=9.03, close=9.03, volume=100, vwap=9.03, timestamp=1687903200000, transactions=1, otc=None)
Agg(open=8.99, high=9, low=8.99, close=9, volume=613, vwap=8.9985, timestamp=1687906800000, transactions=4, otc=None)
Agg(open=8.9674, high=9.03, low=8.9674, close=9, volume=1687, vwap=9.008, timestamp=1687953600000, transactions=16, otc=None)
Agg(open=9, high=9.0399, low=8.91, close=8.97, volume=52165, vwap=8.9647, timestamp=1687957200000, transactions=593, otc=None)
Agg(open=8.975, high=9.06, low=8.88, close=8.97, volume=97387, vwap=8.9542, timestamp=1687960800000, transactions=1198, otc=None)
Agg(open=8.96, high=9.095, low=8.915, close=9.075, volume=76609, vwap=9.008, timestamp=1687964400000, transactions=845, otc=None)
Agg(open=9.08, high=9.13, low=9.07, close=9.105, volume=44893, vwap=9.0997, timestamp=1687968000000, transactions=663, otc=None)
Agg(open=9.11, high=9.18, low=9.105, close=9.1501, volume=60996, vwap=9.1435, timestamp=1687971600000, transactions=796, otc=None)
Agg(open=9.16, high=9.21, low=9.155, close=9.17, volume=47312, vwap=9.1742, timestamp=1687975200000, transactions=615, otc=None)
Agg(open=9.165, high=9.21, low=9.09, close=9.2, volume=150759, vwap=9.1473, timestamp=1687978800000, transactions=1889, otc=None)
Agg(open=9.1, high=9.25, low=9.1, close=9.2, volume=1854, vwap=9.2194, timestamp=1687982400000, transactions=8, otc=None)
Agg(open=9.2, high=9.2, low=9.2, close=9.2, volume=1833, vwap=9.2, timestamp=1687986000000, transactions=4, otc=None)
Agg(open=9.17, high=9.27, low=9.16, close=9.16, volume=464, vwap=9.1914, timestamp=1687993200000, transactions=4, otc=None)
Agg(open=9.18, high=9.18, low=9.18, close=9.18, volume=222, vwap=9.18, timestamp=1688040000000, transactions=1, otc=None)
Agg(open=9.3, high=9.3, low=9.1083, close=9.225, volume=53606, vwap=9.1841, timestamp=1688043600000, transactions=498, otc=None)
Agg(open=9.22, high=9.22, low=9.1156, close=9.16, volume=42618, vwap=9.1665, timestamp=1688047200000, transactions=638, otc=None)
Agg(open=9.15, high=9.18, low=9.15, close=9.155, volume=32263, vwap=9.1656, timestamp=1688050800000, transactions=521, otc=None)
Agg(open=9.155, high=9.25, low=9.145, close=9.199, volume=60016, vwap=9.1975, timestamp=1688054400000, transactions=524, otc=None)
Agg(open=9.19, high=9.19, low=9.145, close=9.145, volume=27817, vwap=9.1617, timestamp=1688058000000, transactions=471, otc=None)
Agg(open=9.15, high=9.15, low=9.1, close=9.115, volume=42966, vwap=9.1185, timestamp=1688061600000, transactions=699, otc=None)
Agg(open=9.115, high=9.15, low=9.08, close=9.12, volume=150733, vwap=9.1083, timestamp=1688065200000, transactions=1599, otc=None)
Agg(open=9.2, high=9.2, low=9.05, close=9.1017, volume=4511, vwap=9.0928, timestamp=1688068800000, transactions=17, otc=None)
Agg(open=9.15, high=9.2, low=9.11, close=9.2, volume=549, vwap=9.1372, timestamp=1688072400000, transactions=3, otc=None)
Agg(open=9.12, high=9.12, low=9.12, close=9.12, volume=260, vwap=9.12, timestamp=1688076000000, transactions=1, otc=None)
Agg(open=9.19, high=9.19, low=9.17, close=9.17, volume=2503, vwap=9.1778, timestamp=1688079600000, transactions=5, otc=None)
Agg(open=9.16, high=9.17, low=9.16, close=9.17, volume=7509, vwap=9.1616, timestamp=1688126400000, transactions=16, otc=None)
Agg(open=9.21, high=9.2296, low=9.01, close=9.11, volume=51429, vwap=9.1195, timestamp=1688130000000, transactions=660, otc=None)
Agg(open=9.111, high=9.15, low=9.01, close=9.015, volume=65992, vwap=9.0663, timestamp=1688133600000, transactions=830, otc=None)
Agg(open=9.02, high=9.0499, low=8.935, close=8.95, volume=102564, vwap=8.984, timestamp=1688137200000, transactions=962, otc=None)
Agg(open=8.9515, high=8.99, low=8.93, close=8.97, volume=54847, vwap=8.9576, timestamp=1688140800000, transactions=805, otc=None)
Agg(open=8.975, high=9.03, low=8.97, close=9.02, volume=49728, vwap=9.0059, timestamp=1688144400000, transactions=617, otc=None)
