Agg(open=19.48, high=19.48, low=19.4, close=19.4, volume=828, vwap=19.4249, timestamp=1689584400000, transactions=11, otc=None)
Agg(open=19.43, high=19.45, low=19.43, close=19.45, volume=1789, vwap=19.4478, timestamp=1689588000000, transactions=4, otc=None)
Agg(open=19.6, high=19.6, low=19.54, close=19.54, volume=3238, vwap=19.597, timestamp=1689591600000, transactions=18, otc=None)
Agg(open=19.44, high=19.8, low=19.4, close=19.62, volume=24280, vwap=19.6906, timestamp=1689595200000, transactions=68, otc=None)
Agg(open=19.6299, high=20.28, low=19.6299, close=20.1438, volume=1339612.0, vwap=20.0426, timestamp=1689598800000, transactions=8544, otc=None)
Agg(open=20.15, high=20.65, low=20.11, close=20.54, volume=1600573.0, vwap=20.4357, timestamp=1689602400000, transactions=13450, otc=None)
Agg(open=20.54, high=21.21, low=20.53, close=21.155, volume=2529231.0, vwap=20.9216, timestamp=1689606000000, transactions=18312, otc=None)
Agg(open=21.155, high=21.4963, low=21.08, close=21.4673, volume=1601937.0, vwap=21.2492, timestamp=1689609600000, transactions=12094, otc=None)
Agg(open=21.465, high=22.085, low=21.43, close=22.085, volume=1932640.0, vwap=21.7709, timestamp=1689613200000, transactions=14736, otc=None)
Agg(open=22.07, high=22.14, low=21.88, close=22.1, volume=1798377.0, vwap=22.0231, timestamp=1689616800000, transactions=12329, otc=None)
Agg(open=22.1, high=22.14, low=21.81, close=21.825, volume=2544776.0, vwap=21.9858, timestamp=1689620400000, transactions=20424, otc=None)
Agg(open=21.83, high=21.87, low=21.83, close=21.87, volume=67607, vwap=21.8365, timestamp=1689624000000, transactions=114, otc=None)
Agg(open=21.87, high=21.87, low=21.75, close=21.8, volume=10395, vwap=21.8138, timestamp=1689627600000, transactions=44, otc=None)
Agg(open=21.8, high=21.85, low=21.78, close=21.79, volume=2189, vwap=21.821, timestamp=1689631200000, transactions=21, otc=None)
Agg(open=21.83, high=24.2, low=21.83, close=23.74, volume=175624, vwap=23.3795, timestamp=1689634800000, transactions=725, otc=None)
Agg(open=23.48, high=24, low=23.2, close=23.42, volume=19084, vwap=23.6303, timestamp=1689667200000, transactions=183, otc=None)
Agg(open=23.5, high=23.53, low=23.31, close=23.53, volume=5860, vwap=23.4636, timestamp=1689670800000, transactions=57, otc=None)
Agg(open=23.65, high=23.76, low=23.52, close=23.59, volume=15371, vwap=23.6817, timestamp=1689674400000, transactions=135, otc=None)
Agg(open=23.59, high=23.6, low=23.21, close=23.35, volume=33776, vwap=23.4063, timestamp=1689678000000, transactions=400, otc=None)
Agg(open=23.5683, high=23.6615, low=22.27, close=22.45, volume=196799, vwap=22.9168, timestamp=1689681600000, transactions=1257, otc=None)
Agg(open=22.46, high=23.49, low=22.2, close=23.48, volume=4090784.0, vwap=22.9051, timestamp=1689685200000, transactions=29614, otc=None)
Agg(open=23.48, high=23.85, low=22.61, close=22.79, volume=4924686.0, vwap=23.2642, timestamp=1689688800000, transactions=32250, otc=None)
Agg(open=22.79, high=22.89, low=22.31, close=22.5609, volume=2133214.0, vwap=22.6086, timestamp=1689692400000, transactions=18005, otc=None)
Agg(open=22.56, high=22.7, low=22.435, close=22.55, volume=1404663.0, vwap=22.567, timestamp=1689696000000, transactions=10762, otc=None)
Agg(open=22.56, high=22.71, low=22.322, close=22.33, volume=1100746.0, vwap=22.4948, timestamp=1689699600000, transactions=9419, otc=None)
Agg(open=22.32, high=22.48, low=22.26, close=22.43, volume=1230783.0, vwap=22.365, timestamp=1689703200000, transactions=10414, otc=None)
Agg(open=22.43, high=22.46, low=22.11, close=22.135, volume=2886483.0, vwap=22.2277, timestamp=1689706800000, transactions=26566, otc=None)
Agg(open=22.14, high=22.23, low=22.08, close=22.2, volume=104295, vwap=22.1394, timestamp=1689710400000, transactions=219, otc=None)
Agg(open=22.17, high=22.2499, low=22.17, close=22.2499, volume=32407, vwap=22.1796, timestamp=1689714000000, transactions=14, otc=None)
Agg(open=22.2, high=22.24, low=22.17, close=22.18, volume=2857, vwap=22.2223, timestamp=1689717600000, transactions=9, otc=None)
Agg(open=22.19, high=22.24, low=22.05, close=22.09, volume=10251, vwap=22.126, timestamp=1689721200000, transactions=37, otc=None)
Agg(open=22.2, high=22.2, low=22.16, close=22.17, volume=801, vwap=22.1875, timestamp=1689753600000, transactions=22, otc=None)
Agg(open=22.31, high=22.31, low=22.3, close=22.31, volume=793, vwap=22.3067, timestamp=1689757200000, transactions=8, otc=None)
Agg(open=22.31, high=22.31, low=22.25, close=22.25, volume=1331, vwap=22.2642, timestamp=1689760800000, transactions=9, otc=None)
Agg(open=22.28, high=22.29, low=22.18, close=22.2, volume=2014, vwap=22.2572, timestamp=1689764400000, transactions=22, otc=None)
Agg(open=22.31, high=22.37, low=22.14, close=22.27, volume=29652, vwap=22.3009, timestamp=1689768000000, transactions=191, otc=None)
Agg(open=22.34, high=22.785, low=22.3, close=22.64, volume=969677, vwap=22.5722, timestamp=1689771600000, transactions=7821, otc=None)
Agg(open=22.645, high=23.365, low=22.4808, close=23.3, volume=1580671.0, vwap=22.9557, timestamp=1689775200000, transactions=15262, otc=None)
Agg(open=23.295, high=23.345, low=22.735, close=22.8086, volume=1909131.0, vwap=23.0818, timestamp=1689778800000, transactions=14257, otc=None)
Agg(open=22.805, high=22.82, low=22.2338, close=22.63, volume=1335354.0, vwap=22.5353, timestamp=1689782400000, transactions=10821, otc=None)
Agg(open=22.64, high=22.68, low=22.43, close=22.535, volume=784449, vwap=22.5535, timestamp=1689786000000, transactions=6950, otc=None)
Agg(open=22.535, high=22.65, low=22.43, close=22.505, volume=499624, vwap=22.5358, timestamp=1689789600000, transactions=5830, otc=None)
Agg(open=22.505, high=22.625, low=22.435, close=22.46, volume=1104287.0, vwap=22.5184, timestamp=1689793200000, transactions=13113, otc=None)
Agg(open=22.47, high=22.47, low=22.37, close=22.4, volume=90325, vwap=22.4665, timestamp=1689796800000, transactions=58, otc=None)
Agg(open=22.44, high=22.519, low=22.36, close=22.36, volume=4378, vwap=22.4706, timestamp=1689800400000, transactions=33, otc=None)
Agg(open=22.36, high=22.36, low=22.18, close=22.1807, volume=10618, vwap=22.2662, timestamp=1689804000000, transactions=48, otc=None)
Agg(open=22.19, high=22.3, low=22.1, close=22.1, volume=12039, vwap=22.1642, timestamp=1689807600000, transactions=70, otc=None)
Agg(open=22.12, high=22.12, low=22.12, close=22.12, volume=1192, vwap=22.12, timestamp=1689840000000, transactions=11, otc=None)
Agg(open=22.16, high=22.16, low=22.16, close=22.16, volume=248, vwap=22.1781, timestamp=1689843600000, transactions=3, otc=None)
Agg(open=22.4, high=22.4, low=22.29, close=22.3, volume=2483, vwap=22.3008, timestamp=1689850800000, transactions=18, otc=None)
Agg(open=22.38, high=22.43, low=22.1708, close=22.22, volume=8183, vwap=22.2861, timestamp=1689854400000, transactions=67, otc=None)
Agg(open=22.18, high=22.25, low=21.3, close=21.315, volume=1536362.0, vwap=21.7197, timestamp=1689858000000, transactions=10486, otc=None)
Agg(open=21.315, high=21.6985, low=21.12, close=21.62, volume=1513045.0, vwap=21.3447, timestamp=1689861600000, transactions=12770, otc=None)
Agg(open=21.625, high=22.035, low=21.5299, close=21.975, volume=1246203.0, vwap=21.7451, timestamp=1689865200000, transactions=9855, otc=None)
Agg(open=21.97, high=22.055, low=21.76, close=21.85, volume=810954, vwap=21.8925, timestamp=1689868800000, transactions=8642, otc=None)
Agg(open=21.85, high=21.86, low=21.6, close=21.615, volume=644719, vwap=21.719, timestamp=1689872400000, transactions=6339, otc=None)
Agg(open=21.61, high=21.748, low=21.47, close=21.67, volume=744054, vwap=21.5883, timestamp=1689876000000, transactions=7734, otc=None)
Agg(open=21.67, high=21.745, low=21.565, close=21.65, volume=1071887.0, vwap=21.6585, timestamp=1689879600000, transactions=12094, otc=None)
Agg(open=21.65, high=21.66, low=21.64, close=21.6501, volume=48248, vwap=21.6501, timestamp=1689883200000, transactions=35, otc=None)
Agg(open=21.67, high=21.6801, low=21.66, close=21.6801, volume=1222, vwap=21.6715, timestamp=1689886800000, transactions=7, otc=None)
Agg(open=21.66, high=21.66, low=21.66, close=21.66, volume=828, vwap=21.66, timestamp=1689890400000, transactions=4, otc=None)
Agg(open=21.66, high=21.66, low=21.56, close=21.56, volume=7050, vwap=21.6025, timestamp=1689894000000, transactions=16, otc=None)
Agg(open=21.65, high=21.76, low=21.65, close=21.75, volume=350, vwap=21.71, timestamp=1689930000000, transactions=4, otc=None)
Agg(open=21.79, high=21.8, low=21.5, close=21.55, volume=5723, vwap=21.5927, timestamp=1689933600000, transactions=38, otc=None)
Agg(open=21.76, high=21.82, low=21.76, close=21.8, volume=1667, vwap=21.7972, timestamp=1689937200000, transactions=20, otc=None)
Agg(open=21.7984, high=22.31, low=21.72, close=21.94, volume=14587, vwap=21.843, timestamp=1689940800000, transactions=100, otc=None)
Agg(open=21.9693, high=21.98, low=21.185, close=21.21, volume=790565, vwap=21.4879, timestamp=1689944400000, transactions=7000, otc=None)
Agg(open=21.215, high=21.53, low=20.87, close=21.34, volume=1563040.0, vwap=21.2475, timestamp=1689948000000, transactions=13550, otc=None)
Agg(open=21.345, high=21.58, low=21.225, close=21.36, volume=729777, vwap=21.366, timestamp=1689951600000, transactions=7749, otc=None)
Agg(open=21.37, high=21.4561, low=21.24, close=21.375, volume=525760, vwap=21.3451, timestamp=1689955200000, transactions=5858, otc=None)
Agg(open=21.375, high=21.485, low=21.3, close=21.445, volume=599751, vwap=21.3964, timestamp=1689958800000, transactions=5154, otc=None)
Agg(open=21.445, high=21.465, low=21.33, close=21.36, volume=608888, vwap=21.409, timestamp=1689962400000, transactions=6104, otc=None)
Agg(open=21.36, high=21.375, low=21.17, close=21.35, volume=1623533.0, vwap=21.2722, timestamp=1689966000000, transactions=14070, otc=None)
Agg(open=21.34, high=21.34, low=21.2, close=21.34, volume=73912, vwap=21.3374, timestamp=1689969600000, transactions=47, otc=None)
Agg(open=21.33, high=21.37, low=21.33, close=21.36, volume=1540, vwap=21.3547, timestamp=1689973200000, transactions=6, otc=None)
Agg(open=21.36, high=21.36, low=21.34, close=21.35, volume=2301, vwap=21.3535, timestamp=1689980400000, transactions=7, otc=None)
