Agg(open=11.77, high=11.85, low=11.74, close=11.79, volume=135467, vwap=11.799, timestamp=1688389200000, transactions=1024, otc=None)
Agg(open=11.8, high=11.87, low=11.785, close=11.835, volume=151791, vwap=11.8321, timestamp=1688392800000, transactions=1749, otc=None)
Agg(open=11.835, high=11.9, low=11.835, close=11.845, volume=112700, vwap=11.8688, timestamp=1688396400000, transactions=1234, otc=None)
Agg(open=11.845, high=11.86, low=11.78, close=11.84, volume=228284, vwap=11.821, timestamp=1688400000000, transactions=2522, otc=None)
Agg(open=11.84, high=11.84, low=11.84, close=11.84, volume=600, vwap=11.84, timestamp=1688403600000, transactions=5, otc=None)
Agg(open=11.99, high=11.99, low=11.99, close=11.99, volume=200, vwap=11.99, timestamp=1688414400000, transactions=2, otc=None)
Agg(open=11.8, high=11.89, low=11.75, close=11.89, volume=113581, vwap=11.8018, timestamp=1688562000000, transactions=1091, otc=None)
Agg(open=11.89, high=12.045, low=11.87, close=12.01, volume=173016, vwap=11.9264, timestamp=1688565600000, transactions=1437, otc=None)
Agg(open=12.015, high=12.1, low=12.01, close=12.07, volume=126655, vwap=12.0645, timestamp=1688569200000, transactions=1196, otc=None)
Agg(open=12.07, high=12.15, low=12.04, close=12.045, volume=138640, vwap=12.0915, timestamp=1688572800000, transactions=1545, otc=None)
Agg(open=12.04, high=12.04, low=11.98, close=11.995, volume=86638, vwap=11.9998, timestamp=1688576400000, transactions=1041, otc=None)
Agg(open=12, high=12, low=11.96, close=11.985, volume=71493, vwap=11.9771, timestamp=1688580000000, transactions=1075, otc=None)
Agg(open=11.98, high=11.99, low=11.89, close=11.91, volume=272094, vwap=11.9175, timestamp=1688583600000, transactions=2987, otc=None)
Agg(open=11.92, high=11.95, low=11.9, close=11.95, volume=28410, vwap=11.9005, timestamp=1688587200000, transactions=26, otc=None)
Agg(open=11.9, high=11.9, low=11.9, close=11.9, volume=4036, vwap=11.9, timestamp=1688594400000, transactions=1, otc=None)
Agg(open=11.8395, high=11.8395, low=11.8395, close=11.8395, volume=750, vwap=11.8395, timestamp=1688644800000, transactions=1, otc=None)
Agg(open=11.78, high=11.81, low=11.6179, close=11.64, volume=143258, vwap=11.6963, timestamp=1688648400000, transactions=1172, otc=None)
Agg(open=11.63, high=11.65, low=11.575, close=11.5901, volume=175601, vwap=11.6165, timestamp=1688652000000, transactions=1799, otc=None)
Agg(open=11.59, high=11.69, low=11.58, close=11.69, volume=119807, vwap=11.6472, timestamp=1688655600000, transactions=1470, otc=None)
Agg(open=11.7, high=11.72, low=11.67, close=11.705, volume=68006, vwap=11.6959, timestamp=1688659200000, transactions=992, otc=None)
Agg(open=11.705, high=11.765, low=11.69, close=11.755, volume=114521, vwap=11.7245, timestamp=1688662800000, transactions=1397, otc=None)
Agg(open=11.755, high=11.81, low=11.74, close=11.795, volume=111051, vwap=11.776, timestamp=1688666400000, transactions=1461, otc=None)
Agg(open=11.795, high=11.81, low=11.76, close=11.79, volume=420687, vwap=11.7889, timestamp=1688670000000, transactions=3476, otc=None)
Agg(open=11.79, high=11.79, low=11.79, close=11.79, volume=24820, vwap=11.79, timestamp=1688673600000, transactions=27, otc=None)
Agg(open=12.2223, high=12.2223, low=11.78, close=11.83, volume=87391, vwap=11.816, timestamp=1688734800000, transactions=749, otc=None)
Agg(open=11.8207, high=11.92, low=11.795, close=11.885, volume=117465, vwap=11.8677, timestamp=1688738400000, transactions=1111, otc=None)
Agg(open=11.885, high=11.895, low=11.82, close=11.825, volume=76313, vwap=11.8595, timestamp=1688742000000, transactions=908, otc=None)
Agg(open=11.82, high=11.91, low=11.8136, close=11.91, volume=101440, vwap=11.8617, timestamp=1688745600000, transactions=1125, otc=None)
Agg(open=11.91, high=11.92, low=11.85, close=11.85, volume=189596, vwap=11.8894, timestamp=1688749200000, transactions=1328, otc=None)
Agg(open=11.855, high=11.88, low=11.83, close=11.875, volume=178588, vwap=11.8541, timestamp=1688752800000, transactions=1558, otc=None)
Agg(open=11.88, high=11.895, low=11.84, close=11.85, volume=294762, vwap=11.8593, timestamp=1688756400000, transactions=2899, otc=None)
Agg(open=11.85, high=11.85, low=11.85, close=11.85, volume=11170, vwap=11.85, timestamp=1688760000000, transactions=14, otc=None)
