Agg(open=11.97, high=12.06, low=11.97, close=12.02, volume=31138, vwap=12.0214, timestamp=1698670800000, transactions=267, otc=None)
Agg(open=12.025, high=12.03, low=11.8, close=11.89, volume=88349, vwap=11.9121, timestamp=1698674400000, transactions=1005, otc=None)
Agg(open=11.9, high=11.95, low=11.67, close=11.72, volume=148563, vwap=11.7585, timestamp=1698678000000, transactions=1878, otc=None)
Agg(open=11.72, high=11.725, low=11.575, close=11.6, volume=146218, vwap=11.6584, timestamp=1698681600000, transactions=1597, otc=None)
Agg(open=11.61, high=11.65, low=11.585, close=11.605, volume=71118, vwap=11.6143, timestamp=1698685200000, transactions=937, otc=None)
Agg(open=11.605, high=11.63, low=11.54, close=11.565, volume=149578, vwap=11.5819, timestamp=1698688800000, transactions=1475, otc=None)
Agg(open=11.57, high=11.64, low=11.54, close=11.57, volume=372778, vwap=11.571, timestamp=1698692400000, transactions=2959, otc=None)
Agg(open=11.58, high=11.58, low=11.58, close=11.58, volume=13321, vwap=11.58, timestamp=1698696000000, transactions=6, otc=None)
Agg(open=11.47, high=11.58, low=11.47, close=11.5, volume=62326, vwap=11.5405, timestamp=1698757200000, transactions=712, otc=None)
Agg(open=11.48, high=11.62, low=11.46, close=11.61, volume=92356, vwap=11.5789, timestamp=1698760800000, transactions=1110, otc=None)
Agg(open=11.61, high=11.655, low=11.585, close=11.63, volume=53596, vwap=11.6169, timestamp=1698764400000, transactions=726, otc=None)
Agg(open=11.62, high=11.62, low=11.57, close=11.58, volume=42579, vwap=11.6002, timestamp=1698768000000, transactions=612, otc=None)
Agg(open=11.59, high=11.61, low=11.55, close=11.565, volume=44500, vwap=11.5843, timestamp=1698771600000, transactions=649, otc=None)
Agg(open=11.565, high=11.585, low=11.5, close=11.56, volume=122676, vwap=11.5341, timestamp=1698775200000, transactions=1230, otc=None)
Agg(open=11.56, high=11.569, low=11.53, close=11.54, volume=193812, vwap=11.5506, timestamp=1698778800000, transactions=1645, otc=None)
Agg(open=11.56, high=11.82, low=11.56, close=11.82, volume=52661, vwap=11.7398, timestamp=1698843600000, transactions=567, otc=None)
Agg(open=11.83, high=11.87, low=11.76, close=11.77, volume=151918, vwap=11.84, timestamp=1698847200000, transactions=1450, otc=None)
Agg(open=11.76, high=11.86, low=11.75, close=11.84, volume=49529, vwap=11.8046, timestamp=1698850800000, transactions=696, otc=None)
Agg(open=11.85, high=11.87, low=11.805, close=11.87, volume=31204, vwap=11.8398, timestamp=1698854400000, transactions=519, otc=None)
Agg(open=11.87, high=11.91, low=11.845, close=11.9, volume=81948, vwap=11.8737, timestamp=1698858000000, transactions=1062, otc=None)
Agg(open=11.91, high=11.955, low=11.84, close=11.945, volume=79069, vwap=11.9043, timestamp=1698861600000, transactions=984, otc=None)
Agg(open=11.95, high=11.97, low=11.905, close=11.95, volume=341427, vwap=11.9447, timestamp=1698865200000, transactions=2975, otc=None)
Agg(open=12.03, high=12.15, low=12.03, close=12.1, volume=29484, vwap=12.0957, timestamp=1698930000000, transactions=359, otc=None)
Agg(open=12.095, high=12.14, low=12.035, close=12.105, volume=45588, vwap=12.0968, timestamp=1698933600000, transactions=542, otc=None)
Agg(open=12.105, high=12.1389, low=12.09, close=12.11, volume=34785, vwap=12.1039, timestamp=1698937200000, transactions=456, otc=None)
Agg(open=12.115, high=12.14, low=12.1, close=12.12, volume=43940, vwap=12.1121, timestamp=1698940800000, transactions=415, otc=None)
Agg(open=12.125, high=12.17, low=12.12, close=12.165, volume=58077, vwap=12.1443, timestamp=1698944400000, transactions=670, otc=None)
Agg(open=12.165, high=12.1889, low=12.16, close=12.175, volume=51179, vwap=12.1755, timestamp=1698948000000, transactions=570, otc=None)
Agg(open=12.17, high=12.175, low=12.125, close=12.14, volume=133937, vwap=12.1436, timestamp=1698951600000, transactions=1208, otc=None)
Agg(open=12.14, high=12.14, low=12.14, close=12.14, volume=17461, vwap=12.14, timestamp=1698955200000, transactions=9, otc=None)
Agg(open=12.29, high=12.37, low=12.23, close=12.32, volume=41236, vwap=12.3109, timestamp=1699016400000, transactions=421, otc=None)
Agg(open=12.34, high=12.37, low=12.205, close=12.265, volume=84827, vwap=12.2831, timestamp=1699020000000, transactions=1015, otc=None)
Agg(open=12.27, high=12.29, low=12.21, close=12.245, volume=49432, vwap=12.2571, timestamp=1699023600000, transactions=594, otc=None)
Agg(open=12.245, high=12.39, low=12.245, close=12.35, volume=63760, vwap=12.3474, timestamp=1699027200000, transactions=734, otc=None)
Agg(open=12.35, high=12.42, low=12.32, close=12.41, volume=95089, vwap=12.3558, timestamp=1699030800000, transactions=1010, otc=None)
Agg(open=12.415, high=12.43, low=12.38, close=12.425, volume=94239, vwap=12.4088, timestamp=1699034400000, transactions=1020, otc=None)
Agg(open=12.42, high=12.43, low=12.36, close=12.3775, volume=169707, vwap=12.3897, timestamp=1699038000000, transactions=1624, otc=None)
