Agg(open=6.72, high=6.72, low=6.66, close=6.67, volume=3671, vwap=6.6711, timestamp=1692000000000, transactions=11, otc=None)
Agg(open=6.65, high=6.65, low=6.57, close=6.57, volume=2368, vwap=6.5977, timestamp=1692003600000, transactions=13, otc=None)
Agg(open=6.56, high=6.56, low=6.48, close=6.49, volume=6659, vwap=6.5193, timestamp=1692007200000, transactions=43, otc=None)
Agg(open=6.48, high=6.49, low=6.45, close=6.48, volume=83049, vwap=6.4689, timestamp=1692010800000, transactions=278, otc=None)
Agg(open=6.4789, high=6.5293, low=6.38, close=6.42, volume=81243, vwap=6.4446, timestamp=1692014400000, transactions=401, otc=None)
Agg(open=6.42, high=6.43, low=6.29, close=6.3193, volume=1023009.0, vwap=6.352, timestamp=1692018000000, transactions=3658, otc=None)
Agg(open=6.32, high=6.4, low=6.3, close=6.325, volume=801712, vwap=6.3575, timestamp=1692021600000, transactions=3783, otc=None)
Agg(open=6.3285, high=6.39, low=6.31, close=6.375, volume=490435, vwap=6.3566, timestamp=1692025200000, transactions=2041, otc=None)
Agg(open=6.375, high=6.42, low=6.37, close=6.4094, volume=393431, vwap=6.3947, timestamp=1692028800000, transactions=5319, otc=None)
Agg(open=6.405, high=6.43, low=6.38, close=6.39, volume=340918, vwap=6.407, timestamp=1692032400000, transactions=4287, otc=None)
Agg(open=6.39, high=6.4, low=6.36, close=6.37, volume=443181, vwap=6.3832, timestamp=1692036000000, transactions=2591, otc=None)
Agg(open=6.3751, high=6.39, low=6.35, close=6.39, volume=671355, vwap=6.3691, timestamp=1692039600000, transactions=3241, otc=None)
Agg(open=6.38, high=6.43, low=6.37, close=6.37, volume=11322, vwap=6.3843, timestamp=1692043200000, transactions=10, otc=None)
Agg(open=6.43, high=6.44, low=6.43, close=6.44, volume=879, vwap=6.4344, timestamp=1692050400000, transactions=4, otc=None)
Agg(open=6.4, high=6.4, low=6.4, close=6.4, volume=250, vwap=6.4, timestamp=1692054000000, transactions=1, otc=None)
Agg(open=6.36, high=6.36, low=6.11, close=6.21, volume=14281, vwap=6.1667, timestamp=1692086400000, transactions=69, otc=None)
Agg(open=6.22, high=6.25, low=6.22, close=6.23, volume=2850, vwap=6.2465, timestamp=1692090000000, transactions=12, otc=None)
Agg(open=6.18, high=6.18, low=6.17, close=6.17, volume=800, vwap=6.1738, timestamp=1692093600000, transactions=7, otc=None)
Agg(open=6.18, high=6.23, low=6.18, close=6.2, volume=14374, vwap=6.2068, timestamp=1692097200000, transactions=75, otc=None)
Agg(open=6.1799, high=6.22, low=6.16, close=6.19, volume=26283, vwap=6.1914, timestamp=1692100800000, transactions=169, otc=None)
Agg(open=6.19, high=6.31, low=6.19, close=6.265, volume=685640, vwap=6.2699, timestamp=1692104400000, transactions=4168, otc=None)
Agg(open=6.265, high=6.325, low=6.21, close=6.28, volume=1270096.0, vwap=6.2597, timestamp=1692108000000, transactions=6485, otc=None)
Agg(open=6.285, high=6.355, low=6.28, close=6.335, volume=666618, vwap=6.3133, timestamp=1692111600000, transactions=2856, otc=None)
Agg(open=6.34, high=6.355, low=6.2801, close=6.31, volume=977732, vwap=6.3154, timestamp=1692115200000, transactions=2195, otc=None)
Agg(open=6.305, high=6.33, low=6.29, close=6.31, volume=512713, vwap=6.3054, timestamp=1692118800000, transactions=2434, otc=None)
Agg(open=6.305, high=6.32, low=6.28, close=6.315, volume=591097, vwap=6.3, timestamp=1692122400000, transactions=3108, otc=None)
Agg(open=6.315, high=6.32, low=6.275, close=6.3, volume=959944, vwap=6.2926, timestamp=1692126000000, transactions=4739, otc=None)
Agg(open=6.29, high=6.29, low=6.26, close=6.26, volume=18616, vwap=6.2874, timestamp=1692129600000, transactions=9, otc=None)
Agg(open=6.26, high=6.27, low=6.23, close=6.23, volume=3235, vwap=6.2353, timestamp=1692133200000, transactions=5, otc=None)
Agg(open=6.21, high=6.21, low=6.21, close=6.21, volume=350, vwap=6.21, timestamp=1692136800000, transactions=1, otc=None)
Agg(open=6.21, high=6.27, low=6.21, close=6.27, volume=1405, vwap=6.2577, timestamp=1692140400000, transactions=4, otc=None)
Agg(open=6.31, high=6.35, low=6.31, close=6.34, volume=2800, vwap=6.3439, timestamp=1692172800000, transactions=5, otc=None)
Agg(open=6.31, high=6.31, low=6.29, close=6.29, volume=600, vwap=6.2933, timestamp=1692176400000, transactions=2, otc=None)
Agg(open=6.29, high=6.29, low=6.26, close=6.26, volume=1414, vwap=6.2728, timestamp=1692180000000, transactions=12, otc=None)
Agg(open=6.25, high=6.25, low=6.21, close=6.24, volume=4260, vwap=6.2453, timestamp=1692183600000, transactions=24, otc=None)
Agg(open=6.2498, high=6.25, low=6.21, close=6.22, volume=17038, vwap=6.2308, timestamp=1692187200000, transactions=73, otc=None)
Agg(open=6.22, high=6.28, low=6.1813, close=6.275, volume=389092, vwap=6.2315, timestamp=1692190800000, transactions=1844, otc=None)
Agg(open=6.275, high=6.31, low=6.2325, close=6.3, volume=395936, vwap=6.2665, timestamp=1692194400000, transactions=2548, otc=None)
Agg(open=6.295, high=6.325, low=6.27, close=6.2857, volume=286074, vwap=6.2964, timestamp=1692198000000, transactions=1356, otc=None)
Agg(open=6.28, high=6.3, low=6.26, close=6.29, volume=224231, vwap=6.2769, timestamp=1692201600000, transactions=1229, otc=None)
Agg(open=6.285, high=6.3, low=6.2625, close=6.28, volume=421534, vwap=6.2845, timestamp=1692205200000, transactions=1525, otc=None)
Agg(open=6.285, high=6.29, low=6.23, close=6.24, volume=338762, vwap=6.2631, timestamp=1692208800000, transactions=1711, otc=None)
Agg(open=6.235, high=6.24, low=6.2, close=6.22, volume=678633, vwap=6.2213, timestamp=1692212400000, transactions=3201, otc=None)
Agg(open=6.21, high=6.41, low=6.2, close=6.41, volume=2120, vwap=6.2285, timestamp=1692216000000, transactions=8, otc=None)
Agg(open=6.3, high=6.3, low=6.21, close=6.21, volume=828, vwap=6.2516, timestamp=1692223200000, transactions=5, otc=None)
Agg(open=6.31, high=6.31, low=6.31, close=6.31, volume=208, vwap=6.31, timestamp=1692226800000, transactions=1, otc=None)
Agg(open=6.18, high=6.18, low=6.14, close=6.14, volume=600, vwap=6.1567, timestamp=1692259200000, transactions=3, otc=None)
Agg(open=6.14, high=6.14, low=6.09, close=6.14, volume=8772, vwap=6.1063, timestamp=1692262800000, transactions=27, otc=None)
Agg(open=6.14, high=6.16, low=6.1, close=6.16, volume=10110, vwap=6.1346, timestamp=1692266400000, transactions=53, otc=None)
Agg(open=6.17, high=6.19, low=6.14, close=6.14, volume=11214, vwap=6.1599, timestamp=1692270000000, transactions=70, otc=None)
Agg(open=6.1698, high=6.21, low=6.133, close=6.2, volume=35737, vwap=6.1795, timestamp=1692273600000, transactions=125, otc=None)
Agg(open=6.21, high=6.2284, low=6.14, close=6.195, volume=864002, vwap=6.188, timestamp=1692277200000, transactions=3906, otc=None)
Agg(open=6.195, high=6.26, low=6.18, close=6.23, volume=1402241.0, vwap=6.2113, timestamp=1692280800000, transactions=6395, otc=None)
Agg(open=6.23, high=6.26, low=6.2, close=6.245, volume=505548, vwap=6.2354, timestamp=1692284400000, transactions=2052, otc=None)
Agg(open=6.245, high=6.305, low=6.24, close=6.295, volume=460572, vwap=6.2626, timestamp=1692288000000, transactions=1859, otc=None)
Agg(open=6.2957, high=6.3, low=6.26, close=6.265, volume=279791, vwap=6.2812, timestamp=1692291600000, transactions=1507, otc=None)
Agg(open=6.265, high=6.265, low=6.21, close=6.215, volume=276005, vwap=6.2314, timestamp=1692295200000, transactions=1565, otc=None)
Agg(open=6.215, high=6.22, low=6.18, close=6.19, volume=620292, vwap=6.2024, timestamp=1692298800000, transactions=3231, otc=None)
Agg(open=6.2, high=6.25, low=6.2, close=6.25, volume=10558, vwap=6.2021, timestamp=1692302400000, transactions=7, otc=None)
Agg(open=6.25, high=6.33, low=6.21, close=6.25, volume=1210, vwap=6.251, timestamp=1692306000000, transactions=14, otc=None)
Agg(open=6.2, high=6.2, low=6.15, close=6.15, volume=1826, vwap=6.1662, timestamp=1692309600000, transactions=3, otc=None)
Agg(open=6.28, high=6.33, low=6.16, close=6.19, volume=5866, vwap=6.2407, timestamp=1692313200000, transactions=14, otc=None)
Agg(open=6.18, high=6.18, low=6.11, close=6.14, volume=3500, vwap=6.1311, timestamp=1692345600000, transactions=10, otc=None)
Agg(open=6.14, high=6.15, low=6.09, close=6.11, volume=3181, vwap=6.1218, timestamp=1692352800000, transactions=28, otc=None)
Agg(open=6.12, high=6.12, low=6.07, close=6.07, volume=53195, vwap=6.0798, timestamp=1692356400000, transactions=167, otc=None)
Agg(open=6.11, high=6.12, low=6.06, close=6.06, volume=75351, vwap=6.076, timestamp=1692360000000, transactions=190, otc=None)
Agg(open=6.07, high=6.165, low=6.0698, close=6.14, volume=740674, vwap=6.1108, timestamp=1692363600000, transactions=3000, otc=None)
Agg(open=6.14, high=6.165, low=6.1, close=6.14, volume=750067, vwap=6.1362, timestamp=1692367200000, transactions=3846, otc=None)
Agg(open=6.145, high=6.205, low=6.13, close=6.185, volume=621001, vwap=6.1715, timestamp=1692370800000, transactions=3002, otc=None)
Agg(open=6.185, high=6.19, low=6.16, close=6.1785, volume=158623, vwap=6.1782, timestamp=1692374400000, transactions=1641, otc=None)
Agg(open=6.18, high=6.23, low=6.145, close=6.205, volume=532396, vwap=6.1871, timestamp=1692378000000, transactions=2417, otc=None)
Agg(open=6.2, high=6.215, low=6.19, close=6.205, volume=429336, vwap=6.2034, timestamp=1692381600000, transactions=1966, otc=None)
Agg(open=6.205, high=6.255, low=6.2, close=6.24, volume=1154930.0, vwap=6.2328, timestamp=1692385200000, transactions=6262, otc=None)
Agg(open=6.24, high=6.24, low=6.24, close=6.24, volume=500, vwap=6.24, timestamp=1692388800000, transactions=1, otc=None)
Agg(open=6.241, high=6.241, low=6.241, close=6.241, volume=125, vwap=6.2408, timestamp=1692396000000, transactions=2, otc=None)
Agg(open=6.24, high=6.24, low=6.24, close=6.24, volume=245, vwap=6.24, timestamp=1692399600000, transactions=1, otc=None)
