Agg(open=25.4, high=25.4, low=25.3846, close=25.3846, volume=1000, vwap=25.3861, timestamp=1672750800000, transactions=2, otc=None)
Agg(open=25.27, high=25.72, low=24.21, close=24.245, volume=287646, vwap=25.1226, timestamp=1672754400000, transactions=3210, otc=None)
Agg(open=24.275, high=24.75, low=23.87, close=24.75, volume=209388, vwap=24.1938, timestamp=1672758000000, transactions=2689, otc=None)
Agg(open=24.76, high=24.84, low=23.89, close=23.89, volume=212648, vwap=24.4436, timestamp=1672761600000, transactions=2967, otc=None)
Agg(open=23.91, high=24.76, low=23.8801, close=24.54, volume=229883, vwap=24.3743, timestamp=1672765200000, transactions=3429, otc=None)
Agg(open=24.545, high=24.64, low=24.13, close=24.2, volume=152110, vwap=24.3202, timestamp=1672768800000, transactions=2464, otc=None)
Agg(open=24.205, high=24.22, low=23.56, close=23.85, volume=204697, vwap=23.8072, timestamp=1672772400000, transactions=3795, otc=None)
Agg(open=23.855, high=24.16, low=23.795, close=23.925, volume=440948, vwap=23.9627, timestamp=1672776000000, transactions=6445, otc=None)
Agg(open=23.94, high=23.94, low=23.94, close=23.94, volume=46561, vwap=23.94, timestamp=1672779600000, transactions=20, otc=None)
Agg(open=24.25, high=24.25, low=24.24, close=24.24, volume=250, vwap=24.246, timestamp=1672790400000, transactions=3, otc=None)
Agg(open=24, high=24, low=24, close=24, volume=100, vwap=24, timestamp=1672833600000, transactions=1, otc=None)
Agg(open=23.99, high=24.75, low=23.6, close=24.385, volume=199406, vwap=24.2555, timestamp=1672840800000, transactions=1703, otc=None)
Agg(open=24.3, high=24.57, low=24.01, close=24.52, volume=158863, vwap=24.2751, timestamp=1672844400000, transactions=2517, otc=None)
Agg(open=24.53, high=24.91, low=24.4, close=24.88, volume=251214, vwap=24.644, timestamp=1672848000000, transactions=3702, otc=None)
Agg(open=24.87, high=24.88, low=24.5, close=24.52, volume=253539, vwap=24.6592, timestamp=1672851600000, transactions=3532, otc=None)
Agg(open=24.52, high=24.835, low=24.43, close=24.65, volume=293624, vwap=24.6217, timestamp=1672855200000, transactions=3247, otc=None)
Agg(open=24.63, high=24.825, low=24.39, close=24.725, volume=368514, vwap=24.5902, timestamp=1672858800000, transactions=5037, otc=None)
Agg(open=24.73, high=24.77, low=24.4, close=24.77, volume=647018, vwap=24.6366, timestamp=1672862400000, transactions=8161, otc=None)
Agg(open=24.76, high=24.76, low=24.76, close=24.76, volume=16129, vwap=24.76, timestamp=1672866000000, transactions=18, otc=None)
Agg(open=24.4, high=24.41, low=23.85, close=23.855, volume=71071, vwap=24.1284, timestamp=1672927200000, transactions=862, otc=None)
Agg(open=23.89, high=24.195, low=23.89, close=23.94, volume=137173, vwap=24.0109, timestamp=1672930800000, transactions=1897, otc=None)
Agg(open=23.94, high=24.09, low=23.84, close=24, volume=151042, vwap=23.9511, timestamp=1672934400000, transactions=2283, otc=None)
Agg(open=23.99, high=24.06, low=23.65, close=23.67, volume=400898, vwap=23.9377, timestamp=1672938000000, transactions=3170, otc=None)
Agg(open=23.65, high=23.915, low=23.48, close=23.65, volume=199584, vwap=23.7308, timestamp=1672941600000, transactions=3123, otc=None)
Agg(open=23.65, high=23.92, low=23.63, close=23.75, volume=205424, vwap=23.7531, timestamp=1672945200000, transactions=3393, otc=None)
Agg(open=23.74, high=23.87, low=23.54, close=23.64, volume=563778, vwap=23.6765, timestamp=1672948800000, transactions=7737, otc=None)
Agg(open=23.65, high=23.65, low=23.65, close=23.65, volume=21848, vwap=23.65, timestamp=1672952400000, transactions=15, otc=None)
Agg(open=23.97, high=24.15, low=22.69, close=22.8618, volume=293714, vwap=23.3662, timestamp=1673013600000, transactions=2416, otc=None)
Agg(open=22.92, high=23.49, low=22.65, close=23.3143, volume=310839, vwap=23.1611, timestamp=1673017200000, transactions=4352, otc=None)
Agg(open=23.315, high=23.49, low=23.17, close=23.23, volume=296010, vwap=23.3032, timestamp=1673020800000, transactions=4016, otc=None)
Agg(open=23.235, high=23.235, low=22.715, close=23.02, volume=455925, vwap=22.9437, timestamp=1673024400000, transactions=5146, otc=None)
Agg(open=23.035, high=23.255, low=22.93, close=23.22, volume=219799, vwap=23.0678, timestamp=1673028000000, transactions=2993, otc=None)
Agg(open=23.23, high=23.65, low=23.12, close=23.35, volume=280418, vwap=23.3709, timestamp=1673031600000, transactions=3789, otc=None)
Agg(open=23.35, high=23.48, low=23.185, close=23.34, volume=519844, vwap=23.3158, timestamp=1673035200000, transactions=7241, otc=None)
Agg(open=23.32, high=23.32, low=23.32, close=23.32, volume=38277, vwap=23.32, timestamp=1673038800000, transactions=20, otc=None)
