Agg(open=10.02, high=10.09, low=9.99, close=9.99, volume=103258, vwap=10.0229, timestamp=1673964000000, transactions=931, otc=None)
Agg(open=9.99, high=10.095, low=9.965, close=9.995, volume=414841, vwap=10.0308, timestamp=1673967600000, transactions=1675, otc=None)
Agg(open=9.995, high=10.05, low=9.98, close=10.035, volume=262985, vwap=10.0145, timestamp=1673971200000, transactions=1497, otc=None)
Agg(open=10.04, high=10.08, low=10.02, close=10.055, volume=277445, vwap=10.0485, timestamp=1673974800000, transactions=1514, otc=None)
Agg(open=10.055, high=10.12, low=10.055, close=10.12, volume=117856, vwap=10.0862, timestamp=1673978400000, transactions=1061, otc=None)
Agg(open=10.11, high=10.115, low=10.04, close=10.06, volume=133141, vwap=10.0668, timestamp=1673982000000, transactions=1156, otc=None)
Agg(open=10.06, high=10.1475, low=10.06, close=10.12, volume=521350, vwap=10.1125, timestamp=1673985600000, transactions=2504, otc=None)
Agg(open=10.11, high=10.11, low=10.11, close=10.11, volume=50662, vwap=10.11, timestamp=1673989200000, transactions=15, otc=None)
Agg(open=10.14, high=10.17, low=10.06, close=10.12, volume=55372, vwap=10.1058, timestamp=1674050400000, transactions=483, otc=None)
Agg(open=10.125, high=10.18, low=10.09, close=10.115, volume=83492, vwap=10.1393, timestamp=1674054000000, transactions=876, otc=None)
Agg(open=10.115, high=10.12, low=9.93, close=9.96, volume=93253, vwap=9.9977, timestamp=1674057600000, transactions=1001, otc=None)
Agg(open=9.96, high=9.965, low=9.92, close=9.945, volume=50761, vwap=9.9424, timestamp=1674061200000, transactions=609, otc=None)
Agg(open=9.945, high=10.055, low=9.92, close=9.985, volume=85599, vwap=9.9964, timestamp=1674064800000, transactions=914, otc=None)
Agg(open=9.98, high=9.99, low=9.94, close=9.945, volume=91526, vwap=9.9693, timestamp=1674068400000, transactions=947, otc=None)
Agg(open=9.945, high=9.99, low=9.91, close=9.91, volume=248116, vwap=9.9478, timestamp=1674072000000, transactions=2417, otc=None)
Agg(open=9.91, high=9.91, low=9.91, close=9.91, volume=27007, vwap=9.91, timestamp=1674075600000, transactions=21, otc=None)
Agg(open=9.81, high=9.92, low=9.78, close=9.885, volume=94171, vwap=9.8852, timestamp=1674136800000, transactions=704, otc=None)
Agg(open=9.88, high=9.955, low=9.87, close=9.89, volume=147211, vwap=9.9135, timestamp=1674140400000, transactions=1219, otc=None)
Agg(open=9.89, high=9.9, low=9.87, close=9.9, volume=160285, vwap=9.8799, timestamp=1674144000000, transactions=820, otc=None)
Agg(open=9.9, high=9.965, low=9.9, close=9.935, volume=60864, vwap=9.9394, timestamp=1674147600000, transactions=539, otc=None)
Agg(open=9.94, high=9.97, low=9.91, close=9.9425, volume=93595, vwap=9.9405, timestamp=1674151200000, transactions=834, otc=None)
Agg(open=9.95, high=9.995, low=9.94, close=9.98, volume=122079, vwap=9.9666, timestamp=1674154800000, transactions=948, otc=None)
Agg(open=9.98, high=9.99, low=9.92, close=9.92, volume=332648, vwap=9.9511, timestamp=1674158400000, transactions=1996, otc=None)
Agg(open=9.92, high=9.92, low=9.92, close=9.92, volume=374251, vwap=9.92, timestamp=1674162000000, transactions=19, otc=None)
Agg(open=10, high=10.045, low=9.88, close=10.04, volume=185380, vwap=9.9961, timestamp=1674223200000, transactions=775, otc=None)
Agg(open=10.03, high=10.055, low=9.985, close=10.005, volume=75828, vwap=10.018, timestamp=1674226800000, transactions=909, otc=None)
Agg(open=10.01, high=10.085, low=10.01, close=10.08, volume=59810, vwap=10.0449, timestamp=1674230400000, transactions=732, otc=None)
Agg(open=10.08, high=10.085, low=10.05, close=10.05, volume=39024, vwap=10.0734, timestamp=1674234000000, transactions=431, otc=None)
Agg(open=10.06, high=10.08, low=10.015, close=10.08, volume=113685, vwap=10.0445, timestamp=1674237600000, transactions=1010, otc=None)
Agg(open=10.08, high=10.1, low=10.07, close=10.1, volume=35279, vwap=10.0805, timestamp=1674241200000, transactions=708, otc=None)
Agg(open=10.1, high=10.2, low=10.1, close=10.2, volume=277649, vwap=10.1696, timestamp=1674244800000, transactions=2326, otc=None)
Agg(open=10.2, high=10.2, low=10.2, close=10.2, volume=38002, vwap=10.2, timestamp=1674248400000, transactions=18, otc=None)
