Agg(open=2.6832, high=2.6832, low=2.6832, close=2.6832, volume=130, vwap=2.6825, timestamp=1687780800000, transactions=2, otc=None)
Agg(open=2.73, high=2.8, low=2.72, close=2.789, volume=280208, vwap=2.7759, timestamp=1687784400000, transactions=616, otc=None)
Agg(open=2.785, high=2.79, low=2.735, close=2.7682, volume=518740, vwap=2.7576, timestamp=1687788000000, transactions=1187, otc=None)
Agg(open=2.765, high=2.78, low=2.76, close=2.775, volume=512189, vwap=2.769, timestamp=1687791600000, transactions=1025, otc=None)
Agg(open=2.78, high=2.78, low=2.755, close=2.77, volume=292633, vwap=2.7674, timestamp=1687795200000, transactions=754, otc=None)
Agg(open=2.775, high=2.78, low=2.7501, close=2.7519, volume=211883, vwap=2.7664, timestamp=1687798800000, transactions=386, otc=None)
Agg(open=2.755, high=2.77, low=2.75, close=2.77, volume=212151, vwap=2.7604, timestamp=1687802400000, transactions=709, otc=None)
Agg(open=2.77, high=2.78, low=2.75, close=2.75, volume=922387, vwap=2.7637, timestamp=1687806000000, transactions=2013, otc=None)
Agg(open=2.75, high=2.75, low=2.75, close=2.75, volume=4793, vwap=2.75, timestamp=1687809600000, transactions=3, otc=None)
Agg(open=2.789, high=2.789, low=2.789, close=2.789, volume=1000, vwap=2.789, timestamp=1687816800000, transactions=1, otc=None)
Agg(open=2.8, high=2.83, low=2.775, close=2.79, volume=189775, vwap=2.7962, timestamp=1687870800000, transactions=480, otc=None)
Agg(open=2.785, high=2.79, low=2.765, close=2.77, volume=431535, vwap=2.7774, timestamp=1687874400000, transactions=897, otc=None)
Agg(open=2.77, high=2.775, low=2.75, close=2.76, volume=678738, vwap=2.7611, timestamp=1687878000000, transactions=1156, otc=None)
Agg(open=2.755, high=2.78, low=2.75, close=2.775, volume=477972, vwap=2.7636, timestamp=1687881600000, transactions=962, otc=None)
Agg(open=2.775, high=2.79, low=2.77, close=2.78, volume=230590, vwap=2.7786, timestamp=1687885200000, transactions=427, otc=None)
Agg(open=2.775, high=2.78, low=2.76, close=2.77, volume=553110, vwap=2.7705, timestamp=1687888800000, transactions=874, otc=None)
Agg(open=2.77, high=2.785, low=2.77, close=2.777, volume=938825, vwap=2.7751, timestamp=1687892400000, transactions=1648, otc=None)
Agg(open=2.77, high=2.77, low=2.77, close=2.77, volume=2662, vwap=2.77, timestamp=1687896000000, transactions=3, otc=None)
Agg(open=2.77, high=2.77, low=2.77, close=2.77, volume=220, vwap=2.77, timestamp=1687906800000, transactions=3, otc=None)
Agg(open=2.73, high=2.765, low=2.685, close=2.695, volume=316557, vwap=2.7178, timestamp=1687957200000, transactions=620, otc=None)
Agg(open=2.6999, high=2.71, low=2.69, close=2.69, volume=660230, vwap=2.6991, timestamp=1687960800000, transactions=1256, otc=None)
Agg(open=2.6999, high=2.725, low=2.685, close=2.715, volume=763350, vwap=2.7093, timestamp=1687964400000, transactions=1246, otc=None)
Agg(open=2.715, high=2.72, low=2.695, close=2.7, volume=353143, vwap=2.7091, timestamp=1687968000000, transactions=880, otc=None)
Agg(open=2.7, high=2.7, low=2.68, close=2.68, volume=61093, vwap=2.693, timestamp=1687971600000, transactions=380, otc=None)
Agg(open=2.685, high=2.7, low=2.68, close=2.685, volume=690003, vwap=2.684, timestamp=1687975200000, transactions=707, otc=None)
Agg(open=2.685, high=2.69, low=2.67, close=2.685, volume=712490, vwap=2.6804, timestamp=1687978800000, transactions=1454, otc=None)
Agg(open=2.68, high=2.7193, low=2.67, close=2.7193, volume=208216, vwap=2.6988, timestamp=1688043600000, transactions=425, otc=None)
Agg(open=2.715, high=2.715, low=2.675, close=2.675, volume=437801, vwap=2.6958, timestamp=1688047200000, transactions=1051, otc=None)
Agg(open=2.68, high=2.7, low=2.675, close=2.695, volume=229388, vwap=2.6864, timestamp=1688050800000, transactions=1001, otc=None)
Agg(open=2.695, high=2.7085, low=2.695, close=2.7, volume=86854, vwap=2.7014, timestamp=1688054400000, transactions=759, otc=None)
Agg(open=2.7, high=2.71, low=2.69, close=2.705, volume=143856, vwap=2.6997, timestamp=1688058000000, transactions=579, otc=None)
Agg(open=2.705, high=2.71, low=2.69, close=2.695, volume=276478, vwap=2.7015, timestamp=1688061600000, transactions=1091, otc=None)
Agg(open=2.69, high=2.71, low=2.69, close=2.71, volume=392588, vwap=2.7018, timestamp=1688065200000, transactions=1841, otc=None)
Agg(open=2.75, high=2.75, low=2.75, close=2.75, volume=1000, vwap=2.75, timestamp=1688126400000, transactions=1, otc=None)
Agg(open=2.69, high=2.69, low=2.6113, close=2.63, volume=570456, vwap=2.6316, timestamp=1688130000000, transactions=1273, otc=None)
Agg(open=2.635, high=2.65, low=2.6, close=2.605, volume=901136, vwap=2.6234, timestamp=1688133600000, transactions=1974, otc=None)
Agg(open=2.605, high=2.61, low=2.535, close=2.545, volume=2497219.0, vwap=2.5672, timestamp=1688137200000, transactions=2514, otc=None)
Agg(open=2.545, high=2.61, low=2.54, close=2.59, volume=838264, vwap=2.5731, timestamp=1688140800000, transactions=1636, otc=None)
Agg(open=2.595, high=2.595, low=2.56, close=2.585, volume=523541, vwap=2.5772, timestamp=1688144400000, transactions=1372, otc=None)
Agg(open=2.58, high=2.605, low=2.57, close=2.595, volume=1711846.0, vwap=2.5903, timestamp=1688148000000, transactions=2151, otc=None)
Agg(open=2.595, high=2.6, low=2.58, close=2.595, volume=1227081.0, vwap=2.5907, timestamp=1688151600000, transactions=3170, otc=None)
