Agg(open=13, high=13.12, low=12.81, close=13.1, volume=194349, vwap=13.0324, timestamp=1673272800000, transactions=1449, otc=None)
Agg(open=13.105, high=13.245, low=13, close=13.005, volume=410792, vwap=13.1118, timestamp=1673276400000, transactions=3060, otc=None)
Agg(open=13.01, high=13.095, low=12.97, close=13.085, volume=277057, vwap=13.0207, timestamp=1673280000000, transactions=2456, otc=None)
Agg(open=13.09, high=13.095, low=13.015, close=13.02, volume=334309, vwap=13.0474, timestamp=1673283600000, transactions=2342, otc=None)
Agg(open=13.02, high=13.03, low=12.97, close=13.015, volume=353173, vwap=13.0007, timestamp=1673287200000, transactions=2312, otc=None)
Agg(open=13.015, high=13.04, low=12.975, close=12.98, volume=309519, vwap=13.0035, timestamp=1673290800000, transactions=2346, otc=None)
Agg(open=12.975, high=12.99, low=12.925, close=12.95, volume=533336, vwap=12.955, timestamp=1673294400000, transactions=4173, otc=None)
Agg(open=12.95, high=12.95, low=12.95, close=12.95, volume=14241, vwap=12.95, timestamp=1673298000000, transactions=13, otc=None)
Agg(open=12.79, high=12.82, low=12.53, close=12.56, volume=260200, vwap=12.6113, timestamp=1673359200000, transactions=1280, otc=None)
Agg(open=12.55, high=12.575, low=12.35, close=12.49, volume=702261, vwap=12.4885, timestamp=1673362800000, transactions=3477, otc=None)
Agg(open=12.49, high=12.62, low=12.49, close=12.595, volume=193179, vwap=12.5769, timestamp=1673366400000, transactions=1681, otc=None)
Agg(open=12.59, high=12.595, low=12.47, close=12.485, volume=346057, vwap=12.5308, timestamp=1673370000000, transactions=2040, otc=None)
Agg(open=12.485, high=12.515, low=12.47, close=12.505, volume=282181, vwap=12.4947, timestamp=1673373600000, transactions=1871, otc=None)
Agg(open=12.505, high=12.57, low=12.49, close=12.565, volume=169979, vwap=12.5442, timestamp=1673377200000, transactions=1600, otc=None)
Agg(open=12.57, high=12.63, low=12.525, close=12.62, volume=562115, vwap=12.5888, timestamp=1673380800000, transactions=4304, otc=None)
Agg(open=12.62, high=12.62, low=12.38, close=12.56, volume=94990, vwap=12.615, timestamp=1673384400000, transactions=35, otc=None)
Agg(open=12.6, high=12.6, low=12.6, close=12.6, volume=243, vwap=12.6, timestamp=1673442000000, transactions=3, otc=None)
Agg(open=12.71, high=12.84, low=12.71, close=12.83, volume=81729, vwap=12.774, timestamp=1673445600000, transactions=670, otc=None)
Agg(open=12.83, high=12.835, low=12.71, close=12.71, volume=393380, vwap=12.7819, timestamp=1673449200000, transactions=2309, otc=None)
Agg(open=12.715, high=12.85, low=12.71, close=12.775, volume=325193, vwap=12.7784, timestamp=1673452800000, transactions=2120, otc=None)
Agg(open=12.775, high=12.895, low=12.775, close=12.865, volume=370821, vwap=12.8324, timestamp=1673456400000, transactions=2148, otc=None)
Agg(open=12.865, high=13.01, low=12.865, close=13.01, volume=355868, vwap=12.9226, timestamp=1673460000000, transactions=2349, otc=None)
Agg(open=13.01, high=13.11, low=12.97, close=13.08, volume=470313, vwap=13.035, timestamp=1673463600000, transactions=2581, otc=None)
Agg(open=13.08, high=13.19, low=13.055, close=13.18, volume=625657, vwap=13.1184, timestamp=1673467200000, transactions=4368, otc=None)
Agg(open=13.17, high=13.17, low=13.17, close=13.17, volume=326161, vwap=13.17, timestamp=1673470800000, transactions=26, otc=None)
Agg(open=13.31, high=13.31, low=13.08, close=13.165, volume=108956, vwap=13.142, timestamp=1673532000000, transactions=802, otc=None)
Agg(open=13.17, high=13.25, low=13.165, close=13.215, volume=196579, vwap=13.2151, timestamp=1673535600000, transactions=1909, otc=None)
Agg(open=13.22, high=13.295, low=13.2, close=13.295, volume=116079, vwap=13.2406, timestamp=1673539200000, transactions=1099, otc=None)
Agg(open=13.295, high=13.405, low=13.29, close=13.395, volume=75767, vwap=13.3328, timestamp=1673542800000, transactions=829, otc=None)
Agg(open=13.4, high=13.465, low=13.365, close=13.375, volume=151558, vwap=13.3979, timestamp=1673546400000, transactions=1284, otc=None)
Agg(open=13.37, high=13.465, low=13.36, close=13.415, volume=269914, vwap=13.4059, timestamp=1673550000000, transactions=1691, otc=None)
Agg(open=13.415, high=13.46, low=13.38, close=13.45, volume=495028, vwap=13.4148, timestamp=1673553600000, transactions=3689, otc=None)
Agg(open=13.44, high=13.44, low=13.44, close=13.44, volume=369089, vwap=13.44, timestamp=1673557200000, transactions=18, otc=None)
Agg(open=13.31, high=13.35, low=13.265, close=13.34, volume=54068, vwap=13.3051, timestamp=1673618400000, transactions=570, otc=None)
Agg(open=13.33, high=13.35, low=13.26, close=13.34, volume=127953, vwap=13.3055, timestamp=1673622000000, transactions=1421, otc=None)
Agg(open=13.34, high=13.365, low=13.315, close=13.355, volume=141131, vwap=13.3383, timestamp=1673625600000, transactions=1160, otc=None)
Agg(open=13.355, high=13.38, low=13.33, close=13.365, volume=96607, vwap=13.3541, timestamp=1673629200000, transactions=847, otc=None)
Agg(open=13.365, high=13.385, low=13.34, close=13.345, volume=88110, vwap=13.3573, timestamp=1673632800000, transactions=802, otc=None)
Agg(open=13.345, high=13.35, low=13.275, close=13.295, volume=105659, vwap=13.3081, timestamp=1673636400000, transactions=1086, otc=None)
Agg(open=13.295, high=13.3, low=13.21, close=13.225, volume=406485, vwap=13.2507, timestamp=1673640000000, transactions=2871, otc=None)
Agg(open=13.22, high=13.22, low=13.22, close=13.22, volume=21156, vwap=13.22, timestamp=1673643600000, transactions=13, otc=None)
