Agg(open=13.26, high=13.29, low=13.17, close=13.27, volume=536204, vwap=13.2218, timestamp=1686574800000, transactions=1467, otc=None)
Agg(open=13.27, high=13.285, low=13.11, close=13.155, volume=339293, vwap=13.1976, timestamp=1686578400000, transactions=3000, otc=None)
Agg(open=13.16, high=13.25, low=13.14, close=13.16, volume=444167, vwap=13.189, timestamp=1686582000000, transactions=3234, otc=None)
Agg(open=13.16, high=13.19, low=13.135, close=13.165, volume=237265, vwap=13.1579, timestamp=1686585600000, transactions=2272, otc=None)
Agg(open=13.165, high=13.165, low=13.1, close=13.135, volume=261898, vwap=13.1292, timestamp=1686589200000, transactions=2539, otc=None)
Agg(open=13.14, high=13.14, low=13.06, close=13.11, volume=227305, vwap=13.0981, timestamp=1686592800000, transactions=2203, otc=None)
Agg(open=13.11, high=13.2, low=13.075, close=13.13, volume=723179, vwap=13.1552, timestamp=1686596400000, transactions=4923, otc=None)
Agg(open=13.13, high=13.13, low=13.13, close=13.13, volume=30555, vwap=13.13, timestamp=1686600000000, transactions=12, otc=None)
Agg(open=12.94, high=13.235, low=12.94, close=13.12, volume=172485, vwap=13.1229, timestamp=1686661200000, transactions=1713, otc=None)
Agg(open=13.13, high=13.2505, low=13.07, close=13.115, volume=222500, vwap=13.1544, timestamp=1686664800000, transactions=2644, otc=None)
Agg(open=13.12, high=13.185, low=13.075, close=13.135, volume=246602, vwap=13.1279, timestamp=1686668400000, transactions=2388, otc=None)
Agg(open=13.13, high=13.15, low=13.08, close=13.105, volume=206228, vwap=13.1046, timestamp=1686672000000, transactions=1961, otc=None)
Agg(open=13.11, high=13.16, low=13.09, close=13.135, volume=229345, vwap=13.1181, timestamp=1686675600000, transactions=1561, otc=None)
Agg(open=13.135, high=13.155, low=13.05, close=13.11, volume=280355, vwap=13.0999, timestamp=1686679200000, transactions=1929, otc=None)
Agg(open=13.105, high=13.15, low=13.095, close=13.15, volume=542098, vwap=13.1283, timestamp=1686682800000, transactions=4847, otc=None)
Agg(open=13.15, high=13.15, low=13.15, close=13.15, volume=562644, vwap=13.15, timestamp=1686686400000, transactions=19, otc=None)
Agg(open=13.16, high=13.34, low=13.16, close=13.2, volume=125329, vwap=13.2348, timestamp=1686747600000, transactions=1779, otc=None)
Agg(open=13.2, high=13.24, low=13.18, close=13.22, volume=158663, vwap=13.2122, timestamp=1686751200000, transactions=2497, otc=None)
Agg(open=13.22, high=13.26, low=13.2, close=13.225, volume=132341, vwap=13.2278, timestamp=1686754800000, transactions=1951, otc=None)
Agg(open=13.22, high=13.25, low=13.19, close=13.205, volume=155143, vwap=13.2114, timestamp=1686758400000, transactions=1844, otc=None)
Agg(open=13.205, high=13.21, low=13.155, close=13.18, volume=108402, vwap=13.1829, timestamp=1686762000000, transactions=1420, otc=None)
Agg(open=13.16, high=13.24, low=13.09, close=13.205, volume=355642, vwap=13.1646, timestamp=1686765600000, transactions=4051, otc=None)
Agg(open=13.205, high=13.29, low=13.12, close=13.19, volume=527639, vwap=13.2093, timestamp=1686769200000, transactions=5310, otc=None)
Agg(open=13.19, high=13.19, low=13.19, close=13.19, volume=22891, vwap=13.19, timestamp=1686772800000, transactions=26, otc=None)
Agg(open=13.11, high=13.15, low=13.05, close=13.07, volume=134045, vwap=13.0851, timestamp=1686834000000, transactions=1581, otc=None)
Agg(open=13.075, high=13.14, low=12.97, close=13.01, volume=198466, vwap=13.0292, timestamp=1686837600000, transactions=2455, otc=None)
Agg(open=13.02, high=13.06, low=13.005, close=13.025, volume=190654, vwap=13.0378, timestamp=1686841200000, transactions=2240, otc=None)
Agg(open=13.025, high=13.03, low=12.975, close=13.01, volume=155892, vwap=13.0003, timestamp=1686844800000, transactions=1921, otc=None)
Agg(open=13.005, high=13.01, low=12.95, close=13.005, volume=345968, vwap=12.9745, timestamp=1686848400000, transactions=3241, otc=None)
Agg(open=13.01, high=13.085, low=12.99, close=13.07, volume=664301, vwap=13.0147, timestamp=1686852000000, transactions=2624, otc=None)
Agg(open=13.08, high=13.22, low=13.07, close=13.2, volume=465469, vwap=13.1656, timestamp=1686855600000, transactions=4650, otc=None)
Agg(open=13.2, high=13.2, low=13.2, close=13.2, volume=45522, vwap=13.2, timestamp=1686859200000, transactions=17, otc=None)
Agg(open=13.33, high=13.53, low=13.16, close=13.19, volume=531190, vwap=13.3068, timestamp=1686920400000, transactions=1811, otc=None)
Agg(open=13.19, high=13.29, low=13.18, close=13.26, volume=611729, vwap=13.2382, timestamp=1686924000000, transactions=2513, otc=None)
Agg(open=13.265, high=13.295, low=13.195, close=13.28, volume=359003, vwap=13.2392, timestamp=1686927600000, transactions=2660, otc=None)
Agg(open=13.285, high=13.34, low=13.27, close=13.305, volume=112112, vwap=13.3116, timestamp=1686931200000, transactions=1293, otc=None)
Agg(open=13.31, high=13.315, low=13.25, close=13.27, volume=120654, vwap=13.2736, timestamp=1686934800000, transactions=1318, otc=None)
Agg(open=13.275, high=13.275, low=13.205, close=13.205, volume=163164, vwap=13.2486, timestamp=1686938400000, transactions=1808, otc=None)
Agg(open=13.21, high=13.37, low=13.19, close=13.365, volume=970408, vwap=13.2821, timestamp=1686942000000, transactions=6471, otc=None)
Agg(open=13.36, high=13.36, low=13.36, close=13.36, volume=85639, vwap=13.36, timestamp=1686945600000, transactions=29, otc=None)
