Agg(open=16.81, high=16.935, low=16.695, close=16.935, volume=137264, vwap=16.7906, timestamp=1686574800000, transactions=1969, otc=None)
Agg(open=16.93, high=16.93, low=16.809, close=16.875, volume=169389, vwap=16.8608, timestamp=1686578400000, transactions=2810, otc=None)
Agg(open=16.875, high=16.94, low=16.735, close=16.775, volume=129907, vwap=16.8266, timestamp=1686582000000, transactions=2205, otc=None)
Agg(open=16.775, high=16.83, low=16.74, close=16.74, volume=158328, vwap=16.7782, timestamp=1686585600000, transactions=2281, otc=None)
Agg(open=16.745, high=16.758, low=16.705, close=16.755, volume=107119, vwap=16.7311, timestamp=1686589200000, transactions=1655, otc=None)
Agg(open=16.755, high=16.76, low=16.68, close=16.685, volume=229319, vwap=16.7075, timestamp=1686592800000, transactions=2787, otc=None)
Agg(open=16.68, high=16.76, low=16.665, close=16.695, volume=526448, vwap=16.7006, timestamp=1686596400000, transactions=5864, otc=None)
Agg(open=16.71, high=16.71, low=16.71, close=16.71, volume=1038844.0, vwap=16.71, timestamp=1686600000000, transactions=9, otc=None)
Agg(open=16.77, high=16.88, low=16.74, close=16.76, volume=125412, vwap=16.8065, timestamp=1686661200000, transactions=1396, otc=None)
Agg(open=16.765, high=16.94, low=16.74, close=16.835, volume=201417, vwap=16.8367, timestamp=1686664800000, transactions=2636, otc=None)
Agg(open=16.83, high=16.91, low=16.773, close=16.87, volume=162427, vwap=16.837, timestamp=1686668400000, transactions=2134, otc=None)
Agg(open=16.86, high=16.92, low=16.8425, close=16.885, volume=100485, vwap=16.8927, timestamp=1686672000000, transactions=1452, otc=None)
Agg(open=16.885, high=16.885, low=16.825, close=16.835, volume=120672, vwap=16.8551, timestamp=1686675600000, transactions=1694, otc=None)
Agg(open=16.84, high=16.875, low=16.82, close=16.855, volume=115501, vwap=16.846, timestamp=1686679200000, transactions=1929, otc=None)
Agg(open=16.855, high=16.91, low=16.81, close=16.91, volume=430465, vwap=16.8538, timestamp=1686682800000, transactions=4665, otc=None)
Agg(open=16.91, high=16.91, low=16.91, close=16.91, volume=2242, vwap=16.91, timestamp=1686686400000, transactions=8, otc=None)
Agg(open=17.18, high=17.18, low=16.78, close=16.78, volume=375, vwap=16.908, timestamp=1686693600000, transactions=2, otc=None)
Agg(open=17, high=17.01, low=16.81, close=16.835, volume=111828, vwap=16.9344, timestamp=1686747600000, transactions=1227, otc=None)
Agg(open=16.835, high=17.045, low=16.83, close=17.035, volume=193890, vwap=16.9815, timestamp=1686751200000, transactions=2361, otc=None)
Agg(open=17.035, high=17.065, low=16.94, close=17, volume=288358, vwap=17.013, timestamp=1686754800000, transactions=3209, otc=None)
Agg(open=16.9984, high=17, low=16.93, close=16.93, volume=106492, vwap=16.9776, timestamp=1686758400000, transactions=1485, otc=None)
Agg(open=16.93, high=16.95, low=16.84, close=16.845, volume=111214, vwap=16.9016, timestamp=1686762000000, transactions=1452, otc=None)
Agg(open=16.84, high=16.845, low=16.635, close=16.73, volume=215075, vwap=16.731, timestamp=1686765600000, transactions=3034, otc=None)
Agg(open=16.74, high=16.855, low=16.69, close=16.775, volume=350148, vwap=16.7719, timestamp=1686769200000, transactions=4453, otc=None)
Agg(open=16.78, high=16.78, low=16.78, close=16.78, volume=1966, vwap=16.78, timestamp=1686772800000, transactions=8, otc=None)
Agg(open=16.65, high=16.755, low=16.4, close=16.56, volume=122055, vwap=16.533, timestamp=1686834000000, transactions=1524, otc=None)
Agg(open=16.55, high=16.65, low=16.54, close=16.6, volume=117585, vwap=16.5902, timestamp=1686837600000, transactions=1848, otc=None)
Agg(open=16.61, high=16.76, low=16.595, close=16.7, volume=210241, vwap=16.6988, timestamp=1686841200000, transactions=2197, otc=None)
Agg(open=16.695, high=16.79, low=16.69, close=16.775, volume=97121, vwap=16.7409, timestamp=1686844800000, transactions=1646, otc=None)
Agg(open=16.78, high=16.78, low=16.695, close=16.715, volume=140126, vwap=16.7194, timestamp=1686848400000, transactions=1994, otc=None)
Agg(open=16.715, high=16.75, low=16.6901, close=16.745, volume=139405, vwap=16.7241, timestamp=1686852000000, transactions=2099, otc=None)
Agg(open=16.745, high=16.8, low=16.74, close=16.77, volume=643844, vwap=16.7669, timestamp=1686855600000, transactions=5845, otc=None)
Agg(open=16.77, high=16.77, low=16.77, close=16.77, volume=7433, vwap=16.77, timestamp=1686859200000, transactions=13, otc=None)
Agg(open=16.79, high=16.79, low=16.5, close=16.53, volume=148244, vwap=16.7342, timestamp=1686920400000, transactions=864, otc=None)
Agg(open=16.54, high=16.645, low=16.53, close=16.63, volume=122849, vwap=16.6034, timestamp=1686924000000, transactions=1667, otc=None)
Agg(open=16.62, high=16.62, low=16.53, close=16.56, volume=98024, vwap=16.5655, timestamp=1686927600000, transactions=1346, otc=None)
Agg(open=16.57, high=16.675, low=16.57, close=16.65, volume=101548, vwap=16.6301, timestamp=1686931200000, transactions=1270, otc=None)
Agg(open=16.65, high=16.65, low=16.51, close=16.57, volume=98118, vwap=16.5589, timestamp=1686934800000, transactions=1467, otc=None)
Agg(open=16.565, high=16.565, low=16.5, close=16.5275, volume=127302, vwap=16.5287, timestamp=1686938400000, transactions=1863, otc=None)
Agg(open=16.525, high=16.53, low=16.475, close=16.505, volume=557284, vwap=16.504, timestamp=1686942000000, transactions=5872, otc=None)
Agg(open=16.52, high=16.52, low=16.51, close=16.51, volume=956, vwap=16.5189, timestamp=1686945600000, transactions=6, otc=None)
