Agg(open=9.76, high=10.29, low=9.76, close=10.28, volume=274658, vwap=10.1012, timestamp=1690790400000, transactions=1861, otc=None)
Agg(open=10.28, high=10.29, low=10.16, close=10.26, volume=151835, vwap=10.222, timestamp=1690794000000, transactions=811, otc=None)
Agg(open=10.2, high=10.44, low=10.2, close=10.39, volume=275360, vwap=10.3343, timestamp=1690797600000, transactions=1550, otc=None)
Agg(open=10.36, high=10.4, low=9.27, close=9.9, volume=4277740.0, vwap=9.8043, timestamp=1690801200000, transactions=16503, otc=None)
Agg(open=10.3507, high=10.409, low=9.27, close=10.36, volume=9505479.0, vwap=9.9774, timestamp=1690804800000, transactions=26783, otc=None)
Agg(open=10.35, high=11.6, low=10.27, close=11.275, volume=64357683.0, vwap=11.1563, timestamp=1690808400000, transactions=204434, otc=None)
Agg(open=11.28, high=11.7, low=11.15, close=11.2393, volume=46585278.0, vwap=11.4302, timestamp=1690812000000, transactions=119898, otc=None)
Agg(open=11.2313, high=11.4, low=11.01, close=11.285, volume=24535083.0, vwap=11.2176, timestamp=1690815600000, transactions=60965, otc=None)
Agg(open=11.29, high=11.35, low=11.19, close=11.27, volume=11357957.0, vwap=11.2892, timestamp=1690819200000, transactions=31401, otc=None)
Agg(open=11.2795, high=11.56, low=11.22, close=11.495, volume=15983514.0, vwap=11.4071, timestamp=1690822800000, transactions=37024, otc=None)
Agg(open=11.495, high=11.54, low=11.39, close=11.51, volume=11793428.0, vwap=11.484, timestamp=1690826400000, transactions=29156, otc=None)
Agg(open=11.5121, high=11.52, low=11.29, close=11.4475, volume=18630558.0, vwap=11.4002, timestamp=1690830000000, transactions=44987, otc=None)
Agg(open=11.44, high=11.54, low=11.44, close=11.5, volume=945485, vwap=11.478, timestamp=1690833600000, transactions=2101, otc=None)
Agg(open=11.5, high=11.54, low=11.37, close=11.381, volume=338095, vwap=11.4922, timestamp=1690837200000, transactions=1488, otc=None)
Agg(open=11.38, high=11.5, low=11.31, close=11.39, volume=222120, vwap=11.3927, timestamp=1690840800000, transactions=1078, otc=None)
Agg(open=11.4, high=11.41, low=11.29, close=11.32, volume=305745, vwap=11.338, timestamp=1690844400000, transactions=1085, otc=None)
Agg(open=11.28, high=11.36, low=11, close=11.07, volume=135189, vwap=11.1368, timestamp=1690876800000, transactions=922, otc=None)
Agg(open=11.08, high=11.11, low=11, close=11.1, volume=118135, vwap=11.0503, timestamp=1690880400000, transactions=619, otc=None)
Agg(open=11.1, high=11.18, low=11.09, close=11.11, volume=31621, vwap=11.1187, timestamp=1690884000000, transactions=252, otc=None)
Agg(open=11.11, high=11.18, low=10.94, close=11.04, volume=390129, vwap=11.0326, timestamp=1690887600000, transactions=1669, otc=None)
Agg(open=11.1, high=11.34, low=10.92, close=11.1, volume=1507987.0, vwap=11.0701, timestamp=1690891200000, transactions=5281, otc=None)
Agg(open=11.1099, high=11.21, low=10.62, close=10.6899, volume=18721627.0, vwap=10.8933, timestamp=1690894800000, transactions=56964, otc=None)
Agg(open=10.7, high=11.0201, low=10.43, close=10.58, volume=18756927.0, vwap=10.6351, timestamp=1690898400000, transactions=50936, otc=None)
