Agg(open=14.74, high=14.74, low=14.73, close=14.74, volume=809, vwap=14.7293, timestamp=1685962800000, transactions=17, otc=None)
Agg(open=14.61, high=14.61, low=14.61, close=14.61, volume=198, vwap=14.6067, timestamp=1685966400000, transactions=4, otc=None)
Agg(open=14.66, high=14.82, low=14.6, close=14.73, volume=220975, vwap=14.729, timestamp=1685970000000, transactions=2135, otc=None)
Agg(open=14.735, high=15.08, low=14.72, close=15.08, volume=302710, vwap=14.9135, timestamp=1685973600000, transactions=3699, otc=None)
Agg(open=15.075, high=15.24, low=14.99, close=15.235, volume=309597, vwap=15.1276, timestamp=1685977200000, transactions=3727, otc=None)
Agg(open=15.24, high=15.325, low=15.21, close=15.225, volume=370399, vwap=15.253, timestamp=1685980800000, transactions=3783, otc=None)
Agg(open=15.23, high=15.371, low=15.22, close=15.285, volume=304699, vwap=15.308, timestamp=1685984400000, transactions=3884, otc=None)
Agg(open=15.28, high=15.35, low=15.23, close=15.3, volume=370435, vwap=15.2829, timestamp=1685988000000, transactions=4723, otc=None)
Agg(open=15.305, high=15.45, low=15.265, close=15.41, volume=618040, vwap=15.381, timestamp=1685991600000, transactions=6187, otc=None)
Agg(open=15.4, high=15.4, low=15.21, close=15.21, volume=25975, vwap=15.3982, timestamp=1685995200000, transactions=25, otc=None)
Agg(open=15.4001, high=15.4001, low=15.4001, close=15.4001, volume=100, vwap=15.4001, timestamp=1685998800000, transactions=1, otc=None)
Agg(open=15.4, high=15.4, low=15.4, close=15.4, volume=100, vwap=15.4, timestamp=1686006000000, transactions=1, otc=None)
Agg(open=15.46, high=15.46, low=15.35, close=15.35, volume=802, vwap=15.445, timestamp=1686052800000, transactions=6, otc=None)
Agg(open=15.45, high=15.82, low=15.35, close=15.81, volume=221182, vwap=15.6062, timestamp=1686056400000, transactions=2644, otc=None)
Agg(open=15.82, high=16.06, low=15.77, close=16.03, volume=500842, vwap=15.8888, timestamp=1686060000000, transactions=4930, otc=None)
Agg(open=16.025, high=16.0638, low=15.97, close=16.0526, volume=227797, vwap=16.0133, timestamp=1686063600000, transactions=2833, otc=None)
Agg(open=16.05, high=16.065, low=15.935, close=15.955, volume=212028, vwap=16.01, timestamp=1686067200000, transactions=2802, otc=None)
Agg(open=15.955, high=16.07, low=15.955, close=16, volume=165831, vwap=16.0303, timestamp=1686070800000, transactions=2209, otc=None)
Agg(open=16, high=16.04, low=15.975, close=16.01, volume=248991, vwap=16.0078, timestamp=1686074400000, transactions=2695, otc=None)
Agg(open=16.01, high=16.02, low=15.9, close=15.975, volume=838375, vwap=15.9569, timestamp=1686078000000, transactions=7485, otc=None)
Agg(open=15.98, high=15.98, low=15.98, close=15.98, volume=26092, vwap=15.98, timestamp=1686081600000, transactions=20, otc=None)
Agg(open=15.75, high=15.75, low=15.75, close=15.75, volume=300, vwap=15.75, timestamp=1686085200000, transactions=1, otc=None)
Agg(open=16, high=16, low=15.95, close=15.95, volume=573, vwap=15.9698, timestamp=1686135600000, transactions=8, otc=None)
Agg(open=15.9999, high=16, low=15.99, close=16, volume=2228, vwap=15.9985, timestamp=1686139200000, transactions=9, otc=None)
Agg(open=16.07, high=16.23, low=16.04, close=16.13, volume=138745, vwap=16.1331, timestamp=1686142800000, transactions=1801, otc=None)
Agg(open=16.14, high=16.18, low=15.935, close=15.96, volume=267439, vwap=16.0302, timestamp=1686146400000, transactions=3126, otc=None)
Agg(open=15.965, high=16.08, low=15.9, close=15.9, volume=156953, vwap=16.0018, timestamp=1686150000000, transactions=2324, otc=None)
Agg(open=15.91, high=15.95, low=15.83, close=15.89, volume=293590, vwap=15.8825, timestamp=1686153600000, transactions=3103, otc=None)
Agg(open=15.89, high=15.89, low=15.8, close=15.83, volume=197844, vwap=15.8401, timestamp=1686157200000, transactions=2430, otc=None)
Agg(open=15.84, high=16, low=15.83, close=15.9, volume=192974, vwap=15.8979, timestamp=1686160800000, transactions=2680, otc=None)
Agg(open=15.9, high=15.955, low=15.865, close=15.895, volume=345111, vwap=15.903, timestamp=1686164400000, transactions=4052, otc=None)
Agg(open=15.9, high=15.9001, low=15.9, close=15.9, volume=41289, vwap=15.9, timestamp=1686168000000, transactions=22, otc=None)
Agg(open=15.9, high=15.9, low=15.9, close=15.9, volume=150, vwap=15.9, timestamp=1686175200000, transactions=2, otc=None)
Agg(open=16.13, high=16.13, low=15.86, close=15.95, volume=156995, vwap=15.9447, timestamp=1686229200000, transactions=1799, otc=None)
Agg(open=15.94, high=15.96, low=15.81, close=15.935, volume=166021, vwap=15.8747, timestamp=1686232800000, transactions=2305, otc=None)
Agg(open=15.93, high=16.045, low=15.91, close=15.91, volume=217543, vwap=15.9918, timestamp=1686236400000, transactions=1824, otc=None)
Agg(open=15.92, high=16.01, low=15.91, close=16.01, volume=98292, vwap=15.9621, timestamp=1686240000000, transactions=1261, otc=None)
Agg(open=16.005, high=16.025, low=15.96, close=16.005, volume=86049, vwap=16.0051, timestamp=1686243600000, transactions=1360, otc=None)
Agg(open=16.01, high=16.025, low=15.99, close=16.0108, volume=84723, vwap=16.0084, timestamp=1686247200000, transactions=1225, otc=None)
Agg(open=16.01, high=16.02, low=15.94, close=15.995, volume=299959, vwap=15.9758, timestamp=1686250800000, transactions=3145, otc=None)
