Agg(open=11.51, high=11.51, low=11.45, close=11.45, volume=2813, vwap=11.501, timestamp=1700478000000, transactions=14, otc=None)
Agg(open=11.42, high=11.45, low=11.4, close=11.41, volume=9716, vwap=11.4196, timestamp=1700481600000, transactions=55, otc=None)
Agg(open=11.41, high=11.5, low=11.41, close=11.47, volume=7190, vwap=11.4685, timestamp=1700485200000, transactions=43, otc=None)
Agg(open=11.44, high=11.49, low=11.25, close=11.3, volume=798842, vwap=11.2975, timestamp=1700488800000, transactions=4205, otc=None)
Agg(open=11.3, high=11.355, low=11.25, close=11.26, volume=578093, vwap=11.2925, timestamp=1700492400000, transactions=5570, otc=None)
Agg(open=11.267, high=11.31, low=11.25, close=11.25, volume=398913, vwap=11.2701, timestamp=1700496000000, transactions=3899, otc=None)
Agg(open=11.2501, high=11.27, low=11.15, close=11.15, volume=610066, vwap=11.2172, timestamp=1700499600000, transactions=4011, otc=None)
Agg(open=11.155, high=11.19, low=11.12, close=11.125, volume=339698, vwap=11.1555, timestamp=1700503200000, transactions=3442, otc=None)
Agg(open=11.125, high=11.1299, low=11.065, close=11.08, volume=502071, vwap=11.1002, timestamp=1700506800000, transactions=3724, otc=None)
Agg(open=11.085, high=11.23, low=11.045, close=11.23, volume=1308406.0, vwap=11.1344, timestamp=1700510400000, transactions=8235, otc=None)
Agg(open=11.25, high=11.25, low=11.15, close=11.15, volume=29099, vwap=11.2149, timestamp=1700514000000, transactions=20, otc=None)
Agg(open=11.27, high=11.27, low=11.27, close=11.27, volume=1350, vwap=11.27, timestamp=1700517600000, transactions=1, otc=None)
Agg(open=11.2, high=11.2, low=11.2, close=11.2, volume=1785, vwap=11.2, timestamp=1700521200000, transactions=1, otc=None)
Agg(open=11.2, high=11.22, low=11.2, close=11.22, volume=1202, vwap=11.2117, timestamp=1700524800000, transactions=4, otc=None)
Agg(open=11.3, high=11.4, low=11.28, close=11.33, volume=15270, vwap=11.319, timestamp=1700571600000, transactions=30, otc=None)
Agg(open=11.24, high=11.66, low=11.24, close=11.525, volume=465674, vwap=11.5426, timestamp=1700575200000, transactions=3413, otc=None)
Agg(open=11.525, high=11.56, low=11.41, close=11.475, volume=409877, vwap=11.4959, timestamp=1700578800000, transactions=4583, otc=None)
Agg(open=11.47, high=11.5, low=11.405, close=11.465, volume=232717, vwap=11.4497, timestamp=1700582400000, transactions=2496, otc=None)
Agg(open=11.46, high=11.53, low=11.41, close=11.53, volume=217867, vwap=11.4652, timestamp=1700586000000, transactions=2055, otc=None)
Agg(open=11.52, high=11.52, low=11.4099, close=11.415, volume=130323, vwap=11.4557, timestamp=1700589600000, transactions=1423, otc=None)
Agg(open=11.415, high=11.46, low=11.375, close=11.425, volume=229191, vwap=11.4276, timestamp=1700593200000, transactions=2452, otc=None)
Agg(open=11.425, high=11.435, low=11.32, close=11.35, volume=767389, vwap=11.3586, timestamp=1700596800000, transactions=5483, otc=None)
Agg(open=11.34, high=11.34, low=11.34, close=11.34, volume=36091, vwap=11.34, timestamp=1700600400000, transactions=16, otc=None)
Agg(open=11.5874, high=11.59, low=11.5874, close=11.59, volume=453, vwap=11.5898, timestamp=1700658000000, transactions=5, otc=None)
Agg(open=11.42, high=11.43, low=11.2702, close=11.365, volume=166718, vwap=11.3437, timestamp=1700661600000, transactions=1275, otc=None)
Agg(open=11.36, high=11.36, low=11.25, close=11.33, volume=119425, vwap=11.3014, timestamp=1700665200000, transactions=1537, otc=None)
Agg(open=11.32, high=11.34, low=11.26, close=11.29, volume=115724, vwap=11.292, timestamp=1700668800000, transactions=1477, otc=None)
Agg(open=11.285, high=11.31, low=11.26, close=11.305, volume=68965, vwap=11.2913, timestamp=1700672400000, transactions=824, otc=None)
Agg(open=11.3, high=11.33, low=11.27, close=11.275, volume=95084, vwap=11.2982, timestamp=1700676000000, transactions=1027, otc=None)
Agg(open=11.28, high=11.29, low=11.235, close=11.265, volume=187890, vwap=11.2627, timestamp=1700679600000, transactions=1688, otc=None)
Agg(open=11.265, high=11.295, low=11.245, close=11.25, volume=628929, vwap=11.2677, timestamp=1700683200000, transactions=4726, otc=None)
Agg(open=11.26, high=11.26, low=11.26, close=11.26, volume=19550, vwap=11.26, timestamp=1700686800000, transactions=16, otc=None)
Agg(open=11.28, high=11.28, low=11.28, close=11.28, volume=500, vwap=11.28, timestamp=1700694000000, transactions=1, otc=None)
Agg(open=11.35, high=11.35, low=11.27, close=11.27, volume=300, vwap=11.3091, timestamp=1700827200000, transactions=3, otc=None)
Agg(open=11.27, high=11.3, low=11.23, close=11.29, volume=4840, vwap=11.2812, timestamp=1700830800000, transactions=9, otc=None)
Agg(open=11.3, high=11.4, low=11.24, close=11.295, volume=156565, vwap=11.3072, timestamp=1700834400000, transactions=1334, otc=None)
Agg(open=11.3, high=11.39, low=11.3, close=11.3, volume=304351, vwap=11.3465, timestamp=1700838000000, transactions=3104, otc=None)
Agg(open=11.3, high=11.31, low=11.26, close=11.275, volume=215980, vwap=11.2837, timestamp=1700841600000, transactions=2090, otc=None)
Agg(open=11.275, high=11.335, low=11.25, close=11.33, volume=296124, vwap=11.2984, timestamp=1700845200000, transactions=3105, otc=None)
Agg(open=11.31, high=11.31, low=11.2, close=11.2, volume=3184, vwap=11.2736, timestamp=1700848800000, transactions=26, otc=None)
Agg(open=11.21, high=11.42, low=11.16, close=11.24, volume=9971, vwap=11.2337, timestamp=1700852400000, transactions=60, otc=None)
Agg(open=11.24, high=11.24, low=11.24, close=11.24, volume=1000, vwap=11.24, timestamp=1700856000000, transactions=5, otc=None)
