Agg(open=8.74, high=8.9, low=8.74, close=8.77, volume=4206, vwap=8.7992, timestamp=1677499200000, transactions=30, otc=None)
Agg(open=8.82, high=8.82, low=8.75, close=8.82, volume=18749, vwap=8.7968, timestamp=1677502800000, transactions=40, otc=None)
Agg(open=8.83, high=8.83, low=8.63, close=8.715, volume=316672, vwap=8.704, timestamp=1677506400000, transactions=1751, otc=None)
Agg(open=8.7191, high=8.79, low=8.62, close=8.695, volume=733741, vwap=8.6958, timestamp=1677510000000, transactions=4213, otc=None)
Agg(open=8.7, high=8.75, low=8.6543, close=8.715, volume=751356, vwap=8.705, timestamp=1677513600000, transactions=4952, otc=None)
Agg(open=8.715, high=8.715, low=8.624, close=8.6399, volume=332758, vwap=8.6657, timestamp=1677517200000, transactions=2326, otc=None)
Agg(open=8.635, high=8.715, low=8.61, close=8.715, volume=658939, vwap=8.6555, timestamp=1677520800000, transactions=3273, otc=None)
Agg(open=8.715, high=8.72, low=8.64, close=8.665, volume=341192, vwap=8.6905, timestamp=1677524400000, transactions=2069, otc=None)
Agg(open=8.6699, high=8.69, low=8.62, close=8.68, volume=799402, vwap=8.6538, timestamp=1677528000000, transactions=5684, otc=None)
Agg(open=8.69, high=8.69, low=8.66, close=8.66, volume=43033, vwap=8.6892, timestamp=1677531600000, transactions=15, otc=None)
Agg(open=8.67, high=8.67, low=8.65, close=8.66, volume=2155, vwap=8.6561, timestamp=1677535200000, transactions=5, otc=None)
Agg(open=8.69, high=8.69, low=8.69, close=8.69, volume=141, vwap=8.69, timestamp=1677574800000, transactions=1, otc=None)
Agg(open=8.79, high=8.79, low=8.75, close=8.75, volume=750, vwap=8.782, timestamp=1677585600000, transactions=3, otc=None)
Agg(open=8.8, high=8.8, low=8.69, close=8.69, volume=3082, vwap=8.7337, timestamp=1677589200000, transactions=26, otc=None)
Agg(open=8.7, high=8.78, low=8.65, close=8.69, volume=274484, vwap=8.7088, timestamp=1677592800000, transactions=1731, otc=None)
Agg(open=8.69, high=8.75, low=8.61, close=8.61, volume=487776, vwap=8.6852, timestamp=1677596400000, transactions=2773, otc=None)
Agg(open=8.6179, high=8.655, low=8.56, close=8.625, volume=835040, vwap=8.6187, timestamp=1677600000000, transactions=4586, otc=None)
Agg(open=8.63, high=8.67, low=8.59, close=8.67, volume=483995, vwap=8.6286, timestamp=1677603600000, transactions=2877, otc=None)
Agg(open=8.66, high=8.67, low=8.605, close=8.63, volume=377666, vwap=8.6415, timestamp=1677607200000, transactions=2561, otc=None)
Agg(open=8.62, high=8.63, low=8.56, close=8.562, volume=564613, vwap=8.588, timestamp=1677610800000, transactions=3298, otc=None)
Agg(open=8.56, high=8.57, low=8.5, close=8.51, volume=946543, vwap=8.529, timestamp=1677614400000, transactions=5774, otc=None)
