Agg(open=5.59, high=5.6, low=5.52, close=5.52, volume=1530, vwap=5.564, timestamp=1687248000000, transactions=17, otc=None)
Agg(open=5.57, high=5.57, low=5.57, close=5.57, volume=100, vwap=5.57, timestamp=1687255200000, transactions=1, otc=None)
Agg(open=5.57, high=5.6, low=5.56, close=5.6, volume=1427, vwap=5.5901, timestamp=1687258800000, transactions=7, otc=None)
Agg(open=5.51, high=5.61, low=5.5, close=5.55, volume=6521, vwap=5.5558, timestamp=1687262400000, transactions=33, otc=None)
Agg(open=5.589, high=5.589, low=5.48, close=5.505, volume=1492460.0, vwap=5.5185, timestamp=1687266000000, transactions=4324, otc=None)
Agg(open=5.505, high=5.5299, low=5.41, close=5.4225, volume=3790321.0, vwap=5.4656, timestamp=1687269600000, transactions=9168, otc=None)
Agg(open=5.43, high=5.45, low=5.38, close=5.415, volume=2081526.0, vwap=5.4101, timestamp=1687273200000, transactions=5657, otc=None)
Agg(open=5.42, high=5.44, low=5.39, close=5.4123, volume=2333813.0, vwap=5.4172, timestamp=1687276800000, transactions=5810, otc=None)
Agg(open=5.42, high=5.45, low=5.41, close=5.425, volume=1969918.0, vwap=5.4307, timestamp=1687280400000, transactions=4757, otc=None)
Agg(open=5.42, high=5.44, low=5.4, close=5.435, volume=1212140.0, vwap=5.4244, timestamp=1687284000000, transactions=4232, otc=None)
Agg(open=5.435, high=5.465, low=5.425, close=5.44, volume=4530594.0, vwap=5.442, timestamp=1687287600000, transactions=10484, otc=None)
Agg(open=5.44, high=5.44, low=5.4299, close=5.4299, volume=34826, vwap=5.4391, timestamp=1687291200000, transactions=21, otc=None)
Agg(open=5.3913, high=5.3913, low=5.3913, close=5.3913, volume=500, vwap=5.3913, timestamp=1687294800000, transactions=1, otc=None)
Agg(open=5.3901, high=5.3901, low=5.3901, close=5.3901, volume=200, vwap=5.3901, timestamp=1687298400000, transactions=1, otc=None)
Agg(open=5.44, high=5.45, low=5.44, close=5.45, volume=1800, vwap=5.4493, timestamp=1687302000000, transactions=4, otc=None)
Agg(open=5.41, high=5.44, low=5.41, close=5.44, volume=706, vwap=5.4286, timestamp=1687345200000, transactions=10, otc=None)
Agg(open=5.44, high=5.44, low=5.44, close=5.44, volume=9499, vwap=5.44, timestamp=1687348800000, transactions=4, otc=None)
Agg(open=5.45, high=5.52, low=5.42, close=5.465, volume=2766848.0, vwap=5.4693, timestamp=1687352400000, transactions=4668, otc=None)
Agg(open=5.465, high=5.54, low=5.46, close=5.525, volume=4925730.0, vwap=5.5038, timestamp=1687356000000, transactions=6911, otc=None)
Agg(open=5.525, high=5.55, low=5.44, close=5.4782, volume=5471898.0, vwap=5.4865, timestamp=1687359600000, transactions=6941, otc=None)
