Agg(open=5.85, high=6.02, low=5.82, close=6, volume=16968, vwap=5.9666, timestamp=1685433600000, transactions=55, otc=None)
Agg(open=6.02, high=6.03, low=6, close=6.02, volume=4314, vwap=6.0157, timestamp=1685437200000, transactions=22, otc=None)
Agg(open=6.02, high=6.04, low=6.02, close=6.04, volume=5334, vwap=6.0253, timestamp=1685440800000, transactions=17, otc=None)
Agg(open=6.03, high=6.05, low=6.01, close=6.03, volume=10485, vwap=6.0223, timestamp=1685444400000, transactions=55, otc=None)
Agg(open=6.05, high=6.05, low=6.02, close=6.02, volume=36718, vwap=6.0215, timestamp=1685448000000, transactions=117, otc=None)
Agg(open=6.02, high=6.39, low=6, close=6.3, volume=2005944.0, vwap=6.2607, timestamp=1685451600000, transactions=8256, otc=None)
Agg(open=6.2916, high=6.3025, low=5.87, close=5.87, volume=2859790.0, vwap=6.0629, timestamp=1685455200000, transactions=10329, otc=None)
Agg(open=5.86, high=5.885, low=5.65, close=5.66, volume=1941227.0, vwap=5.7622, timestamp=1685458800000, transactions=7891, otc=None)
Agg(open=5.66, high=5.75, low=5.64, close=5.675, volume=1223911.0, vwap=5.6967, timestamp=1685462400000, transactions=5199, otc=None)
Agg(open=5.67, high=5.69, low=5.635, close=5.665, volume=843172, vwap=5.6582, timestamp=1685466000000, transactions=4401, otc=None)
Agg(open=5.66, high=5.68, low=5.58, close=5.605, volume=1080213.0, vwap=5.613, timestamp=1685469600000, transactions=5046, otc=None)
Agg(open=5.605, high=5.63, low=5.56, close=5.58, volume=3021991.0, vwap=5.5849, timestamp=1685473200000, transactions=9789, otc=None)
Agg(open=5.58, high=5.6291, low=5.58, close=5.6291, volume=46324, vwap=5.5801, timestamp=1685476800000, transactions=12, otc=None)
Agg(open=5.62, high=5.62, low=5.62, close=5.62, volume=600, vwap=5.62, timestamp=1685480400000, transactions=6, otc=None)
Agg(open=5.57, high=5.63, low=5.57, close=5.63, volume=2250, vwap=5.5873, timestamp=1685484000000, transactions=3, otc=None)
Agg(open=5.63, high=5.74, low=5.55, close=5.55, volume=3500, vwap=5.6271, timestamp=1685487600000, transactions=16, otc=None)
Agg(open=5.73, high=5.74, low=5.73, close=5.74, volume=1500, vwap=5.7333, timestamp=1685523600000, transactions=15, otc=None)
Agg(open=5.7, high=5.7, low=5.69, close=5.69, volume=544, vwap=5.7, timestamp=1685527200000, transactions=6, otc=None)
Agg(open=5.67, high=5.67, low=5.66, close=5.66, volume=500, vwap=5.668, timestamp=1685530800000, transactions=2, otc=None)
Agg(open=5.64, high=5.64, low=5.58, close=5.62, volume=541105, vwap=5.5804, timestamp=1685534400000, transactions=13, otc=None)
Agg(open=5.63, high=5.64, low=5.43, close=5.52, volume=1423208.0, vwap=5.4935, timestamp=1685538000000, transactions=6107, otc=None)
Agg(open=5.51, high=5.555, low=5.39, close=5.4, volume=1793719.0, vwap=5.4538, timestamp=1685541600000, transactions=6639, otc=None)
Agg(open=5.395, high=5.42, low=5.345, close=5.365, volume=1960250.0, vwap=5.3849, timestamp=1685545200000, transactions=6211, otc=None)
Agg(open=5.37, high=5.395, low=5.33, close=5.33, volume=1579057.0, vwap=5.3622, timestamp=1685548800000, transactions=4811, otc=None)
Agg(open=5.33, high=5.35, low=5.28, close=5.3, volume=1289769.0, vwap=5.3254, timestamp=1685552400000, transactions=4505, otc=None)
Agg(open=5.3, high=5.35, low=5.295, close=5.325, volume=1407449.0, vwap=5.3238, timestamp=1685556000000, transactions=5473, otc=None)
Agg(open=5.325, high=5.44, low=5.3, close=5.43, volume=3068106.0, vwap=5.3426, timestamp=1685559600000, transactions=10136, otc=None)
Agg(open=5.43, high=5.47, low=5.31, close=5.44, volume=113988, vwap=5.4297, timestamp=1685563200000, transactions=27, otc=None)
Agg(open=5.44, high=5.44, low=5.44, close=5.44, volume=180, vwap=5.44, timestamp=1685566800000, transactions=1, otc=None)
Agg(open=5.44, high=5.44, low=5.44, close=5.44, volume=250, vwap=5.44, timestamp=1685570400000, transactions=1, otc=None)
Agg(open=5.42, high=5.42, low=5.42, close=5.42, volume=600, vwap=5.42, timestamp=1685606400000, transactions=2, otc=None)
Agg(open=5.42, high=5.42, low=5.41, close=5.41, volume=230, vwap=5.4135, timestamp=1685610000000, transactions=3, otc=None)
Agg(open=5.42, high=5.42, low=5.42, close=5.42, volume=318, vwap=5.42, timestamp=1685613600000, transactions=1, otc=None)
Agg(open=5.53, high=5.53, low=5.5, close=5.5, volume=517, vwap=5.5116, timestamp=1685617200000, transactions=4, otc=None)
Agg(open=5.46, high=5.47, low=5.46, close=5.47, volume=1328, vwap=5.4678, timestamp=1685620800000, transactions=7, otc=None)
Agg(open=5.46, high=5.765, low=5.41, close=5.75, volume=1082644.0, vwap=5.6522, timestamp=1685624400000, transactions=4637, otc=None)
Agg(open=5.76, high=6.0891, low=5.75, close=6.075, volume=2373911.0, vwap=5.9348, timestamp=1685628000000, transactions=10822, otc=None)
Agg(open=6.08, high=6.19, low=6.041, close=6.14, volume=1691456.0, vwap=6.1093, timestamp=1685631600000, transactions=7206, otc=None)
Agg(open=6.14, high=6.3, low=6.125, close=6.265, volume=1926639.0, vwap=6.2261, timestamp=1685635200000, transactions=7558, otc=None)
Agg(open=6.2601, high=6.34, low=6.23, close=6.23, volume=956981, vwap=6.2814, timestamp=1685638800000, transactions=4346, otc=None)
Agg(open=6.23, high=6.25, low=6.17, close=6.175, volume=652766, vwap=6.2097, timestamp=1685642400000, transactions=3514, otc=None)
Agg(open=6.18, high=6.185, low=6.12, close=6.12, volume=1476401.0, vwap=6.1486, timestamp=1685646000000, transactions=6951, otc=None)
Agg(open=6.13, high=6.14, low=6.12, close=6.13, volume=121828, vwap=6.1298, timestamp=1685649600000, transactions=25, otc=None)
Agg(open=6.14, high=6.14, low=6.14, close=6.14, volume=200, vwap=6.14, timestamp=1685656800000, transactions=1, otc=None)
Agg(open=6.14, high=6.14, low=6.13, close=6.13, volume=960, vwap=6.1348, timestamp=1685660400000, transactions=2, otc=None)
Agg(open=6.16, high=6.39, low=6.16, close=6.3, volume=44017, vwap=6.357, timestamp=1685692800000, transactions=35, otc=None)
Agg(open=6.32, high=6.34, low=6.32, close=6.33, volume=4288, vwap=6.3322, timestamp=1685696400000, transactions=16, otc=None)
Agg(open=6.33, high=6.35, low=6.31, close=6.31, volume=10170, vwap=6.3421, timestamp=1685700000000, transactions=23, otc=None)
Agg(open=6.32, high=6.35, low=6.32, close=6.34, volume=8710, vwap=6.3472, timestamp=1685703600000, transactions=13, otc=None)
Agg(open=6.35, high=6.35, low=6.3, close=6.31, volume=4479, vwap=6.3214, timestamp=1685707200000, transactions=19, otc=None)
Agg(open=6.3, high=6.4, low=6.22, close=6.3499, volume=1325193.0, vwap=6.3425, timestamp=1685710800000, transactions=5469, otc=None)
Agg(open=6.345, high=6.365, low=6.14, close=6.33, volume=1438462.0, vwap=6.2809, timestamp=1685714400000, transactions=6705, otc=None)
Agg(open=6.33, high=6.35, low=6.24, close=6.3, volume=702822, vwap=6.3052, timestamp=1685718000000, transactions=3791, otc=None)
Agg(open=6.31, high=6.36, low=6.26, close=6.265, volume=384671, vwap=6.3112, timestamp=1685721600000, transactions=2560, otc=None)
Agg(open=6.27, high=6.28, low=6.2, close=6.2, volume=562513, vwap=6.2293, timestamp=1685725200000, transactions=2653, otc=None)
Agg(open=6.2, high=6.21, low=6.15, close=6.2, volume=469987, vwap=6.1813, timestamp=1685728800000, transactions=2268, otc=None)
Agg(open=6.205, high=6.23, low=6.18, close=6.2, volume=646310, vwap=6.2066, timestamp=1685732400000, transactions=3502, otc=None)
Agg(open=6.21, high=6.21, low=6.2, close=6.21, volume=50198, vwap=6.2098, timestamp=1685736000000, transactions=14, otc=None)
Agg(open=6.16, high=6.16, low=6.16, close=6.16, volume=150, vwap=6.16, timestamp=1685739600000, transactions=1, otc=None)
Agg(open=6.1512, high=6.2, low=6.1512, close=6.2, volume=1250, vwap=6.1941, timestamp=1685743200000, transactions=3, otc=None)
